date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2023-05-10,8.97,10.0,8.97,9.93,9.93,428748,0.0000,1.0,ACHV
2023-05-09,8.61,8.88,8.6,8.81,8.81,80609,0.0000,1.0,ACHV
2023-05-08,8.74,8.85,8.48,8.74,8.74,88321,0.0000,1.0,ACHV
2023-05-05,8.56,8.72,8.435,8.71,8.71,69217,0.0000,1.0,ACHV
2023-05-04,8.67,8.73,8.265,8.47,8.47,118492,0.0000,1.0,ACHV
2023-05-03,8.79,8.85,8.4,8.63,8.63,145583,0.0000,1.0,ACHV
2023-05-02,8.63,8.82,8.5,8.73,8.73,145142,0.0000,1.0,ACHV
2023-05-01,8.59,8.74,8.21,8.59,8.59,127671,0.0000,1.0,ACHV
2023-04-28,8.18,8.45,8.1,8.33,8.33,71052,0.0000,1.0,ACHV
2023-04-27,8.15,8.4004,8.15,8.29,8.29,83584,0.0000,1.0,ACHV
2023-04-26,7.93,8.49,7.93,8.14,8.14,125904,0.0000,1.0,ACHV
2023-04-25,8.11,8.12,7.8738,8.02,8.02,73222,0.0000,1.0,ACHV
2023-04-24,7.94,8.25,7.712,8.08,8.08,166496,0.0000,1.0,ACHV
2023-04-21,6.94,8.19,6.7,8.05,8.05,492334,0.0000,1.0,ACHV
2023-04-20,7.32,7.4,5.92,6.8,6.8,336309,0.0000,1.0,ACHV
2023-04-19,7.46,7.46,7.01,7.01,7.01,63202,0.0000,1.0,ACHV
2023-04-18,7.77,7.8,7.15,7.38,7.38,126671,0.0000,1.0,ACHV
2023-04-17,7.31,7.8,7.2,7.8,7.8,119644,0.0000,1.0,ACHV
2023-04-14,6.98,7.5,6.83,7.25,7.25,304249,0.0000,1.0,ACHV
2023-04-13,6.9,7.07,6.85,6.98,6.98,29378,0.0000,1.0,ACHV
2023-04-12,6.84,6.99,6.68,6.82,6.82,44829,0.0000,1.0,ACHV
2023-04-11,7.08,7.1,6.78,6.79,6.79,66332,0.0000,1.0,ACHV
2023-04-10,7.06,7.28,6.62,7.1,7.1,143952,0.0000,1.0,ACHV
2023-04-06,6.76,7.09,6.62,7.06,7.06,136545,0.0000,1.0,ACHV
2023-04-05,6.8,6.94,6.61,6.71,6.71,74099,0.0000,1.0,ACHV
2023-04-04,7.1,7.3,6.58,6.75,6.75,189336,0.0000,1.0,ACHV
2023-04-03,6.82,7.2,6.76,7.2,7.2,173673,0.0000,1.0,ACHV
2023-03-31,6.37,6.86,5.51,6.8,6.8,244651,0.0000,1.0,ACHV
2023-03-30,6.05,7.15,6.05,6.32,6.32,732041,0.0000,1.0,ACHV
2023-03-29,5.6,6.05,5.0807,5.97,5.97,233237,0.0000,1.0,ACHV
2023-03-28,5.13,5.66,5.13,5.55,5.55,112814,0.0000,1.0,ACHV
2023-03-27,5.0,5.2,4.9639,5.13,5.13,93817,0.0000,1.0,ACHV
2023-03-24,4.61,5.0,4.52,4.92,4.92,71370,0.0000,1.0,ACHV
2023-03-23,4.67,4.75,4.62,4.71,4.71,36800,0.0000,1.0,ACHV
2023-03-22,4.44,4.7,4.44,4.7,4.7,35231,0.0000,1.0,ACHV
2023-03-21,4.53,4.7,4.38,4.38,4.38,119857,0.0000,1.0,ACHV
2023-03-20,4.4,4.47,4.28,4.38,4.38,62118,0.0000,1.0,ACHV
2023-03-17,4.54,4.7,4.27,4.35,4.35,249203,0.0000,1.0,ACHV
2023-03-16,4.45,4.66,4.38,4.44,4.44,55162,0.0000,1.0,ACHV
2023-03-15,4.57,4.63,4.46,4.56,4.56,84559,0.0000,1.0,ACHV
2023-03-14,4.37,4.7,4.28,4.53,4.53,91074,0.0000,1.0,ACHV
2023-03-13,4.5,4.5027,4.18,4.28,4.28,165440,0.0000,1.0,ACHV
2023-03-10,4.97,4.97,4.31,4.44,4.44,127051,0.0000,1.0,ACHV
2023-03-09,5.16,5.19,4.79,4.95,4.95,95846,0.0000,1.0,ACHV
2023-03-08,5.02,5.1397,4.95,5.11,5.11,57949,0.0000,1.0,ACHV
2023-03-07,5.3,5.3,4.93,5.05,5.05,58292,0.0000,1.0,ACHV
2023-03-06,5.19,5.4,5.1,5.37,5.37,73623,0.0000,1.0,ACHV
2023-03-03,4.75,5.18,4.75,5.12,5.12,66931,0.0000,1.0,ACHV
2023-03-02,4.8,4.85,4.68,4.75,4.75,23014,0.0000,1.0,ACHV
2023-03-01,4.91,4.91,4.674,4.81,4.81,57098,0.0000,1.0,ACHV
2023-02-28,4.87,5.0,4.61,4.85,4.85,82569,0.0000,1.0,ACHV
2023-02-27,5.0,5.05,4.79,4.93,4.93,80665,0.0000,1.0,ACHV
2023-02-24,5.0188,5.07,4.77,4.99,4.99,91332,0.0000,1.0,ACHV
2023-02-23,5.22,5.2837,4.96,5.07,5.07,122839,0.0000,1.0,ACHV
2023-02-22,5.32,5.4069,5.14,5.22,5.22,38596,0.0000,1.0,ACHV
2023-02-21,5.36,5.51,5.25,5.41,5.41,59956,0.0000,1.0,ACHV
2023-02-17,5.45,5.57,5.1501,5.51,5.51,72611,0.0000,1.0,ACHV
2023-02-16,5.05,5.5,4.87,5.41,5.41,164296,0.0000,1.0,ACHV
2023-02-15,5.92,5.92,4.56,4.9,4.9,304027,0.0000,1.0,ACHV
2023-02-14,5.75,5.8,5.55,5.8,5.8,114330,0.0000,1.0,ACHV
2023-02-13,5.45,5.65,5.11,5.58,5.58,144833,0.0000,1.0,ACHV
2023-02-10,5.26,5.38,5.1,5.36,5.36,58070,0.0000,1.0,ACHV
2023-02-09,5.33,5.53,5.2,5.26,5.26,47300,0.0000,1.0,ACHV
2023-02-08,5.42,5.585,5.26,5.33,5.33,105568,0.0000,1.0,ACHV
2023-02-07,5.2,5.38,5.03,5.38,5.38,85126,0.0000,1.0,ACHV
2023-02-06,5.2,5.2995,5.01,5.2,5.2,38291,0.0000,1.0,ACHV
2023-02-03,4.95,5.27,4.95,5.2,5.2,73950,0.0000,1.0,ACHV
2023-02-02,5.11,5.18,4.86,4.99,4.99,92509,0.0000,1.0,ACHV
2023-02-01,4.82,5.12,4.8,5.04,5.04,76601,0.0000,1.0,ACHV
2023-01-31,4.875,5.01,4.79,4.86,4.86,53581,0.0000,1.0,ACHV
2023-01-30,4.96,5.045,4.76,4.85,4.85,65692,0.0000,1.0,ACHV
2023-01-27,4.68,5.145,4.68,4.94,4.94,71077,0.0000,1.0,ACHV
2023-01-26,4.9,5.0378,4.71,4.71,4.71,29027,0.0000,1.0,ACHV
2023-01-25,5.0,5.0,4.71,4.9,4.9,65466,0.0000,1.0,ACHV
2023-01-24,5.17,5.2,4.8401,5.02,5.02,77416,0.0000,1.0,ACHV
2023-01-23,4.65,5.18,4.58,5.13,5.13,139447,0.0000,1.0,ACHV
2023-01-20,4.47,4.6,4.25,4.56,4.56,161469,0.0000,1.0,ACHV
2023-01-19,4.63,4.72,4.07,4.25,4.25,188886,0.0000,1.0,ACHV
2023-01-18,4.49,5.0,4.35,4.62,4.62,326781,0.0000,1.0,ACHV
2023-01-17,4.4,4.43,4.13,4.43,4.43,94934,0.0000,1.0,ACHV
2023-01-13,3.95,4.45,3.91,4.28,4.28,194495,0.0000,1.0,ACHV
2023-01-12,3.78,4.1224,3.62,3.98,3.98,213436,0.0000,1.0,ACHV
2023-01-11,3.45,3.7632,3.45,3.73,3.73,236125,0.0000,1.0,ACHV
2023-01-10,2.81,3.64,2.8,3.43,3.43,385249,0.0000,1.0,ACHV
2023-01-09,2.63,2.815,2.63,2.8,2.8,89304,0.0000,1.0,ACHV
2023-01-06,2.5,2.61,2.5,2.61,2.61,68521,0.0000,1.0,ACHV
2023-01-05,2.49,2.51,2.47,2.5,2.5,30963,0.0000,1.0,ACHV
2023-01-04,2.55,2.55,2.44,2.49,2.49,30537,0.0000,1.0,ACHV
2023-01-03,2.49,2.68,2.46,2.53,2.53,81236,0.0000,1.0,ACHV
2022-12-30,2.5,2.59,2.43,2.45,2.45,72486,0.0000,1.0,ACHV
2022-12-29,2.49,2.6,2.41,2.55,2.55,99212,0.0000,1.0,ACHV
2022-12-28,2.4,2.5573,2.36,2.43,2.43,70193,0.0000,1.0,ACHV
2022-12-27,2.43,2.54,2.42,2.42,2.42,64513,0.0000,1.0,ACHV
2022-12-23,2.5,2.629,2.46,2.5,2.5,79392,0.0000,1.0,ACHV
2022-12-22,2.48,2.57,2.44,2.47,2.47,23128,0.0000,1.0,ACHV
