date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2023-05-09,10.16,11.15,10.16,10.17,10.17,20320,0.0000,1.0,APMI
2023-05-08,10.16,10.2,10.16,10.16,10.16,20721,0.0000,1.0,APMI
2023-05-05,10.16,10.63,10.16,10.16,10.16,27982,0.0000,1.0,APMI
2023-05-04,10.15,10.18,10.15,10.16,10.16,668216,0.0000,1.0,APMI
2023-05-03,10.15,10.15,10.15,10.15,10.15,909,0.0000,1.0,APMI
2023-05-02,10.3074,11.14,10.14,10.14,10.14,22052,0.0000,1.0,APMI
2023-05-01,10.1401,10.62,10.14,10.1851,10.1851,14410,0.0000,1.0,APMI
2023-04-28,10.835,10.835,10.14,10.14,10.14,226512,0.0000,1.0,APMI
2023-04-27,10.2218,10.47,10.13,10.47,10.47,7338,0.0000,1.0,APMI
2023-04-26,10.23,10.23,10.13,10.13,10.13,3254,0.0000,1.0,APMI
2023-04-25,10.13,11.13,10.13,10.1375,10.1375,23829,0.0000,1.0,APMI
2023-04-24,10.14,10.1501,10.12,10.13,10.13,9708,0.0000,1.0,APMI
2023-04-21,10.16,10.2009,10.12,10.12,10.12,13736,0.0000,1.0,APMI
2023-04-20,10.12,10.2,10.12,10.12,10.12,4242,0.0000,1.0,APMI
2023-04-19,10.12,10.12,10.12,10.12,10.12,421215,0.0000,1.0,APMI
2023-04-18,10.125,10.125,10.12,10.12,10.12,2312,0.0000,1.0,APMI
2023-04-17,10.12,10.12,10.12,10.12,10.12,1013,0.0000,1.0,APMI
2023-04-14,10.12,10.12,10.12,10.12,10.12,394,0.0000,1.0,APMI
2023-04-13,10.12,10.22,10.11,10.12,10.12,77358,0.0000,1.0,APMI
2023-04-12,10.11,10.12,10.1,10.12,10.12,9116,0.0000,1.0,APMI
2023-04-11,10.11,10.11,10.11,10.11,10.11,600,0.0000,1.0,APMI
2023-04-10,10.11,10.11,10.11,10.11,10.11,0,0.0000,1.0,APMI
2023-04-06,10.11,10.11,10.11,10.11,10.11,1660,0.0000,1.0,APMI
2023-04-05,10.11,10.11,10.11,10.11,10.11,16,0.0000,1.0,APMI
2023-04-04,10.11,10.11,10.11,10.11,10.11,2,0.0000,1.0,APMI
2023-04-03,10.13,10.15,10.11,10.11,10.11,2975,0.0000,1.0,APMI
2023-03-31,10.11,10.11,10.11,10.11,10.11,11,0.0000,1.0,APMI
2023-03-30,10.11,10.11,10.11,10.11,10.11,48,0.0000,1.0,APMI
2023-03-29,10.13,10.13,10.11,10.11,10.11,72243,0.0000,1.0,APMI
2023-03-28,10.1,10.1,10.1,10.1,10.1,300,0.0000,1.0,APMI
2023-03-27,10.1,10.1,10.1,10.1,10.1,137,0.0000,1.0,APMI
2023-03-24,10.1,10.1,10.1,10.1,10.1,276,0.0000,1.0,APMI
2023-03-23,10.1,10.1,10.1,10.1,10.1,42,0.0000,1.0,APMI
