1. open,2. high,3. low,4. close,5. adjusted close,6. volume,ticker
10.15,10.16,10.15,10.15,10.15,410527,CLBR
10.16,10.16,10.1515,10.155,10.155,7578,CLBR
10.15,10.16,10.15,10.16,10.16,7513,CLBR
10.16,10.16,10.1501,10.16,10.16,917383,CLBR
10.13,10.156,10.13,10.15,10.15,137542,CLBR
10.15,10.15,10.1303,10.14,10.14,190027,CLBR
10.12,10.15,10.12,10.145,10.145,11163,CLBR
10.14,10.15,10.14,10.1414,10.1414,10811,CLBR
10.15,10.16,10.145,10.155,10.155,207919,CLBR
10.14,10.155,10.14,10.155,10.155,73931,CLBR
10.14,10.15,10.14,10.15,10.15,109683,CLBR
10.18,10.18,10.15,10.1501,10.1501,9311,CLBR
10.22,10.22,10.16,10.1688,10.1688,4532,CLBR
10.17,10.17,10.1513,10.1699,10.1699,10246,CLBR
10.15,10.18,10.14,10.17,10.17,100177,CLBR
10.15,10.15,10.13,10.15,10.15,139268,CLBR
10.15,10.15,10.13,10.139,10.139,5330,CLBR
10.15,10.15,10.13,10.135,10.135,10564,CLBR
10.13,10.14,10.13,10.135,10.135,221724,CLBR
10.12,10.14,10.12,10.14,10.14,72170,CLBR
10.12,10.14,10.12,10.1223,10.1223,810276,CLBR
10.14,10.15,10.1101,10.125,10.125,122081,CLBR
10.14,10.149,10.135,10.145,10.145,62276,CLBR
10.14,10.145,10.13,10.14,10.14,297238,CLBR
10.15,10.15,10.13,10.14,10.14,245186,CLBR
10.15,10.15,10.13,10.14,10.14,12951,CLBR
10.1,10.14,10.1,10.13,10.13,49545,CLBR
10.13,10.14,10.125,10.14,10.14,263531,CLBR
10.16,10.16,10.1215,10.125,10.125,167958,CLBR
10.13,10.14,10.12,10.13,10.13,163384,CLBR
10.16,10.16,10.13,10.14,10.14,364095,CLBR
10.13,10.1447,10.13,10.1447,10.1447,8389,CLBR
10.15,10.15,10.12,10.13,10.13,1692910,CLBR
10.13,10.14,10.11,10.14,10.14,3199895,CLBR
10.15,10.15,10.12,10.125,10.125,13914,CLBR
10.12,10.13,10.12,10.1286,10.1286,24049,CLBR
10.1,10.12,10.1,10.12,10.12,8015,CLBR
10.12,10.12,10.1,10.115,10.115,51992,CLBR
10.11,10.14,10.1,10.11,10.11,82492,CLBR
10.09,10.12,10.09,10.11,10.11,26514,CLBR
10.1,10.13,10.0604,10.12,10.12,83826,CLBR
10.1,10.13,10.1,10.12,10.12,345218,CLBR
10.1,10.13,10.1,10.13,10.13,33279,CLBR
10.13,10.14,10.12,10.12,10.12,42125,CLBR
10.14,10.14,10.12,10.125,10.125,149137,CLBR
10.13,10.15,10.1,10.15,10.15,150026,CLBR
10.12,10.14,10.1,10.124,10.124,1269510,CLBR
10.12,10.13,10.1,10.115,10.115,194658,CLBR
10.14,10.14,10.0901,10.12,10.12,185835,CLBR
10.2,10.2,10.13,10.135,10.135,670865,CLBR
10.11,10.15,10.11,10.115,10.115,117053,CLBR
10.08,10.08,10.07,10.075,10.075,6668,CLBR
10.07,10.08,10.07,10.08,10.08,42391,CLBR
10.06,10.06,10.06,10.06,10.06,500,CLBR
10.06,10.07,10.06,10.07,10.07,25058,CLBR
10.07,10.07,10.07,10.07,10.07,81,CLBR
10.07,10.08,10.065,10.07,10.07,33078,CLBR
10.05,10.06,10.05,10.06,10.06,2872,CLBR
10.1,10.1,10.04,10.07,10.07,4421,CLBR
10.03,10.06,10.03,10.05,10.05,15391,CLBR
10.09,10.09,10.06,10.06,10.06,301,CLBR
10.03,10.05,10.03,10.05,10.05,155832,CLBR
10.03,10.03,10.03,10.03,10.03,175,CLBR
10.0699,10.0699,10.0699,10.0699,10.0699,0,CLBR
10.0546,10.07,10.045,10.0699,10.0699,61135,CLBR
10.03,10.03,10.03,10.03,10.03,156,CLBR
10.07,10.07,10.05,10.05,10.05,724,CLBR
10.07,10.07,10.03,10.05,10.05,341,CLBR
10.07,10.07,10.02,10.05,10.05,507,CLBR
10.07,10.07,10.02,10.03,10.03,5729,CLBR
10.03,10.03,10.03,10.03,10.03,0,CLBR
10.02,10.03,10.02,10.03,10.03,775,CLBR
10.12,10.12,10.025,10.03,10.03,225009,CLBR
10.02,10.02,10.02,10.02,10.02,1,CLBR
10.01,10.0308,10.01,10.02,10.02,42707,CLBR
10.03,10.03,10.015,10.02,10.02,312372,CLBR
10.02,10.02,10.01,10.0199,10.0199,20401,CLBR
9.99,10.03,9.99,10.02,10.02,18476,CLBR
9.99,10.0101,9.99,10.0101,10.0101,6866,CLBR
10.02,10.02,10.0,10.01,10.01,7152,CLBR
10.01,10.01,9.985,9.99,9.99,5118,CLBR
10.02,10.02,9.97,9.99,9.99,1219,CLBR
10.02,10.02,9.97,9.97,9.97,70129,CLBR
9.97,9.97,9.97,9.97,9.97,20,CLBR
9.97,9.97,9.97,9.97,9.97,22,CLBR
9.965,9.99,9.965,9.97,9.97,48190,CLBR
9.98,9.98,9.95,9.96,9.96,47728,CLBR
9.93,9.96,9.93,9.96,9.96,26173,CLBR
9.94,9.94,9.93,9.94,9.94,3623,CLBR
9.92,9.92,9.91,9.91,9.91,4507,CLBR
9.92,9.96,9.92,9.96,9.96,3900,CLBR
9.93,9.93,9.93,9.93,9.93,200,CLBR
9.9,9.935,9.9,9.91,9.91,2601,CLBR
9.94,9.955,9.92,9.95,9.95,8085,CLBR
9.89,9.96,9.89,9.96,9.96,400,CLBR
9.9001,9.9001,9.9001,9.9001,9.9001,426,CLBR
9.92,9.93,9.91,9.93,9.93,11680,CLBR
9.92,9.95,9.91,9.91,9.91,104934,CLBR
9.9,9.92,9.9,9.91,9.91,4717,CLBR
9.915,9.915,9.915,9.915,9.915,0,CLBR
9.9,9.93,9.9,9.915,9.915,112118,CLBR
9.89,9.92,9.89,9.91,9.91,271786,CLBR
9.9,9.9,9.9,9.9,9.9,237,CLBR
9.89,9.89,9.89,9.89,9.89,1707,CLBR
9.895,9.9,9.89,9.89,9.89,10634,CLBR
9.9,9.9,9.89,9.89,9.89,410,CLBR
9.87,9.9,9.87,9.9,9.9,4415,CLBR
9.85,9.85,9.85,9.85,9.85,100,CLBR
9.86,9.86,9.83,9.83,9.83,4627,CLBR
9.88,9.88,9.88,9.88,9.88,1,CLBR
9.84,9.88,9.84,9.88,9.88,24443,CLBR
9.83,9.83,9.83,9.83,9.83,110,CLBR
9.83,9.83,9.825,9.83,9.83,1067,CLBR
9.85,9.85,9.85,9.85,9.85,0,CLBR
9.82,9.875,9.82,9.85,9.85,17660,CLBR
9.84,9.84,9.81,9.81,9.81,17669,CLBR
9.84,9.865,9.84,9.84,9.84,64509,CLBR
9.85,9.865,9.84,9.84,9.84,116805,CLBR
9.84,9.85,9.84,9.85,9.85,700,CLBR
9.84,9.86,9.83,9.83,9.83,937,CLBR
9.84,9.84,9.83,9.83,9.83,54693,CLBR
9.98,9.98,9.82,9.84,9.84,4282,CLBR
9.82,9.82,9.82,9.82,9.82,578,CLBR
9.85,9.85,9.84,9.84,9.84,414,CLBR
9.87,9.87,9.87,9.87,9.87,1,CLBR
9.84,9.87,9.84,9.87,9.87,30300,CLBR
9.82,9.82,9.8136,9.8136,9.8136,219,CLBR
9.84,9.84,9.82,9.84,9.84,92075,CLBR
9.83,9.83,9.83,9.83,9.83,0,CLBR
9.83,9.83,9.815,9.83,9.83,24555,CLBR
9.82,9.82,9.82,9.82,9.82,0,CLBR
9.78,9.83,9.78,9.82,9.82,12872,CLBR
9.8,9.8,9.8,9.8,9.8,62,CLBR
9.78,9.8,9.76,9.8,9.8,8539,CLBR
9.79,9.79,9.79,9.79,9.79,200,CLBR
9.8,9.82,9.8,9.81,9.81,63080,CLBR
9.76,9.81,9.76,9.795,9.795,63366,CLBR
9.75,9.75,9.75,9.75,9.75,0,CLBR
9.77,9.77,9.75,9.75,9.75,1305,CLBR
9.76,9.76,9.72,9.76,9.76,9001,CLBR
9.85,9.85,9.77,9.77,9.77,700,CLBR
