date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2023-05-09,4.59,4.71,4.46,4.65,4.65,166865,0.0000,1.0,FEAM
2023-05-08,4.66,4.75,4.45,4.63,4.63,193174,0.0000,1.0,FEAM
2023-05-05,4.75,4.75,4.36,4.62,4.62,145849,0.0000,1.0,FEAM
2023-05-04,4.64,4.7,4.55,4.65,4.65,213134,0.0000,1.0,FEAM
2023-05-03,4.22,4.67,4.22,4.6,4.6,343609,0.0000,1.0,FEAM
2023-05-02,4.08,4.22,3.95,4.18,4.18,607004,0.0000,1.0,FEAM
2023-05-01,4.23,4.26,3.84,4.07,4.07,425612,0.0000,1.0,FEAM
2023-04-28,4.22,4.345,4.04,4.22,4.22,538026,0.0000,1.0,FEAM
2023-04-27,3.86,4.15,3.76,4.13,4.13,398044,0.0000,1.0,FEAM
2023-04-26,4.12,4.2,3.8,3.86,3.86,585228,0.0000,1.0,FEAM
2023-04-25,4.14,4.275,3.99,4.15,4.15,515474,0.0000,1.0,FEAM
2023-04-24,4.42,4.43,4.19,4.24,4.24,156175,0.0000,1.0,FEAM
2023-04-21,4.69,4.69,4.17,4.415,4.415,467482,0.0000,1.0,FEAM
2023-04-20,5.2,5.341,4.69,4.785,4.785,192657,0.0000,1.0,FEAM
2023-04-19,5.03,5.31,4.81,5.24,5.24,269818,0.0000,1.0,FEAM
2023-04-18,5.5,5.5,5.01,5.12,5.12,203435,0.0000,1.0,FEAM
2023-04-17,5.41,5.43,5.15,5.32,5.32,115688,0.0000,1.0,FEAM
2023-04-14,5.61,5.69,5.29,5.4,5.4,192749,0.0000,1.0,FEAM
2023-04-13,5.79,6.18,5.57,5.61,5.61,190309,0.0000,1.0,FEAM
2023-04-12,5.58,6.09,5.56,5.72,5.72,314696,0.0000,1.0,FEAM
2023-04-11,4.9,5.25,4.81,5.12,5.12,189920,0.0000,1.0,FEAM
2023-04-10,4.57,4.8,4.4501,4.77,4.77,150103,0.0000,1.0,FEAM
2023-04-06,4.69,4.69,4.39,4.61,4.61,240187,0.0000,1.0,FEAM
2023-04-05,5.04,5.075,4.63,4.71,4.71,224292,0.0000,1.0,FEAM
2023-04-04,5.08,5.13,4.83,5.1,5.1,245839,0.0000,1.0,FEAM
2023-04-03,5.43,5.49,5.035,5.22,5.22,328936,0.0000,1.0,FEAM
2023-03-31,5.34,5.54,5.24,5.42,5.42,226182,0.0000,1.0,FEAM
2023-03-30,5.25,5.44,5.23,5.3,5.3,1032186,0.0000,1.0,FEAM
2023-03-29,5.24,5.42,5.03,5.23,5.23,333989,0.0000,1.0,FEAM
2023-03-28,5.25,5.555,5.07,5.29,5.29,378137,0.0000,1.0,FEAM
2023-03-27,5.4,5.64,5.2,5.23,5.23,235976,0.0000,1.0,FEAM
2023-03-24,5.37,5.515,5.07,5.35,5.35,252265,0.0000,1.0,FEAM
2023-03-23,5.62,5.64,5.26,5.39,5.39,193847,0.0000,1.0,FEAM
2023-03-22,5.91,6.11,5.57,5.59,5.59,207496,0.0000,1.0,FEAM
2023-03-21,6.11,6.14,5.3603,5.92,5.92,227043,0.0000,1.0,FEAM
2023-03-20,5.89,6.03,5.42,5.93,5.93,250471,0.0000,1.0,FEAM
2023-03-17,6.38,6.38,5.945,6.16,6.16,1097424,0.0000,1.0,FEAM
2023-03-16,6.31,6.68,5.825,6.43,6.43,279308,0.0000,1.0,FEAM
2023-03-15,6.89,6.92,6.165,6.69,6.69,241396,0.0000,1.0,FEAM
2023-03-14,7.21,7.41,6.9075,7.25,7.25,195489,0.0000,1.0,FEAM
2023-03-13,6.53,7.35,6.365,7.19,7.19,194677,0.0000,1.0,FEAM
2023-03-10,7.05,7.05,6.64,6.73,6.73,189052,0.0000,1.0,FEAM
2023-03-09,7.23,7.45,7.15,7.17,7.17,147795,0.0000,1.0,FEAM
2023-03-08,7.36,7.36,6.89,7.23,7.23,119577,0.0000,1.0,FEAM
2023-03-07,8.1,8.46,7.21,7.36,7.36,383892,0.0000,1.0,FEAM
2023-03-06,7.57,8.0,7.57,7.83,7.83,221378,0.0000,1.0,FEAM
2023-03-03,7.05,7.5,6.93,7.48,7.48,137971,0.0000,1.0,FEAM
2023-03-02,6.78,7.02,6.71,6.98,6.98,100430,0.0000,1.0,FEAM
2023-03-01,6.76,7.0387,6.7322,6.88,6.88,136726,0.0000,1.0,FEAM
2023-02-28,7.13,7.155,6.7,6.76,6.76,149353,0.0000,1.0,FEAM
2023-02-27,7.24,7.33,7.0391,7.13,7.13,117560,0.0000,1.0,FEAM
2023-02-24,7.15,7.27,6.89,7.22,7.22,123628,0.0000,1.0,FEAM
2023-02-23,7.38,7.4985,6.91,7.29,7.29,167092,0.0000,1.0,FEAM
2023-02-22,7.74,7.75,6.9835,7.22,7.22,199964,0.0000,1.0,FEAM
2023-02-21,8.32,8.565,7.72,7.72,7.72,187278,0.0000,1.0,FEAM
2023-02-17,7.74,7.82,7.32,7.78,7.78,161252,0.0000,1.0,FEAM
2023-02-16,8.12,8.12,7.66,7.69,7.69,185900,0.0000,1.0,FEAM
2023-02-15,8.2,8.45,8.01,8.2,8.2,170946,0.0000,1.0,FEAM
2023-02-14,8.0,8.25,7.89,8.19,8.19,133901,0.0000,1.0,FEAM
2023-02-13,8.07,8.2173,7.93,8.12,8.12,83807,0.0000,1.0,FEAM
2023-02-10,8.5,8.59,7.645,8.05,8.05,145763,0.0000,1.0,FEAM
2023-02-09,8.66,8.89,8.46,8.52,8.52,112060,0.0000,1.0,FEAM
2023-02-08,8.68,8.8,8.34,8.51,8.51,116793,0.0000,1.0,FEAM
2023-02-07,8.95,8.95,8.27,8.65,8.65,138983,0.0000,1.0,FEAM
2023-02-06,9.46,9.5,8.68,8.91,8.91,143506,0.0000,1.0,FEAM
2023-02-03,9.36,9.79,8.7,9.5,9.5,135908,0.0000,1.0,FEAM
2023-02-02,9.55,9.69,9.12,9.52,9.52,147488,0.0000,1.0,FEAM
2023-02-01,9.85,9.9,8.7,9.41,9.41,178909,0.0000,1.0,FEAM
2023-01-31,9.8,9.985,9.575,9.85,9.85,126497,0.0000,1.0,FEAM
2023-01-30,10.5,10.5,9.61,9.79,9.79,108545,0.0000,1.0,FEAM
2023-01-27,10.82,10.95,10.48,10.72,10.72,73975,0.0000,1.0,FEAM
2023-01-26,10.89,11.25,10.54,10.84,10.84,89357,0.0000,1.0,FEAM
2023-01-25,10.53,10.85,10.05,10.79,10.79,81267,0.0000,1.0,FEAM
2023-01-24,10.65,10.78,10.39,10.69,10.69,95984,0.0000,1.0,FEAM
2023-01-23,10.53,10.89,10.29,10.73,10.73,153197,0.0000,1.0,FEAM
2023-01-20,10.46,10.83,10.07,10.53,10.53,145841,0.0000,1.0,FEAM
2023-01-19,10.74,10.74,9.62,10.33,10.33,149719,0.0000,1.0,FEAM
2023-01-18,11.04,11.24,10.49,10.83,10.83,112137,0.0000,1.0,FEAM
2023-01-17,12.04,12.04,10.53,11.0,11.0,141622,0.0000,1.0,FEAM
2023-01-13,10.95,11.88,10.93,11.68,11.68,137990,0.0000,1.0,FEAM
2023-01-12,10.58,11.195,10.44,11.0,11.0,109164,0.0000,1.0,FEAM
2023-01-11,10.16,10.49,9.91,10.46,10.46,122227,0.0000,1.0,FEAM
2023-01-10,9.63,10.1,9.57,10.04,10.04,110606,0.0000,1.0,FEAM
2023-01-09,9.51,9.87,9.47,9.6,9.6,101072,0.0000,1.0,FEAM
2023-01-06,8.95,9.78,8.89,9.34,9.34,138271,0.0000,1.0,FEAM
2023-01-05,8.41,8.94,8.31,8.83,8.83,112317,0.0000,1.0,FEAM
2023-01-04,7.91,8.65,7.81,8.59,8.59,165432,0.0000,1.0,FEAM
2023-01-03,7.96,8.265,7.5,7.83,7.83,198653,0.0000,1.0,FEAM
2022-12-30,7.52,8.04,7.3,7.88,7.88,162931,0.0000,1.0,FEAM
2022-12-29,7.52,7.93,7.27,7.6,7.6,958693,0.0000,1.0,FEAM
2022-12-28,7.75,7.86,7.07,7.42,7.42,213288,0.0000,1.0,FEAM
2022-12-27,8.16,8.24,7.65,7.74,7.74,269008,0.0000,1.0,FEAM
2022-12-23,8.53,8.77,8.06,8.14,8.14,223076,0.0000,1.0,FEAM
2022-12-22,7.86,8.96,7.805,8.53,8.53,343143,0.0000,1.0,FEAM
2022-12-21,7.82,7.95,7.45,7.84,7.84,142694,0.0000,1.0,FEAM
2022-12-20,7.61,7.9,7.39,7.64,7.64,131465,0.0000,1.0,FEAM
2022-12-19,8.23,8.36,7.43,7.73,7.73,139066,0.0000,1.0,FEAM
2022-12-16,8.29,8.35,7.84,8.26,8.26,809293,0.0000,1.0,FEAM
2022-12-15,8.79,8.79,8.28,8.59,8.59,174626,0.0000,1.0,FEAM
2022-12-14,9.18,9.18,8.62,8.87,8.87,136079,0.0000,1.0,FEAM
2022-12-13,9.33,9.73,8.8,9.12,9.12,163896,0.0000,1.0,FEAM
2022-12-12,8.83,9.38,8.7,8.91,8.91,173952,0.0000,1.0,FEAM
2022-12-09,9.2,9.32,8.58,8.67,8.67,136777,0.0000,1.0,FEAM
2022-12-08,8.69,9.16,8.48,8.85,8.85,119482,0.0000,1.0,FEAM
2022-12-07,8.6,9.13,8.55,8.66,8.66,147905,0.0000,1.0,FEAM
2022-12-06,9.25,9.2778,8.35,8.56,8.56,153594,0.0000,1.0,FEAM
2022-12-05,9.51,9.78,9.15,9.3,9.3,160191,0.0000,1.0,FEAM
2022-12-02,9.55,10.305,9.5,9.7,9.7,146729,0.0000,1.0,FEAM
2022-12-01,10.3,10.4,9.275,9.51,9.51,181087,0.0000,1.0,FEAM
2022-11-30,10.53,11.49,10.31,11.2,11.2,292895,0.0000,1.0,FEAM
2022-11-29,10.28,10.71,10.28,10.53,10.53,79631,0.0000,1.0,FEAM
2022-11-28,11.18,11.19,10.142,10.25,10.25,148481,0.0000,1.0,FEAM
2022-11-25,11.91,11.92,11.0,11.63,11.63,43997,0.0000,1.0,FEAM
2022-11-23,12.0,12.555,11.375,11.99,11.99,127765,0.0000,1.0,FEAM
2022-11-22,12.33,12.8,11.7,12.65,12.65,175181,0.0000,1.0,FEAM
2022-11-21,10.88,12.41,10.755,12.16,12.16,359665,0.0000,1.0,FEAM
2022-11-18,11.9,11.9,10.8,10.93,10.93,101648,0.0000,1.0,FEAM
2022-11-17,11.3,11.8,11.21,11.72,11.72,99756,0.0000,1.0,FEAM
2022-11-16,12.08,12.08,11.15,11.49,11.49,109176,0.0000,1.0,FEAM
2022-11-15,11.93,12.47,11.72,12.41,12.41,104665,0.0000,1.0,FEAM
2022-11-14,12.5,13.0375,11.01,11.65,11.65,186877,0.0000,1.0,FEAM
2022-11-11,13.54,13.9,12.255,12.57,12.57,152833,0.0000,1.0,FEAM
2022-11-10,13.05,14.37,12.92,13.8,13.8,198120,0.0000,1.0,FEAM
2022-11-09,12.9,12.9,12.215,12.28,12.28,88174,0.0000,1.0,FEAM
2022-11-08,12.9,13.21,11.9303,13.19,13.19,112641,0.0000,1.0,FEAM
2022-11-07,13.31,13.75,13.12,13.39,13.39,121093,0.0000,1.0,FEAM
2022-11-04,13.12,13.5,12.5,13.14,13.14,129136,0.0000,1.0,FEAM
2022-11-03,12.04,12.655,11.9,12.62,12.62,63790,0.0000,1.0,FEAM
2022-11-02,13.55,14.0,12.51,12.59,12.59,115058,0.0000,1.0,FEAM
2022-11-01,13.67,13.96,13.17,13.62,13.62,172857,0.0000,1.0,FEAM
2022-10-31,12.81,13.445,12.64,13.38,13.38,177055,0.0000,1.0,FEAM
2022-10-28,12.47,13.07,12.23,12.94,12.94,129251,0.0000,1.0,FEAM
2022-10-27,12.59,13.01,11.99,12.4,12.4,197718,0.0000,1.0,FEAM
2022-10-26,11.78,12.73,11.78,12.22,12.22,135253,0.0000,1.0,FEAM
2022-10-25,10.99,11.89,10.65,11.66,11.66,156477,0.0000,1.0,FEAM
2022-10-24,11.25,11.44,10.55,11.26,11.26,133332,0.0000,1.0,FEAM
2022-10-21,11.36,11.41,10.67,11.37,11.37,177311,0.0000,1.0,FEAM
2022-10-20,12.0,12.11,10.87,11.18,11.18,124366,0.0000,1.0,FEAM
2022-10-19,11.64,12.16,11.38,12.08,12.08,143511,0.0000,1.0,FEAM
2022-10-18,11.85,12.46,11.58,11.9,11.9,160566,0.0000,1.0,FEAM
2022-10-17,10.6,11.63,10.4,11.57,11.57,182120,0.0000,1.0,FEAM
2022-10-14,10.86,10.86,10.2,10.4,10.4,110331,0.0000,1.0,FEAM
2022-10-13,9.93,10.64,9.61,10.59,10.59,212180,0.0000,1.0,FEAM
2022-10-12,9.99,10.17,9.62,10.14,10.14,118122,0.0000,1.0,FEAM
2022-10-11,10.0,10.2,9.685,9.97,9.97,161441,0.0000,1.0,FEAM
2022-10-10,10.46,10.615,9.915,10.11,10.11,232794,0.0000,1.0,FEAM
2022-10-07,11.47,11.47,9.935,10.16,10.16,236207,0.0000,1.0,FEAM
2022-10-06,12.86,13.26,11.575,11.7,11.7,285174,0.0000,1.0,FEAM
2022-10-05,13.49,13.69,12.36,13.2,13.2,253981,0.0000,1.0,FEAM
2022-10-04,11.09,13.75,11.0861,13.69,13.69,257544,0.0000,1.0,FEAM
2022-10-03,10.18,10.96,9.02,10.65,10.65,417009,0.0000,1.0,FEAM
2022-09-30,13.57,14.09,9.43,10.16,10.16,676175,0.0000,1.0,FEAM
2022-09-29,15.1,15.215,13.37,14.03,14.03,1621795,0.0000,1.0,FEAM
2022-09-28,14.83,15.8,14.62,15.6,15.6,291642,0.0000,1.0,FEAM
