date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2023-05-10,16.75,16.87,16.31,16.61,16.61,99207,0.0000,1.0,LMNR
2023-05-09,16.7,16.835,16.59,16.74,16.74,34945,0.0000,1.0,LMNR
2023-05-08,16.8,16.87,16.73,16.82,16.82,35095,0.0000,1.0,LMNR
2023-05-05,16.68,17.09,16.68,16.86,16.86,41380,0.0000,1.0,LMNR
2023-05-04,16.79,16.92,16.65,16.67,16.67,117674,0.0000,1.0,LMNR
2023-05-03,16.89,17.0,16.73,16.76,16.76,29130,0.0000,1.0,LMNR
2023-05-02,17.09,17.09,16.8,16.8,16.8,44871,0.0000,1.0,LMNR
2023-05-01,16.78,17.16,16.78,17.13,17.13,39068,0.0000,1.0,LMNR
2023-04-28,16.91,17.12,16.55,16.71,16.71,64156,0.0000,1.0,LMNR
2023-04-27,17.19,17.33,16.79,16.84,16.84,35552,0.0000,1.0,LMNR
2023-04-26,16.81,17.12,16.675,17.0,17.0,58754,0.0000,1.0,LMNR
2023-04-25,17.02,17.0623,16.62,16.77,16.77,56397,0.0000,1.0,LMNR
2023-04-24,17.1,17.28,16.82,17.08,17.08,76852,0.0000,1.0,LMNR
2023-04-21,16.82,17.15,16.82,17.0,17.0,27238,0.0000,1.0,LMNR
2023-04-20,16.86,17.02,16.74,16.83,16.83,36805,0.0000,1.0,LMNR
2023-04-19,17.03,17.13,16.89,17.06,17.06,28468,0.0000,1.0,LMNR
2023-04-18,17.46,17.46,16.91,17.01,17.01,56575,0.0000,1.0,LMNR
2023-04-17,17.71,17.86,17.46,17.49,17.49,44241,0.0000,1.0,LMNR
2023-04-14,17.55,17.74,17.45,17.7,17.7,70970,0.0000,1.0,LMNR
2023-04-13,17.69,17.84,17.49,17.49,17.49,45143,0.0000,1.0,LMNR
2023-04-12,17.65,17.69,17.27,17.59,17.59,56286,0.0000,1.0,LMNR
2023-04-11,17.69,17.89,17.41,17.73,17.73,221956,0.0000,1.0,LMNR
2023-04-10,17.3,17.8999,17.285,17.63,17.63,95651,0.0000,1.0,LMNR
2023-04-06,16.83,17.48,16.69,17.41,17.41,95741,0.0000,1.0,LMNR
2023-04-05,16.28,16.53,16.11,16.4,16.4,48204,0.0000,1.0,LMNR
2023-04-04,16.51,16.6181,16.28,16.42,16.42,62202,0.0000,1.0,LMNR
2023-04-03,16.54,16.75,16.41,16.65,16.65,47556,0.0750,1.0,LMNR
2023-03-31,16.62,16.7368,16.28,16.66,16.5852914798206,81037,0.0000,1.0,LMNR
2023-03-30,16.1,16.59,16.1,16.56,16.4857399103139,67772,0.0000,1.0,LMNR
2023-03-29,16.5,16.567,16.09,16.09,16.0178475336323,33611,0.0000,1.0,LMNR
2023-03-28,16.26,16.6,16.26,16.46,16.3861883408072,28890,0.0000,1.0,LMNR
