1. open,2. high,3. low,4. close,5. adjusted close,6. volume,ticker
10.52,10.53,10.515,10.53,10.53,100302,MNTN
10.51,10.52,10.51,10.51,10.51,230151,MNTN
10.51,10.51,10.51,10.51,10.51,104121,MNTN
10.51,10.51,10.51,10.51,10.51,257635,MNTN
10.51,10.51,10.51,10.51,10.51,9853,MNTN
10.51,10.52,10.505,10.51,10.51,360322,MNTN
10.5001,10.51,10.5,10.505,10.505,110697,MNTN
10.5,10.5125,10.5,10.51,10.51,216609,MNTN
10.49,10.5126,10.49,10.49,10.49,140690,MNTN
10.48,10.5,10.48,10.48,10.48,400000,MNTN
10.48,10.48,10.48,10.48,10.48,3835,MNTN
10.48,10.49,10.48,10.49,10.49,8706,MNTN
10.48,10.48,10.48,10.48,10.48,1400,MNTN
10.48,10.48,10.475,10.475,10.475,24636,MNTN
10.485,10.485,10.48,10.48,10.48,271648,MNTN
10.49,10.49,10.475,10.48,10.48,61938,MNTN
10.48,10.485,10.48,10.48,10.48,86253,MNTN
10.48,10.5,10.48,10.5,10.5,202,MNTN
10.51,10.51,10.51,10.51,10.51,105,MNTN
10.47,10.48,10.47,10.48,10.48,24583,MNTN
10.47,10.48,10.47,10.47,10.47,109448,MNTN
10.47,10.47,10.46,10.47,10.47,29596,MNTN
10.47,10.47,10.46,10.46,10.46,387939,MNTN
10.46,10.46,10.44,10.46,10.46,31376,MNTN
10.46,10.47,10.46,10.46,10.46,4174,MNTN
10.48,10.48,10.48,10.48,10.48,27,MNTN
10.48,10.48,10.48,10.48,10.48,64,MNTN
10.48,10.48,10.48,10.48,10.48,106,MNTN
10.45,10.46,10.45,10.46,10.46,27758,MNTN
10.45,10.46,10.45,10.45,10.45,43500,MNTN
10.45,10.46,10.45,10.46,10.46,485870,MNTN
10.45,10.45,10.44,10.445,10.445,3033,MNTN
10.445,10.445,10.445,10.445,10.445,50000,MNTN
10.44,10.44,10.44,10.44,10.44,1,MNTN
10.44,10.44,10.44,10.44,10.44,5,MNTN
10.44,10.44,10.44,10.44,10.44,101,MNTN
10.44,10.44,10.44,10.44,10.44,362955,MNTN
10.43,10.44,10.43,10.44,10.44,335227,MNTN
10.44,10.44,10.43,10.435,10.435,5761,MNTN
10.44,10.44,10.44,10.44,10.44,2020,MNTN
10.43,10.45,10.43,10.43,10.43,52311,MNTN
10.43,10.43,10.43,10.43,10.43,180000,MNTN
10.43,10.44,10.43,10.43,10.43,104800,MNTN
10.43,10.43,10.42,10.43,10.43,96100,MNTN
10.4,10.42,10.4,10.41,10.41,157229,MNTN
10.4,10.4,10.4,10.4,10.4,2218,MNTN
10.4,10.4,10.4,10.4,10.4,10,MNTN
10.39,10.415,10.39,10.4,10.4,5703,MNTN
10.395,10.395,10.39,10.39,10.39,2900,MNTN
10.3718,10.3718,10.3718,10.3718,10.3718,0,MNTN
10.3718,10.3718,10.3718,10.3718,10.3718,12,MNTN
10.3718,10.3718,10.3718,10.3718,10.3718,10,MNTN
10.36,10.38,10.35,10.3718,10.3718,62851,MNTN
10.36,10.36,10.3301,10.3301,10.3301,404,MNTN
10.36,10.36,10.36,10.36,10.36,106,MNTN
10.34,10.34,10.33,10.33,10.33,1650,MNTN
10.34,10.34,10.33,10.33,10.33,38842,MNTN
10.33,10.33,10.33,10.33,10.33,2081,MNTN
10.33,10.33,10.33,10.33,10.33,12,MNTN
10.33,10.33,10.33,10.33,10.33,2,MNTN
10.34,10.34,10.33,10.33,10.33,838,MNTN
10.33,10.34,10.33,10.34,10.34,520,MNTN
10.33,10.35,10.33,10.33,10.33,43411,MNTN
10.34,10.34,10.335,10.335,10.335,19406,MNTN
10.33,10.33,10.33,10.33,10.33,100,MNTN
10.33,10.33,10.33,10.33,10.33,50612,MNTN
10.33,10.33,10.32,10.33,10.33,68240,MNTN
10.33,10.33,10.33,10.33,10.33,22760,MNTN
10.32,10.32,10.31,10.32,10.32,45650,MNTN
10.33,10.33,10.32,10.32,10.32,50330,MNTN
10.32,10.32,10.32,10.32,10.32,14783,MNTN
10.32,10.3201,10.31,10.32,10.32,15635,MNTN
10.31,10.31,10.31,10.31,10.31,324544,MNTN
10.3,10.32,10.3,10.3127,10.3127,312328,MNTN
10.3,10.3,10.3,10.3,10.3,507,MNTN
10.31,10.32,10.3,10.3,10.3,143440,MNTN
10.29,10.29,10.29,10.29,10.29,6,MNTN
10.28,10.29,10.28,10.29,10.29,684937,MNTN
10.26,10.26,10.26,10.26,10.26,5,MNTN
10.26,10.26,10.26,10.26,10.26,1,MNTN
10.26,10.26,10.26,10.26,10.26,7,MNTN
10.26,10.26,10.26,10.26,10.26,0,MNTN
10.28,10.28,10.26,10.26,10.26,2410,MNTN
10.25,10.26,10.25,10.26,10.26,14191,MNTN
10.24,10.24,10.24,10.24,10.24,1006,MNTN
10.25,10.26,10.25,10.25,10.25,1252,MNTN
10.25,10.25,10.24,10.245,10.245,20188,MNTN
10.24,10.24,10.24,10.24,10.24,301,MNTN
10.23,10.23,10.23,10.23,10.23,1752,MNTN
10.15,10.21,10.14,10.21,10.21,124182,MNTN
10.185,10.19,10.185,10.19,10.19,3202,MNTN
10.18,10.18,10.18,10.18,10.18,1,MNTN
10.18,10.18,10.18,10.18,10.18,0,MNTN
10.13,10.18,10.13,10.18,10.18,40879,MNTN
10.14,10.14,10.14,10.14,10.14,0,MNTN
10.14,10.14,10.14,10.14,10.14,186,MNTN
10.18,10.18,10.16,10.17,10.17,16472,MNTN
10.17,10.17,10.17,10.17,10.17,2,MNTN
10.17,10.17,10.17,10.17,10.17,1,MNTN
10.17,10.17,10.17,10.17,10.17,0,MNTN
