date, open, high, low, close, adjusted close, volume, dividend amount, split coefficient,ticker
2023-05-09,6.57,7.42,5.92,7.27,7.27,194363,0.0000,1.0,OLMA
2023-05-08,6.45,6.8399,6.33,6.57,6.57,232958,0.0000,1.0,OLMA
2023-05-05,6.64,6.8988,6.44,6.66,6.66,238606,0.0000,1.0,OLMA
2023-05-04,6.02,6.58,5.87,6.35,6.35,272056,0.0000,1.0,OLMA
2023-05-03,5.37,6.08,5.1601,5.98,5.98,392764,0.0000,1.0,OLMA
2023-05-02,5.25,5.5899,5.0,5.47,5.47,295177,0.0000,1.0,OLMA
2023-05-01,4.75,5.605,4.6,5.43,5.43,296853,0.0000,1.0,OLMA
2023-04-28,4.63,4.9264,4.37,4.79,4.79,231244,0.0000,1.0,OLMA
2023-04-27,4.35,4.66,4.26,4.63,4.63,66535,0.0000,1.0,OLMA
2023-04-26,4.0,4.435,3.93,4.34,4.34,88694,0.0000,1.0,OLMA
2023-04-25,4.01,4.11,3.95,4.08,4.08,99365,0.0000,1.0,OLMA
2023-04-24,4.16,4.24,4.03,4.04,4.04,24467,0.0000,1.0,OLMA
2023-04-21,4.09,4.19,3.86,4.15,4.15,100417,0.0000,1.0,OLMA
2023-04-20,3.93,4.2,3.85,4.12,4.12,67637,0.0000,1.0,OLMA
2023-04-19,3.64,4.105,3.64,4.0,4.0,124273,0.0000,1.0,OLMA
2023-04-18,3.74,3.92,3.55,3.7,3.7,273035,0.0000,1.0,OLMA
2023-04-17,3.63,3.8499,3.55,3.7,3.7,118614,0.0000,1.0,OLMA
2023-04-14,3.89,3.93,3.55,3.66,3.66,85279,0.0000,1.0,OLMA
2023-04-13,3.54,3.98,3.53,3.79,3.79,566574,0.0000,1.0,OLMA
2023-04-12,3.35,3.52,3.33,3.52,3.52,322517,0.0000,1.0,OLMA
2023-04-11,3.37,3.445,3.21,3.3,3.3,131731,0.0000,1.0,OLMA
2023-04-10,3.25,3.44,3.25,3.28,3.28,98617,0.0000,1.0,OLMA
2023-04-06,3.24,3.4199,3.0,3.29,3.29,1672647,0.0000,1.0,OLMA
2023-04-05,3.29,3.29,3.2,3.22,3.22,43606,0.0000,1.0,OLMA
2023-04-04,3.5,3.5423,3.06,3.24,3.24,126371,0.0000,1.0,OLMA
2023-04-03,3.51,3.67,3.4,3.49,3.49,106174,0.0000,1.0,OLMA
2023-03-31,3.56,3.7055,3.42,3.47,3.47,392731,0.0000,1.0,OLMA
2023-03-30,3.63,3.7499,3.42,3.54,3.54,198891,0.0000,1.0,OLMA
2023-03-29,3.45,3.7498,3.3638,3.63,3.63,372798,0.0000,1.0,OLMA
2023-03-28,3.51,3.65,3.395,3.51,3.51,90954,0.0000,1.0,OLMA
2023-03-27,3.6,3.6596,3.37,3.45,3.45,58691,0.0000,1.0,OLMA
2023-03-24,3.46,3.715,3.4,3.6,3.6,144587,0.0000,1.0,OLMA
2023-03-23,3.41,3.665,3.38,3.53,3.53,73439,0.0000,1.0,OLMA
2023-03-22,3.67,3.6998,3.41,3.41,3.41,108772,0.0000,1.0,OLMA
2023-03-21,3.7,3.82,3.55,3.64,3.64,113115,0.0000,1.0,OLMA
2023-03-20,3.63,3.852,3.43,3.61,3.61,77873,0.0000,1.0,OLMA
2023-03-17,3.75,3.87,3.51,3.63,3.63,118323,0.0000,1.0,OLMA
2023-03-16,3.94,3.95,3.705,3.81,3.81,37083,0.0000,1.0,OLMA
2023-03-15,3.88,4.04,3.61,3.98,3.98,102983,0.0000,1.0,OLMA
2023-03-14,4.0,4.17,3.735,3.9,3.9,53365,0.0000,1.0,OLMA
2023-03-13,3.84,4.05,3.81,3.93,3.93,102733,0.0000,1.0,OLMA
2023-03-10,4.33,4.33,3.03,3.89,3.89,238080,0.0000,1.0,OLMA
2023-03-09,3.89,3.97,3.66,3.76,3.76,64532,0.0000,1.0,OLMA
2023-03-08,3.79,4.15,3.75,3.89,3.89,80466,0.0000,1.0,OLMA
2023-03-07,4.01,4.3114,3.75,3.77,3.77,40994,0.0000,1.0,OLMA
2023-03-06,4.06,4.15,3.94,3.95,3.95,33022,0.0000,1.0,OLMA
2023-03-03,4.1,4.185,3.95,4.1,4.1,44345,0.0000,1.0,OLMA
2023-03-02,3.95,4.23,3.93,4.095,4.095,26615,0.0000,1.0,OLMA
2023-03-01,4.17,4.17,3.77,4.01,4.01,118061,0.0000,1.0,OLMA
2023-02-28,3.94,4.2399,3.92,4.1,4.1,42010,0.0000,1.0,OLMA
2023-02-27,4.21,4.215,3.82,3.89,3.89,52705,0.0000,1.0,OLMA
2023-02-24,4.3,4.3,4.04,4.1,4.1,33645,0.0000,1.0,OLMA
2023-02-23,4.6,4.86,4.2562,4.33,4.33,59074,0.0000,1.0,OLMA
2023-02-22,4.64,4.69,4.36,4.56,4.56,77840,0.0000,1.0,OLMA
2023-02-21,4.56,4.56,4.16,4.16,4.16,37687,0.0000,1.0,OLMA
2023-02-17,4.27,4.63,4.18,4.55,4.55,85283,0.0000,1.0,OLMA
2023-02-16,4.41,4.55,4.11,4.27,4.27,126911,0.0000,1.0,OLMA
2023-02-15,4.52,4.64,4.43,4.49,4.49,24551,0.0000,1.0,OLMA
2023-02-14,4.76,4.87,4.38,4.525,4.525,91923,0.0000,1.0,OLMA
2023-02-13,4.54,4.83,4.54,4.79,4.79,107612,0.0000,1.0,OLMA
2023-02-10,4.63,4.705,4.42,4.54,4.54,76179,0.0000,1.0,OLMA
2023-02-09,4.68,5.11,4.4035,4.66,4.66,827341,0.0000,1.0,OLMA
2023-02-08,4.87,4.99,4.65,4.65,4.65,224288,0.0000,1.0,OLMA
2023-02-07,4.5,4.9,4.39,4.85,4.85,71016,0.0000,1.0,OLMA
2023-02-06,4.43,4.75,4.31,4.53,4.53,187007,0.0000,1.0,OLMA
2023-02-03,4.82,4.9,4.4,4.55,4.55,77421,0.0000,1.0,OLMA
2023-02-02,4.88,5.06,4.82,4.87,4.87,174725,0.0000,1.0,OLMA
2023-02-01,4.82,5.0299,4.7312,4.87,4.87,171379,0.0000,1.0,OLMA
2023-01-31,4.78,5.0126,4.78,4.83,4.83,179960,0.0000,1.0,OLMA
2023-01-30,4.7,4.9103,4.44,4.79,4.79,165978,0.0000,1.0,OLMA
2023-01-27,4.68,4.99,4.4624,4.71,4.71,106451,0.0000,1.0,OLMA
2023-01-26,5.01,5.06,4.7,4.74,4.74,211251,0.0000,1.0,OLMA
2023-01-25,4.89,5.02,4.795,4.96,4.96,272432,0.0000,1.0,OLMA
2023-01-24,4.83,5.0587,4.4,4.97,4.97,215403,0.0000,1.0,OLMA
2023-01-23,4.62,5.14,4.6,4.97,4.97,484120,0.0000,1.0,OLMA
2023-01-20,4.71,4.71,4.09,4.65,4.65,149801,0.0000,1.0,OLMA
2023-01-19,4.47,4.84,4.45,4.71,4.71,344994,0.0000,1.0,OLMA
2023-01-18,4.46,4.59,4.345,4.55,4.55,197067,0.0000,1.0,OLMA
2023-01-17,4.16,4.41,3.95,4.41,4.41,142602,0.0000,1.0,OLMA
2023-01-13,3.9,4.25,3.8797,4.15,4.15,79759,0.0000,1.0,OLMA
2023-01-12,3.75,4.05,3.6,4.01,4.01,793312,0.0000,1.0,OLMA
2023-01-11,3.27,3.96,3.27,3.92,3.92,274892,0.0000,1.0,OLMA
2023-01-10,3.09,3.3,2.88,3.22,3.22,97180,0.0000,1.0,OLMA
2023-01-09,2.9,3.25,2.77,3.12,3.12,214540,0.0000,1.0,OLMA
2023-01-06,2.73,2.9,2.73,2.85,2.85,139814,0.0000,1.0,OLMA
2023-01-05,2.6,2.79,2.47,2.75,2.75,56469,0.0000,1.0,OLMA
2023-01-04,2.64,2.695,2.47,2.55,2.55,113856,0.0000,1.0,OLMA
