time,open,high,low,close,volume
2023-02-17 17:00:00,8.44,8.44,8.44,8.44,670659
2023-02-17 16:00:00,8.35,8.48,8.31,8.44,92019
2023-02-17 15:00:00,8.22,8.36,8.22,8.35,44292
2023-02-17 14:00:00,8.1,8.2212,8.09,8.22,16873
2023-02-17 13:00:00,8.0305,8.135,8.02,8.1,20678
2023-02-17 12:00:00,7.975,8.08,7.97,8.0316,12513
2023-02-17 11:00:00,7.905,8.05,7.905,7.985,19676
2023-02-17 10:00:00,7.92,7.96,7.77,7.92,29560
2023-02-16 17:00:00,7.89,7.89,7.89,7.89,10357
2023-02-16 16:00:00,8.105,8.105,7.85,7.89,185503
2023-02-16 15:00:00,8.06,8.105,8.03,8.105,16673
2023-02-16 14:00:00,8.02,8.06,7.98,8.04,17484
2023-02-16 13:00:00,8.09,8.1,8.0,8.0,15921
2023-02-16 12:00:00,8.04,8.13,8.04,8.065,10898
2023-02-16 11:00:00,7.95,8.09,7.87,8.04,60369
2023-02-16 10:00:00,7.8182,8.07,7.8182,7.99,13236
2023-02-15 18:00:00,8.1585,8.16,8.1585,8.16,200
2023-02-15 17:00:00,8.14,8.14,8.14,8.14,9809
2023-02-15 16:00:00,7.95,8.18,7.93,8.14,124461
2023-02-15 15:00:00,7.92,8.025,7.89,7.95,33192
2023-02-15 14:00:00,7.82,7.97,7.82,7.925,54991
2023-02-15 13:00:00,7.755,7.89,7.69,7.825,56857
2023-02-15 12:00:00,7.485,7.78,7.485,7.755,154978
2023-02-15 11:00:00,7.69,7.69,7.44,7.485,37250
2023-02-15 10:00:00,7.59,7.8,7.41,7.675,60371
2023-02-14 17:00:00,7.76,7.76,7.63,7.65,7404
2023-02-14 16:00:00,7.72,7.755,7.59,7.65,185491
2023-02-14 15:00:00,7.72,7.75,7.66,7.72,30868
2023-02-14 14:00:00,7.67,7.76,7.67,7.725,48162
2023-02-14 13:00:00,7.78,7.79,7.61,7.6624,48930
2023-02-14 12:00:00,7.83,7.91,7.755,7.78,95183
2023-02-14 11:00:00,8.045,8.065,7.78,7.81,56826
2023-02-14 10:00:00,8.28,8.28,7.94,8.04,33919
2023-02-13 17:00:00,8.31,8.31,8.31,8.31,1635
2023-02-13 16:00:00,8.3,8.34,8.205,8.31,73479
