time,open,high,low,close,volume
2021-10-22 17:00:00,18.49,18.49,18.49,18.49,340
2021-10-22 16:00:00,18.42,18.55,18.3,18.55,47255
2021-10-22 15:00:00,18.145,18.4,18.04,18.4,20520
2021-10-22 14:00:00,17.65,18.24,17.63,18.24,7960
2021-10-22 13:00:00,17.27,17.825,17.26,17.735,11568
2021-10-22 12:00:00,17.19,17.35,17.0,17.27,25381
2021-10-22 11:00:00,17.25,17.32,16.69,17.19,18670
2021-10-22 10:00:00,18.3,18.3,17.04,17.04,12861
2021-10-21 17:00:00,18.26,18.26,18.26,18.26,213
2021-10-21 16:00:00,18.503,18.57,18.21,18.26,14985
2021-10-21 15:00:00,18.69,18.74,18.3,18.34,6937
2021-10-21 14:00:00,18.765,18.975,18.67,18.68,7684
2021-10-21 13:00:00,18.87,18.885,18.69,18.77,5819
2021-10-21 12:00:00,18.92,19.25,18.82,18.86,9914
2021-10-21 11:00:00,19.54,19.66,18.87,18.94,7790
2021-10-21 10:00:00,19.42,19.78,19.24,19.5,5755
2021-10-20 17:00:00,19.38,19.38,19.38,19.38,1007
2021-10-20 16:00:00,19.87,19.87,19.32,19.38,15697
2021-10-20 15:00:00,20.44,20.48,19.96,19.96,4003
2021-10-20 14:00:00,20.75,20.75,20.495,20.61,2146
2021-10-20 13:00:00,20.85,20.94,20.79,20.86,99206
2021-10-20 12:00:00,20.92,20.92,20.64,20.775,5155
2021-10-20 11:00:00,21.0,21.14,20.91,20.99,107292
2021-10-20 10:00:00,21.28,21.28,20.99,21.14,1067
2021-10-19 16:00:00,20.85,21.07,20.83,20.97,14769
2021-10-19 15:00:00,20.98,20.99,20.71,20.85,109540
2021-10-19 14:00:00,21.03,21.03,20.905,20.92,10442
2021-10-19 13:00:00,21.19,21.28,20.83,20.97,4169
2021-10-19 12:00:00,20.985,21.205,20.71,21.105,61331
2021-10-19 11:00:00,20.925,21.2,20.875,20.97,6105
2021-10-19 10:00:00,20.67,21.07,20.315,20.92,13927
2021-10-18 16:00:00,20.85,21.0,20.58,20.85,46637
2021-10-18 15:00:00,20.805,21.02,20.76,20.865,12388
2021-10-18 14:00:00,21.1,21.1,20.56,20.84,17941
2021-10-18 13:00:00,21.495,21.66,21.025,21.1,20932
2021-10-18 12:00:00,21.435,21.56,21.2,21.53,11249
2021-10-18 11:00:00,21.66,21.74,21.18,21.46,11494
2021-10-18 10:00:00,21.66,21.87,21.17,21.81,24751
2021-10-15 17:00:00,22.0,22.0,22.0,22.0,1335
2021-10-15 16:00:00,21.99,22.13,21.88,22.03,48994
2021-10-15 15:00:00,21.75,22.13,21.75,22.045,22424
2021-10-15 14:00:00,21.8,21.93,21.6675,21.735,29762
2021-10-15 13:00:00,21.69,21.9,21.69,21.9,9515
2021-10-15 12:00:00,21.92,21.99,21.53,21.705,6490
2021-10-15 11:00:00,21.98,22.11,21.805,21.96,16778
2021-10-15 10:00:00,22.27,22.27,21.05,22.0,11574
2021-10-15 09:00:00,21.82,21.82,21.82,21.82,864
2021-10-14 17:00:00,21.82,21.82,21.82,21.82,118
2021-10-14 16:00:00,21.69,21.89,21.56,21.86,59899
2021-10-14 15:00:00,21.7475,22.01,21.65,21.65,16337
2021-10-14 14:00:00,21.815,22.035,21.59,21.83,16592
2021-10-14 13:00:00,21.825,22.24,21.815,21.86,28634
2021-10-14 12:00:00,22.04,22.1,21.755,21.825,7234
2021-10-14 11:00:00,22.0,22.22,21.72,22.09,18885
2021-10-14 10:00:00,21.67,22.335,21.65,21.99,10946
2021-10-13 17:00:00,21.63,21.63,21.384,21.384,10216
2021-10-13 16:00:00,21.59,21.68,21.34,21.49,47669
2021-10-13 15:00:00,21.45,21.56,21.35,21.52,11545
2021-10-13 14:00:00,21.35,21.49,21.295,21.45,6298
2021-10-13 13:00:00,21.305,21.435,21.24,21.33,6370
2021-10-13 12:00:00,21.23,21.48,21.135,21.24,9757
2021-10-13 11:00:00,21.36,21.39,21.105,21.24,8120
2021-10-13 10:00:00,21.16,21.36,20.97,21.24,5229
2021-10-12 17:00:00,21.18,21.18,21.18,21.18,430
2021-10-12 16:00:00,20.805,21.265,20.78,21.18,34238
2021-10-12 15:00:00,20.74,20.85,20.695,20.78,20170
