time,open,high,low,close,volume
2023-01-17 17:00:00,4.36,4.36,4.36,4.36,283
2023-01-17 16:00:00,4.34,4.41,4.2914,4.35,27221
2023-01-17 15:00:00,4.28,4.36,4.28,4.34,5106
2023-01-17 14:00:00,4.23,4.29,4.22,4.25,3021
2023-01-17 13:00:00,4.31,4.32,4.22,4.25,2209
2023-01-17 12:00:00,4.276,4.4,4.276,4.29,708
2023-01-17 11:00:00,4.236,4.41,4.236,4.41,4845
2023-01-17 10:00:00,4.45,4.465,4.4,4.4,6998
2023-01-13 17:00:00,4.45,4.45,4.45,4.45,1030
2023-01-13 16:00:00,4.455,4.47,4.409,4.45,13365
2023-01-13 15:00:00,4.4481,4.48,4.445,4.45,3335
2023-01-13 14:00:00,4.4001,4.45,4.4001,4.45,7625
2023-01-13 13:00:00,4.44,4.44,4.43,4.43,2788
2023-01-13 12:00:00,4.44,4.45,4.4063,4.4063,3733
2023-01-13 11:00:00,4.5,4.55,4.4,4.44,25189
2023-01-13 10:00:00,4.24,4.55,4.24,4.5,11271
2023-01-12 17:00:00,4.31,4.31,4.31,4.31,1680
2023-01-12 16:00:00,4.16,4.35,4.16,4.3,86688
2023-01-12 15:00:00,4.135,4.16,4.135,4.1401,1946
2023-01-12 14:00:00,4.17,4.1701,4.14,4.145,10519
2023-01-12 13:00:00,4.1062,4.17,4.1,4.17,5219
2023-01-12 12:00:00,4.08,4.115,4.08,4.0853,1668
2023-01-12 11:00:00,4.03,4.18,4.03,4.1,23883
2023-01-12 10:00:00,4.02,4.02,3.98,3.98,412
2023-01-11 16:00:00,4.02,4.05,3.99,4.05,23586
2023-01-11 15:00:00,4.09,4.1,4.03,4.03,7630
2023-01-11 14:00:00,4.02,4.1,4.02,4.08,17074
2023-01-11 13:00:00,4.015,4.02,3.9901,4.02,1997
2023-01-11 12:00:00,3.985,4.015,3.985,4.015,7927
2023-01-11 11:00:00,4.01,4.01,3.99,3.99,26509
2023-01-11 10:00:00,4.05,4.05,3.9611,4.01,8515
2023-01-10 17:00:00,3.98,4.15,3.98,4.15,358
2023-01-10 16:00:00,3.945,3.97,3.91,3.97,59273
2023-01-10 15:00:00,3.97,3.98,3.935,3.945,12775
2023-01-10 14:00:00,3.935,3.98,3.935,3.96,12715
2023-01-10 13:00:00,3.95,3.95,3.92,3.935,12997
2023-01-10 12:00:00,3.92,4.0,3.91,3.945,11436
2023-01-10 11:00:00,3.95,3.97,3.9,3.92,16822
2023-01-10 10:00:00,3.92,3.92,3.92,3.92,100
2023-01-09 16:00:00,3.87,3.9,3.855,3.89,3147
2023-01-09 15:00:00,3.94,3.94,3.87,3.87,3573
2023-01-09 14:00:00,3.94,3.95,3.89,3.935,5728
2023-01-09 13:00:00,3.93,3.94,3.8707,3.94,1444
2023-01-09 12:00:00,3.935,3.935,3.8776,3.9208,2450
2023-01-09 11:00:00,3.92,3.9454,3.9056,3.916,1450
2023-01-09 10:00:00,3.89,3.92,3.89,3.92,223
2023-01-06 17:00:00,3.87,3.87,3.87,3.87,1921
2023-01-06 16:00:00,3.875,3.89,3.85,3.87,11691
2023-01-06 15:00:00,3.865,3.875,3.865,3.875,4558
2023-01-06 14:00:00,3.88,3.88,3.86,3.865,1583
2023-01-06 13:00:00,3.88,3.88,3.86,3.87,2601
2023-01-06 12:00:00,3.85,3.89,3.85,3.88,3646
2023-01-06 11:00:00,3.82,3.9,3.82,3.825,4110
2023-01-06 10:00:00,3.87,3.88,3.67,3.85,1498
2023-01-06 09:00:00,3.79,3.8,3.79,3.8,427
2023-01-05 17:00:00,3.87,3.87,3.87,3.87,262
2023-01-05 16:00:00,3.88,3.895,3.86,3.87,3795
2023-01-05 15:00:00,3.9,3.9,3.84,3.865,3735
2023-01-05 14:00:00,3.84,3.9,3.84,3.8999,3057
2023-01-05 13:00:00,3.88,3.885,3.82,3.84,4188
2023-01-05 12:00:00,3.88,3.88,3.88,3.88,539
2023-01-05 11:00:00,3.88,3.88,3.88,3.88,110
2023-01-05 10:00:00,3.95,3.9501,3.81,3.81,1875
2023-01-04 19:00:00,3.75,3.75,3.75,3.75,118
2023-01-04 17:00:00,3.94,3.94,3.94,3.94,447
2023-01-04 16:00:00,3.98,3.99,3.92,3.9401,33565
2023-01-04 15:00:00,4.0,4.0,3.96,3.98,9088
2023-01-04 14:00:00,3.93,4.0,3.93,3.99,11012
2023-01-04 13:00:00,3.914,4.06,3.914,4.02,6797
2023-01-04 12:00:00,3.765,3.985,3.765,3.9024,19542
2023-01-04 11:00:00,3.8,3.83,3.74,3.75,29179
2023-01-04 10:00:00,3.81,3.81,3.8,3.8,1333
2023-01-03 17:00:00,3.84,3.84,3.84,3.84,343
2023-01-03 16:00:00,3.875,3.89,3.78,3.85,10420
2023-01-03 15:00:00,3.95,3.95,3.87,3.875,5400
2023-01-03 14:00:00,3.89,3.9,3.86,3.89,2371
