time,open,high,low,close,volume
2022-10-19 17:00:00,6.25,6.25,6.25,6.25,49527
2022-10-19 16:00:00,6.105,6.25,6.095,6.25,298706
2022-10-19 15:00:00,6.06,6.14,6.06,6.1,62423
2022-10-19 14:00:00,6.105,6.105,6.045,6.05,37351
2022-10-19 13:00:00,6.2,6.21,6.095,6.105,50177
2022-10-19 12:00:00,6.17,6.2601,6.17,6.205,78456
2022-10-19 11:00:00,6.1,6.25,6.095,6.17,88811
2022-10-19 10:00:00,6.13,6.175,6.07,6.09,42347
2022-10-18 17:00:00,6.11,6.11,6.11,6.11,2239
2022-10-18 16:00:00,5.985,6.13,5.975,6.1,180823
2022-10-18 15:00:00,6.0387,6.07,5.985,5.99,62982
2022-10-18 14:00:00,6.04,6.075,6.02,6.035,44738
2022-10-18 13:00:00,6.05,6.085,6.045,6.045,63716
2022-10-18 12:00:00,6.13,6.16,6.05,6.05,116155
2022-10-18 11:00:00,6.09,6.125,6.05,6.125,132263
2022-10-18 10:00:00,5.92,6.109,5.92,6.08,153834
2022-10-18 09:00:00,6.11,6.11,6.11,6.11,150
2022-10-18 06:00:00,6.1,6.1,6.1,6.1,300
2022-10-17 17:00:00,5.9,5.9,5.9,5.9,20228
2022-10-17 16:00:00,5.88,5.93,5.865,5.895,111963
2022-10-17 15:00:00,5.795,5.89,5.77,5.89,125045
2022-10-17 14:00:00,5.75,5.81,5.75,5.8,21714
2022-10-17 13:00:00,5.8,5.815,5.75,5.75,23987
2022-10-17 12:00:00,5.82,5.84,5.795,5.795,39705
2022-10-17 11:00:00,5.84,5.98,5.79,5.82,125326
2022-10-17 10:00:00,5.69,5.86,5.67,5.84,92986
2022-10-17 09:00:00,5.82,5.82,5.82,5.82,990
2022-10-14 20:00:00,5.66,5.88,5.66,5.88,360
2022-10-14 19:00:00,5.54,5.54,5.54,5.54,100
2022-10-14 17:00:00,5.6,5.6,5.6,5.6,4231
2022-10-14 16:00:00,5.65,5.67,5.59,5.59,119649
2022-10-14 15:00:00,5.66,5.66,5.61,5.64,33316
2022-10-14 14:00:00,5.67,5.68,5.635,5.67,36214
2022-10-14 13:00:00,5.655,5.7,5.63,5.67,64658
2022-10-14 12:00:00,5.6679,5.69,5.6,5.655,53936
2022-10-14 11:00:00,5.74,5.76,5.645,5.66,48764
2022-10-14 10:00:00,5.82,5.84,5.72,5.76,28003
2022-10-13 17:00:00,5.8,5.8,5.75,5.75,22617
2022-10-13 16:00:00,5.835,5.845,5.775,5.8,131764
2022-10-13 15:00:00,5.805,5.84,5.78,5.835,48215
2022-10-13 14:00:00,5.745,5.875,5.745,5.8,34776
2022-10-13 13:00:00,5.665,5.735,5.59,5.735,53203
2022-10-13 12:00:00,5.63,5.71,5.63,5.665,128971
2022-10-13 11:00:00,5.6,5.65,5.56,5.64,26138
2022-10-13 10:00:00,5.71,5.71,5.51,5.61,53636
2022-10-13 09:00:00,5.84,5.84,5.75,5.75,2094
2022-10-12 17:00:00,5.78,5.78,5.78,5.78,15258
2022-10-12 16:00:00,5.76,5.81,5.75,5.78,128073
2022-10-12 15:00:00,5.76,5.8,5.74,5.77,29340
2022-10-12 14:00:00,5.8,5.81,5.735,5.755,36644
2022-10-12 13:00:00,5.86,5.875,5.785,5.8,36974
2022-10-12 12:00:00,5.76,5.86,5.76,5.85,86272
2022-10-12 11:00:00,5.82,5.84,5.72,5.76,51407
2022-10-12 10:00:00,5.86,5.88,5.77,5.81,24230
2022-10-12 08:00:00,5.9,5.9,5.9,5.9,100
2022-10-11 17:00:00,5.92,5.92,5.89,5.9,382996
2022-10-11 16:00:00,5.845,5.935,5.8,5.92,209523
2022-10-11 15:00:00,5.96,5.99,5.85,5.85,84701
2022-10-11 14:00:00,5.955,5.98,5.925,5.955,38833
2022-10-11 13:00:00,5.88,5.97,5.85,5.96,28801
2022-10-11 12:00:00,5.7,5.92,5.7,5.88,126825
2022-10-11 11:00:00,5.655,5.74,5.6,5.69,65377
2022-10-11 10:00:00,5.73,5.75,5.66,5.67,21741
2022-10-10 17:00:00,5.72,5.72,5.72,5.72,6517
2022-10-10 16:00:00,5.74,5.79,5.71,5.72,89124
2022-10-10 15:00:00,5.72,5.745,5.71,5.73,52617
2022-10-10 14:00:00,5.635,5.73,5.595,5.72,52950
2022-10-10 13:00:00,5.67,5.675,5.585,5.63,48128
2022-10-10 12:00:00,5.7,5.73,5.675,5.675,41570
2022-10-10 11:00:00,5.62,5.7005,5.61,5.7,78505
2022-10-10 10:00:00,5.8,5.87,5.5,5.63,199205
2022-10-10 09:00:00,5.8,5.8,5.8,5.8,550
2022-10-07 17:00:00,5.87,5.87,5.87,5.87,12349
2022-10-07 16:00:00,5.865,5.89,5.835,5.88,91931
2022-10-07 15:00:00,5.8583,5.89,5.83,5.86,68946
2022-10-07 14:00:00,5.87,5.875,5.81,5.85,25029
2022-10-07 13:00:00,5.86,5.88,5.84,5.865,29255
2022-10-07 12:00:00,5.96,5.98,5.84,5.865,24231
2022-10-07 11:00:00,5.8599,5.965,5.8599,5.96,39343
2022-10-07 10:00:00,6.09,6.09,5.855,5.86,29119
2022-10-06 17:00:00,6.09,6.09,6.09,6.09,6381
2022-10-06 16:00:00,6.045,6.105,5.98,6.09,319166
2022-10-06 15:00:00,6.05,6.08,6.025,6.05,46105
2022-10-06 14:00:00,6.065,6.08,6.025,6.045,30823
2022-10-06 13:00:00,6.04,6.105,6.02,6.07,41470
2022-10-06 12:00:00,6.11,6.12,6.04,6.04,107896
2022-10-06 11:00:00,6.0,6.14,5.98,6.12,172079
2022-10-06 10:00:00,5.88,6.01,5.85,5.999,49895
2022-10-06 08:00:00,5.95,5.95,5.95,5.95,1000
2022-10-05 17:00:00,5.88,5.88,5.88,5.88,5086
2022-10-05 16:00:00,5.85,5.94,5.845,5.875,117447
2022-10-05 15:00:00,5.79,5.855,5.78,5.85,38626
2022-10-05 14:00:00,5.71,5.81,5.71,5.78,48404
2022-10-05 13:00:00,5.68,5.72,5.648,5.715,32473
2022-10-05 12:00:00,5.625,5.675,5.62,5.67,42961
2022-10-05 11:00:00,5.71,5.76,5.62,5.62,75670
2022-10-05 10:00:00,5.75,5.76,5.63,5.72,30294
2022-10-04 17:00:00,5.77,5.77,5.77,5.77,12099
2022-10-04 16:00:00,5.76,5.78,5.73,5.78,124479
2022-10-04 15:00:00,5.6699,5.78,5.65,5.77,65419
2022-10-04 14:00:00,5.72,5.7298,5.65,5.665,42952
2022-10-04 13:00:00,5.695,5.76,5.68,5.72,45330
2022-10-04 12:00:00,5.75,5.7665,5.69,5.695,48567
2022-10-04 11:00:00,5.79,5.81,5.73,5.75,61102
2022-10-04 10:00:00,5.82,5.91,5.73,5.79,60282
2022-10-04 09:00:00,5.89,5.89,5.89,5.89,3906
2022-10-03 18:00:00,5.47,5.47,5.47,5.47,126
2022-10-03 17:00:00,5.75,5.75,5.75,5.75,14343
2022-10-03 16:00:00,5.775,5.81,5.72,5.74,179489
2022-10-03 15:00:00,5.71,5.79,5.7096,5.78,94022
2022-10-03 14:00:00,5.69,5.735,5.69,5.71,47458
2022-10-03 13:00:00,5.69,5.71,5.66,5.685,60966
2022-10-03 12:00:00,5.74,5.76,5.66,5.685,141311
2022-10-03 11:00:00,5.55,5.745,5.55,5.73,77077
2022-10-03 10:00:00,5.48,5.55,5.37,5.55,40008
2022-09-30 17:00:00,5.42,5.42,5.42,5.42,906999
2022-09-30 16:00:00,5.34,5.48,5.34,5.42,214083
2022-09-30 15:00:00,5.37,5.38,5.31,5.34,56112
2022-09-30 14:00:00,5.41,5.46,5.375,5.375,53214
2022-09-30 13:00:00,5.47,5.485,5.41,5.415,60533
2022-09-30 12:00:00,5.375,5.505,5.365,5.475,69854
2022-09-30 11:00:00,5.35,5.435,5.31,5.38,71196
2022-09-30 10:00:00,5.36,5.37,5.11,5.35,64218
2022-09-29 17:00:00,5.43,5.43,5.43,5.43,4594
2022-09-29 16:00:00,5.37,5.44,5.37,5.43,128697
2022-09-29 15:00:00,5.355,5.4,5.35,5.37,63252
2022-09-29 14:00:00,5.43,5.44,5.35,5.355,54869
2022-09-29 13:00:00,5.475,5.49,5.42,5.435,47957
2022-09-29 12:00:00,5.46,5.49,5.43,5.47,64974
2022-09-29 11:00:00,5.425,5.52,5.36,5.46,100856
2022-09-29 10:00:00,5.46,5.5,5.37,5.425,37878
2022-09-28 17:00:00,5.6,5.6,5.6,5.6,240117
2022-09-28 16:00:00,5.58,5.63,5.58,5.61,115216
2022-09-28 15:00:00,5.55,5.59,5.54,5.585,35899
2022-09-28 14:00:00,5.55,5.585,5.525,5.54,40481
2022-09-28 13:00:00,5.62,5.67,5.54,5.54,65371
2022-09-28 12:00:00,5.53,5.65,5.51,5.615,74958
2022-09-28 11:00:00,5.57,5.57,5.52,5.54,44212
2022-09-28 10:00:00,5.52,5.67,5.42,5.57,40419
2022-09-27 17:00:00,5.5,5.5,5.5,5.5,19022
2022-09-27 16:00:00,5.45,5.53,5.43,5.515,156545
2022-09-27 15:00:00,5.33,5.47,5.33,5.46,63433
