time,open,high,low,close,volume
2021-10-25 17:00:00,6.2,6.2,6.1999,6.1999,26099
2021-10-25 16:00:00,6.175,6.22,6.17,6.2,323861
2021-10-25 15:00:00,6.15,6.19,6.14,6.18,174994
2021-10-25 14:00:00,6.175,6.195,6.13,6.155,116987
2021-10-25 13:00:00,6.14,6.18,6.1212,6.1701,187006
2021-10-25 12:00:00,6.165,6.17,6.135,6.14,109919
2021-10-25 11:00:00,6.0,6.17,6.0,6.165,185738
2021-10-25 10:00:00,6.05,6.15,5.945,6.0,178388
2021-10-25 09:00:00,6.0,6.0,5.99,5.99,3100
2021-10-25 08:00:00,6.21,6.21,6.1,6.1,1190
2021-10-22 17:00:00,5.98,5.98,5.98,5.98,14528
2021-10-22 16:00:00,6.005,6.005,5.97,5.98,139076
2021-10-22 15:00:00,5.99,6.01,5.96,5.995,130615
2021-10-22 14:00:00,6.0,6.025,5.995,5.995,98279
2021-10-22 13:00:00,6.035,6.04,6.0,6.005,106530
2021-10-22 12:00:00,6.11,6.125,6.02,6.04,140704
2021-10-22 11:00:00,6.145,6.155,6.1,6.105,64296
2021-10-22 10:00:00,6.22,6.24,6.08,6.145,82311
2021-10-21 17:00:00,6.24,6.24,6.24,6.24,7016
2021-10-21 16:00:00,6.19,6.26,6.185,6.24,230812
2021-10-21 15:00:00,6.145,6.185,6.145,6.185,65683
2021-10-21 14:00:00,6.17,6.2,6.14,6.14,52740
2021-10-21 13:00:00,6.1511,6.2,6.13,6.17,53098
2021-10-21 12:00:00,6.235,6.24,6.15,6.15,62043
2021-10-21 11:00:00,6.29,6.305,6.19,6.24,92179
2021-10-21 10:00:00,6.09,6.295,6.08,6.29,188199
2021-10-20 17:00:00,6.09,6.19,6.09,6.19,6778
2021-10-20 16:00:00,6.06,6.09,6.05,6.09,184433
2021-10-20 15:00:00,6.03,6.07,6.02,6.05,49909
2021-10-20 14:00:00,6.06,6.06,6.02,6.03,40375
2021-10-20 13:00:00,6.12,6.125,6.055,6.06,46626
2021-10-20 12:00:00,6.17,6.175,6.08,6.13,65991
2021-10-20 11:00:00,6.08,6.18,6.08,6.1625,87236
2021-10-20 10:00:00,5.99,6.095,5.87,6.08,88755
2021-10-19 17:00:00,5.98,5.98,5.98,5.98,9408
2021-10-19 16:00:00,6.035,6.045,5.97,5.99,354535
2021-10-19 15:00:00,6.025,6.035,6.0,6.035,196125
2021-10-19 14:00:00,6.035,6.035,6.01,6.025,41843
2021-10-19 13:00:00,6.055,6.06,6.0,6.04,113900
2021-10-19 12:00:00,6.035,6.07,6.03,6.05,71537
2021-10-19 11:00:00,6.165,6.175,6.02,6.035,151896
2021-10-19 10:00:00,6.14,6.17,6.06,6.165,117235
2021-10-19 07:00:00,6.14,6.14,6.14,6.14,185
2021-10-18 17:00:00,6.14,6.14,6.13,6.13,9303
2021-10-18 16:00:00,6.1,6.14,6.09,6.14,121253
2021-10-18 15:00:00,6.1,6.12,6.08,6.1,56707
2021-10-18 14:00:00,6.14,6.15,6.09,6.09,40802
2021-10-18 13:00:00,6.115,6.16,6.1,6.14,88002
2021-10-18 12:00:00,6.095,6.115,6.0601,6.115,33130
2021-10-18 11:00:00,6.0485,6.11,6.03,6.095,125685
2021-10-18 10:00:00,6.0,6.06,5.96,6.045,63078
2021-10-18 09:00:00,6.06,6.06,6.06,6.06,100
2021-10-15 17:00:00,6.06,6.06,6.06,6.06,21601
2021-10-15 16:00:00,6.27,6.27,6.05,6.05,509553
2021-10-15 15:00:00,6.275,6.3,6.25,6.27,66536
2021-10-15 14:00:00,6.245,6.3,6.23,6.28,80783
2021-10-15 13:00:00,6.235,6.3,6.19,6.25,110567
2021-10-15 12:00:00,6.225,6.25,6.2,6.235,36241
2021-10-15 11:00:00,6.3,6.3,6.21,6.225,162737
2021-10-15 10:00:00,6.37,6.37,6.261,6.3,64748
2021-10-15 09:00:00,6.22,6.22,6.22,6.22,1017
2021-10-14 17:00:00,6.22,6.22,6.22,6.22,11551
2021-10-14 16:00:00,6.2,6.23,6.185,6.23,203806
2021-10-14 15:00:00,6.14,6.215,6.125,6.2,181174
2021-10-14 14:00:00,6.18,6.185,6.1201,6.145,42714
2021-10-14 13:00:00,6.18,6.18,6.16,6.175,40286
2021-10-14 12:00:00,6.22,6.22,6.17,6.175,39208
2021-10-14 11:00:00,6.31,6.31,6.2,6.225,103907
2021-10-14 10:00:00,6.23,6.32,6.17,6.315,80007
2021-10-13 17:00:00,6.11,6.11,6.11,6.11,5523
2021-10-13 16:00:00,6.08,6.12,6.07,6.12,96485
2021-10-13 15:00:00,6.145,6.17,6.07,6.07,26924
2021-10-13 14:00:00,6.16,6.165,6.1334,6.14,32616
2021-10-13 13:00:00,6.18,6.19,6.16,6.16,24671
2021-10-13 12:00:00,6.16,6.19,6.14,6.19,57487
2021-10-13 11:00:00,6.16,6.17,6.12,6.155,41645
2021-10-13 10:00:00,6.21,6.21,6.115,6.17,34918
2021-10-12 17:00:00,6.17,6.17,6.17,6.17,28158
2021-10-12 16:00:00,6.2,6.24,6.15,6.18,366349
2021-10-12 15:00:00,6.185,6.225,6.17,6.2,82469
2021-10-12 14:00:00,6.105,6.19,6.09,6.18,93598
2021-10-12 13:00:00,6.125,6.19,6.085,6.105,159171
2021-10-12 12:00:00,6.12,6.145,6.06,6.13,80912
2021-10-12 11:00:00,6.19,6.2,6.115,6.115,57650
2021-10-12 10:00:00,6.11,6.205,6.11,6.195,73453
2021-10-11 17:00:00,6.12,6.12,6.12,6.12,9550
2021-10-11 16:00:00,6.155,6.2,6.1,6.12,299487
2021-10-11 15:00:00,6.175,6.22,6.15,6.155,86299
2021-10-11 14:00:00,6.21,6.22,6.17,6.18,114269
2021-10-11 13:00:00,6.26,6.27,6.22,6.23,83339
2021-10-11 12:00:00,6.295,6.295,6.24,6.27,78181
2021-10-11 11:00:00,6.21,6.325,6.19,6.295,61543
2021-10-11 10:00:00,6.2,6.25,6.15,6.2,44183
2021-10-08 18:00:00,6.2,6.2,6.2,6.2,519
2021-10-08 17:00:00,6.2,6.2,6.2,6.2,14062
2021-10-08 16:00:00,6.24,6.25,6.16,6.2,286954
2021-10-08 15:00:00,6.255,6.255,6.22,6.24,55636
2021-10-08 14:00:00,6.35,6.355,6.24,6.25,94405
2021-10-08 13:00:00,6.26,6.35,6.255,6.34,119344
2021-10-08 12:00:00,6.315,6.32,6.26,6.26,58665
2021-10-08 11:00:00,6.405,6.43,6.3,6.315,348056
2021-10-08 10:00:00,6.28,6.425,6.21,6.405,105616
2021-10-08 09:00:00,6.24,6.24,6.24,6.24,695
2021-10-07 19:00:00,6.2,6.2,6.2,6.2,182
2021-10-07 17:00:00,6.31,6.31,6.31,6.31,522
2021-10-07 16:00:00,6.325,6.38,6.3,6.31,202366
2021-10-07 15:00:00,6.315,6.34,6.295,6.32,170853
2021-10-07 14:00:00,6.325,6.36,6.31,6.3101,111284
2021-10-07 13:00:00,6.36,6.375,6.3225,6.325,63282
2021-10-07 12:00:00,6.405,6.44,6.355,6.36,81286
2021-10-07 11:00:00,6.395,6.44,6.35,6.41,164809
2021-10-07 10:00:00,6.27,6.44,6.23,6.4,101190
2021-10-07 09:00:00,6.32,6.46,6.29,6.29,2909
2021-10-06 20:00:00,6.33,6.33,6.33,6.33,158
2021-10-06 18:00:00,6.36,6.36,6.36,6.36,500
2021-10-06 17:00:00,6.32,6.32,6.32,6.32,751
2021-10-06 16:00:00,6.245,6.32,6.235,6.315,353552
2021-10-06 15:00:00,6.21,6.25,6.12,6.25,377450
2021-10-06 14:00:00,6.27,6.32,6.19,6.2,258903
2021-10-06 13:00:00,6.315,6.315,6.25,6.27,62060
