time,open,high,low,close,volume
2021-07-27 20:00:00,5.75,5.8,5.75,5.8,699
2021-07-27 19:00:00,5.75,5.75,5.75,5.75,995
2021-07-27 18:00:00,5.86,5.86,5.762,5.762,2031
2021-07-27 17:00:00,5.79,5.87,5.77,5.8699,51811
2021-07-27 16:00:00,5.8,5.83,5.72,5.79,862468
2021-07-27 15:00:00,5.74,5.83,5.73,5.795,418645
2021-07-27 14:00:00,5.66,5.7677,5.61,5.745,541730
2021-07-27 13:00:00,5.655,5.705,5.59,5.655,338592
2021-07-27 12:00:00,5.72,5.74,5.57,5.6586,660152
2021-07-27 11:00:00,5.71,5.74,5.59,5.725,1191532
2021-07-27 10:00:00,6.06,6.08,5.69,5.72,905741
2021-07-27 09:00:00,6.04,6.11,6.0,6.0499,11425
2021-07-27 08:00:00,5.96,6.0,5.96,6.0,2544
2021-07-27 06:00:00,5.95,5.95,5.92,5.93,3400
2021-07-27 05:00:00,5.91,5.93,5.88,5.92,1979
2021-07-26 20:00:00,6.05,6.05,6.05,6.05,100
2021-07-26 19:00:00,6.01,6.09,6.01,6.09,500
2021-07-26 18:00:00,6.09,6.1,6.0,6.01,19592
2021-07-26 17:00:00,6.02,6.08,5.95,6.0,48391
2021-07-26 16:00:00,6.0117,6.04,5.99,6.02,795624
2021-07-26 15:00:00,6.01,6.04,5.95,6.02,380724
2021-07-26 14:00:00,5.9682,6.06,5.9576,6.02,368372
2021-07-26 13:00:00,6.015,6.02,5.93,5.965,374861
2021-07-26 12:00:00,6.1107,6.1299,6.0015,6.01,479645
2021-07-26 11:00:00,6.15,6.32,6.11,6.115,1335432
2021-07-26 10:00:00,5.82,6.18,5.81,6.1584,1072018
2021-07-26 09:00:00,5.8501,5.9,5.8,5.82,29559
2021-07-26 08:00:00,5.85,5.87,5.82,5.845,9648
2021-07-26 07:00:00,5.9,5.9,5.76,5.89,968
2021-07-26 06:00:00,5.84,5.9,5.8,5.9,2758
2021-07-26 05:00:00,5.89,5.92,5.7,5.87,7835
2021-07-23 20:00:00,5.9,5.91,5.9,5.91,500
