time,open,high,low,close,volume
2022-05-23 16:00:00,8.55,8.5699,8.33,8.34,15838
2022-05-23 15:00:00,8.67,8.68,8.52,8.5575,14386
2022-05-23 14:00:00,8.47,8.725,8.46,8.695,12824
2022-05-23 13:00:00,8.24,8.61,8.24,8.47,28230
2022-05-23 12:00:00,8.14,8.28,8.0,8.26,16188
2022-05-23 11:00:00,7.81,8.115,7.79,8.115,12622
2022-05-23 10:00:00,7.89,8.1487,7.65,7.99,11557
2022-05-20 17:00:00,7.89,7.89,7.89,7.89,1017
2022-05-20 16:00:00,7.73,7.93,7.67,7.89,21131
2022-05-20 15:00:00,7.65,7.82,7.53,7.73,6175
2022-05-20 14:00:00,7.4944,7.64,7.39,7.64,5680
2022-05-20 13:00:00,7.62,7.67,7.53,7.55,6518
2022-05-20 12:00:00,7.855,7.855,7.66,7.73,3088
2022-05-20 11:00:00,8.035,8.06,7.83,7.83,9034
2022-05-20 10:00:00,7.92,8.05,7.82,7.9268,3675
2022-05-20 09:00:00,7.76,7.76,7.76,7.76,150
2022-05-19 17:00:00,7.8,7.841811,7.8,7.841811,10575
2022-05-19 16:00:00,8.0,8.06,7.74,7.84,37104
2022-05-19 15:00:00,7.92,8.05,7.92,8.0,3657
2022-05-19 14:00:00,7.8,7.98,7.72,7.98,11134
2022-05-19 13:00:00,8.07,8.07,7.8,7.8,4133
2022-05-19 12:00:00,8.06,8.16,7.92,7.92,6661
2022-05-19 11:00:00,7.8,8.07,7.76,8.02,10746
2022-05-19 10:00:00,8.07,8.42,7.75,7.8,7779
2022-05-18 17:00:00,8.21,8.21,8.21,8.21,893
2022-05-18 16:00:00,8.06,8.1958,8.01,8.17,25605
2022-05-18 15:00:00,8.18,8.255,8.02,8.05,12628
2022-05-18 14:00:00,8.38,8.38,8.125,8.16,8489
2022-05-18 13:00:00,8.45,8.45,8.25,8.38,9951
2022-05-18 12:00:00,8.72,8.72,8.44,8.45,5594
2022-05-18 11:00:00,8.52,8.78,8.52,8.595,10587
2022-05-18 10:00:00,8.28,8.5393,8.09,8.44,8370
2022-05-17 17:00:00,8.53,8.53,8.53,8.53,873
2022-05-17 16:00:00,8.36,8.56,8.35,8.54,28593
2022-05-17 15:00:00,8.4246,8.44,8.33,8.39,12314
2022-05-17 14:00:00,8.39,8.63,8.35,8.43,17407
2022-05-17 13:00:00,8.49,8.5129,8.43,8.44,6000
2022-05-17 12:00:00,8.1,8.54,8.09,8.51,18593
2022-05-17 11:00:00,7.95,8.08,7.83,8.05,11461
2022-05-17 10:00:00,7.54,8.04,7.44,8.03,10009
2022-05-16 17:00:00,7.41,7.41,7.41,7.41,1740
2022-05-16 16:00:00,7.61,7.63,7.33,7.41,43847
2022-05-16 15:00:00,7.79,7.85,7.61,7.61,10977
2022-05-16 14:00:00,7.73,7.86,7.73,7.8,10234
2022-05-16 13:00:00,7.95,7.95,7.71,7.71,14331
2022-05-16 12:00:00,7.81,7.945,7.81,7.91,9900
2022-05-16 11:00:00,7.625,7.94,7.625,7.82,15595
2022-05-16 10:00:00,7.53,7.71,7.41,7.685,5639
2022-05-13 17:00:00,7.64,7.64,7.64,7.64,2056
2022-05-13 16:00:00,7.73,7.77,7.58,7.61,32158
2022-05-13 15:00:00,7.69,7.8075,7.59,7.69,11968
2022-05-13 14:00:00,7.77,7.775,7.67,7.7,7442
2022-05-13 13:00:00,7.94,7.96,7.73,7.73,10884
