time,open,high,low,close,volume
2021-06-25 20:00:00,29.5,29.58,29.45,29.5,4208
2021-06-25 19:00:00,29.4,29.49,29.4,29.43,1507
2021-06-25 18:00:00,29.48,29.49,29.4,29.41,5257
2021-06-25 17:00:00,29.4,29.7,29.4,29.49,5753
2021-06-25 16:00:00,29.6892,29.74,29.37,29.37,487502
2021-06-25 15:00:00,29.31,29.705,29.245,29.6815,163113
2021-06-25 14:00:00,29.39,29.74,29.24,29.31,188082
2021-06-25 13:00:00,29.46,29.68,29.0311,29.41,309422
2021-06-25 12:00:00,29.85,30.03,29.43,29.43,314521
2021-06-25 11:00:00,29.23,30.17,29.11,29.89,576785
2021-06-25 10:00:00,30.2,30.71,29.14,29.28,848049
2021-06-25 09:00:00,30.1999,30.24,29.6908,30.16,26579
2021-06-25 08:00:00,30.1,30.21,29.7,29.7,35649
2021-06-25 07:00:00,30.42,30.42,30.15,30.2,1268
2021-06-25 06:00:00,30.46,30.46,30.45,30.45,350
2021-06-25 05:00:00,30.06,30.06,30.06,30.06,1107
2021-06-24 20:00:00,30.06,30.1,30.06,30.1,5439
2021-06-24 19:00:00,29.91,30.08,29.91,29.99,4625
2021-06-24 18:00:00,29.95,30.09,29.9,30.0,27740
2021-06-24 17:00:00,30.09,30.1,29.85,30.0,26083
2021-06-24 16:00:00,30.34,30.61,29.82,30.09,1582325
2021-06-24 15:00:00,29.515,30.37,29.48,30.35,604034
2021-06-24 14:00:00,29.39,29.88,29.27,29.52,466612
2021-06-24 13:00:00,29.28,30.04,29.21,29.4,705912
2021-06-24 12:00:00,29.23,29.86,29.15,29.2882,697592
2021-06-24 11:00:00,28.9501,29.31,28.52,29.2315,669887
2021-06-24 10:00:00,28.35,29.33,28.2,28.9981,681445
2021-06-24 09:00:00,28.42,28.5,28.31,28.37,54551
2021-06-24 08:00:00,28.49,28.49,28.3,28.3,4358
2021-06-24 07:00:00,28.5,28.51,28.5,28.51,581
2021-06-24 06:00:00,28.49,28.79,28.49,28.79,2597
2021-06-24 05:00:00,28.3,28.49,28.3,28.49,557
2021-06-23 20:00:00,28.06,28.06,27.99,28.0,3364
2021-06-23 19:00:00,28.03,28.06,28.02,28.06,12046
2021-06-23 18:00:00,28.1,28.1,28.0199,28.02,5289
2021-06-23 17:00:00,27.96,28.45,27.96,28.04,20445
2021-06-23 16:00:00,28.13,28.29,27.9105,27.96,380968
2021-06-23 15:00:00,28.1601,28.2176,27.82,28.12,210581
2021-06-23 14:00:00,27.925,28.18,27.82,28.18,225426
2021-06-23 13:00:00,27.9,27.93,27.45,27.91,362571
2021-06-23 12:00:00,28.1,28.12,27.68,27.89,265402
2021-06-23 11:00:00,28.26,28.6,27.87,28.085,505578
2021-06-23 10:00:00,27.93,28.38,27.54,28.245,416122
2021-06-23 09:00:00,27.7602,28.0,27.72,27.85,20564
2021-06-23 08:00:00,27.75,27.85,27.66,27.85,3481
2021-06-23 06:00:00,27.81,27.81,27.73,27.8,1529
2021-06-23 05:00:00,27.73,27.74,27.73,27.74,790
2021-06-22 20:00:00,27.56,27.77,27.52,27.77,2175
2021-06-22 19:00:00,27.7,27.98,27.7,27.7,4633
2021-06-22 18:00:00,27.64,27.68,27.62,27.62,5038
2021-06-22 17:00:00,27.64,27.69,27.5,27.69,14414
2021-06-22 16:00:00,27.535,27.731,27.21,27.64,632788
2021-06-22 15:00:00,27.7501,27.819,27.41,27.535,256341
2021-06-22 14:00:00,27.53,27.8399,27.3783,27.75,177215
2021-06-22 13:00:00,27.58,27.91,27.53,27.5503,396270
2021-06-22 12:00:00,26.97,27.755,26.97,27.56,474686
2021-06-22 11:00:00,27.27,27.335,26.55,26.96,729811
2021-06-22 10:00:00,27.2004,27.8,27.0261,27.2201,404241
2021-06-22 09:00:00,27.28,27.48,27.2,27.36,17768
2021-06-22 08:00:00,27.23,27.3,27.15,27.3,1824
