time,open,high,low,close,volume
2022-06-22 16:00:00,1.5,1.53,1.49,1.52,30329
2022-06-22 15:00:00,1.49,1.5,1.47,1.5,19987
2022-06-22 14:00:00,1.48,1.515,1.45,1.485,40869
2022-06-22 13:00:00,1.475,1.52,1.46,1.5,37681
2022-06-22 12:00:00,1.4601,1.49,1.46,1.46,8901
2022-06-22 11:00:00,1.5,1.55,1.46,1.49,45323
2022-06-22 10:00:00,1.51,1.51,1.51,1.51,632
2022-06-21 16:00:00,1.48,1.55,1.47,1.55,51430
2022-06-21 15:00:00,1.51,1.51,1.43,1.48,29159
2022-06-21 14:00:00,1.57,1.57,1.51,1.51,7212
2022-06-21 13:00:00,1.5,1.57,1.47,1.57,10376
2022-06-21 12:00:00,1.64,1.67,1.53,1.53,20261
2022-06-21 11:00:00,1.7328,1.7328,1.62,1.66,9552
2022-06-21 10:00:00,1.63,1.705,1.63,1.705,1117
2022-06-17 16:00:00,1.62,1.67,1.59,1.59,86799
2022-06-17 15:00:00,1.6303,1.67,1.61,1.63,18064
2022-06-17 14:00:00,1.62,1.7,1.57,1.615,32447
2022-06-17 13:00:00,1.62,1.64,1.61,1.63,5851
2022-06-17 12:00:00,1.6,1.65,1.59,1.59,8245
2022-06-17 11:00:00,1.65,1.68,1.56,1.62,12669
2022-06-17 10:00:00,1.53,1.69,1.53,1.645,6632
2022-06-16 17:00:00,1.54,1.54,1.54,1.54,55964
2022-06-16 16:00:00,1.545,1.59,1.475,1.55,202335
2022-06-16 15:00:00,1.5798,1.5798,1.54,1.545,13294
2022-06-16 14:00:00,1.54,1.62,1.54,1.57,11978
2022-06-16 13:00:00,1.635,1.65,1.57,1.57,9582
2022-06-16 12:00:00,1.68,1.71,1.61,1.64,8414
2022-06-16 11:00:00,1.66,1.67,1.59,1.67,9127
2022-06-16 10:00:00,1.66,1.84,1.63,1.69,5858
2022-06-15 16:00:00,1.715,1.76,1.69,1.69,42668
2022-06-15 15:00:00,1.64,1.75,1.62,1.7,34200
2022-06-15 14:00:00,1.77,1.8,1.63,1.635,53598
2022-06-15 13:00:00,1.765,1.81,1.72,1.78,17834
2022-06-15 12:00:00,1.76,1.7799,1.665,1.75,28267
2022-06-15 11:00:00,1.835,1.8506,1.75,1.75,6482
2022-06-15 10:00:00,1.81,1.87,1.75,1.87,2456
2022-06-14 16:00:00,1.75,1.83,1.75,1.81,27215
2022-06-14 15:00:00,1.74,1.75,1.74,1.75,7356
2022-06-14 14:00:00,1.74,1.76,1.73,1.75,7698
2022-06-14 13:00:00,1.74,1.74,1.73,1.74,4683
2022-06-14 12:00:00,1.75,1.75,1.73,1.74,8451
2022-06-14 11:00:00,1.72,1.74,1.72,1.73,1425
2022-06-14 10:00:00,1.77,1.77,1.73,1.735,1572
2022-06-13 16:00:00,1.735,1.76,1.72,1.76,70686
2022-06-13 15:00:00,1.73,1.74,1.72,1.735,9402
2022-06-13 14:00:00,1.78,1.8,1.73,1.73,6551
2022-06-13 13:00:00,1.78,1.8,1.78,1.78,10231
2022-06-13 12:00:00,1.77,1.8,1.74,1.78,9728
2022-06-13 11:00:00,1.805,1.85,1.7259,1.74,13971
2022-06-13 10:00:00,1.98,1.98,1.82,1.84,30389
2022-06-10 16:00:00,2.0,2.0,1.98,1.98,27296
2022-06-10 15:00:00,2.0,2.0,1.99,2.0,8661
2022-06-10 14:00:00,2.005,2.02,1.99,2.0,20167
2022-06-10 13:00:00,1.98,2.01,1.97,2.01,8020
2022-06-10 12:00:00,1.98,2.0,1.955,1.96,13155
2022-06-10 11:00:00,2.04,2.04,1.98,1.99,11119
2022-06-10 10:00:00,2.12,2.14,2.03,2.04,4968
2022-06-09 18:00:00,2.17,2.17,2.17,2.17,200
2022-06-09 17:00:00,2.12,2.12,2.12,2.12,300
2022-06-09 16:00:00,2.11,2.14,2.04,2.13,76530
