time,open,high,low,close,volume
2023-01-18 17:00:00,10.5,10.5,10.5,10.5,1325
2023-01-18 16:00:00,10.55,10.575,10.48,10.48,16181
2023-01-18 15:00:00,10.62,10.62,10.5,10.55,106659
2023-01-18 14:00:00,10.69,10.69,10.64,10.64,4427
2023-01-18 13:00:00,10.7,10.7,10.66,10.69,3938
2023-01-18 12:00:00,10.76,10.76,10.69,10.71,7730
2023-01-18 11:00:00,10.79,10.8,10.76,10.76,8251
2023-01-18 10:00:00,10.86,10.86,10.76,10.78,1482
2023-01-17 17:00:00,10.84,10.84,10.84,10.84,626
2023-01-17 16:00:00,10.85,10.92,10.85,10.86,15304
2023-01-17 15:00:00,10.94,10.94,10.83,10.84,8727
2023-01-17 14:00:00,10.99,10.99,10.96,10.96,1832
2023-01-17 13:00:00,11.0,11.015,11.0,11.01,3363
2023-01-17 12:00:00,10.9899,11.01,10.985,11.01,2467
2023-01-17 11:00:00,10.97,10.99,10.945,10.99,2050
2023-01-17 10:00:00,11.08,11.08,10.93,10.93,3207
2023-01-13 17:00:00,11.14,11.14,11.14,11.14,1999
2023-01-13 16:00:00,11.08,11.14,11.08,11.13,12676
2023-01-13 15:00:00,11.05,11.09,11.05,11.08,3780
2023-01-13 14:00:00,10.97,11.03,10.96,11.025,10347
2023-01-13 13:00:00,10.97,10.99,10.95,10.97,2749
2023-01-13 12:00:00,10.865,10.96,10.86,10.96,4611
2023-01-13 11:00:00,10.86,10.865,10.82,10.8625,6065
2023-01-13 10:00:00,10.82,10.87,10.82,10.87,1634
2023-01-12 17:00:00,10.94,10.94,10.94,10.94,4388
2023-01-12 16:00:00,10.89,10.94,10.87,10.93,16626
2023-01-12 15:00:00,10.88,10.89,10.88,10.89,3064
2023-01-12 14:00:00,10.86,10.9,10.86,10.9,1969
2023-01-12 13:00:00,10.85,10.86,10.85,10.86,779
2023-01-12 12:00:00,10.84,10.8682,10.84,10.84,2899
2023-01-12 11:00:00,10.83,10.895,10.83,10.85,6468
2023-01-12 10:00:00,10.83,10.875,10.83,10.83,2405
2023-01-11 17:00:00,10.83,10.83,10.83,10.83,346
2023-01-11 16:00:00,10.83,10.84,10.81,10.82,11048
2023-01-11 15:00:00,10.82,10.84,10.81,10.82,4718
2023-01-11 14:00:00,10.81,10.83,10.81,10.825,1981
2023-01-11 13:00:00,10.82,10.82,10.82,10.82,324
2023-01-11 12:00:00,10.81,10.82,10.81,10.82,1626
2023-01-11 11:00:00,10.81,10.815,10.8,10.8,3464
2023-01-11 10:00:00,10.8,10.8,10.8,10.8,631
2023-01-10 17:00:00,10.8,10.8,10.8,10.8,289
2023-01-10 16:00:00,10.83,10.835,10.78,10.78,15188
2023-01-10 15:00:00,10.8353,10.85,10.83,10.85,1348
2023-01-10 14:00:00,10.78,10.83,10.78,10.83,1700
2023-01-10 13:00:00,10.76,10.79,10.76,10.79,1115
2023-01-10 12:00:00,10.565,10.79,10.565,10.75,15962
2023-01-10 11:00:00,10.82,10.845,10.51,10.51,91604
