time,open,high,low,close,volume
2022-01-21 17:00:00,15.44,15.44,15.44,15.44,4774
2022-01-21 16:00:00,15.515,15.7,15.41,15.44,65799
2022-01-21 15:00:00,15.63,15.845,15.525,15.525,12650
2022-01-21 14:00:00,15.75,15.7906,15.51,15.6,9294
2022-01-21 13:00:00,15.79,15.97,15.67,15.75,7060
2022-01-21 12:00:00,16.0782,16.32,15.74,15.7888,13225
2022-01-21 11:00:00,15.71,16.1581,15.23,16.05,33254
2022-01-21 10:00:00,15.55,15.99,15.37,15.72,29108
2022-01-20 17:00:00,15.76,15.76,15.76,15.76,199
2022-01-20 16:00:00,16.45,16.475,15.73,15.76,39466
2022-01-20 15:00:00,16.722,16.75,16.2311,16.375,17624
2022-01-20 14:00:00,16.81,16.86,16.65,16.7361,1610
2022-01-20 13:00:00,16.9,16.91,16.73,16.89,4299
2022-01-20 12:00:00,16.975,17.14,16.915,16.955,38994
2022-01-20 11:00:00,16.885,16.9899,16.68,16.97,8352
2022-01-20 10:00:00,16.57,17.01,16.545,16.94,34283
2022-01-19 17:00:00,16.48,16.48,16.48,16.48,1637
2022-01-19 16:00:00,16.835,16.87,16.47,16.47,36685
2022-01-19 15:00:00,16.99,16.99,16.78,16.86,13399
2022-01-19 14:00:00,17.17,17.17,16.82,16.98,9729
2022-01-19 13:00:00,16.93,17.11,16.785,16.98,25707
2022-01-19 12:00:00,16.8,17.06,16.58,16.93,30682
2022-01-19 11:00:00,17.2,17.25,16.61,16.76,16716
2022-01-19 10:00:00,17.31,17.31,16.96,17.21,21786
2022-01-18 17:00:00,16.97,16.97,16.97,16.97,1578
2022-01-18 16:00:00,17.22,17.265,16.905,16.98,72958
2022-01-18 15:00:00,17.41,17.46,17.21,17.22,44315
2022-01-18 14:00:00,17.605,17.61,17.32,17.4,30704
2022-01-18 13:00:00,17.76,17.875,17.62,17.65,8736
2022-01-18 12:00:00,17.4801,17.85,17.4101,17.78,19663
2022-01-18 11:00:00,17.585,17.81,17.44,17.46,18809
2022-01-18 10:00:00,18.02,18.1499,17.5403,17.62,22427
2022-01-14 17:00:00,18.49,18.49,18.49,18.49,371
2022-01-14 16:00:00,18.4196,18.64,18.3119,18.5,25660
2022-01-14 15:00:00,17.94,18.34,17.88,18.34,5528
2022-01-14 14:00:00,17.72,17.94,17.65,17.94,17188
2022-01-14 13:00:00,18.03,18.12,17.72,17.815,31298
2022-01-14 12:00:00,18.12,18.15,18.0,18.04,30353
2022-01-14 11:00:00,18.36,18.6,18.08,18.15,46190
2022-01-14 10:00:00,18.68,18.85,18.36,18.37,21566
2022-01-13 17:00:00,18.91,18.91,18.91,18.91,238
2022-01-13 16:00:00,18.735,18.99,18.64,18.94,39021
2022-01-13 15:00:00,18.74,18.79,18.66,18.735,25560
2022-01-13 14:00:00,18.68,18.86,18.61,18.79,21635
2022-01-13 13:00:00,18.87,18.94,18.58,18.67,8037
2022-01-13 12:00:00,18.59,19.1,18.52,18.9974,22690
2022-01-13 11:00:00,19.52,19.52,18.52,18.7,20952
2022-01-13 10:00:00,19.36,19.58,19.12,19.525,20009
2022-01-12 17:00:00,19.3,19.3,19.3,19.3,9461
2022-01-12 16:00:00,19.65,19.68,19.25,19.3,41372
2022-01-12 15:00:00,19.69,19.81,19.62,19.76,10030
2022-01-12 14:00:00,19.88,19.91,19.68,19.8,4021
2022-01-12 13:00:00,19.98,19.98,19.7909,19.88,5235
2022-01-12 12:00:00,19.7,19.95,19.565,19.95,15725
2022-01-12 11:00:00,19.8159,19.8159,19.48,19.63,23686
2022-01-12 10:00:00,20.19,20.215,19.81,19.85,5045
2022-01-11 17:00:00,20.12,20.12,20.12,20.12,226
2022-01-11 16:00:00,20.095,20.19,19.98,20.13,19298
2022-01-11 15:00:00,20.1,20.13,20.0175,20.09,10795
2022-01-11 14:00:00,20.23,20.325,20.1,20.1,9896
2022-01-11 13:00:00,20.42,20.46,20.1201,20.43,37977
2022-01-11 12:00:00,20.3,20.56,20.23,20.425,25394
2022-01-11 11:00:00,20.92,20.92,20.1855,20.1855,13399
2022-01-11 10:00:00,20.49,20.785,19.91,20.785,11802
2022-01-10 17:00:00,20.4,20.4,20.4,20.4,851
2022-01-10 16:00:00,20.255,20.4,20.165,20.38,35827
2022-01-10 15:00:00,20.22,20.47,20.2,20.23,8381
