time,open,high,low,close,volume
2022-09-20 17:00:00,2.17,2.17,2.17,2.17,1319
2022-09-20 16:00:00,2.16,2.19,2.16,2.18,19668
2022-09-20 15:00:00,2.16,2.18,2.1517,2.171,11066
2022-09-20 14:00:00,2.2,2.22,2.16,2.16,6630
2022-09-20 13:00:00,2.2555,2.2555,2.19,2.2,16761
2022-09-20 12:00:00,2.2,2.27,2.19,2.26,8575
2022-09-20 11:00:00,2.16,2.2,2.16,2.2,26253
2022-09-20 10:00:00,2.2,2.2,2.08,2.16,21463
2022-09-20 08:00:00,2.18,2.18,2.18,2.18,100
2022-09-19 19:00:00,2.18,2.18,2.18,2.18,100
2022-09-19 18:00:00,2.11,2.2001,2.11,2.2001,9180
2022-09-19 16:00:00,2.105,2.11,2.1,2.11,8571
2022-09-19 15:00:00,2.105,2.11,2.1,2.11,2854
2022-09-19 14:00:00,2.1,2.11,2.1,2.105,10230
2022-09-19 13:00:00,2.1,2.11,2.0918,2.1,1191
2022-09-19 12:00:00,2.0528,2.09,2.0528,2.09,2985
2022-09-19 11:00:00,2.07,2.075,2.04,2.05,6238
2022-09-19 10:00:00,2.1,2.1,2.06,2.08,7694
2022-09-16 16:00:00,2.06,2.1,2.05,2.1,47463
2022-09-16 15:00:00,2.01,2.06,2.01,2.0595,15874
2022-09-16 14:00:00,1.99,2.02,1.98,2.015,18246
2022-09-16 13:00:00,2.05,2.05,1.99,2.0,47848
2022-09-16 12:00:00,2.1,2.11,2.0337,2.05,22434
2022-09-16 11:00:00,2.14,2.14,2.032,2.105,35696
2022-09-16 10:00:00,2.12,2.21,2.0801,2.1,60914
2022-09-15 17:00:00,2.21,2.21,2.21,2.21,672
2022-09-15 16:00:00,2.22,2.23,2.15,2.2,40515
2022-09-15 15:00:00,2.28,2.28,2.22,2.22,34850
2022-09-15 14:00:00,2.27,2.31,2.26,2.28,17704
2022-09-15 13:00:00,2.22,2.27,2.2,2.27,22381
2022-09-15 12:00:00,2.18,2.23,2.14,2.22,21625
2022-09-15 11:00:00,2.152,2.24,2.152,2.185,39801
2022-09-15 10:00:00,2.13,2.19,2.125,2.19,4667
2022-09-15 09:00:00,2.15,2.15,2.15,2.15,2935
2022-09-14 16:00:00,2.1,2.12,2.1,2.115,18853
2022-09-14 15:00:00,2.1,2.11,2.1,2.108,23625
2022-09-14 14:00:00,2.1099,2.115,2.1,2.105,54963
2022-09-14 13:00:00,2.1399,2.1399,2.1039,2.1089,6872
2022-09-14 12:00:00,2.11,2.15,2.11,2.14,88146
2022-09-14 11:00:00,2.109,2.13,2.1,2.11,18141
2022-09-14 10:00:00,2.13,2.15,2.1,2.1099,10029
2022-09-13 17:00:00,2.14,2.14,2.14,2.14,4789
2022-09-13 16:00:00,2.17,2.18,2.115,2.135,68578
2022-09-13 15:00:00,2.19,2.19,2.17,2.175,6088
2022-09-13 14:00:00,2.18,2.2299,2.18,2.195,22138
2022-09-13 13:00:00,2.21,2.21,2.19,2.19,4345
2022-09-13 12:00:00,2.19,2.2055,2.1791,2.19,3203
2022-09-13 11:00:00,2.22,2.235,2.18,2.22,15896
2022-09-13 10:00:00,2.25,2.34,2.23,2.24,20425
2022-09-12 17:00:00,2.37,2.39,2.37,2.37,532
2022-09-12 16:00:00,2.34,2.39,2.34,2.37,24712
2022-09-12 15:00:00,2.34,2.35,2.335,2.34,6471
2022-09-12 14:00:00,2.3204,2.35,2.29,2.34,14406
2022-09-12 13:00:00,2.3123,2.34,2.31,2.34,7157
2022-09-12 12:00:00,2.315,2.33,2.305,2.3113,21488
2022-09-12 11:00:00,2.3,2.33,2.27,2.315,42598
2022-09-12 10:00:00,2.26,2.28,2.26,2.27,4529
2022-09-09 17:00:00,2.27,2.33,2.27,2.33,2852
2022-09-09 16:00:00,2.28,2.29,2.26,2.27,39156
2022-09-09 15:00:00,2.275,2.37,2.25,2.27,65814
2022-09-09 14:00:00,2.26,2.28,2.23,2.28,32883
2022-09-09 13:00:00,2.24,2.28,2.2262,2.25,10159
2022-09-09 12:00:00,2.25,2.2507,2.2237,2.2237,5029
2022-09-09 11:00:00,2.23,2.2482,2.19,2.2482,5086
2022-09-09 10:00:00,2.18,2.24,2.18,2.22,9980
2022-09-08 20:00:00,2.19,2.19,2.19,2.19,100
2022-09-08 18:00:00,2.11,2.11,2.11,2.11,262
2022-09-08 17:00:00,2.18,2.18,2.18,2.18,2029
2022-09-08 16:00:00,2.18,2.19,2.18,2.19,5504
2022-09-08 15:00:00,2.14,2.18,2.14,2.18,4892
2022-09-08 14:00:00,2.14,2.16,2.13,2.15,9559
2022-09-08 13:00:00,2.17,2.17,2.1267,2.15,6719
