time,open,high,low,close,volume
2022-05-20 17:00:00,7.72,7.72,7.72,7.72,861
2022-05-20 16:00:00,7.635,7.76,7.53,7.76,13072
2022-05-20 15:00:00,7.745,7.745,7.63,7.63,1963
2022-05-20 14:00:00,7.72,7.72,7.68,7.72,1624
2022-05-20 13:00:00,7.7301,7.84,7.7301,7.785,1674
2022-05-20 12:00:00,7.9,7.95,7.8501,7.8501,1884
2022-05-20 11:00:00,8.0,8.0566,7.9401,7.9401,2331
2022-05-20 10:00:00,8.18,8.18,8.0,8.0,1861
2022-05-19 17:00:00,8.129389,8.129389,8.122367,8.122367,4711
2022-05-19 16:00:00,8.23,8.31,8.02,8.08,15951
2022-05-19 15:00:00,8.14,8.26,8.13,8.26,8846
2022-05-19 14:00:00,7.724,8.13,7.724,8.12,6124
2022-05-19 13:00:00,7.72,7.72,7.72,7.72,109
2022-05-19 11:00:00,7.8767,7.9495,7.6701,7.7263,5514
2022-05-19 10:00:00,7.69,7.85,7.69,7.77,1005
2022-05-18 17:00:00,7.84,7.84,7.84,7.84,289
2022-05-18 16:00:00,7.8,7.85,7.65,7.84,19518
2022-05-18 15:00:00,7.95,7.99,7.8526,7.88,5724
2022-05-18 14:00:00,8.0,8.0,7.9891,8.0,4417
2022-05-18 13:00:00,7.9,7.945,7.8788,7.945,3256
2022-05-18 12:00:00,7.9318,7.9574,7.88,7.9084,5082
2022-05-18 11:00:00,7.96,7.9899,7.96,7.96,2215
2022-05-18 10:00:00,7.44,7.7,7.44,7.7,1332
2022-05-17 16:00:00,7.97,7.97,7.78,7.78,5648
2022-05-17 15:00:00,7.97,7.97,7.97,7.97,754
2022-05-17 14:00:00,7.9744,7.9744,7.9744,7.9744,103
2022-05-17 13:00:00,7.84,7.865,7.825,7.865,1134
2022-05-17 12:00:00,7.78,7.795,7.78,7.795,630
2022-05-17 11:00:00,7.78,7.785,7.7705,7.7705,391
2022-05-16 17:00:00,7.73,7.73,7.73,7.73,232
2022-05-16 16:00:00,7.785,7.7925,7.7,7.7,17514
2022-05-16 15:00:00,7.78,7.8299,7.7501,7.7501,888
2022-05-16 14:00:00,7.8,7.8,7.76,7.7661,1974
2022-05-16 13:00:00,7.8,7.8,7.8,7.8,160
2022-05-16 12:00:00,7.8,7.8,7.8,7.8,331
2022-05-16 11:00:00,7.76,7.875,7.74,7.86,3202
2022-05-16 10:00:00,7.96,7.9899,7.86,7.9881,1582
2022-05-13 16:00:00,7.9739,8.11,7.91,8.06,5364
2022-05-13 15:00:00,8.06,8.06,7.9,8.0,6337
2022-05-13 14:00:00,8.19,8.21,8.05,8.06,5819
2022-05-13 13:00:00,8.3198,8.3198,8.19,8.19,9816
2022-05-13 12:00:00,8.3356,8.35,8.23,8.295,8391
2022-05-13 11:00:00,8.23,8.35,8.2273,8.35,19369
2022-05-13 10:00:00,8.07,8.25,8.07,8.195,9806
2022-05-12 17:00:00,8.05,8.05,8.05,8.05,419
2022-05-12 16:00:00,7.915,8.13,7.89,8.11,17939
