time,open,high,low,close,volume
2022-09-20 17:00:00,3.19,3.19,3.19,3.19,2500
2022-09-20 16:00:00,3.225,3.2325,3.13,3.22,40633
2022-09-20 15:00:00,3.21,3.25,3.2,3.22,13448
2022-09-20 14:00:00,3.295,3.305,3.205,3.205,14465
2022-09-20 13:00:00,3.35,3.38,3.28,3.295,185577
2022-09-20 12:00:00,3.28,3.355,3.28,3.35,30076
2022-09-20 11:00:00,3.275,3.31,3.265,3.28,64707
2022-09-20 10:00:00,3.35,3.39,3.28,3.28,5095
2022-09-19 16:00:00,3.39,3.46,3.385,3.41,95715
2022-09-19 15:00:00,3.41,3.41,3.38,3.3894,118952
2022-09-19 14:00:00,3.415,3.4274,3.41,3.41,10154
2022-09-19 13:00:00,3.46,3.47,3.41,3.42,20414
2022-09-19 12:00:00,3.45,3.47,3.383,3.445,32787
2022-09-19 11:00:00,3.585,3.585,3.4,3.44,262521
2022-09-19 10:00:00,3.72,3.72,3.56,3.59,6657
2022-09-19 09:00:00,3.87,3.87,3.87,3.87,200
2022-09-16 17:00:00,3.77,3.77,3.77,3.77,143732
2022-09-16 16:00:00,3.795,3.85,3.73,3.76,262576
2022-09-16 15:00:00,3.8457,3.8457,3.78,3.79,24707
2022-09-16 14:00:00,3.9,3.9,3.81,3.85,32411
2022-09-16 13:00:00,4.0,4.02,3.91,3.92,17335
2022-09-16 12:00:00,3.95,4.02,3.94,3.97,14241
2022-09-16 11:00:00,3.88,4.02,3.8,3.955,33281
2022-09-16 10:00:00,3.95,3.97,3.88,3.89,9567
2022-09-15 17:00:00,4.07,4.07,4.07,4.07,1480
2022-09-15 16:00:00,4.14,4.16,4.09,4.11,28816
2022-09-15 15:00:00,4.12,4.15,4.12,4.14,3869
2022-09-15 14:00:00,4.145,4.18,4.13,4.15,7106
2022-09-15 13:00:00,4.05,4.12,4.05,4.12,2987
2022-09-15 12:00:00,3.985,4.06,3.98,4.04,4175
2022-09-15 11:00:00,4.0,4.07,4.0,4.01,13664
2022-09-15 10:00:00,3.93,4.035,3.93,4.02,3543
2022-09-14 16:00:00,3.91,3.96,3.88,3.95,34475
2022-09-14 15:00:00,3.89,3.925,3.88,3.925,7423
2022-09-14 14:00:00,3.96,3.98,3.89,3.89,28749
2022-09-14 13:00:00,3.99,4.0,3.955,3.96,4838
2022-09-14 12:00:00,4.08,4.08,3.9,3.98,32366
2022-09-14 11:00:00,4.1,4.12,4.05,4.095,4430
2022-09-14 10:00:00,4.07,4.1,4.028,4.06,1115
2022-09-13 17:00:00,4.08,4.08,4.08,4.08,472
2022-09-13 16:00:00,4.0658,4.095,4.04,4.06,28568
2022-09-13 15:00:00,4.09,4.09,4.0574,4.06,7170
2022-09-13 14:00:00,4.01,4.09,4.01,4.09,4268
2022-09-13 13:00:00,4.005,4.025,3.98,4.01,5781
2022-09-13 12:00:00,4.02,4.07,4.0,4.0,4837
2022-09-13 11:00:00,4.1,4.13,4.0,4.0566,8357
2022-09-13 10:00:00,4.0,4.1213,3.9,4.09,30218
2022-09-12 16:00:00,4.18,4.22,4.16,4.21,25774
2022-09-12 15:00:00,4.25,4.26,4.16,4.16,17627
2022-09-12 14:00:00,4.26,4.27,4.25,4.26,2567
2022-09-12 13:00:00,4.14,4.26,4.13,4.26,2988
2022-09-12 12:00:00,4.16,4.19,4.12,4.16,6542
2022-09-12 11:00:00,4.03,4.18,4.03,4.18,15609
2022-09-12 10:00:00,4.18,4.18,3.97,4.02,11193
2022-09-09 17:00:00,4.22,4.22,4.22,4.22,374
2022-09-09 16:00:00,4.205,4.26,4.15,4.19,25649
2022-09-09 15:00:00,4.22,4.22,4.15,4.18,4927
2022-09-09 14:00:00,4.25,4.265,4.22,4.22,3955
2022-09-09 13:00:00,4.155,4.25,4.14,4.245,5001
2022-09-09 12:00:00,4.22,4.22,4.11,4.13,13382
2022-09-09 11:00:00,4.46,4.485,4.22,4.22,17823
2022-09-09 10:00:00,4.41,4.47,4.285,4.47,8302
2022-09-08 17:00:00,4.42,4.42,4.42,4.42,1301
2022-09-08 16:00:00,4.26,4.4593,4.26,4.39,73662
2022-09-08 15:00:00,4.1918,4.3,4.185,4.245,46270
2022-09-08 14:00:00,4.2,4.24,4.14,4.17,14856
2022-09-08 13:00:00,4.22,4.23,4.0951,4.19,9052
2022-09-08 12:00:00,4.1068,4.3,4.07,4.2156,46890
2022-09-08 11:00:00,3.96,4.13,3.82,4.13,31849
2022-09-08 10:00:00,3.75,3.97,3.74,3.96,9814
2022-09-08 09:00:00,3.49,3.49,3.49,3.49,190
2022-09-07 16:00:00,3.74,3.76,3.685,3.75,71397
2022-09-07 15:00:00,3.7,3.76,3.68,3.74,36750
2022-09-07 14:00:00,3.52,3.69,3.52,3.69,52940
2022-09-07 13:00:00,3.5,3.52,3.45,3.52,22236
2022-09-07 12:00:00,3.54,3.575,3.485,3.5,21013
2022-09-07 11:00:00,3.675,3.735,3.53,3.53,33254
2022-09-07 10:00:00,3.59,3.69,3.59,3.675,24716
2022-09-06 17:00:00,3.6,3.6,3.6,3.6,229
2022-09-06 16:00:00,3.62,3.62,3.45,3.6,70619
2022-09-06 15:00:00,3.58,3.63,3.58,3.63,4620
2022-09-06 14:00:00,3.58,3.6,3.55,3.59,6736
2022-09-06 13:00:00,3.5,3.62,3.5,3.6,12954
2022-09-06 12:00:00,3.51,3.57,3.48,3.5,8096
2022-09-06 11:00:00,3.51,3.54,3.42,3.5,10498
2022-09-06 10:00:00,3.51,3.51,3.4286,3.49,8700
2022-09-02 18:00:00,3.57,3.57,3.57,3.57,1000
2022-09-02 17:00:00,3.4,3.4,3.4,3.4,172
2022-09-02 16:00:00,3.5,3.515,3.4301,3.48,68317
2022-09-02 15:00:00,3.52,3.53,3.45,3.49,31818
2022-09-02 14:00:00,3.555,3.58,3.51,3.52,10541
2022-09-02 13:00:00,3.59,3.6,3.5,3.5589,16101
2022-09-02 12:00:00,3.6,3.625,3.57,3.6,15910
2022-09-02 11:00:00,3.52,3.62,3.51,3.6,32740
2022-09-02 10:00:00,3.76,3.76,3.4,3.54,56968
2022-09-01 16:00:00,3.63,3.71,3.6,3.71,38292
2022-09-01 15:00:00,3.65,3.65,3.6296,3.6296,10639
2022-09-01 14:00:00,3.57,3.68,3.57,3.665,7843
2022-09-01 13:00:00,3.65,3.67,3.575,3.5801,29931
2022-09-01 12:00:00,3.725,3.77,3.6201,3.65,39390
2022-09-01 11:00:00,3.82,3.82,3.65,3.71,33507
2022-09-01 10:00:00,4.0,4.0,3.8101,3.8101,15109
2022-08-31 16:00:00,3.89,3.98,3.89,3.97,13777
2022-08-31 15:00:00,3.89,3.92,3.83,3.875,21589
2022-08-31 14:00:00,3.98,4.02,3.87,3.89,23697
2022-08-31 13:00:00,4.08,4.08,4.0,4.0,3008
2022-08-31 12:00:00,4.07,4.095,4.01,4.095,3630
2022-08-31 11:00:00,4.07,4.14,4.06,4.075,17655
2022-08-31 10:00:00,4.17,4.17,4.02,4.06,7185
2022-08-30 16:00:00,4.08,4.11,4.05,4.11,24720
2022-08-30 15:00:00,4.095,4.11,4.0498,4.08,8116
2022-08-30 14:00:00,4.05,4.11,4.01,4.1,11309
2022-08-30 13:00:00,3.95,4.041,3.95,4.04,26039
2022-08-30 12:00:00,4.02,4.02,3.96,3.97,18755
2022-08-30 11:00:00,4.09,4.18,4.0,4.01,47709
2022-08-30 10:00:00,4.28,4.28,4.16,4.16,5226
2022-08-29 16:00:00,4.27,4.285,4.17,4.22,21398
2022-08-29 15:00:00,4.27,4.32,4.24,4.265,6707
2022-08-29 14:00:00,4.25,4.315,4.245,4.27,17518
2022-08-29 13:00:00,4.21,4.31,4.18,4.25,15190
2022-08-29 12:00:00,4.21,4.22,4.185,4.2,7091
2022-08-29 11:00:00,4.2,4.275,4.19,4.2,12770
2022-08-29 10:00:00,4.1,4.22,4.0695,4.185,6333
2022-08-26 17:00:00,4.15,4.15,4.15,4.15,369
2022-08-26 16:00:00,4.19,4.19,4.12,4.17,46411
