time,open,high,low,close,volume
2021-07-27 17:00:00,14.94,14.94,14.94,14.94,4257
2021-07-27 16:00:00,15.055,15.08,14.91,14.93,73085
2021-07-27 15:00:00,15.06,15.11,15.0,15.055,29999
2021-07-27 14:00:00,14.98,15.11,14.97,15.05,36952
2021-07-27 13:00:00,15.01,15.14,14.94,14.99,37855
2021-07-27 12:00:00,14.97,15.06,14.86,15.04,49829
2021-07-27 11:00:00,14.86,15.1,14.82,15.04,53439
2021-07-27 10:00:00,14.77,14.91,14.63,14.845,29543
2021-07-26 17:00:00,14.96,14.96,14.96,14.96,4251
2021-07-26 16:00:00,14.94,15.11,14.88,14.96,125044
2021-07-26 15:00:00,14.82,15.01,14.72,14.965,31996
2021-07-26 14:00:00,14.72,14.89,14.72,14.82,30975
2021-07-26 13:00:00,14.9,14.94,14.7,14.73,28932
2021-07-26 12:00:00,14.88,15.08,14.86,14.9,113907
2021-07-26 11:00:00,15.09,15.2,14.83,14.88,31474
2021-07-26 10:00:00,15.07,15.14,14.81,15.055,20492
2021-07-23 17:00:00,15.01,15.01,15.01,15.01,8892
2021-07-23 16:00:00,15.03,15.075,14.99,15.02,67010
2021-07-23 15:00:00,15.05,15.1,14.99,15.03,33776
2021-07-23 14:00:00,15.05,15.15,15.025,15.05,42663
2021-07-23 13:00:00,15.02,15.12,14.99,15.06,35356
2021-07-23 12:00:00,14.85,15.1,14.84,15.03,28485
2021-07-23 11:00:00,14.8,14.88,14.7099,14.86,24724
2021-07-23 10:00:00,15.0,15.1,14.75,14.8447,11304
2021-07-22 17:00:00,14.9,14.9,14.9,14.9,6679
2021-07-22 16:00:00,15.105,15.11,14.79,14.94,112254
2021-07-22 15:00:00,15.03,15.14,15.01,15.105,19759
2021-07-22 14:00:00,15.05,15.15,14.92,15.07,28087
2021-07-22 13:00:00,14.991,15.115,14.9,15.05,28067
2021-07-22 12:00:00,15.11,15.15,15.0,15.01,36338
2021-07-22 11:00:00,15.255,15.4,15.118,15.19,99118
2021-07-22 10:00:00,15.36,15.61,15.15,15.22,41302
2021-07-21 17:00:00,15.35,15.35,15.35,15.35,3820
2021-07-21 16:00:00,15.37,15.37,15.22,15.37,142773
2021-07-21 15:00:00,15.37,15.44,15.33,15.38,72007
2021-07-21 14:00:00,15.41,15.42,15.31,15.37,56701
2021-07-21 13:00:00,15.38,15.45,15.28,15.4,65356
2021-07-21 12:00:00,15.23,15.41,15.22,15.4,56443
2021-07-21 11:00:00,15.22,15.38,15.14,15.205,65764
2021-07-21 10:00:00,15.03,15.28,14.73,15.28,22876
2021-07-20 17:00:00,14.93,14.93,14.93,14.93,80119
2021-07-20 16:00:00,14.9,15.1,14.87,14.92,125830
2021-07-20 15:00:00,14.92,15.0,14.84,14.915,71721
2021-07-20 14:00:00,14.84,14.95,14.75,14.93,69897
2021-07-20 13:00:00,14.78,14.93,14.66,14.84,68030
2021-07-20 12:00:00,14.7,14.9,14.65,14.78,68371
2021-07-20 11:00:00,14.43,14.7,14.31,14.7,80687
2021-07-20 10:00:00,14.02,14.39,13.95,14.39,52710
2021-07-19 17:00:00,13.97,13.97,13.97,13.97,8396
2021-07-19 16:00:00,14.05,14.14,13.9,13.96,113485
2021-07-19 15:00:00,14.02,14.12,13.94,14.05,53884
2021-07-19 14:00:00,14.035,14.16,13.94,14.01,43325
2021-07-19 13:00:00,14.4196,14.4196,14.01,14.02,49907
2021-07-19 12:00:00,13.89,14.42,13.89,14.42,56574
2021-07-19 11:00:00,13.6227,14.2,13.54,13.905,192496
2021-07-19 10:00:00,14.2,14.32,13.63,13.67,105253
2021-07-19 09:00:00,14.1,14.1,14.1,14.1,535
2021-07-16 17:00:00,14.45,14.45,14.45,14.45,5103
2021-07-16 16:00:00,14.35,14.46,14.25,14.43,179845
2021-07-16 15:00:00,14.55,14.56,14.35,14.39,52962
2021-07-16 14:00:00,14.63,14.64,14.41,14.53,80692
2021-07-16 13:00:00,14.98,15.0,14.57,14.66,62919
2021-07-16 12:00:00,14.98,15.09,14.8,14.96,62400
2021-07-16 11:00:00,15.32,15.33,14.76,14.98,125929
2021-07-16 10:00:00,16.205,16.205,15.26,15.28,47731
2021-07-15 17:00:00,15.77,15.77,15.77,15.77,3435
2021-07-15 16:00:00,15.68,15.79,15.635,15.79,101919
2021-07-15 15:00:00,15.51,15.68,15.4848,15.68,39456
2021-07-15 14:00:00,15.79,15.81,15.47,15.53,45146
2021-07-15 13:00:00,15.915,15.915,15.78,15.79,34518
2021-07-15 12:00:00,15.93,15.95,15.86,15.93,57702
2021-07-15 11:00:00,15.87,16.0,15.75,15.91,87086
2021-07-15 10:00:00,15.89,15.95,15.5,15.79,23017
2021-07-15 09:00:00,15.7001,15.7001,15.7,15.7,1636
2021-07-14 17:00:00,15.88,15.88,15.88,15.88,8981
2021-07-14 16:00:00,16.05,16.09,15.86,15.87,214371
2021-07-14 15:00:00,16.02,16.105,16.0001,16.06,37551
2021-07-14 14:00:00,16.235,16.235,15.97,16.02,30577
2021-07-14 13:00:00,16.13,16.29,16.09,16.22,37187
2021-07-14 12:00:00,16.0,16.14,15.95,16.13,42644
2021-07-14 11:00:00,16.18,16.23,15.8,16.0,126093
2021-07-14 10:00:00,16.25,16.33,16.12,16.22,23418
2021-07-13 17:00:00,16.25,16.25,16.25,16.25,1640
2021-07-13 16:00:00,16.29,16.38,16.19,16.27,108606
2021-07-13 15:00:00,16.27,16.31,16.24,16.31,64786
2021-07-13 14:00:00,16.39,16.41,16.24,16.31,37092
2021-07-13 13:00:00,16.41,16.49,16.33,16.38,29811
2021-07-13 12:00:00,16.3,16.46,16.3,16.41,28391
2021-07-13 11:00:00,16.6,16.65,16.17,16.33,91071
