time,open,high,low,close,volume
2021-07-26 19:00:00,4.91,4.9101,4.91,4.9101,2300
2021-07-26 18:00:00,4.905,4.905,4.905,4.905,100
2021-07-26 16:00:00,4.8283,4.87,4.81,4.87,60225
2021-07-26 15:00:00,4.845,4.87,4.81,4.825,46426
2021-07-26 14:00:00,4.815,4.85,4.8001,4.845,19997
2021-07-26 13:00:00,4.81,4.835,4.77,4.81,24789
2021-07-26 12:00:00,4.82,4.8246,4.76,4.81,38403
2021-07-26 11:00:00,4.819,4.88,4.8027,4.82,23757
2021-07-26 10:00:00,4.82,4.86,4.805,4.81,48094
2021-07-26 09:00:00,4.82,4.82,4.82,4.82,2400
2021-07-26 08:00:00,4.96,4.96,4.96,4.96,121
2021-07-23 16:00:00,4.79,4.81,4.74,4.8,73020
2021-07-23 15:00:00,4.71,4.81,4.705,4.79,48332
2021-07-23 14:00:00,4.66,4.71,4.65,4.71,23038
2021-07-23 13:00:00,4.63,4.6593,4.62,4.655,16725
2021-07-23 12:00:00,4.6399,4.6399,4.615,4.625,31312
2021-07-23 11:00:00,4.5967,4.63,4.55,4.63,31931
2021-07-23 10:00:00,4.68,4.71,4.59,4.6,21088
2021-07-22 16:00:00,4.62,4.64,4.5916,4.64,39438
2021-07-22 15:00:00,4.595,4.67,4.59,4.62,25280
2021-07-22 14:00:00,4.59,4.62,4.58,4.6,33752
2021-07-22 13:00:00,4.57,4.61,4.56,4.58,6889
2021-07-22 12:00:00,4.6,4.6,4.57,4.5777,9620
2021-07-22 11:00:00,4.62,4.6387,4.56,4.6,20969
2021-07-22 10:00:00,4.67,4.67,4.605,4.63,31879
2021-07-22 08:00:00,4.67,4.67,4.67,4.67,300
2021-07-21 16:00:00,4.605,4.65,4.6,4.61,37688
2021-07-21 15:00:00,4.58,4.63,4.58,4.62,18227
2021-07-21 14:00:00,4.54,4.58,4.53,4.58,26488
2021-07-21 13:00:00,4.57,4.6,4.54,4.54,28573
2021-07-21 12:00:00,4.5299,4.56,4.51,4.555,16046
2021-07-21 11:00:00,4.55,4.57,4.52,4.53,33890
2021-07-21 10:00:00,4.47,4.58,4.47,4.5401,28894
2021-07-20 16:00:00,4.4199,4.47,4.4,4.4,51810
2021-07-20 15:00:00,4.375,4.419,4.375,4.4,10986
2021-07-20 14:00:00,4.39,4.4,4.33,4.37,94337
2021-07-20 13:00:00,4.42,4.44,4.37,4.4,59429
2021-07-20 12:00:00,4.42,4.44,4.4,4.43,37357
2021-07-20 11:00:00,4.33,4.4,4.3,4.4,37908
2021-07-20 10:00:00,4.3,4.3436,4.26,4.33,16319
2021-07-20 09:00:00,4.4,4.4,4.36,4.36,1750
2021-07-19 19:00:00,4.32,4.32,4.32,4.32,1400
2021-07-19 17:00:00,4.25,4.25,4.25,4.25,300
2021-07-19 16:00:00,4.26,4.274,4.23,4.24,36431
2021-07-19 15:00:00,4.24,4.27,4.2394,4.25,20579
2021-07-19 14:00:00,4.24,4.2688,4.21,4.24,22925
2021-07-19 13:00:00,4.3349,4.3349,4.21,4.2337,30775
2021-07-19 12:00:00,4.22,4.33,4.22,4.32,72474
2021-07-19 11:00:00,4.17,4.3,4.08,4.22,115141
2021-07-19 10:00:00,4.15,4.221,4.105,4.17,102274
2021-07-19 09:00:00,4.23,4.23,4.21,4.21,1950
2021-07-16 18:00:00,4.24,4.24,4.23,4.23,1000
2021-07-16 16:00:00,4.25,4.285,4.24,4.27,169586
2021-07-16 15:00:00,4.255,4.29,4.25,4.25,32673
2021-07-16 14:00:00,4.25,4.31,4.24,4.2503,40457
2021-07-16 13:00:00,4.325,4.3293,4.24,4.2537,74899
2021-07-16 12:00:00,4.38,4.39,4.32,4.325,94838
2021-07-16 11:00:00,4.48,4.48,4.36,4.39,84318
2021-07-16 10:00:00,4.57,4.57,4.47,4.47,22460
2021-07-15 16:00:00,4.535,4.56,4.5,4.5,38609
2021-07-15 15:00:00,4.53,4.55,4.51,4.53,47853
2021-07-15 14:00:00,4.56,4.56,4.51,4.55,25278
2021-07-15 13:00:00,4.57,4.57,4.5201,4.57,16855
2021-07-15 12:00:00,4.57,4.58,4.5329,4.57,12026
2021-07-15 11:00:00,4.525,4.55,4.49,4.55,26309
2021-07-15 10:00:00,4.44,4.5199,4.44,4.5199,25299
2021-07-14 17:00:00,4.41,4.41,4.41,4.41,341
2021-07-14 16:00:00,4.471,4.49,4.38,4.38,106400
2021-07-14 15:00:00,4.48,4.49,4.45,4.47,50996
