time,open,high,low,close,volume
2023-03-17 16:00:00,7.41,7.41,7.4,7.4,443
2023-03-17 15:00:00,7.45,7.45,7.45,7.45,451
2023-03-17 14:00:00,7.73,7.73,7.45,7.45,202
2023-03-17 13:00:00,7.48,7.48,7.4,7.45,1399
2023-03-17 10:00:00,7.86,7.86,7.86,7.86,250
2023-03-16 16:00:00,6.94,7.255,6.92,7.255,1265
2023-03-15 16:00:00,7.06,7.13,6.91,6.91,1832
2023-03-15 15:00:00,6.75,7.0,6.7499,6.89,3471
2023-03-15 14:00:00,6.57,6.57,6.57,6.57,204
2023-03-15 12:00:00,7.1,7.1,6.39,6.39,2069
2023-03-15 10:00:00,6.98,6.98,6.98,6.98,243
2023-03-14 16:00:00,7.1,7.34,6.62,6.62,6294
2023-03-14 15:00:00,7.2,7.29,7.11,7.28,3902
2023-03-14 14:00:00,6.92,7.06,6.62,7.05,3236
2023-03-14 13:00:00,7.0899,7.0899,7.0899,7.0899,130
2023-03-14 10:00:00,6.75,6.75,6.75,6.75,215
2023-03-14 09:00:00,7.63,7.63,7.63,7.63,100
2023-03-13 16:00:00,6.97,7.27,6.755,7.27,11192
2023-03-13 15:00:00,6.975,6.975,6.81,6.97,691
2023-03-13 14:00:00,6.5261,7.13,6.5261,7.13,1442
2023-03-13 13:00:00,6.75,7.65,6.6,7.0,9243
2023-03-13 12:00:00,6.46,6.8,6.25,6.8,11972
2023-03-13 11:00:00,6.1,6.48,6.03,6.48,11133
2023-03-13 10:00:00,6.1,6.1,6.02,6.02,2941
2023-03-10 16:00:00,6.8612,6.92,6.055,6.25,6504
2023-03-10 15:00:00,6.99,7.05,6.99,7.05,875
2023-03-10 14:00:00,6.94,6.94,6.9,6.9207,1011
2023-03-10 13:00:00,6.86,6.86,6.86,6.86,100
2023-03-10 12:00:00,6.95,6.95,6.95,6.95,100
2023-03-10 11:00:00,7.19,7.19,6.8302,7.095,3532
2023-03-10 10:00:00,7.7,7.7,6.82,6.82,1847
2023-03-09 16:00:00,6.965,7.33,6.95,7.33,8501
2023-03-09 15:00:00,6.8252,7.0,6.8252,7.0,1021
2023-03-09 14:00:00,6.8304,7.05,6.8304,6.97,1233
2023-03-09 13:00:00,6.8,7.23,6.8,7.17,14469
2023-03-09 12:00:00,6.9479,7.08,6.8256,7.08,3884
2023-03-09 11:00:00,7.31,7.31,6.68,6.802,9528
2023-03-09 10:00:00,7.2,7.62,7.2,7.425,1000
2023-03-08 16:00:00,7.91,7.99,7.39,7.3901,6066
2023-03-08 15:00:00,8.22,8.82,7.81,7.81,30166
2023-03-08 14:00:00,8.24,8.35,8.22,8.22,2322
2023-03-08 11:00:00,8.2001,8.45,8.2001,8.21,470
2023-03-08 10:00:00,8.51,8.51,8.51,8.51,836
2023-03-07 16:00:00,8.54,8.72,8.2,8.72,2028
2023-03-07 15:00:00,8.69,8.8497,8.69,8.8497,565
2023-03-07 14:00:00,8.92,9.18,8.65,8.7,11882
2023-03-07 13:00:00,8.9,8.9,8.9,8.9,262
2023-03-07 12:00:00,8.6,8.9201,8.475,8.875,6296
2023-03-07 11:00:00,8.52,8.7,8.5,8.51,1729
2023-03-06 16:00:00,8.75,9.475,8.45,8.45,6968
2023-03-06 15:00:00,8.04,8.7,8.04,8.68,7768
2023-03-06 14:00:00,8.565,8.565,8.565,8.565,100
2023-03-06 12:00:00,8.5001,9.3,8.5001,8.83,1202
2023-03-06 11:00:00,7.6901,8.4975,7.3,8.4975,911
2023-03-06 10:00:00,8.53,8.53,8.53,8.53,182
2023-03-03 16:00:00,8.78,8.87,8.35,8.35,1636
2023-03-03 13:00:00,8.78,8.78,8.7,8.7,200
2023-03-03 12:00:00,8.71,8.87,8.65,8.87,960
2023-03-03 11:00:00,9.0,9.07,8.61,8.61,2927
2023-03-03 10:00:00,8.73,8.73,8.73,8.73,196
2023-03-02 16:00:00,8.48,9.0,8.295,8.295,6582
2023-03-02 15:00:00,8.47,8.68,8.44,8.68,1171
2023-03-02 14:00:00,8.55,8.55,8.08,8.5,2597
2023-03-02 13:00:00,8.45,8.53,8.45,8.53,400
2023-03-02 12:00:00,8.47,8.52,8.47,8.52,296
2023-03-02 11:00:00,8.06,8.335,8.06,8.335,1141
2023-03-02 10:00:00,8.15,8.51,8.15,8.41,678
2023-03-01 16:00:00,8.1001,8.4,8.0,8.285,10772
2023-03-01 13:00:00,8.2,8.25,8.0,8.0,600
2023-03-01 12:00:00,8.075,8.22,8.075,8.22,429
2023-03-01 10:00:00,8.06,8.06,8.06,8.06,225
2023-02-28 16:00:00,7.6534,8.19,7.6534,8.095,9313
2023-02-28 13:00:00,7.95,8.0,7.95,8.0,746
2023-02-28 12:00:00,7.96,7.995,7.5,7.95,8807
2023-02-28 11:00:00,8.2153,8.2153,8.2153,8.2153,350
2023-02-28 10:00:00,7.3,8.26,7.3,8.26,700
2023-02-27 16:00:00,8.05,8.095,8.0,8.01,3864
2023-02-27 15:00:00,7.92,8.14,7.804,8.03,6036
2023-02-27 14:00:00,7.82,7.96,7.82,7.94,1609
2023-02-27 13:00:00,7.82,7.96,7.68,7.96,1361
2023-02-27 12:00:00,7.6,7.76,7.57,7.66,3665
2023-02-27 11:00:00,7.59,7.59,7.455,7.455,500
2023-02-27 10:00:00,7.63,7.63,7.275,7.275,9318
2023-02-24 16:00:00,7.86,7.86,7.34,7.685,15489
2023-02-24 15:00:00,7.41,7.44,7.22,7.22,1187
2023-02-24 14:00:00,7.4,7.4,7.16,7.16,646
2023-02-24 13:00:00,7.33,7.35,7.33,7.35,1875
2023-02-24 12:00:00,7.3,7.3,7.3,7.3,200
2023-02-24 11:00:00,7.3,7.33,6.85,7.285,37637
2023-02-24 10:00:00,8.74,8.74,6.91,6.91,18201
2023-02-23 16:00:00,8.22,8.65,8.22,8.65,11326
2023-02-23 14:00:00,8.2201,8.3674,8.2201,8.3674,1800
2023-02-23 13:00:00,8.6367,8.6367,8.6367,8.6367,176
2023-02-23 11:00:00,8.3806,8.3806,8.3806,8.3806,200
2023-02-23 10:00:00,8.66,8.66,8.66,8.66,2748
2023-02-22 16:00:00,8.51,8.58,8.19,8.4,3732
2023-02-22 15:00:00,8.64,8.64,8.49,8.49,200
2023-02-22 14:00:00,8.435,8.48,8.43,8.48,601
2023-02-22 13:00:00,8.43,8.545,8.43,8.435,915
2023-02-22 12:00:00,8.79,8.8,8.425,8.425,10810
2023-02-22 11:00:00,8.61,8.8,8.51,8.8,6865
2023-02-22 10:00:00,8.72,8.73,8.6,8.6,6731
2023-02-21 16:00:00,8.55,8.72,8.505,8.72,1505
2023-02-21 11:00:00,8.47,8.47,8.47,8.47,600
2023-02-21 10:00:00,8.54,8.83,8.54,8.74,1127
