time,open,high,low,close,volume
2022-09-19 20:00:00,3.83,3.89,3.82,3.85,22069
2022-09-19 19:00:00,3.87,3.89,3.83,3.83,43054
2022-09-19 18:00:00,3.85,3.9,3.85,3.8899,41487
2022-09-19 17:00:00,3.89,3.89,3.84,3.85,243455
2022-09-19 16:00:00,3.9792,4.04,3.86,3.8833,4332416
2022-09-19 15:00:00,3.915,4.04,3.88,3.97,5025556
2022-09-19 14:00:00,4.0093,4.11,3.88,3.915,6629242
2022-09-19 13:00:00,3.8793,4.13,3.875,4.0093,10612543
2022-09-19 12:00:00,3.8535,4.04,3.84,3.875,6706962
2022-09-19 11:00:00,3.9699,4.03,3.77,3.85,13259706
2022-09-19 10:00:00,4.08,4.11,3.72,3.96,14661316
2022-09-19 09:00:00,3.77,4.18,3.4888,4.09,3433052
2022-09-19 08:00:00,3.68,3.93,3.62,3.88,809165
2022-09-19 07:00:00,3.5,3.7,3.22,3.68,486564
2022-09-16 20:00:00,2.81,2.81,2.81,2.81,500
2022-09-16 18:00:00,2.85,2.85,2.85,2.85,180
2022-09-16 17:00:00,2.79,2.79,2.79,2.79,216137
2022-09-16 16:00:00,2.75,2.81,2.745,2.79,389868
2022-09-16 15:00:00,2.765,2.82,2.75,2.75,154060
2022-09-16 14:00:00,2.725,2.765,2.7,2.765,152174
2022-09-16 13:00:00,2.765,2.77,2.685,2.725,156927
2022-09-16 12:00:00,2.7701,2.775,2.735,2.765,62900
2022-09-16 11:00:00,2.73,2.82,2.725,2.77,123205
2022-09-16 10:00:00,2.84,2.86,2.72,2.729,173313
2022-09-15 20:00:00,2.85,2.85,2.85,2.85,200
2022-09-15 18:00:00,2.9088,2.9088,2.9088,2.9088,200
2022-09-15 17:00:00,2.88,2.88,2.88,2.88,4094
2022-09-15 16:00:00,2.87,2.8892,2.82,2.87,214768
2022-09-15 15:00:00,2.885,2.885,2.83,2.87,77011
2022-09-15 14:00:00,2.905,2.935,2.88,2.885,60598
2022-09-15 13:00:00,2.93,2.935,2.88,2.905,98373
2022-09-15 12:00:00,2.92,2.955,2.89,2.93,91064
2022-09-15 11:00:00,2.96,3.0,2.91,2.93,185008
2022-09-15 10:00:00,2.85,2.98,2.77,2.96,176235
2022-09-15 09:00:00,2.9,2.9,2.9,2.9,500
2022-09-14 19:00:00,2.99,2.99,2.99,2.99,3000
2022-09-14 17:00:00,2.92,2.92,2.92,2.92,140
2022-09-14 16:00:00,2.87,2.8781,2.84,2.85,207284
2022-09-14 15:00:00,2.88,2.885,2.8515,2.865,124787
2022-09-14 14:00:00,2.89,2.9,2.87,2.885,154822
2022-09-14 13:00:00,2.905,2.91,2.865,2.895,75647
2022-09-14 12:00:00,2.9299,2.93,2.88,2.91,150708
2022-09-14 11:00:00,2.8797,2.9599,2.87,2.925,228020
2022-09-14 10:00:00,3.04,3.18,2.87,2.87,80433
2022-09-13 17:00:00,3.04,3.05,3.04,3.05,2258
2022-09-13 16:00:00,3.11,3.11,2.96,3.04,467020
2022-09-13 15:00:00,3.105,3.115,3.0606,3.1,209275
2022-09-13 14:00:00,3.12,3.13,3.1,3.105,51041
2022-09-13 13:00:00,3.0707,3.15,3.07,3.12,305272
2022-09-13 12:00:00,3.12,3.125,3.06,3.075,212298
2022-09-13 11:00:00,3.235,3.28,3.08,3.13,186741
2022-09-13 10:00:00,3.17,3.265,3.12,3.2375,255778
2022-09-13 09:00:00,3.34,3.34,3.03,3.27,12898
2022-09-12 18:00:00,3.38,3.38,3.33,3.33,1378
2022-09-12 17:00:00,3.4,3.4,3.4,3.4,3758
2022-09-12 16:00:00,3.39,3.43,3.38,3.38,283831
2022-09-12 15:00:00,3.45,3.465,3.385,3.39,116857
2022-09-12 14:00:00,3.375,3.4488,3.37,3.4445,87923
2022-09-12 13:00:00,3.345,3.425,3.345,3.37,97067
