time,open,high,low,close,volume
2022-11-18 17:00:00,3.0,3.0,3.0,3.0,5634
2022-11-18 16:00:00,3.03,3.035,2.97,3.005,234526
2022-11-18 15:00:00,3.05,3.06,2.995,3.025,126837
2022-11-18 14:00:00,3.08,3.08,3.04,3.05,78600
2022-11-18 13:00:00,3.055,3.1,3.05,3.08,87132
2022-11-18 12:00:00,3.085,3.105,3.05,3.05,78124
2022-11-18 11:00:00,3.125,3.15,3.08,3.085,144315
2022-11-18 10:00:00,3.16,3.185,3.0857,3.13,139149
2022-11-17 17:00:00,3.06,3.06,3.06,3.06,2172
2022-11-17 16:00:00,3.035,3.07,3.0209,3.06,161450
2022-11-17 15:00:00,3.05,3.055,3.025,3.035,94058
2022-11-17 14:00:00,3.08,3.085,3.0537,3.0537,66006
2022-11-17 13:00:00,3.105,3.11,3.045,3.08,140001
2022-11-17 12:00:00,3.115,3.155,3.095,3.1,217355
2022-11-17 11:00:00,3.075,3.135,3.075,3.115,76422
2022-11-17 10:00:00,3.06,3.145,3.055,3.07,103449
2022-11-16 17:00:00,3.15,3.15,3.15,3.15,23778
2022-11-16 16:00:00,3.165,3.17,3.11,3.165,214491
2022-11-16 15:00:00,3.165,3.18,3.14,3.165,105923
2022-11-16 14:00:00,3.215,3.22,3.16,3.16,84771
2022-11-16 13:00:00,3.23,3.272,3.21,3.215,105085
2022-11-16 12:00:00,3.255,3.27,3.21,3.23,47739
2022-11-16 11:00:00,3.285,3.295,3.24,3.255,75766
2022-11-16 10:00:00,3.34,3.37,3.26,3.285,57154
2022-11-15 17:00:00,3.38,3.38,3.38,3.38,13497
2022-11-15 16:00:00,3.375,3.385,3.325,3.38,267102
2022-11-15 15:00:00,3.36,3.38,3.33,3.371,93314
2022-11-15 14:00:00,3.41,3.43,3.355,3.36,84989
2022-11-15 13:00:00,3.4,3.415,3.3704,3.41,85167
2022-11-15 12:00:00,3.42,3.44,3.39,3.4,74210
2022-11-15 11:00:00,3.4,3.46,3.385,3.42,114733
2022-11-15 10:00:00,3.36,3.45,3.325,3.39,87761
2022-11-15 09:00:00,3.33,3.4,3.33,3.36,861
2022-11-14 17:00:00,3.27,3.27,3.27,3.27,13249
2022-11-14 16:00:00,3.265,3.32,3.245,3.28,374952
2022-11-14 15:00:00,3.275,3.285,3.26,3.2655,87341
2022-11-14 14:00:00,3.24,3.31,3.235,3.275,125269
2022-11-14 13:00:00,3.325,3.3299,3.24,3.24,84349
2022-11-14 12:00:00,3.395,3.415,3.32,3.32,129716
2022-11-14 11:00:00,3.53,3.54,3.39,3.3911,128449
2022-11-14 10:00:00,3.6,3.67,3.525,3.525,115133
2022-11-11 17:00:00,3.59,3.59,3.59,3.59,8594
2022-11-11 16:00:00,3.525,3.61,3.485,3.59,713674
2022-11-11 15:00:00,3.53,3.54,3.505,3.525,108548
2022-11-11 14:00:00,3.5185,3.535,3.515,3.535,107333
2022-11-11 13:00:00,3.5,3.535,3.495,3.5101,193862
2022-11-11 12:00:00,3.475,3.54,3.475,3.505,303875
2022-11-11 11:00:00,3.44,3.49,3.42,3.475,817613
2022-11-11 10:00:00,3.39,3.4454,3.34,3.44,70344
2022-11-10 17:00:00,3.38,3.38,3.38,3.38,20298
2022-11-10 16:00:00,3.425,3.4501,3.39,3.39,560216
2022-11-10 15:00:00,3.4,3.435,3.38,3.425,311284
2022-11-10 14:00:00,3.38,3.4297,3.375,3.395,377238
2022-11-10 13:00:00,3.3609,3.38,3.3,3.375,242537
2022-11-10 12:00:00,3.355,3.38,3.32,3.36,370295
2022-11-10 11:00:00,3.305,3.3957,3.29,3.355,218121
2022-11-10 10:00:00,3.42,3.42,3.22,3.305,205944
2022-11-10 09:00:00,3.16,3.489,3.16,3.489,6746
2022-11-09 20:00:00,3.22,3.22,3.22,3.22,191
2022-11-09 19:00:00,3.22,3.22,3.22,3.22,450
2022-11-09 17:00:00,3.23,3.23,3.15,3.15,6416
2022-11-09 16:00:00,3.135,3.255,3.135,3.23,511299
2022-11-09 15:00:00,3.205,3.22,3.08,3.13,527902
2022-11-09 14:00:00,3.27,3.3,3.17,3.205,244564
2022-11-09 13:00:00,3.1556,3.28,3.095,3.27,361329
2022-11-09 12:00:00,3.2201,3.33,3.13,3.155,462140
2022-11-09 11:00:00,3.15,3.3182,3.13,3.23,596405
2022-11-09 10:00:00,2.85,3.23,2.66,3.15,570885
2022-11-09 09:00:00,2.9601,2.9601,2.83,2.84,29857
2022-11-09 08:00:00,2.82,3.1,2.82,2.9,4703
2022-11-09 07:00:00,2.95,2.95,2.95,2.95,193
2022-11-09 05:00:00,2.85,2.86,2.85,2.86,947
2022-11-08 17:00:00,2.63,2.63,2.63,2.63,16671
2022-11-08 16:00:00,2.588,2.67,2.585,2.65,662284
2022-11-08 15:00:00,2.65,2.655,2.565,2.585,406770
2022-11-08 14:00:00,2.765,2.7698,2.65,2.65,133853
2022-11-08 13:00:00,2.745,2.77,2.72,2.765,269002
2022-11-08 12:00:00,2.805,2.815,2.74,2.755,339545
2022-11-08 11:00:00,2.76,2.82,2.745,2.805,191847
2022-11-08 10:00:00,2.83,2.83,2.73,2.7599,101741
2022-11-07 17:00:00,2.78,2.78,2.78,2.78,5555
2022-11-07 16:00:00,2.76,2.79,2.755,2.775,418714
2022-11-07 15:00:00,2.785,2.81,2.765,2.765,252665
2022-11-07 14:00:00,2.79,2.82,2.765,2.79,213997
2022-11-07 13:00:00,2.795,2.81,2.7637,2.785,256661
2022-11-07 12:00:00,2.77,2.84,2.76,2.795,185680
2022-11-07 11:00:00,2.78,2.8,2.74,2.77,128080
2022-11-07 10:00:00,2.82,2.82,2.755,2.7799,68328
2022-11-07 09:00:00,2.78,2.78,2.78,2.78,151
2022-11-04 17:00:00,2.78,2.78,2.78,2.78,6906
2022-11-04 16:00:00,2.765,2.79,2.7544,2.78,212221
2022-11-04 15:00:00,2.75,2.775,2.745,2.765,99322
2022-11-04 14:00:00,2.75,2.76,2.738,2.74,114623
2022-11-04 13:00:00,2.77,2.775,2.74,2.75,160241
2022-11-04 12:00:00,2.8,2.84,2.77,2.77,156249
2022-11-04 11:00:00,2.79,2.854,2.775,2.8,336140
2022-11-04 10:00:00,2.69,2.81,2.68,2.785,251858
2022-11-03 17:00:00,2.69,2.69,2.69,2.69,5232
2022-11-03 16:00:00,2.675,2.705,2.66,2.685,244684
2022-11-03 15:00:00,2.655,2.675,2.65,2.67,95118
2022-11-03 14:00:00,2.665,2.675,2.645,2.65,105063
2022-11-03 13:00:00,2.668,2.685,2.65,2.665,90803
2022-11-03 12:00:00,2.705,2.715,2.655,2.67,119447
2022-11-03 11:00:00,2.65,2.715,2.64,2.71,94320
2022-11-03 10:00:00,2.62,2.69,2.615,2.65,81497
2022-11-02 17:00:00,2.65,2.65,2.65,2.65,24060
2022-11-02 16:00:00,2.69,2.715,2.63,2.64,282418
2022-11-02 15:00:00,2.71,2.77,2.68,2.69,171437
2022-11-02 14:00:00,2.705,2.715,2.695,2.705,98942
2022-11-02 13:00:00,2.71,2.715,2.68,2.705,114525
2022-11-02 12:00:00,2.6955,2.715,2.685,2.71,100358
2022-11-02 11:00:00,2.69,2.73,2.69,2.695,111723
2022-11-02 10:00:00,2.67,2.715,2.6,2.69,149455
2022-11-02 09:00:00,2.7699,2.7699,2.69,2.69,2959
2022-11-01 20:00:00,2.77,2.77,2.77,2.77,197
2022-11-01 18:00:00,2.74,2.82,2.74,2.82,1677
2022-11-01 17:00:00,2.72,2.74,2.72,2.74,15748
2022-11-01 16:00:00,2.725,2.745,2.7,2.735,584945
2022-11-01 15:00:00,2.73,2.755,2.705,2.73,267821
2022-11-01 14:00:00,2.72,2.75,2.695,2.735,273013
2022-11-01 13:00:00,2.72,2.72,2.69,2.72,258772
2022-11-01 12:00:00,2.655,2.72,2.615,2.7183,279509
2022-11-01 11:00:00,2.55,2.6745,2.545,2.655,481477
2022-11-01 10:00:00,2.49,2.565,2.475,2.555,203203
2022-10-31 17:00:00,2.46,2.46,2.46,2.46,14476
2022-10-31 16:00:00,2.445,2.47,2.445,2.47,118129
2022-10-31 15:00:00,2.445,2.46,2.445,2.445,37223
2022-10-31 14:00:00,2.445,2.47,2.445,2.445,36697
2022-10-31 13:00:00,2.455,2.47,2.44,2.445,27331
2022-10-31 12:00:00,2.4,2.4789,2.395,2.4579,198868
2022-10-31 11:00:00,2.39,2.425,2.355,2.395,175199
2022-10-31 10:00:00,2.39,2.39,2.35,2.385,103401
