time,open,high,low,close,volume
2023-01-17 17:00:00,11.73,11.73,11.73,11.73,526
2023-01-17 16:00:00,11.67,11.76,11.65,11.73,14391
2023-01-17 15:00:00,11.86,11.87,11.67,11.67,5165
2023-01-17 14:00:00,11.83,11.87,11.79,11.86,13299
2023-01-17 13:00:00,11.77,11.86,11.75,11.8,10148
2023-01-17 12:00:00,11.58,11.77,11.57,11.77,9504
2023-01-17 11:00:00,11.685,11.685,11.5816,11.5816,7918
2023-01-17 10:00:00,11.82,11.82,11.67,11.67,3041
2023-01-13 17:00:00,11.8,11.8,11.8,11.8,2507
2023-01-13 16:00:00,11.75,11.825,11.73,11.8,22608
2023-01-13 15:00:00,11.87,11.915,11.76,11.76,13265
2023-01-13 14:00:00,11.82,11.87,11.82,11.865,7252
2023-01-13 13:00:00,11.82,11.86,11.79,11.84,10969
2023-01-13 12:00:00,11.77,11.82,11.77,11.81,3416
2023-01-13 11:00:00,11.7626,11.7897,11.67,11.76,10599
2023-01-13 10:00:00,11.78,11.78,11.66,11.71,1825
2023-01-12 17:00:00,11.77,11.77,11.77,11.77,6181
2023-01-12 16:00:00,11.72,11.77,11.68,11.77,22062
2023-01-12 15:00:00,11.81,11.83,11.6,11.71,16298
2023-01-12 14:00:00,11.85,11.86,11.76,11.81,5968
2023-01-12 13:00:00,11.74,11.84,11.74,11.84,7393
2023-01-12 12:00:00,11.68,11.73,11.66,11.72,9657
2023-01-12 11:00:00,11.7301,11.81,11.68,11.71,10890
2023-01-12 10:00:00,11.8,11.8,11.7,11.75,6383
2023-01-11 17:00:00,11.76,11.76,11.76,11.76,2747
2023-01-11 16:00:00,11.63,11.76,11.63,11.76,37880
2023-01-11 15:00:00,11.56,11.62,11.56,11.62,8170
2023-01-11 14:00:00,11.55,11.59,11.55,11.57,4455
2023-01-11 13:00:00,11.64,11.67,11.54,11.54,4456
2023-01-11 12:00:00,11.625,11.64,11.58,11.64,4477
2023-01-11 11:00:00,11.61,11.64,11.59,11.63,11006
2023-01-11 10:00:00,11.52,11.6,11.52,11.6,2781
2023-01-10 17:00:00,11.45,11.45,11.45,11.45,3906
2023-01-10 16:00:00,11.29,11.45,11.29,11.45,30064
2023-01-10 15:00:00,11.27,11.285,11.24,11.285,5737
2023-01-10 14:00:00,11.22,11.26,11.21,11.26,5980
2023-01-10 13:00:00,11.12,11.22,11.11,11.22,4901
2023-01-10 12:00:00,11.14,11.15,11.115,11.13,3261
2023-01-10 11:00:00,10.93,11.12,10.93,11.12,16853
2023-01-10 10:00:00,10.98,11.16,10.94,10.945,3320
2023-01-09 16:00:00,11.04,11.07,11.025,11.05,23840
2023-01-09 15:00:00,11.0845,11.12,11.04,11.04,11663
2023-01-09 14:00:00,11.14,11.16,11.05,11.09,9757
2023-01-09 13:00:00,11.13,11.14,11.085,11.13,10196
2023-01-09 12:00:00,11.05,11.15,11.05,11.13,6411
2023-01-09 11:00:00,10.915,11.05,10.89,11.04,19440
2023-01-09 10:00:00,10.89,10.96,10.78,10.92,13654
2023-01-06 17:00:00,10.81,10.81,10.81,10.81,3944
2023-01-06 16:00:00,10.75,10.81,10.75,10.81,29348
2023-01-06 15:00:00,10.64,10.75,10.62,10.75,9836
2023-01-06 14:00:00,10.61,10.72,10.6,10.67,5638
2023-01-06 13:00:00,10.6675,10.6675,10.57,10.58,4750
2023-01-06 12:00:00,10.78,10.78,10.62,10.67,14524
2023-01-06 11:00:00,10.45,10.78,10.4489,10.78,15434
2023-01-06 10:00:00,10.28,10.41,10.28,10.41,4435
2023-01-06 09:00:00,10.28,10.28,10.28,10.28,356
2023-01-05 17:00:00,10.25,10.25,10.25,10.25,677
2023-01-05 16:00:00,10.225,10.27,10.18,10.23,19980
2023-01-05 15:00:00,10.25,10.25,10.215,10.23,3469
2023-01-05 14:00:00,10.14,10.2783,10.11,10.24,14629
2023-01-05 13:00:00,10.09,10.12,10.07,10.12,3944
2023-01-05 12:00:00,10.15,10.15,10.05,10.07,6613
2023-01-05 11:00:00,10.18,10.24,10.15,10.15,6734
2023-01-05 10:00:00,10.3,10.3,10.135,10.21,28650
2023-01-04 17:00:00,10.26,10.26,10.26,10.26,864
2023-01-04 16:00:00,10.34,10.35,10.25,10.25,36445
2023-01-04 15:00:00,10.405,10.45,10.3,10.33,13479
2023-01-04 14:00:00,10.42,10.44,10.4,10.42,5215
2023-01-04 13:00:00,10.47,10.49,10.42,10.43,4605
2023-01-04 12:00:00,10.46,10.49,10.43,10.478,5267
2023-01-04 11:00:00,10.45,10.47,10.41,10.465,17104
2023-01-04 10:00:00,10.45,10.53,10.39,10.46,12241
2023-01-03 17:00:00,10.32,10.32,10.32,10.32,2876
2023-01-03 16:00:00,10.34,10.36,10.31,10.32,19168
2023-01-03 15:00:00,10.36,10.38,10.26,10.38,12721
2023-01-03 14:00:00,10.29,10.39,10.29,10.39,8157
2023-01-03 13:00:00,10.19,10.34,10.19,10.28,12946
2023-01-03 12:00:00,10.32,10.33,10.19,10.2,10464
2023-01-03 11:00:00,10.25,10.31,10.23,10.31,25763
2023-01-03 10:00:00,10.3,10.46,10.22,10.23,13806
2022-12-30 17:00:00,10.22,10.22,10.22,10.22,4701
