time,open,high,low,close,volume
2022-12-19 20:00:00,6.6,6.61,6.6,6.61,6652
2022-12-19 19:00:00,6.61,6.61,6.61,6.61,1000
2022-12-19 17:00:00,6.67,6.67,6.67,6.67,42636
2022-12-19 16:00:00,6.795,6.8,6.66,6.67,151985
2022-12-19 15:00:00,6.725,6.845,6.69,6.795,32501
2022-12-19 14:00:00,6.812,6.87,6.715,6.725,58975
2022-12-19 13:00:00,6.77,6.83,6.735,6.81,31650
2022-12-19 12:00:00,6.9,6.93,6.76,6.775,56718
2022-12-19 11:00:00,6.91,6.9895,6.89,6.92,42064
2022-12-19 10:00:00,7.14,7.15,6.85,6.8972,41539
2022-12-19 09:00:00,7.14,7.14,7.14,7.14,625
2022-12-16 17:00:00,7.13,7.13,7.02,7.02,10667
2022-12-16 16:00:00,7.185,7.22,7.115,7.12,139651
2022-12-16 15:00:00,7.14,7.21,7.115,7.19,35121
2022-12-16 14:00:00,7.165,7.2,7.13,7.15,34436
2022-12-16 13:00:00,7.3,7.32,7.16,7.16,37714
2022-12-16 12:00:00,7.28,7.4,7.23,7.31,36470
2022-12-16 11:00:00,7.3,7.31,7.21,7.27,71581
2022-12-16 10:00:00,7.38,7.44,7.29,7.33,141223
2022-12-16 09:00:00,7.7899,7.7899,7.7899,7.7899,100
2022-12-15 20:00:00,7.49,7.49,7.49,7.49,300
2022-12-15 18:00:00,7.49,7.49,7.49,7.49,572
2022-12-15 17:00:00,7.48,7.48,7.48,7.48,21439
2022-12-15 16:00:00,7.57,7.58,7.45,7.46,170788
2022-12-15 15:00:00,7.62,7.65,7.565,7.57,61393
2022-12-15 14:00:00,7.815,7.815,7.593,7.615,39955
2022-12-15 13:00:00,7.895,7.945,7.8,7.8,46058
2022-12-15 12:00:00,7.85,7.915,7.8,7.9,60902
2022-12-15 11:00:00,7.76,7.89,7.66,7.83,94144
2022-12-15 10:00:00,7.57,7.9879,7.57,7.77,86910
2022-12-14 17:00:00,7.85,7.85,7.85,7.85,24386
2022-12-14 16:00:00,7.78,7.975,7.74,7.85,177361
2022-12-14 15:00:00,8.08,8.08,7.56,7.7662,249415
2022-12-14 14:00:00,8.03,8.12,8.02,8.08,44345
2022-12-14 13:00:00,7.97,8.12,7.9,8.05,102471
2022-12-14 12:00:00,7.84,7.99,7.81,7.9643,92550
2022-12-14 11:00:00,7.67,7.91,7.615,7.8329,95366
2022-12-14 10:00:00,7.73,7.75,7.52,7.71,47799
