time,open,high,low,close,volume
2021-10-25 20:00:00,9.85,9.98,9.85,9.98,500
2021-10-25 19:00:00,9.85,9.85,9.85,9.85,355
2021-10-25 18:00:00,9.75,9.84,9.73,9.78,1035
2021-10-25 17:00:00,9.8,9.81,9.8,9.8,552
2021-10-25 16:00:00,9.82,9.88,9.68,9.79,80126
2021-10-25 15:00:00,9.75,9.9,9.7,9.8016,47110
2021-10-25 14:00:00,9.775,10.3945,9.6101,9.7564,423597
2021-10-25 13:00:00,9.695,9.84,9.69,9.7699,28922
2021-10-25 12:00:00,9.809,9.822,9.6,9.705,39594
2021-10-25 11:00:00,9.5701,9.849,9.45,9.7822,87919
2021-10-25 10:00:00,9.72,9.77,9.261,9.53,97457
2021-10-25 09:00:00,9.8899,9.98,9.56,9.88,11264
2021-10-25 08:00:00,9.55,9.9,9.55,9.9,2028
2021-10-22 20:00:00,9.42,9.42,9.42,9.42,200
2021-10-22 19:00:00,9.53,9.53,9.53,9.53,298
2021-10-22 18:00:00,9.4,9.4132,9.4,9.4,3722
2021-10-22 17:00:00,9.53,9.53,9.38,9.4,4495
2021-10-22 16:00:00,9.515,9.595,9.26,9.51,184899
2021-10-22 15:00:00,9.22,9.68,9.1935,9.507,163219
2021-10-22 14:00:00,9.27,9.3589,9.15,9.2443,114029
2021-10-22 13:00:00,9.2,9.4199,9.1,9.27,163631
2021-10-22 12:00:00,9.665,9.6786,9.02,9.2025,205289
2021-10-22 11:00:00,9.31,11.1699,9.2,9.6799,1920374
2021-10-22 10:00:00,8.75,9.36,8.646,9.35,119666
2021-10-22 09:00:00,8.8,8.9397,8.64,8.64,3012
2021-10-22 08:00:00,8.85,8.85,8.85,8.85,998
2021-10-21 19:00:00,8.7,8.7,8.7,8.7,695
2021-10-21 18:00:00,8.85,8.85,8.85,8.85,100
2021-10-21 17:00:00,8.86,8.86,8.86,8.86,400
2021-10-21 16:00:00,8.855,8.9372,8.76,8.86,18430
2021-10-21 15:00:00,8.898,8.9399,8.855,8.88,14549
2021-10-21 14:00:00,8.8468,9.0194,8.8446,8.8904,52054
2021-10-21 13:00:00,8.57,8.97,8.57,8.8989,105727
2021-10-21 12:00:00,8.73,8.78,8.5,8.5201,36555
