time,open,high,low,close,volume
2022-07-21 17:00:00,8.02,8.02,8.02,8.02,28199
2022-07-21 16:00:00,7.96,8.02,7.93,8.02,102470
2022-07-21 15:00:00,7.99,8.05,7.94,7.965,38624
2022-07-21 14:00:00,8.025,8.08,7.955,7.98,73568
2022-07-21 13:00:00,7.9,8.05,7.9,8.025,55029
2022-07-21 12:00:00,7.8106,7.93,7.805,7.905,49471
2022-07-21 11:00:00,8.03,8.085,7.77,7.81,255937
2022-07-21 10:00:00,8.03,8.1583,7.97,8.04,107368
2022-07-21 09:00:00,8.196,8.196,8.03,8.07,1693
2022-07-20 20:00:00,8.02,8.02,8.02,8.02,250
2022-07-20 19:00:00,7.94,7.94,7.94,7.94,800
2022-07-20 17:00:00,8.03,8.03,8.0,8.0,14814
2022-07-20 16:00:00,8.13,8.17,7.99,8.02,180973
2022-07-20 15:00:00,8.1,8.15,8.08,8.135,60751
2022-07-20 14:00:00,8.045,8.135,7.97,8.07,86800
2022-07-20 13:00:00,8.195,8.21,8.01,8.05,102970
2022-07-20 12:00:00,8.2501,8.28,8.18,8.195,145473
2022-07-20 11:00:00,8.135,8.33,8.12,8.26,199478
2022-07-20 10:00:00,8.03,8.35,7.925,8.13,156740
2022-07-20 07:00:00,7.94,7.94,7.94,7.94,100
2022-07-20 05:00:00,8.15,8.15,8.15,8.15,296
2022-07-19 20:00:00,8.0,8.0,7.99,7.99,550
2022-07-19 19:00:00,8.11,8.11,8.11,8.11,200
2022-07-19 18:00:00,8.0,8.0952,8.0,8.0952,400
2022-07-19 17:00:00,7.97,8.02,7.97,8.02,13245
2022-07-19 16:00:00,8.05,8.06,7.95,7.975,214949
2022-07-19 15:00:00,8.04,8.145,7.951,8.035,197758
2022-07-19 14:00:00,8.09,8.09,7.93,8.04,147428
2022-07-19 13:00:00,7.91,8.11,7.91,8.085,303457
2022-07-19 12:00:00,7.75,7.91,7.735,7.91,192071
2022-07-19 11:00:00,7.48,7.78,7.42,7.7299,294789
2022-07-19 10:00:00,7.32,7.53,7.2631,7.4807,212256
2022-07-19 09:00:00,7.26,7.27,7.26,7.27,2243
2022-07-19 08:00:00,7.27,7.27,7.27,7.27,109
2022-07-18 18:00:00,7.18,7.18,7.18,7.18,603
2022-07-18 17:00:00,7.2,7.2,7.18,7.18,20711
2022-07-18 16:00:00,7.09,7.22,7.0738,7.2,223545
2022-07-18 15:00:00,7.1,7.175,7.06,7.095,123937
2022-07-18 14:00:00,7.2,7.225,7.06,7.1,125827
2022-07-18 13:00:00,7.24,7.29,7.19,7.195,108377
2022-07-18 12:00:00,7.2,7.288,7.2,7.24,122031
2022-07-18 11:00:00,7.115,7.2,6.97,7.195,241206
2022-07-18 10:00:00,7.12,7.22,7.04,7.0899,185588
2022-07-18 09:00:00,7.0301,7.12,7.0301,7.11,791
2022-07-18 05:00:00,6.96,6.96,6.96,6.96,165
2022-07-15 19:00:00,6.95,6.95,6.95,6.95,2900
2022-07-15 17:00:00,6.94,6.99,6.94,6.98,5466
2022-07-15 16:00:00,6.915,7.0,6.91,6.96,286477
2022-07-15 15:00:00,6.87,7.06,6.815,6.925,359305
2022-07-15 14:00:00,6.82,6.88,6.815,6.86,37912
2022-07-15 13:00:00,6.7,6.82,6.685,6.815,67045
2022-07-15 12:00:00,6.5645,6.71,6.545,6.694,101223
2022-07-15 11:00:00,6.74,6.828,6.4899,6.5742,256531
2022-07-15 10:00:00,7.19,7.19,6.67,6.71,128294
2022-07-15 09:00:00,6.9699,6.97,6.95,6.97,2081
2022-07-15 07:00:00,7.0,7.0,7.0,7.0,100
2022-07-14 20:00:00,6.97,6.98,6.97,6.98,200
2022-07-14 18:00:00,6.91,6.91,6.91,6.91,120
2022-07-14 16:00:00,6.99,6.99,6.89,6.91,100201
2022-07-14 15:00:00,6.985,7.06,6.96,6.985,100744
2022-07-14 14:00:00,6.945,7.0,6.915,6.985,77397
2022-07-14 13:00:00,6.92,6.95,6.8775,6.94,67911
2022-07-14 12:00:00,6.87,6.915,6.79,6.895,116086
2022-07-14 11:00:00,6.87,6.97,6.795,6.86,144427
2022-07-14 10:00:00,6.99,7.08,6.8237,6.875,88173
2022-07-14 09:00:00,7.01,7.05,7.0,7.0,1890
2022-07-13 19:00:00,7.01,7.01,7.01,7.01,200
2022-07-13 17:00:00,7.07,7.07,7.07,7.07,994
2022-07-13 16:00:00,7.13,7.175,7.06,7.07,142294
2022-07-13 15:00:00,7.12,7.1778,7.035,7.13,76616
2022-07-13 14:00:00,7.08,7.13,7.04,7.12,69697
2022-07-13 13:00:00,7.03,7.09,7.0,7.08,45083
2022-07-13 12:00:00,7.1,7.16,7.0105,7.04,41597
2022-07-13 11:00:00,7.14,7.19,6.98,7.11,120351
2022-07-13 10:00:00,6.93,7.27,6.9,7.17,99304
2022-07-13 09:00:00,7.21,7.21,6.85,6.94,5630
2022-07-13 08:00:00,7.18,7.18,7.18,7.18,550
2022-07-13 06:00:00,7.14,7.14,7.14,7.14,1910
2022-07-12 19:00:00,7.14,7.14,7.14,7.14,485
2022-07-12 18:00:00,7.09,7.09,7.09,7.09,200
2022-07-12 16:00:00,7.06,7.17,6.975,7.16,121866
2022-07-12 15:00:00,7.1,7.175,7.06,7.065,123608
2022-07-12 14:00:00,7.02,7.16,6.98,7.105,87827
2022-07-12 13:00:00,6.97,7.075,6.96,7.02,69283
2022-07-12 12:00:00,6.8576,6.98,6.84,6.965,107077
2022-07-12 11:00:00,6.84,6.93,6.77,6.845,96531
2022-07-12 10:00:00,6.82,7.03,6.82,6.845,90483
2022-07-12 09:00:00,6.82,6.82,6.82,6.82,100
2022-07-11 20:00:00,6.84,6.84,6.84,6.84,500
2022-07-11 17:00:00,6.81,6.85,6.79,6.84,6456
2022-07-11 16:00:00,6.89,6.915,6.79,6.81,138939
2022-07-11 15:00:00,6.94,6.942,6.885,6.895,44017
2022-07-11 14:00:00,6.9,6.97,6.895,6.95,50490
2022-07-11 13:00:00,6.86,6.925,6.84,6.89,57180
2022-07-11 12:00:00,6.89,6.93,6.85,6.86,53217
2022-07-11 11:00:00,6.87,7.06,6.85,6.89,178534
2022-07-11 10:00:00,7.17,7.23,6.86,6.9,122850
2022-07-11 08:00:00,7.11,7.23,7.11,7.23,940
2022-07-08 17:00:00,7.25,7.25,7.25,7.25,18356
2022-07-08 16:00:00,7.26,7.31,7.21,7.24,135868
2022-07-08 15:00:00,7.17,7.2699,7.1575,7.2695,32949
2022-07-08 14:00:00,7.14,7.22,7.12,7.16,52457
2022-07-08 13:00:00,7.33,7.34,7.1,7.1499,111417
2022-07-08 12:00:00,7.43,7.45,7.3,7.345,59360
2022-07-08 11:00:00,7.28,7.4605,7.28,7.42,112313
2022-07-08 10:00:00,7.4,7.44,7.21,7.29,97008
2022-07-08 09:00:00,7.4301,7.4301,7.38,7.38,3130
2022-07-07 20:00:00,7.33,7.33,7.33,7.33,115
2022-07-07 19:00:00,7.46,7.46,7.46,7.46,401
2022-07-07 17:00:00,7.46,7.46,7.4,7.4,14178
2022-07-07 16:00:00,7.535,7.545,7.435,7.48,140675
2022-07-07 15:00:00,7.582,7.59,7.52,7.535,77574
2022-07-07 14:00:00,7.515,7.58,7.46,7.58,82592
2022-07-07 13:00:00,7.45,7.5463,7.42,7.52,83102
2022-07-07 12:00:00,7.5,7.505,7.345,7.44,91178
2022-07-07 11:00:00,7.425,7.5,7.29,7.5,138572
2022-07-07 10:00:00,7.35,7.49,7.24,7.4101,68261
2022-07-07 09:00:00,7.25,7.25,7.25,7.25,423
2022-07-06 20:00:00,7.27,7.27,7.27,7.27,250
2022-07-06 18:00:00,7.2101,7.31,7.21,7.26,2264
2022-07-06 17:00:00,7.24,7.24,7.2,7.2,13002
2022-07-06 16:00:00,7.3606,7.3606,7.22,7.23,153837
2022-07-06 15:00:00,7.24,7.41,7.18,7.3608,100111
2022-07-06 14:00:00,7.22,7.255,7.175,7.25,41945
2022-07-06 13:00:00,7.1799,7.295,7.15,7.215,71806
2022-07-06 12:00:00,7.352,7.36,7.13,7.18,103367
2022-07-06 11:00:00,7.35,7.49,7.2901,7.355,235784
2022-07-06 10:00:00,7.33,7.45,7.06,7.37,172219
2022-07-06 09:00:00,7.26,7.31,7.24,7.29,1469
2022-07-06 08:00:00,7.37,7.37,7.37,7.37,100
