time,open,high,low,close,volume,ticker,percent_change,spike
2022-07-22 16:00:00,2.25,2.25,2.23,2.25,7826,BIVI,,False
2022-07-22 15:00:00,2.26,2.26,2.2,2.25,1525,BIVI,0.0,False
2022-07-22 14:00:00,2.25,2.27,2.24,2.26,4458,BIVI,0.4444444444444251,False
2022-07-22 13:00:00,2.2498,2.27,2.235,2.27,5946,BIVI,0.4424778761062065,False
2022-07-22 12:00:00,2.2595,2.27,2.2,2.26,14558,BIVI,-0.440528634361248,False
2022-07-22 11:00:00,2.215,2.27,2.16,2.27,10799,BIVI,0.4424778761062065,False
2022-07-22 10:00:00,2.27,2.27,2.18,2.1818,14215,BIVI,-3.885462555066077,False
2022-07-21 20:00:00,2.13,2.13,2.13,2.13,474,BIVI,-2.3741864515537614,False
2022-07-21 16:00:00,2.12,2.12,2.09,2.1,3205,BIVI,-1.4084507042253391,False
2022-07-21 15:00:00,2.1687,2.1687,2.08,2.11,2488,BIVI,0.4761904761904745,False
2022-07-21 14:00:00,2.045,2.18,2.0203,2.06,49095,BIVI,-2.369668246445489,False
2022-07-21 13:00:00,2.01,2.05,2.0,2.05,8315,BIVI,-0.4854368932038944,False
2022-07-21 12:00:00,1.9899,2.01,1.98,2.01,7246,BIVI,-1.9512195121951237,False
2022-07-21 11:00:00,1.949,1.9899,1.949,1.98,1152,BIVI,-1.492537313432829,False
2022-07-21 10:00:00,1.89,1.95,1.87,1.95,2160,BIVI,-1.5151515151515138,False
2022-07-20 16:00:00,1.89,1.94,1.89,1.92,1180,BIVI,-1.538461538461544,False
2022-07-20 15:00:00,1.8883,1.9099,1.8883,1.9,3913,BIVI,-1.041666666666663,False
2022-07-20 14:00:00,1.9501,1.9501,1.91,1.9171,7994,BIVI,0.9000000000000119,False
2022-07-20 13:00:00,1.95,1.96,1.95,1.9502,5501,BIVI,1.7265661676490573,False
2022-07-20 12:00:00,1.96,1.96,1.9585,1.96,2554,BIVI,0.5025125628140614,False
2022-07-20 11:00:00,1.93,1.9525,1.91,1.9525,2323,BIVI,-0.3826530612244916,False
2022-07-19 16:00:00,1.93,1.95,1.93,1.94,637,BIVI,-0.6402048655569814,False
2022-07-19 14:00:00,1.94,2.0,1.91,1.9212,12739,BIVI,-0.969072164948448,False
2022-07-19 13:00:00,1.9001,1.9001,1.9001,1.9001,500,BIVI,-1.0982719133874719,False
2022-07-19 12:00:00,1.9161,1.9599,1.9161,1.9599,3050,BIVI,3.147202778801117,False
2022-07-19 11:00:00,1.9,1.93,1.9,1.93,3201,BIVI,-1.5255880402061384,False
2022-07-19 10:00:00,1.91,1.91,1.8675,1.8867,10364,BIVI,-2.243523316062168,False
2022-07-18 16:00:00,1.8801,1.8801,1.87,1.87,5062,BIVI,-0.8851433720252211,False
2022-07-18 15:00:00,1.887,1.8965,1.885,1.8965,760,BIVI,1.4171122994652396,False
2022-07-18 13:00:00,1.87,1.87,1.87,1.87,100,BIVI,-1.3973108357500652,False
2022-07-18 11:00:00,1.95,1.9505,1.8801,1.8801,7999,BIVI,0.540106951871655,False
2022-07-18 10:00:00,1.7933,1.97,1.7933,1.97,11664,BIVI,4.781660549970734,False
2022-07-15 18:00:00,1.76,1.76,1.75,1.75,1900,BIVI,-11.16751269035533,False
2022-07-15 16:00:00,1.77,1.8,1.77,1.79,4287,BIVI,2.285714285714291,False
2022-07-15 15:00:00,1.8,1.8,1.75,1.75,7767,BIVI,-2.2346368715083775,False
2022-07-15 14:00:00,1.82,1.82,1.8,1.8,1096,BIVI,2.857142857142869,False
2022-07-15 12:00:00,1.8207,1.9,1.82,1.8699,11885,BIVI,3.8833333333333275,False
2022-07-15 10:00:00,1.84,1.85,1.8296,1.8447,4230,BIVI,-1.3476656505695406,False
2022-07-14 16:00:00,1.7947,1.84,1.7947,1.84,4128,BIVI,-0.2547839757142012,False
2022-07-14 15:00:00,1.78,1.81,1.78,1.8,2425,BIVI,-2.1739130434782594,False
2022-07-14 14:00:00,1.7476,1.78,1.7476,1.78,2654,BIVI,-1.1111111111111072,False
2022-07-14 13:00:00,1.74,1.74,1.74,1.74,100,BIVI,-2.2471910112359605,False
2022-07-14 12:00:00,1.7631,1.7631,1.72,1.72,1862,BIVI,-1.1494252873563204,False
2022-07-14 11:00:00,1.86,1.86,1.72,1.7262,11349,BIVI,0.36046511627907396,False
2022-07-14 10:00:00,1.8609,1.8609,1.8609,1.8609,385,BIVI,7.803267292318394,False
2022-07-13 16:00:00,1.88,1.88,1.87,1.87,2578,BIVI,0.4890106937503358,False
2022-07-13 14:00:00,1.885,1.89,1.88,1.88,2588,BIVI,0.53475935828875,False
2022-07-13 13:00:00,1.89,1.89,1.8899,1.8899,2158,BIVI,0.5265957446808578,False
2022-07-13 12:00:00,1.88,1.89,1.88,1.89,6203,BIVI,0.005291285253194999,False
2022-07-13 11:00:00,1.86,1.8823,1.86,1.8713,1600,BIVI,-0.9894179894179844,False
2022-07-13 10:00:00,1.79,1.87,1.79,1.8101,902,BIVI,-3.2704536952920416,False
2022-07-12 16:00:00,1.83,1.88,1.83,1.88,7501,BIVI,3.8616651013756,False
2022-07-12 15:00:00,1.85,1.89,1.85,1.89,4900,BIVI,0.5319148936170137,False
2022-07-12 14:00:00,1.83,1.88,1.83,1.88,5602,BIVI,-0.5291005291005346,False
2022-07-12 13:00:00,1.84,1.84,1.76,1.76,200,BIVI,-6.382978723404253,False
