time,open,high,low,close,volume,ticker,percent_change,spike
2022-12-16 17:00:00,3.05,3.05,3.05,3.05,36010,DC,,False
2022-12-16 16:00:00,3.06,3.28,2.99,3.01,396288,DC,-1.3114754098360715,False
2022-12-16 15:00:00,3.02,3.1,3.02,3.06,6233,DC,1.661129568106312,False
2022-12-16 14:00:00,3.07,3.1,3.03,3.03,6359,DC,-0.9803921568627527,False
2022-12-16 13:00:00,3.03,3.07,3.03,3.06,10465,DC,0.990099009900991,False
2022-12-16 12:00:00,2.99,3.04,2.99,3.03,32520,DC,-0.9803921568627527,False
2022-12-16 11:00:00,3.18,3.18,2.99,2.99,19120,DC,-1.3201320132013028,False
2022-12-16 10:00:00,3.15,3.215,3.01,3.18,83572,DC,6.35451505016722,False
2022-12-15 17:00:00,2.98,2.98,2.98,2.98,2969,DC,-6.289308176100638,False
2022-12-15 16:00:00,3.08,3.09,2.99,3.0,28344,DC,0.6711409395973256,False
2022-12-15 15:00:00,3.0272,3.0895,3.02,3.06,10361,DC,2.0000000000000018,False
2022-12-15 14:00:00,3.08,3.08,3.02,3.02,17701,DC,-1.3071895424836666,False
2022-12-15 13:00:00,3.25,3.31,3.07,3.07,69240,DC,1.655629139072845,False
2022-12-15 12:00:00,3.115,3.26,3.0604,3.26,37862,DC,6.1889250814332275,False
2022-12-15 11:00:00,3.05,3.13,3.0,3.115,17359,DC,-4.447852760736182,False
2022-12-15 10:00:00,3.09,3.09,3.065,3.0738,1838,DC,-1.3226324237560316,False
2022-12-14 17:00:00,3.14,3.14,3.14,3.14,2911,DC,2.1536859912811623,False
2022-12-14 16:00:00,3.2563,3.28,3.11,3.18,26269,DC,1.273885350318471,False
2022-12-14 15:00:00,3.22,3.28,3.18,3.25,6176,DC,2.2012578616352085,False
2022-12-14 14:00:00,3.3,3.34,3.26,3.275,10787,DC,0.7692307692307665,False
2022-12-14 13:00:00,3.36,3.36,3.27,3.305,8880,DC,0.9160305343511421,False
2022-12-14 12:00:00,3.24,3.35,3.24,3.35,31979,DC,1.3615733736762392,False
2022-12-14 11:00:00,3.1827,3.24,3.17,3.2254,21859,DC,-3.719402985074627,False
2022-12-14 10:00:00,3.24,3.24,3.2,3.2,8171,DC,-0.7874992249023327,False
2022-12-13 17:00:00,3.23,3.23,3.23,3.23,3606,DC,0.9374999999999911,False
2022-12-13 16:00:00,3.1101,3.23,3.1101,3.22,25355,DC,-0.3095975232198067,False
2022-12-13 15:00:00,3.11,3.14,3.11,3.13,7920,DC,-2.795031055900632,False
2022-12-13 14:00:00,3.11,3.15,3.09,3.09,3962,DC,-1.2779552715655007,False
2022-12-13 13:00:00,3.18,3.19,3.14,3.14,19123,DC,1.6181229773462924,False
2022-12-13 12:00:00,3.2,3.22,3.18,3.19,3590,DC,1.5923566878980777,False
2022-12-13 11:00:00,3.2,3.2723,3.17,3.19,28146,DC,0.0,False
2022-12-13 10:00:00,3.14,3.2,3.14,3.2,6813,DC,0.31347962382446415,False
2022-12-13 09:00:00,3.22,3.22,3.22,3.22,100,DC,0.6250000000000089,False
2022-12-13 08:00:00,3.16,3.16,3.16,3.16,803,DC,-1.8633540372670843,False
2022-12-12 17:00:00,3.07,3.07,3.07,3.07,2418,DC,-2.848101265822789,False
2022-12-12 16:00:00,3.015,3.06,2.99,3.06,106058,DC,-0.32573289902279035,False
2022-12-12 15:00:00,3.02,3.05,2.97,3.01,62113,DC,-1.6339869281045805,False
2022-12-12 14:00:00,3.185,3.19,3.01,3.025,93019,DC,0.4983388704318914,False
2022-12-12 13:00:00,3.23,3.23,3.17,3.185,13825,DC,5.289256198347103,False
2022-12-12 12:00:00,3.26,3.27,3.19,3.23,36755,DC,1.4128728414442682,False
2022-12-12 11:00:00,3.29,3.345,3.25,3.26,38620,DC,0.9287925696594312,False
2022-12-12 10:00:00,3.21,3.29,3.21,3.27,2828,DC,0.30674846625766694,False
2022-12-09 17:00:00,3.26,3.26,3.26,3.26,1612,DC,-0.3058103975535187,False
2022-12-09 16:00:00,3.22,3.27,3.195,3.25,37460,DC,-0.30674846625766694,False
2022-12-09 15:00:00,3.28,3.285,3.2,3.23,11595,DC,-0.6153846153846176,False
2022-12-09 14:00:00,3.34,3.35,3.3,3.3,11032,DC,2.1671826625387025,False
2022-12-09 13:00:00,3.3,3.34,3.2979,3.33,4967,DC,0.909090909090926,False
2022-12-09 12:00:00,3.2099,3.32,3.2099,3.315,20341,DC,-0.45045045045045695,False
2022-12-09 11:00:00,3.22,3.22,3.17,3.21,7068,DC,-3.167420814479638,False
2022-12-09 10:00:00,3.165,3.24,3.165,3.219,3030,DC,0.2803738317757043,False
2022-12-08 17:00:00,3.18,3.18,3.18,3.18,954,DC,-1.2115563839701693,False
2022-12-08 16:00:00,3.15,3.17,3.12,3.14,28050,DC,-1.2578616352201255,False
2022-12-08 15:00:00,3.17,3.2,3.1,3.13,32793,DC,-0.31847133757962887,False
2022-12-08 14:00:00,3.21,3.21,3.145,3.19,19402,DC,1.9169329073482455,False
2022-12-08 13:00:00,3.2538,3.27,3.2002,3.2002,13621,DC,0.31974921630095743,False
2022-12-08 12:00:00,3.21,3.275,3.195,3.275,5530,DC,2.3373539153802803,False
2022-12-08 11:00:00,3.19,3.25,3.15,3.196,12437,DC,-2.4122137404580024,False
2022-12-08 10:00:00,3.27,3.28,3.14,3.19,3907,DC,-0.1877346683354264,False
