time,open,high,low,close,volume,ticker,percent_change,spike
2022-08-19 16:00:00,6.28,6.47,5.96,6.33,176030,ICVX,,False
2022-08-19 15:00:00,6.42,6.47,6.22,6.24,33261,ICVX,-1.421800947867291,False
2022-08-19 14:00:00,6.58,6.58,6.375,6.42,11936,ICVX,2.8846153846153744,False
2022-08-19 13:00:00,6.4594,6.6,6.4594,6.57,7830,ICVX,2.336448598130847,False
2022-08-19 12:00:00,6.51,6.5799,6.21,6.45,38281,ICVX,-1.82648401826484,False
2022-08-19 11:00:00,6.62,6.64,6.39,6.54,25963,ICVX,1.3953488372093092,False
2022-08-19 10:00:00,6.81,6.99,6.6047,6.63,11008,ICVX,1.3761467889908285,False
2022-08-18 17:00:00,6.98,6.98,6.98,6.98,946,ICVX,5.2790346907994,False
2022-08-18 16:00:00,7.08,7.11,6.9,6.96,56391,ICVX,-0.2865329512894088,False
2022-08-18 15:00:00,6.98,7.12,6.88,7.07,15609,ICVX,1.5804597701149392,False
2022-08-18 14:00:00,7.15,7.15,6.88,6.96,17898,ICVX,-1.5558698727015652,False
2022-08-18 13:00:00,7.24,7.255,7.15,7.15,4834,ICVX,2.7298850574712707,False
2022-08-18 12:00:00,7.18,7.43,7.13,7.27,6502,ICVX,1.6783216783216703,False
2022-08-18 11:00:00,7.365,7.41,6.91,7.18,20144,ICVX,-1.2379642365887178,False
2022-08-18 10:00:00,7.33,7.58,7.16,7.36,5142,ICVX,2.506963788300842,False
2022-08-17 19:00:00,7.42,7.42,7.42,7.42,151,ICVX,0.8152173913043459,False
2022-08-17 16:00:00,7.25,7.46,7.245,7.37,48091,ICVX,-0.6738544474393482,False
2022-08-17 15:00:00,7.35,7.44,7.26,7.26,17674,ICVX,-1.4925373134328401,False
2022-08-17 14:00:00,7.33,7.4,7.3,7.31,9223,ICVX,0.688705234159781,False
2022-08-17 13:00:00,7.08,7.33,7.07,7.32,76394,ICVX,0.1367989056087593,False
2022-08-17 12:00:00,7.0,7.33,7.0,7.06,51713,ICVX,-3.551912568306015,False
2022-08-17 11:00:00,7.1107,7.1107,6.9,7.0,29291,ICVX,-0.8498583569405027,False
2022-08-17 10:00:00,7.06,7.285,6.88,7.1,7734,ICVX,1.4285714285714235,False
2022-08-16 19:00:00,7.3,7.3,7.28,7.28,867,ICVX,2.5352112676056526,False
2022-08-16 18:00:00,7.3,7.3,7.3,7.3,100,ICVX,0.27472527472527375,False
2022-08-16 17:00:00,7.3,7.3,7.3,7.3,200,ICVX,0.0,False
2022-08-16 16:00:00,7.89,7.915,7.1,7.22,100494,ICVX,-1.0958904109588996,False
2022-08-16 15:00:00,7.915,8.255,7.5057,7.915,58368,ICVX,9.626038781163437,False
2022-08-16 14:00:00,7.98,8.02,7.84,7.915,7448,ICVX,0.0,False
2022-08-16 13:00:00,8.11,8.11,7.84,8.0265,12804,ICVX,1.4087176247631117,False
2022-08-16 12:00:00,8.185,8.36,7.835,8.11,35232,ICVX,1.0403039930231062,False
2022-08-16 11:00:00,8.6467,8.7,8.185,8.185,15536,ICVX,0.9247842170160503,False
2022-08-16 10:00:00,9.17,9.17,8.78,8.78,8098,ICVX,7.2693952351863045,False
2022-08-15 17:00:00,9.21,9.21,9.21,9.21,1297,ICVX,4.897494305239203,False
2022-08-15 16:00:00,9.1,9.4,9.08,9.18,48325,ICVX,-0.32573289902281255,False
2022-08-15 15:00:00,9.065,9.09,9.0,9.04,5494,ICVX,-1.5250544662309462,False
2022-08-15 14:00:00,9.1493,9.1493,9.0,9.03,2217,ICVX,-0.11061946902655162,False
2022-08-15 13:00:00,9.11,9.14,9.015,9.015,888,ICVX,-0.16611295681061566,False
2022-08-15 12:00:00,9.06,9.15,8.96,9.055,4866,ICVX,0.443704936217415,False
2022-08-15 11:00:00,8.93,9.13,8.93,9.07,3451,ICVX,0.1656543346217676,False
2022-08-15 10:00:00,8.79,8.97,8.79,8.84,453,ICVX,-2.535832414553474,False
2022-08-12 17:00:00,8.98,8.98,8.98,8.98,1381,ICVX,1.5837104072398356,False
2022-08-12 16:00:00,8.95,9.48,8.83,8.98,54154,ICVX,0.0,False
2022-08-12 15:00:00,8.9953,9.02,8.95,8.95,2087,ICVX,-0.33407572383075124,False
2022-08-12 14:00:00,8.91,9.09,8.83,9.07,15338,ICVX,1.3407821229050487,False
2022-08-12 13:00:00,8.97,9.0,8.79,9.0,1624,ICVX,-0.7717750826901959,False
2022-08-12 12:00:00,8.73,8.73,8.67,8.68,971,ICVX,-3.5555555555555562,False
2022-08-12 11:00:00,8.86,8.99,8.86,8.99,1048,ICVX,3.571428571428581,False
2022-08-12 10:00:00,9.03,9.03,8.1774,8.1774,2746,ICVX,-9.038932146829804,False
2022-08-12 08:00:00,8.88,8.88,8.88,8.88,676,ICVX,8.591972998752674,False
2022-08-11 17:00:00,8.41,8.41,8.41,8.41,1228,ICVX,-5.2927927927928,False
2022-08-11 16:00:00,8.48,8.48,8.2,8.41,22823,ICVX,0.0,False
2022-08-11 15:00:00,8.595,8.595,8.5,8.5,1712,ICVX,1.0701545778834642,False
2022-08-11 14:00:00,8.89,8.89,8.675,8.675,10385,ICVX,2.0588235294117796,False
2022-08-11 13:00:00,8.92,9.04,8.9,8.98,2914,ICVX,3.515850144092214,False
2022-08-11 12:00:00,8.855,8.91,8.755,8.86,6189,ICVX,-1.3363028953229494,False
2022-08-11 11:00:00,8.87,8.87,8.72,8.78,3780,ICVX,-0.9029345372460473,False
2022-08-11 10:00:00,8.44,9.2,8.44,9.2,20082,ICVX,4.783599088838275,False
2022-08-10 19:00:00,9.0,9.0,9.0,9.0,200,ICVX,-2.1739130434782483,False
