time,open,high,low,close,volume,ticker,percent_change,spike
2022-06-21 16:00:00,2.14,2.14,2.14,2.14,2330,JFIN,,False
2022-06-21 15:00:00,2.1,2.1384,2.1,2.1384,1202,JFIN,-0.07476635514019891,False
2022-06-21 14:00:00,2.145,2.145,2.145,2.145,1200,JFIN,0.30864197530864335,False
2022-06-21 13:00:00,2.136,2.136,2.136,2.136,350,JFIN,-0.41958041958041203,False
2022-06-21 12:00:00,2.13,2.13,2.12,2.12,3358,JFIN,-0.7490636704119868,False
2022-06-21 11:00:00,2.15,2.2197,2.12,2.12,13674,JFIN,0.0,False
2022-06-21 10:00:00,2.12,2.1221,2.12,2.1221,5945,JFIN,0.09905660377358405,False
2022-06-17 16:00:00,2.1145,2.1145,2.07,2.07,2721,JFIN,-2.455115216059578,False
2022-06-17 14:00:00,2.085,2.085,2.085,2.085,100,JFIN,0.7246376811594235,False
2022-06-17 13:00:00,2.0741,2.0741,2.0741,2.0741,303,JFIN,-0.5227817745803276,False
2022-06-17 12:00:00,2.05,2.13,2.05,2.13,5640,JFIN,2.6951448821175283,False
2022-06-17 11:00:00,2.1519,2.1635,2.0479,2.0479,5271,JFIN,-3.8544600938967166,False
2022-06-17 10:00:00,2.1,2.13,2.1,2.1189,1710,JFIN,3.4669661604570523,False
2022-06-16 16:00:00,2.08,2.1,2.08,2.09,3662,JFIN,-1.3639152390391263,False
2022-06-16 15:00:00,2.099,2.12,2.099,2.1001,5800,JFIN,0.48325358851675215,False
2022-06-16 14:00:00,2.1,2.1536,2.1,2.14,2923,JFIN,1.8999095281177159,False
2022-06-16 13:00:00,2.1,2.16,2.06,2.1032,9252,JFIN,-1.7196261682242975,False
2022-06-16 12:00:00,2.0745,2.1406,2.07,2.0855,8735,JFIN,-0.8415747432483855,False
2022-06-16 11:00:00,2.06,2.135,2.03,2.13,12085,JFIN,2.1337808678973724,False
2022-06-16 10:00:00,2.32,2.37,2.0201,2.14,25486,JFIN,0.46948356807512415,False
2022-06-16 09:00:00,2.2101,2.39,2.2101,2.33,5275,JFIN,8.878504672897192,False
2022-06-16 08:00:00,2.22,2.31,2.22,2.31,6072,JFIN,-0.8583690987124526,False
2022-06-15 16:00:00,2.12,2.16,2.11,2.11,1996,JFIN,-8.658008658008665,False
2022-06-15 15:00:00,2.12,2.13,2.12,2.12,1299,JFIN,0.4739336492891155,False
2022-06-15 14:00:00,2.14,2.18,2.11,2.145,2814,JFIN,1.1792452830188704,False
2022-06-15 13:00:00,2.1392,2.1392,2.0286,2.1078,1008,JFIN,-1.7342657342657275,False
2022-06-15 12:00:00,2.1,2.1235,2.02,2.1235,8703,JFIN,0.7448524527943645,False
2022-06-15 11:00:00,2.13,2.225,2.12,2.13,8849,JFIN,0.30609842241582363,False
2022-06-15 10:00:00,2.062,2.1301,2.06,2.13,6306,JFIN,0.0,False
2022-06-14 16:00:00,2.0,2.025,2.0,2.025,3785,JFIN,-4.929577464788737,False
2022-06-14 15:00:00,1.99,1.99,1.99,1.99,1100,JFIN,-1.7283950617283939,False
2022-06-14 14:00:00,1.99,2.01,1.99,2.01,1716,JFIN,1.0050251256281229,False
2022-06-14 13:00:00,1.98,2.01,1.98,2.01,2316,JFIN,0.0,False
2022-06-14 12:00:00,1.98,1.98,1.98,1.98,370,JFIN,-1.492537313432829,False
2022-06-14 11:00:00,1.97,1.99,1.96,1.96,2390,JFIN,-1.0101010101010055,False
2022-06-14 10:00:00,1.98,1.98,1.98,1.98,927,JFIN,1.0204081632652962,False
2022-06-13 15:00:00,1.962,1.988,1.962,1.988,805,JFIN,0.40404040404040664,False
2022-06-13 14:00:00,1.97,1.99,1.96,1.9741,6327,JFIN,-0.6991951710261568,False
2022-06-13 13:00:00,1.96,1.9858,1.96,1.9858,1100,JFIN,0.592675143103194,False
2022-06-13 12:00:00,1.9627,1.98,1.96,1.98,1702,JFIN,-0.2920737234364035,False
2022-06-13 11:00:00,1.988,1.99,1.96,1.96,3448,JFIN,-1.0101010101010055,False
2022-06-13 10:00:00,1.97,1.9892,1.91,1.9892,10022,JFIN,1.4897959183673537,False
2022-06-10 16:00:00,2.1005,2.1005,2.085,2.085,2550,JFIN,4.816006434747622,False
2022-06-10 15:00:00,2.0893,2.17,2.0801,2.0869,5613,JFIN,0.09112709832135302,False
2022-06-10 13:00:00,2.07,2.0864,2.0485,2.0599,4947,JFIN,-1.293785040011508,False
2022-06-10 12:00:00,2.08,2.08,2.03,2.0696,17404,JFIN,0.47089664546822174,False
2022-06-10 11:00:00,2.1401,2.165,2.06,2.06,24516,JFIN,-0.46385775028989773,False
2022-06-10 10:00:00,2.2,2.2,2.13,2.1436,7758,JFIN,4.058252427184472,False
2022-06-10 09:00:00,2.16,2.16,2.15,2.15,800,JFIN,0.2985631647695275,False
2022-06-09 16:00:00,2.2001,2.245,2.2001,2.21,4668,JFIN,2.7906976744185963,False
2022-06-09 15:00:00,2.252,2.2784,2.22,2.245,17003,JFIN,1.5837104072398356,False
2022-06-09 14:00:00,2.2479,2.27,2.24,2.25,16390,JFIN,0.22271714922048602,False
2022-06-09 13:00:00,2.249,2.249,2.249,2.249,100,JFIN,-0.04444444444443585,False
2022-06-09 12:00:00,2.295,2.3,2.2001,2.24,12648,JFIN,-0.40017785682524565,False
2022-06-09 11:00:00,2.3157,2.38,2.29,2.2997,11013,JFIN,2.6651785714285614,False
2022-06-09 10:00:00,2.41,2.46,2.15,2.2285,36771,JFIN,-3.0960560073053034,False
2022-06-09 09:00:00,2.37,2.4001,2.37,2.4001,719,JFIN,7.70024680278214,False
2022-06-09 08:00:00,2.33,2.33,2.33,2.33,200,JFIN,-2.9207116370151276,False
2022-06-08 20:00:00,2.39,2.4,2.28,2.28,10980,JFIN,-2.145922746781126,False
2022-06-08 19:00:00,2.35,2.35,2.3499,2.3499,405,JFIN,3.0657894736842106,False
2022-06-08 18:00:00,2.36,2.39,2.36,2.39,7500,JFIN,1.7064555938550718,False
2022-06-08 17:00:00,2.28,2.5,2.28,2.4,3000,JFIN,0.4184100418409997,False
2022-06-08 16:00:00,2.25,2.3499,2.2373,2.26,62405,JFIN,-5.833333333333335,False
2022-06-08 15:00:00,2.2445,2.2599,2.24,2.25,15841,JFIN,-0.4424778761061843,False
2022-06-08 14:00:00,2.2513,2.3,2.22,2.27,24163,JFIN,0.8888888888888946,False
2022-06-08 13:00:00,2.25,2.25,2.2156,2.244,38729,JFIN,-1.1453744493391982,False
2022-06-08 12:00:00,2.27,2.28,2.25,2.265,33978,JFIN,0.9358288770053402,False
2022-06-08 11:00:00,2.13,2.3,2.09,2.2994,41312,JFIN,1.5187637969094725,False
2022-06-08 10:00:00,2.31,2.33,2.031,2.1,58687,JFIN,-8.67182743324345,False
2022-06-08 09:00:00,2.2601,2.34,2.11,2.33,10021,JFIN,10.952380952380958,False
2022-06-08 08:00:00,2.08,2.35,2.08,2.32,14949,JFIN,-0.42918454935623185,False
2022-06-08 07:00:00,2.04,2.04,2.04,2.04,200,JFIN,-12.06896551724137,False
2022-06-07 20:00:00,2.04,2.04,2.04,2.04,530,JFIN,0.0,False
2022-06-07 19:00:00,2.04,2.04,2.04,2.04,1000,JFIN,0.0,False
2022-06-07 18:00:00,2.03,2.03,2.03,2.03,200,JFIN,-0.4901960784313819,False
2022-06-07 17:00:00,2.04,2.04,2.04,2.04,1250,JFIN,0.49261083743843415,False
2022-06-07 16:00:00,1.975,2.03,1.975,2.02,5236,JFIN,-0.9803921568627416,False
2022-06-07 15:00:00,1.925,2.01,1.925,2.01,9099,JFIN,-0.4950495049505066,False
2022-06-07 14:00:00,1.93,1.93,1.925,1.9299,1001,JFIN,-3.985074626865659,False
2022-06-07 13:00:00,1.9042,1.9042,1.9042,1.9042,200,JFIN,-1.3316752163324508,False
2022-06-07 12:00:00,1.93,1.932,1.91,1.92,7694,JFIN,0.8297447747085407,False
2022-06-07 11:00:00,1.95,1.97,1.91,1.9238,12525,JFIN,0.1979166666666643,False
2022-06-07 10:00:00,1.85,1.935,1.85,1.92,9486,JFIN,-0.19752573032539855,False
2022-06-07 09:00:00,1.9001,1.9001,1.9,1.9,2205,JFIN,-1.041666666666663,False
2022-06-07 08:00:00,1.9,1.9,1.9,1.9,828,JFIN,0.0,False
2022-06-06 19:00:00,1.9,1.9,1.9,1.9,100,JFIN,0.0,False
2022-06-06 17:00:00,1.9,1.9,1.9,1.9,100,JFIN,0.0,False
2022-06-06 16:00:00,1.845,1.89,1.83,1.89,16408,JFIN,-0.5263157894736858,False
2022-06-06 15:00:00,1.85,1.85,1.84,1.85,1300,JFIN,-2.116402116402105,False
2022-06-06 14:00:00,1.84,1.84,1.84,1.84,788,JFIN,-0.5405405405405461,False
2022-06-06 13:00:00,1.8201,1.8201,1.82,1.82,448,JFIN,-1.0869565217391353,False
2022-06-06 11:00:00,1.8499,1.86,1.82,1.86,4100,JFIN,2.19780219780219,False
2022-06-06 10:00:00,1.78,1.8595,1.77,1.8595,8643,JFIN,-0.026881720430116385,False
2022-06-06 09:00:00,1.78,1.79,1.75,1.75,305,JFIN,-5.888679752621673,False
2022-06-03 16:00:00,1.7602,1.77,1.7602,1.77,600,JFIN,1.1428571428571344,False
2022-06-03 15:00:00,1.78,1.78,1.77,1.77,6449,JFIN,0.0,False
2022-06-03 14:00:00,1.765,1.775,1.76,1.76,4035,JFIN,-0.5649717514124353,False
2022-06-03 13:00:00,1.76,1.76,1.76,1.76,737,JFIN,0.0,False
2022-06-03 12:00:00,1.7599,1.7599,1.7599,1.7599,1100,JFIN,-0.005681818181813014,False
2022-06-03 10:00:00,1.7401,1.7401,1.7401,1.7401,100,JFIN,-1.1250639240866,False
2022-06-02 16:00:00,1.755,1.775,1.755,1.77,4719,JFIN,1.718292052180903,False
2022-06-02 15:00:00,1.76,1.7798,1.74,1.755,2325,JFIN,-0.8474576271186529,False
2022-06-02 14:00:00,1.76,1.7604,1.75,1.75,3500,JFIN,-0.2849002849002802,False
2022-06-02 13:00:00,1.79,1.79,1.75,1.75,1200,JFIN,0.0,False
2022-06-02 12:00:00,1.7401,1.772,1.7362,1.74,6466,JFIN,-0.5714285714285672,False
2022-06-02 11:00:00,1.73,1.76,1.73,1.76,6171,JFIN,1.1494252873563315,False
2022-06-02 10:00:00,1.71,1.78,1.675,1.715,27175,JFIN,-2.5568181818181768,False
2022-06-01 20:00:00,1.75,1.75,1.75,1.75,750,JFIN,2.0408163265306145,False
2022-06-01 16:00:00,1.7301,1.75,1.7243,1.75,1973,JFIN,0.0,False
2022-06-01 15:00:00,1.76,1.76,1.73,1.75,4396,JFIN,0.0,False
2022-06-01 13:00:00,1.7659,1.7659,1.7659,1.7659,100,JFIN,0.9085714285714364,False
2022-06-01 12:00:00,1.77,1.7715,1.77,1.7715,1217,JFIN,0.31711874964608366,False
2022-06-01 11:00:00,1.7536,1.79,1.7536,1.7871,4918,JFIN,0.8806096528365615,False
2022-06-01 10:00:00,1.7301,1.7301,1.73,1.73,5110,JFIN,-3.1951205864249266,False
2022-06-01 09:00:00,1.74,1.75,1.74,1.75,500,JFIN,1.1560693641618602,False
2022-05-31 20:00:00,1.77,1.77,1.77,1.77,1165,JFIN,1.1428571428571344,False
2022-05-31 16:00:00,1.715,1.73,1.7,1.7,8772,JFIN,-3.9548022598870136,False
2022-05-31 15:00:00,1.7144,1.75,1.7144,1.72,3319,JFIN,1.17647058823529,False
2022-05-31 14:00:00,1.7689,1.7689,1.7,1.7232,2300,JFIN,0.18604651162790198,False
2022-05-31 13:00:00,1.7,1.7563,1.7,1.7563,500,JFIN,1.9208449396471705,False
2022-05-31 12:00:00,1.76,1.7693,1.76,1.7641,4208,JFIN,0.4441154700222105,False
2022-05-31 11:00:00,1.7315,1.74,1.71,1.74,5316,JFIN,-1.3661357065925972,False
2022-05-31 10:00:00,1.76,1.78,1.71,1.7344,8325,JFIN,-0.3218390804597737,False
2022-05-31 09:00:00,1.7801,1.79,1.76,1.79,7535,JFIN,3.2057195571955743,False
2022-05-31 08:00:00,1.75,1.78,1.75,1.78,1422,JFIN,-0.5586592178770999,False
2022-05-27 17:00:00,1.7499,1.7499,1.7499,1.7499,100,JFIN,-1.6910112359550533,False
