time,open,high,low,close,volume,ticker,percent_change,spike
2022-06-21 20:00:00,6.74,6.74,6.74,6.74,350,VUZI,,False
2022-06-21 18:00:00,6.7,6.7,6.7,6.7,935,VUZI,-0.5934718100890191,False
2022-06-21 17:00:00,6.7,6.7,6.59,6.64,4540,VUZI,-0.8955223880597107,False
2022-06-21 16:00:00,6.61,6.72,6.595,6.69,259356,VUZI,0.7530120481927804,False
2022-06-21 15:00:00,6.63,6.66,6.59,6.61,134415,VUZI,-1.195814648729443,False
2022-06-21 14:00:00,6.62,6.64,6.57,6.63,135201,VUZI,0.302571860816947,False
2022-06-21 13:00:00,6.59,6.63,6.5393,6.62,103652,VUZI,-0.15082956259426794,False
2022-06-21 12:00:00,6.72,6.75,6.59,6.59,120748,VUZI,-0.45317220543806824,False
2022-06-21 11:00:00,6.61,6.74,6.51,6.71,216806,VUZI,1.8209408194233667,False
2022-06-21 10:00:00,6.74,6.83,6.48,6.61,163567,VUZI,-1.4903129657227954,False
2022-06-21 09:00:00,6.67,6.8,6.65,6.8,4108,VUZI,2.874432677760952,False
2022-06-21 08:00:00,6.59,6.59,6.59,6.59,100,VUZI,-3.088235294117647,False
2022-06-21 05:00:00,6.64,6.65,6.64,6.65,560,VUZI,0.9104704097116834,False
2022-06-17 20:00:00,6.52,6.59,6.52,6.59,853,VUZI,-0.9022556390977488,False
2022-06-17 19:00:00,6.59,6.59,6.59,6.59,422,VUZI,0.0,False
2022-06-17 18:00:00,6.49,6.49,6.49,6.49,200,VUZI,-1.5174506828528056,False
2022-06-17 17:00:00,6.59,6.59,6.56,6.58,29317,VUZI,1.3867488443759513,False
2022-06-17 16:00:00,6.905,6.95,6.55,6.555,577328,VUZI,-0.37993920972645423,False
2022-06-17 15:00:00,6.89,7.0,6.885,6.9,168409,VUZI,5.2631578947368585,False
2022-06-17 14:00:00,6.85,7.045,6.85,6.89,212507,VUZI,-0.14492753623189802,False
2022-06-17 13:00:00,6.81,6.95,6.77,6.86,312689,VUZI,-0.4354136429608024,False
2022-06-17 12:00:00,6.26,6.85,6.235,6.82,572839,VUZI,-0.5830903790087438,False
2022-06-17 11:00:00,6.37,6.37,6.14,6.27,130803,VUZI,-8.064516129032274,False
2022-06-17 10:00:00,6.06,6.45,6.06,6.375,185299,VUZI,1.674641148325362,False
2022-06-17 09:00:00,6.15,6.15,6.11,6.14,735,VUZI,-3.686274509803922,False
2022-06-17 08:00:00,6.14,6.15,6.04,6.14,1519,VUZI,0.0,False
2022-06-17 06:00:00,6.12,6.12,6.12,6.12,105,VUZI,-0.32573289902279035,False
2022-06-16 20:00:00,6.16,6.16,6.16,6.16,500,VUZI,0.6535947712418277,False
2022-06-16 19:00:00,6.06,6.06,6.06,6.06,100,VUZI,-1.6233766233766267,False
2022-06-16 18:00:00,6.01,6.01,5.89,5.89,700,VUZI,-2.8052805280528004,False
2022-06-16 17:00:00,6.15,6.1588,5.99,5.99,13771,VUZI,1.697792869269965,False
2022-06-16 16:00:00,5.93,6.15,5.93,6.15,225102,VUZI,2.6711185308848195,False
2022-06-16 15:00:00,6.034,6.04,5.88,5.9201,131891,VUZI,-3.738211382113832,False
2022-06-16 14:00:00,6.05,6.1211,6.03,6.0318,97878,VUZI,1.8867924528301883,False
2022-06-16 13:00:00,5.96,6.0889,5.895,6.04,105254,VUZI,0.13594615206076188,False
2022-06-16 12:00:00,5.785,5.995,5.755,5.94,145085,VUZI,-1.655629139072845,False
2022-06-16 11:00:00,5.83,5.97,5.78,5.78,214205,VUZI,-2.6936026936026924,False
2022-06-16 10:00:00,5.92,6.03,5.79,5.83,123001,VUZI,0.865051903114189,False
2022-06-16 09:00:00,5.9,6.0099,5.84,5.9,7780,VUZI,1.2006861063464935,False
2022-06-16 08:00:00,6.0,6.01,6.0,6.01,679,VUZI,1.8644067796609987,False
2022-06-16 05:00:00,6.26,6.26,6.18,6.18,352,VUZI,2.828618968386021,False
2022-06-15 20:00:00,6.26,6.26,6.25,6.25,1846,VUZI,1.1326860841424091,False
2022-06-15 19:00:00,6.22,6.25,6.22,6.25,1500,VUZI,0.0,False
2022-06-15 17:00:00,6.18,6.25,6.18,6.25,1033,VUZI,0.0,False
2022-06-15 16:00:00,6.115,6.39,6.115,6.1787,289221,VUZI,-1.1407999999999974,False
2022-06-15 15:00:00,6.07,6.249,5.88,6.11,246945,VUZI,-1.111884376972494,False
2022-06-15 14:00:00,5.97,6.11,5.97,6.08,100591,VUZI,-0.49099836333879043,False
2022-06-15 13:00:00,6.04,6.1001,5.96,5.97,143827,VUZI,-1.8092105263157965,False
2022-06-15 12:00:00,5.88,6.04,5.8606,6.0373,77859,VUZI,1.1273031825795643,False
2022-06-15 11:00:00,5.88,6.0,5.8301,5.875,112747,VUZI,-2.6882878107763464,False
2022-06-15 10:00:00,5.8195,5.9489,5.65,5.89,117924,VUZI,0.2553191489361728,False
2022-06-15 09:00:00,5.62,5.7,5.61,5.7,1769,VUZI,-3.2258064516129004,False
2022-06-15 06:00:00,5.87,5.87,5.87,5.87,437,VUZI,2.9824561403508865,False
2022-06-14 20:00:00,5.55,5.65,5.55,5.65,1600,VUZI,-3.7478705281090208,False
2022-06-14 18:00:00,5.3089,5.3089,5.3089,5.3089,100,VUZI,-6.037168141592919,False
2022-06-14 17:00:00,5.64,5.76,5.36,5.65,7507,VUZI,6.4250598052327135,False
2022-06-14 16:00:00,5.58,5.66,5.47,5.63,212985,VUZI,-0.3539823008849585,False
2022-06-14 15:00:00,5.4988,5.665,5.4988,5.585,117000,VUZI,-0.7992895204262829,False
2022-06-14 14:00:00,5.5,5.605,5.49,5.49,108154,VUZI,-1.7009847806624845,False
2022-06-14 13:00:00,5.38,5.5,5.315,5.49,142054,VUZI,0.0,False
2022-06-14 12:00:00,5.255,5.385,5.22,5.38,114320,VUZI,-2.0036429872495543,False
2022-06-14 11:00:00,5.32,5.3698,5.134,5.2547,187986,VUZI,-2.3289962825278843,False
2022-06-14 10:00:00,5.49,5.49,5.13,5.3177,193771,VUZI,1.1989266751670113,False
2022-06-14 09:00:00,5.45,5.45,5.4,5.4487,1491,VUZI,2.4634710495138767,False
2022-06-13 20:00:00,5.36,5.36,5.36,5.36,200,VUZI,-1.6279112448840838,False
2022-06-13 19:00:00,5.25,5.33,5.25,5.33,529,VUZI,-0.5597014925373234,False
