t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,6.95,6.87,7.1,6.76,ok,53753.0,ACHV,,6.91,371433.23,53753.0,6.909999999999999
1652227200,6.97,6.32,6.97,6.3,ok,72213.0,ACHV,,6.53,471550.89,125966.0,3.7434775256815334
1652313600,6.3,6.39,6.652,6.2,ok,43253.0,ACHV,,6.414000000000001,277424.742,169219.0,1.639442036650731
1652400000,6.424,6.64,6.87,6.424,ok,51106.0,ACHV,,6.644666666666667,339582.3346666667,220325.0,1.5412791769734107
1652659200,6.65,6.79,6.91,6.6,ok,27340.0,ACHV,,6.766666666666667,185000.66666666666,247665.0,0.7469794547742582
1652745600,6.78,6.83,6.98,6.69,ok,25589.0,ACHV,,6.833333333333333,174858.16666666666,273254.0,0.6399107301875422
1652832000,6.98,6.95,7.0,6.77,ok,23462.0,ACHV,,6.906666666666666,162044.21333333332,296716.0,0.5461256330407976
1652918400,6.7455,7.1,7.18,6.7455,ok,21084.0,ACHV,,7.008500000000001,147767.214,317800.0,0.4649692070484582
1653004800,7.21,6.9,7.21,6.62,ok,48885.0,ACHV,,6.91,337795.35000000003,366685.0,0.9212139847553078
1653264000,6.82,6.75,6.88,6.63,ok,22370.0,ACHV,,6.753333333333333,151072.06666666665,389055.0,0.3883051667930412
1653350400,6.79,6.67,6.9,6.65,ok,31414.0,ACHV,,6.739999999999999,211730.36,420469.0,0.5035575987766042
1653436800,6.6,6.45,6.64,6.42,ok,29109.0,ACHV,,6.503333333333333,189305.53,449578.0,0.4210738292354163
1653523200,6.53,6.61,6.7,6.46,ok,21322.0,ACHV,,6.59,140511.98,470900.0,0.2983902739435124
1653609600,6.71,6.99,6.99,6.71,ok,28943.0,ACHV,52.38095238095238,6.896666666666666,199610.2233333333,499843.0,0.3993458412608225
1653955200,7.0,6.9,7.0,6.85,ok,17343.0,ACHV,50.57471264367816,6.916666666666667,119955.75,517186.0,0.23193928296589622
1654041600,6.9,6.76,6.9839,6.65,ok,19741.0,ACHV,59.99999999999999,6.797966666666667,134198.6599666667,536927.0,0.2499383714483844
1654128000,6.77,6.77,6.85,6.6219,ok,32038.0,ACHV,58.87850467289719,6.7473,216169.9974,568965.0,0.37993549234135665
1654214400,6.8,6.85,6.92,6.69,ok,24578.0,ACHV,55.329949238578685,6.82,167621.96000000002,593543.0,0.28240912621326514
1654473600,6.85,6.68,6.9,6.6,ok,19987.0,ACHV,47.2361809045226,6.726666666666667,134445.88666666666,613530.0,0.21913498389103492
1654560000,6.63,6.61,6.8,6.57,ok,16090.0,ACHV,44.55445544554456,6.66,107159.40000000001,629620.0,0.17019694418855819
1654646400,6.6,6.75,6.85,6.6,ok,20098.0,ACHV,45.09803921568626,6.733333333333333,135326.53333333333,649718.0,0.2082850303259773
1654732800,6.74,6.7,6.8361,6.6924,ok,20130.0,ACHV,39.69072164948455,6.7428333333333335,135733.23500000002,669848.0,0.20263288835676155
1654819200,6.7098,6.54,6.7098,6.53,ok,14019.0,ACHV,40.52631578947368,6.5932666666666675,92431.00540000001,683867.0,0.13515932981120599
1655078400,6.5,6.16,6.5,6.09,ok,27611.0,ACHV,36.15023474178404,6.25,172568.75,711478.0,0.24254966422011642
1655164800,6.2,6.07,6.33,6.02,ok,24652.0,ACHV,35.981308411214954,6.140000000000001,151363.28000000003,736130.0,0.20562031162973934
1655251200,6.08,6.03,6.2737,5.9564,ok,23369.0,ACHV,39.285714285714285,6.0867,142240.09230000002,759499.0,0.1872814741033234
1655337600,5.96,5.63,5.99,5.58,ok,62348.0,ACHV,27.727272727272705,5.733333333333333,357461.8666666667,821847.0,0.4349494086693347
1655424000,5.53,5.61,5.95,5.5,ok,41624.0,ACHV,12.499999999999972,5.6866666666666665,236701.81333333332,863471.0,0.2741282722098754
1655769600,5.63,5.48,5.89,5.41,ok,48922.0,ACHV,12.234042553191472,5.593333333333334,273637.05333333334,912393.0,0.29991139052287047
1655856000,5.4,5.3,5.4883,5.225,ok,56345.0,ACHV,11.979166666666655,5.337766666666667,300756.46283333335,968738.0,0.31046212993950206
1655942400,5.46,5.19,5.46,5.17,ok,74859.0,ACHV,10.89108910891089,5.273333333333333,394756.46,1043597.0,0.37826523073561924
1656028800,5.15,5.26,5.39,5.15,ok,40008.0,ACHV,10.447761194029823,5.266666666666667,210708.8,1083605.0,0.1944516682739559
1656288000,5.19,5.21,5.28,5.0427,ok,21480.0,ACHV,11.111111111111072,5.177566666666667,111214.13200000001,1105085.0,0.10063853187763838
1656374400,5.42,4.98,5.42,4.96,ok,32808.0,ACHV,10.243902439024351,5.12,167976.96,1137893.0,0.1476210504854147
1656460800,5.02,5.07,5.12,4.95,ok,28592.0,ACHV,7.999999999999972,5.046666666666667,144294.29333333333,1166485.0,0.123700084727479
1656547200,5.11,4.88,5.11,4.8129,ok,20726.0,ACHV,7.476635514018653,4.9343,102268.3018,1187211.0,0.08614163935475665
1656633600,4.97,4.91,5.0,4.91,ok,20846.0,ACHV,9.452736318407943,4.94,102979.24,1208057.0,0.08524369297144092
1656979200,4.81,4.93,4.99,4.81,ok,11371.0,ACHV,12.727272727272693,4.91,55831.61,1219428.0,0.04578508120200619
1657065600,4.95,4.99,5.0504,4.84,ok,49219.0,ACHV,16.666666666666643,4.960133333333333,244132.80253333334,1268647.0,0.1924355652386624
1657152000,5.06,5.03,5.14,4.915,ok,46208.0,ACHV,19.1358024691358,5.028333333333333,232349.22666666665,1314855.0,0.17671091235662234
