t,o,c,h,l,s,v,Ticker,RSI
1652140800,0.95,0.9848,1.02,0.9436,ok,365185.0,AFIB,
1652227200,0.9715,0.8952,0.9974,0.8407,ok,739419.0,AFIB,
1652313600,0.8645,0.94,0.9699,0.8645,ok,298407.0,AFIB,
1652400000,0.9888,0.8869,0.9888,0.8601,ok,367347.0,AFIB,
1652659200,0.8772,0.8459,0.9669,0.837,ok,1007894.0,AFIB,
1652745600,0.9089,0.8958,0.9089,0.84,ok,223229.0,AFIB,
1652832000,0.87,0.8705,0.9839,0.86,ok,284961.0,AFIB,
1652918400,0.86,0.8529,0.9349,0.85,ok,277938.0,AFIB,
1653004800,0.88,0.7935,0.91,0.773,ok,421312.0,AFIB,
1653264000,0.8121,0.7422,0.8291,0.71,ok,669906.0,AFIB,
1653350400,0.7341,0.6866,0.74,0.65,ok,465464.0,AFIB,
1653436800,0.6867,0.676,0.74,0.6531,ok,443893.0,AFIB,
1653523200,0.7137,0.6914,0.7205,0.6601,ok,250277.0,AFIB,
1653609600,0.71,0.7051,0.75,0.65,ok,538045.0,AFIB,23.478095960553745
1653955200,0.71,0.6925,0.745,0.6656,ok,325646.0,AFIB,22.930172254121132
1654041600,0.7189,0.6406,0.7189,0.6284,ok,342759.0,AFIB,24.65153325368378
1654128000,0.6586,0.6282,0.67,0.6101,ok,326686.0,AFIB,16.81566624095359
1654214400,0.64,0.602,0.64,0.5712,ok,397235.0,AFIB,17.83698351772408
1654473600,0.6249,0.6165,0.6599,0.5875,ok,425371.0,AFIB,22.454370797310276
1654560000,0.6256,0.6108,0.6435,0.59,ok,323192.0,AFIB,11.714132186996224
1654646400,0.5968,0.6461,0.66,0.5919,ok,284273.0,AFIB,20.643642072213495
1654732800,0.65,0.6636,0.6966,0.6057,ok,260974.0,AFIB,25.228997644595637
1654819200,0.6736,0.64,0.7034,0.62,ok,150929.0,AFIB,27.8371354317066
1655078400,0.6015,0.5816,0.63,0.55,ok,297021.0,AFIB,27.277872099603854
1655164800,0.603,0.561,0.63,0.55,ok,102256.0,AFIB,30.276381909547737
1655251200,0.55,0.5529,0.58,0.55,ok,98759.0,AFIB,30.515986071541604
1655337600,0.54,0.5036,0.57,0.48,ok,293947.0,AFIB,23.15608919382504
1655424000,0.51,0.4911,0.5639,0.4892,ok,385823.0,AFIB,19.30579460699944
1655769600,0.5,0.5303,0.5399,0.492,ok,583541.0,AFIB,28.38486140724946
1655856000,0.5212,0.5774,0.59,0.5212,ok,239447.0,AFIB,41.468682505399585
1655942400,0.5689,0.55,0.5766,0.5323,ok,369333.0,AFIB,39.85469641930463
1656028800,0.5401,0.5384,0.5879,0.5384,ok,1825248.0,AFIB,41.42394822006473
1656288000,1.06,1.01,1.215,0.8925,ok,140777229.0,AFIB,73.7649474574224
1656374400,0.8987,1.0,1.07,0.87,ok,11456816.0,AFIB,73.38380197068012
1656460800,0.9101,1.02,1.03,0.873,ok,4734291.0,AFIB,72.88529807810013
1656547200,1.02,1.12,1.145,1.0,ok,6087878.0,AFIB,75.37247053591284
1656633600,0.95,0.8143,1.05,0.8007,ok,3473427.0,AFIB,57.376216673719846
1656979200,0.821,0.8707,0.9588,0.821,ok,3229058.0,AFIB,62.25519287833828
1657065600,0.83,0.76,0.845,0.7534,ok,978246.0,AFIB,57.83711405166981
1657152000,0.77,0.8117,0.82,0.7601,ok,681343.0,AFIB,59.85379226317392
1657238400,0.8172,0.8565,0.918,0.7567,ok,728389.0,AFIB,63.48284557194161
1657497600,0.8308,0.9182,0.9468,0.82,ok,885967.0,AFIB,65.72648943221151
1657584000,0.9139,1.0,1.02,0.89,ok,815772.0,AFIB,66.7690110674759
1657670400,0.9768,1.09,1.12,0.95,ok,785535.0,AFIB,67.75668560343632
1657756800,1.09,1.06,1.12,1.03,ok,549309.0,AFIB,67.63485477178423
1657843200,1.07,1.13,1.2,1.04,ok,853720.0,AFIB,69.66232385003988
1658102400,1.08,1.08,1.18,1.0711,ok,416902.0,AFIB,53.2323605467307
1658188800,1.1,1.15,1.17,1.09,ok,348839.0,AFIB,56.56282814140707
1658275200,1.18,1.39,1.43,1.145,ok,1167474.0,AFIB,63.574992662166125
1658361600,1.49,1.65,2.15,1.35,ok,8285118.0,AFIB,67.40215392697661
1658448000,1.58,1.58,1.68,1.48,ok,807554.0,AFIB,79.74516354595605
1658707200,1.51,1.34,1.6,1.32,ok,687601.0,AFIB,65.95498742095602
1658793600,1.29,1.32,1.345,1.215,ok,261242.0,AFIB,70.28985507246378
1658880000,1.32,1.49,1.49,1.32,ok,588842.0,AFIB,72.63565374090638
1658966400,1.43,1.44,1.4639,1.3786,ok,262147.0,AFIB,69.40472231459927
1659052800,1.43,1.56,1.59,1.36,ok,306977.0,AFIB,70.54680496862595
1659312000,1.6,1.43,1.6,1.42,ok,391335.0,AFIB,63.35403726708075
1659398400,1.41,1.41,1.49,1.37,ok,355527.0,AFIB,60.38961038961038
1659484800,1.45,1.44,1.48,1.405,ok,328259.0,AFIB,62.33766233766234
1659571200,1.47,1.48,1.49,1.415,ok,307732.0,AFIB,61.58940397350994
1659657600,1.52,1.56,1.56,1.43,ok,565524.0,AFIB,65.58441558441558
1659916800,1.56,1.54,1.65,1.52,ok,302667.0,AFIB,63.08724832214765
1660003200,1.55,1.51,1.6,1.5,ok,198021.0,AFIB,54.6875
1660089600,1.55,1.61,1.61,1.51,ok,197299.0,AFIB,48.21428571428572
1660176000,1.67,1.66,1.73,1.6,ok,321390.0,AFIB,53.636363636363626
1660262400,1.68,1.66,1.73,1.642,ok,274950.0,AFIB,68.60465116279069
1660521600,1.72,1.45,1.72,1.43,ok,374249.0,AFIB,56.19047619047619
1660608000,1.41,1.45,1.5,1.3,ok,466910.0,AFIB,47.72727272727273
1660694400,1.45,1.42,1.52,1.41,ok,139872.0,AFIB,48.83720930232558
1660780800,1.41,1.54,1.61,1.41,ok,369680.0,AFIB,48.83720930232558
1660867200,1.54,1.38,1.54,1.38,ok,113958.0,AFIB,47.19101123595505
1661126400,1.37,1.28,1.3747,1.2701,ok,117856.0,AFIB,43.29896907216495
1661212800,1.28,1.26,1.34,1.26,ok,113579.0,AFIB,40.62500000000001
1661299200,1.27,1.31,1.32,1.27,ok,88623.0,AFIB,41.237113402061865
1661385600,1.33,1.36,1.39,1.3,ok,119291.0,AFIB,39.36170212765958
