t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.16,3.24,3.34,3.105,ok,1730194.0,AFMD,,3.2283333333333335,5585642.963333334,1730194.0,3.2283333333333335
1652227200,3.21,2.93,3.275,2.92,ok,2074193.0,AFMD,,3.0416666666666665,6309003.708333333,3804387.0,1.658349612784749
1652313600,2.88,3.07,3.17,2.88,ok,2582244.0,AFMD,,3.0399999999999996,7850021.759999999,6386631.0,1.2291334445343718
1652400000,3.13,3.27,3.32,3.13,ok,1861919.0,AFMD,,3.2399999999999998,6032617.56,8248550.0,0.7313549120754557
1652659200,3.24,3.28,3.41,3.22,ok,866177.0,AFMD,,3.3033333333333332,2861271.3566666665,9114727.0,0.31391739507575667
1652745600,3.37,3.51,3.52,3.335,ok,734036.0,AFMD,,3.455,2536094.38,9848763.0,0.25750384896052425
1652832000,3.41,3.26,3.5099,3.2,ok,1860814.0,AFMD,,3.3232999999999997,6184043.1662,11709577.0,0.5281184082226027
1652918400,3.24,3.4,3.45,3.2191,ok,2468196.0,AFMD,,3.3563666666666667,8284170.7812,14177773.0,0.5843069134482546
1653004800,3.45,3.28,3.53,3.1485,ok,1854529.0,AFMD,,3.3194999999999997,6156109.0155,16032302.0,0.3839816026107791
1653264000,3.32,3.27,3.4,3.25,ok,1075956.0,AFMD,,3.3066666666666666,3557827.84,17108258.0,0.2079596788872368
1653350400,3.22,3.12,3.24,3.09,ok,905808.0,AFMD,,3.15,2853295.1999999997,18014066.0,0.15839262496318154
1653436800,3.13,3.17,3.2,3.08,ok,708899.0,AFMD,,3.15,2233031.85,18722965.0,0.11926699911045073
1653523200,3.18,3.15,3.28,3.135,ok,1138301.0,AFMD,,3.188333333333333,3629283.0216666665,19861266.0,0.18273170610910033
1653609600,3.15,3.2,3.245,3.058,ok,1233532.0,AFMD,48.80952380952381,3.167666666666667,3907418.198666667,21094798.0,0.18523136361233072
1653955200,3.31,3.1,3.31,3.04,ok,949570.0,AFMD,46.06741573033708,3.15,2991145.5,22044368.0,0.1356875143800902
1654041600,3.11,3.13,3.21,2.92,ok,1571829.0,AFMD,56.66666666666666,3.0866666666666664,4851712.18,23616197.0,0.20544002829922192
1654128000,3.12,3.1,3.1883,3.07,ok,1427124.0,AFMD,51.0791366906475,3.1194333333333333,4451818.1764,25043321.0,0.17776468929180758
1654214400,3.11,3.1,3.24,3.035,ok,1158765.0,AFMD,42.85714285714285,3.125,3621140.625,26202086.0,0.1382004709472368
1654473600,3.13,2.82,3.18,2.79,ok,1502196.0,AFMD,34.246575342465746,2.93,4401434.28,27704282.0,0.15887198520430887
1654560000,2.77,2.96,2.98,2.77,ok,983101.0,AFMD,29.927007299270077,2.9033333333333338,2854269.903333334,28687383.0,0.09949565296121064
1654646400,2.94,2.92,3.065,2.88,ok,1142717.0,AFMD,35.344827586206904,2.955,3376728.735,29830100.0,0.11319870650785616
1654732800,2.89,2.74,3.0,2.73,ok,648138.0,AFMD,22.50000000000001,2.8233333333333337,1829909.6200000003,30478238.0,0.0600398756647284
1654819200,2.68,2.6,2.68,2.55,ok,1241368.0,AFMD,22.131147540983605,2.61,3239970.48,31719606.0,0.10214409598908637
1655078400,2.47,2.37,2.5,2.34,ok,981994.0,AFMD,18.75,2.4033333333333333,2360058.913333333,32701600.0,0.07216952422307572
1655164800,2.37,2.27,2.4093,2.25,ok,790662.0,AFMD,19.42446043165468,2.3097666666666665,1826244.7322,33492262.0,0.054527363132415484
1655251200,2.32,2.37,2.4499,2.26,ok,1483957.0,AFMD,22.222222222222243,2.3599666666666663,3502089.054766666,34976219.0,0.10012771977344567
1655337600,2.32,2.32,2.35,2.23,ok,728336.0,AFMD,21.768707482993207,2.3000000000000003,1675172.8000000003,35704555.0,0.04691762157517438
1655424000,2.34,2.48,2.595,2.34,ok,1232351.0,AFMD,27.215189873417728,2.471666666666667,3045960.888333334,36936906.0,0.08246388824048592
1655769600,2.55,2.56,2.655,2.54,ok,1027597.0,AFMD,32.69230769230769,2.5850000000000004,2656338.2450000006,37964503.0,0.0699689982771538
