t,o,c,h,l,s,v,Ticker,RSI
1652140800,28.1,24.4,28.9,24.1,ok,54542.6,AGFY,
1652227200,27.4,27.3,28.852000000000004,24.2,ok,46706.0,AGFY,
1652313600,26.3,23.4,27.1,22.5,ok,90255.0,AGFY,
1652400000,23.5,27.4,27.9,23.5,ok,92119.8,AGFY,
1652659200,27.8,24.6,27.8,24.6,ok,38791.4,AGFY,
1652745600,25.2,26.1,27.0,25.1,ok,13895.2,AGFY,
1652832000,27.4,25.6,30.6,24.6,ok,70678.8,AGFY,
1652918400,25.5,25.2,26.278,24.1,ok,69612.3,AGFY,
1653004800,25.5,25.3,26.200000000000003,24.1,ok,25051.7,AGFY,
1653264000,25.9,24.6,25.9,24.327,ok,15210.0,AGFY,
1653350400,25.0,22.7,25.0,21.6,ok,54953.9,AGFY,
1653436800,22.4,24.0,24.2,22.3,ok,11598.3,AGFY,
1653523200,24.0,24.4,25.8,23.5,ok,18777.0,AGFY,
1653609600,25.0,25.9,26.511,24.3,ok,20262.2,AGFY,53.424657534246585
1653955200,25.1,25.4,27.1,23.8,ok,21776.4,AGFY,52.23214285714286
1654041600,25.4,24.4,26.4,23.700000000000003,ok,14337.0,AGFY,42.926829268292686
1654128000,24.4,25.1,26.4,24.1,ok,15115.4,AGFY,54.91329479768786
1654214400,25.0,24.8,26.1,24.1,ok,9063.2,AGFY,40.441176470588246
1654473600,25.0,26.0,26.200000000000003,23.9,ok,23215.0,AGFY,55.83333333333332
1654560000,26.3,27.7,27.9,25.8,ok,27701.5,AGFY,56.55737704918031
1654646400,27.8,27.4,28.999,27.0,ok,21891.9,AGFY,57.49999999999998
1654732800,26.9,25.4,27.187,24.5,ok,20169.9,AGFY,50.73529411764705
1654819200,24.8,24.700000000000003,25.1,23.525,ok,13131.5,AGFY,47.88732394366198
1655078400,23.3,22.8,23.996,22.004,ok,24743.5,AGFY,44.15584415584415
1655164800,22.9,22.200000000000003,23.4,21.7,ok,20444.2,AGFY,48.22695035460994
1655251200,22.4,21.5,24.8,20.3,ok,27713.8,AGFY,40.74074074074074
1655337600,20.8,20.0,21.3,19.2,ok,35976.3,AGFY,34.93150684931507
1655424000,20.0,21.4,21.4,19.9,ok,19143.5,AGFY,34.48275862068965
1655769600,21.6,21.5,23.2,20.7,ok,26157.0,AGFY,36.17021276595746
1655856000,20.6,20.9,21.7,20.1,ok,19651.0,AGFY,37.22627737226278
1655942400,20.9,21.0,21.7,19.9,ok,15975.1,AGFY,34.35114503816794
1656028800,21.7,22.4,23.414,21.1,ok,16383.7,AGFY,41.54929577464789
1656288000,23.4,23.0,23.4,21.5,ok,12114.1,AGFY,38.970588235294116
1656374400,22.9,20.8,23.0,20.7,ok,14186.4,AGFY,25.531914893617028
1656460800,20.8,19.0,20.8,17.6,ok,35381.8,AGFY,23.07692307692308
1656547200,18.2,19.7,19.9,17.941,ok,26916.5,AGFY,30.06993006993008
1656633600,19.8,18.2,19.85,17.7,ok,20381.0,AGFY,28.47682119205298
1656979200,18.3,19.7,19.7,17.4,ok,26751.8,AGFY,39.455782312925166
1657065600,19.7,19.1,19.7,17.8,ok,19908.7,AGFY,39.455782312925166
1657152000,19.2,19.2,20.2,18.8,ok,19252.5,AGFY,41.84397163120567
1657238400,19.5,19.2,19.6,18.2,ok,14761.5,AGFY,46.82539682539682
1657497600,18.6,17.8,19.0,17.2,ok,23137.0,AGFY,35.71428571428572
1657584000,17.5,16.9,17.7,16.7,ok,15555.0,AGFY,32.835820895522374
1657670400,16.9,15.9,16.9,15.5,ok,26127.5,AGFY,31.8840579710145
1657756800,15.7,15.8,16.4,15.1,ok,26638.0,AGFY,31.159420289855063
1657843200,16.0,15.1,16.325,15.0,ok,25337.7,AGFY,22.137404580152662
1658102400,15.5,14.8,16.4,14.6,ok,54100.8,AGFY,17.968749999999986
1658188800,15.0,15.0,15.3,14.3,ok,26671.5,AGFY,23.148148148148138
1658275200,15.4,16.599999999999998,17.0,15.1,ok,79360.0,AGFY,38.67924528301885
1658361600,16.7,16.599999999999998,17.0,15.7,ok,27159.8,AGFY,34.343434343434325
1658448000,16.599999999999998,15.1,16.599999999999998,14.85,ok,15583.0,AGFY,34.343434343434325
1658707200,15.2,15.1,15.9,14.7,ok,16155.5,AGFY,22.619047619047578
1658793600,15.0,14.0,15.262,14.0,ok,24179.5,AGFY,21.34831460674154
1658880000,14.4,14.6,14.7,13.4,ok,18909.2,AGFY,25.531914893617
1658966400,15.0,15.0,15.0,13.9,ok,7283.5,AGFY,28.57142857142857
1659052800,15.0,15.7,16.0,14.567,ok,13370.7,AGFY,38.461538461538446
1659312000,15.6,15.2,15.6,14.5,ok,18899.2,AGFY,40.22988505747126
1659398400,15.0,16.5,16.899,15.0,ok,23797.9,AGFY,53.33333333333333
1659484800,16.8,17.0,18.0,16.200000000000003,ok,26275.8,AGFY,56.38297872340426
1659571200,17.1,17.8,18.4,17.0,ok,16091.2,AGFY,64.21052631578948
1659657600,17.7,18.5,18.5,17.0,ok,12419.1,AGFY,68.68686868686869
1659916800,16.0,15.7,18.6,15.0,ok,77778.8,AGFY,52.79999999999999
1660003200,15.6,13.85,15.7,13.8,ok,34105.8,AGFY,39.21568627450981
1660089600,14.3,13.3,14.3,12.575,ok,52400.0,AGFY,37.59398496240603
1660176000,14.1,14.2,15.8,14.1,ok,57098.9,AGFY,46.45669291338583
1660262400,14.7,16.0,16.200000000000003,14.0,ok,32888.5,AGFY,53.10344827586207
1660521600,16.599999999999998,13.7,17.216,13.1,ok,631441.9,AGFY,49.044585987261144
1660608000,14.7,13.8,14.7,12.9,ok,118709.2,AGFY,47.36842105263158
1660694400,13.5,12.9,13.5,12.9,ok,70480.1,AGFY,43.31210191082803
1660780800,13.0,12.3,13.55,12.2,ok,72495.6,AGFY,39.10256410256411
1660867200,12.2,10.3,12.2,10.3,ok,138919.0,AGFY,35.672514619883046
1661126400,10.3,9.201,10.3,9.201,ok,56926.1,AGFY,28.40404757677969
1661212800,9.5,8.901,9.509,8.9,ok,36181.1,AGFY,25.750044912869043
1661299200,8.9,8.837,9.096,8.277,ok,81347.5,AGFY,21.925703188623686
1661385600,9.159,8.401,9.2,8.006,ok,139953.1,AGFY,17.835530925536673
1661472000,8.4,7.619,8.5,7.56,ok,84388.6,AGFY,20.46634017981141
1661731200,7.5,7.301,7.500999999999999,7.0,ok,75523.5,AGFY,23.047164375668785
1661817600,7.4,7.02,7.58,7.0,ok,32979.6,AGFY,23.56902356902357
1661904000,7.029999999999999,7.100999999999999,7.229999999999999,7.029999999999999,ok,25430.9,AGFY,17.909773076575362
1661990400,7.166,6.800000000000001,7.166,6.7,ok,34628.3,AGFY,1.8929094331729743
1662076800,6.98,6.581,7.0,6.5,ok,45580.0,AGFY,2.419462638684692
1662422400,6.6000000000000005,6.385,6.7,6.221,ok,21285.2,AGFY,1.0690246799524772
1662508800,6.4,6.5,6.51,6.2,ok,33253.5,AGFY,2.8857479387514644
1662595200,6.435,6.4190000000000005,6.6000000000000005,6.3,ok,34973.6,AGFY,3.1245018332536176
1662681600,6.5,6.4,7.24,6.32,ok,117037.1,AGFY,4.566635601118364
1662940800,6.525,6.4,6.7,6.37,ok,41421.5,AGFY,6.138427810836191
1663027200,6.4,6.008,6.4,5.951,ok,36064.0,AGFY,5.966514459665149
1663113600,5.925000000000001,5.662000000000001,6.0,5.501,ok,38239.9,AGFY,5.494813568825336
1663200000,5.699999999999999,5.926,6.0,5.602,ok,35309.6,AGFY,13.549337260677447
1663286400,5.8,5.300000000000001,5.8,5.141,ok,63776.9,AGFY,14.201914171040428
1663545600,5.385999999999999,5.09,5.385999999999999,5.0,ok,42315.4,AGFY,14.691791759821129
