t,o,c,h,l,s,v,Ticker
1652140800,1.775,1.63,1.775,1.62,ok,31840.0,AGMH
1652227200,1.59,1.72,1.9,1.57,ok,221645.0,AGMH
1652313600,1.77,1.8281,1.95,1.61,ok,616081.0,AGMH
1652400000,1.78,1.9,1.9,1.75,ok,89528.0,AGMH
1652659200,1.88,2.02,2.1,1.83,ok,305117.0,AGMH
1652745600,2.0596,2.1,2.11,2.03,ok,10399.0,AGMH
1652832000,2.09,2.0,2.15,1.97,ok,317611.0,AGMH
1652918400,2.02,2.12,2.135,2.02,ok,145170.0,AGMH
1653004800,2.07,2.265,2.3,2.07,ok,534985.0,AGMH
1653264000,2.22,2.3,2.35,2.22,ok,29976.0,AGMH
1653350400,2.24,2.2,2.25,2.14,ok,40196.0,AGMH
1653436800,2.1117,2.15,2.15,2.11,ok,5160.0,AGMH
1653523200,2.2,2.19,2.2363,2.17,ok,3685.0,AGMH
1653609600,2.21,2.19,2.22,2.14,ok,9329.0,AGMH
1653955200,2.15,2.0378,2.15,1.98,ok,24543.0,AGMH
1654041600,2.04,1.99,2.04,1.96,ok,1452.0,AGMH
1654128000,1.94,1.96,2.02,1.94,ok,16131.0,AGMH
1654214400,1.9514,2.0,2.0,1.9514,ok,1140.0,AGMH
1654473600,1.95,1.87,1.95,1.82,ok,16684.0,AGMH
1654560000,1.89,1.85,1.89,1.85,ok,1946.0,AGMH
1654646400,1.93,1.86,1.95,1.8,ok,8201.0,AGMH
1654732800,1.97,1.96,1.97,1.9,ok,17683.0,AGMH
1654819200,1.97,1.95,1.97,1.93,ok,920.0,AGMH
1655078400,1.9,1.71,1.9,1.6838,ok,8539.0,AGMH
1655164800,1.8,1.6,1.8,1.59,ok,5656.0,AGMH
1655251200,1.61,1.57,1.65,1.56,ok,6038.0,AGMH
1655337600,1.5,1.45,1.54,1.41,ok,22307.0,AGMH
1655424000,1.533,1.48,1.533,1.45,ok,2416.0,AGMH
1655769600,1.57,1.53,1.57,1.5,ok,6420.0,AGMH
1655856000,1.5755,1.46,1.5755,1.46,ok,2570.0,AGMH
1655942400,1.55,1.51,1.55,1.5,ok,2587.0,AGMH
1656028800,1.52,1.52,1.5594,1.47,ok,6069.0,AGMH
1656288000,1.52,1.41,1.52,1.41,ok,3049.0,AGMH
1656374400,1.45,1.42,1.47,1.4,ok,3131.0,AGMH
1656460800,1.49,1.32,1.49,1.32,ok,6934.0,AGMH
1656547200,1.33,1.23,1.33,1.23,ok,4924.0,AGMH
1656633600,1.3,1.18,1.3,1.18,ok,4565.0,AGMH
1656979200,1.16,1.65,1.65,1.16,ok,180508.0,AGMH
1657065600,1.64,1.7,1.8335,1.57,ok,44578.0,AGMH
1657152000,1.75,1.9,1.9,1.67,ok,34859.0,AGMH
1657238400,1.85,1.9,1.9,1.75,ok,37840.0,AGMH
1657497600,1.95,1.87,1.95,1.73,ok,20808.0,AGMH
1657584000,1.82,1.84,1.93,1.75,ok,68749.0,AGMH
1657670400,1.75,1.9,1.92,1.74,ok,35988.0,AGMH
1657756800,1.728,1.9,1.9,1.71,ok,31626.0,AGMH
1657843200,1.84,1.87,1.9,1.8,ok,26077.0,AGMH
1658102400,1.9,1.89,1.9,1.89,ok,2258.0,AGMH
1658188800,1.89,1.9,1.95,1.8805,ok,35326.0,AGMH
1658275200,1.92,1.91,1.95,1.8801,ok,8303.0,AGMH
1658361600,1.93,1.95,2.045,1.91,ok,43890.0,AGMH
1658448000,1.95,1.85,1.97,1.85,ok,5197.0,AGMH
1658707200,1.85,1.85,1.8599,1.84,ok,6700.0,AGMH
1658793600,1.86,1.76,1.86,1.72,ok,2863.0,AGMH
1658880000,1.74,1.93,1.95,1.68,ok,60188.0,AGMH
1658966400,1.88,1.8892,1.8892,1.87,ok,1087.0,AGMH
1659052800,1.7286,1.945,1.965,1.7286,ok,32957.0,AGMH
1659312000,1.83,1.81,1.83,1.81,ok,802.0,AGMH
1659398400,1.8325,1.88,1.9,1.8325,ok,6787.0,AGMH
1659484800,1.89,1.96,2.0499,1.85,ok,42101.0,AGMH
1659571200,1.9065,1.7977,1.94,1.69,ok,63262.0,AGMH
1659657600,1.8,1.92,1.99,1.77,ok,31170.0,AGMH
1659916800,1.98,2.21,2.21,1.92,ok,103326.0,AGMH
1660003200,2.2,1.97,2.2,1.9523,ok,19901.0,AGMH
1660089600,1.98,1.9,1.9899,1.86,ok,11546.0,AGMH
1660176000,1.93,1.8487,1.9681,1.74,ok,74657.0,AGMH
1660262400,1.85,1.89,1.96,1.85,ok,18844.0,AGMH
1660521600,1.8,1.86,1.9353,1.77,ok,29467.0,AGMH
1660608000,1.8,1.83,1.85,1.77,ok,6865.0,AGMH
1660694400,1.85,1.815,1.91,1.8,ok,11613.0,AGMH
1660780800,1.9,1.87,1.9195,1.77,ok,8322.0,AGMH
1660867200,1.82,2.015,2.0639,1.7401,ok,107150.0,AGMH
1661126400,2.0,2.15,2.22,1.99,ok,141056.0,AGMH
1661212800,2.13,2.26,2.39,2.13,ok,183565.0,AGMH
1661299200,2.28,2.2657,2.3424,2.26,ok,35981.0,AGMH
1661385600,2.27,2.375,2.3935,2.27,ok,23754.0,AGMH
1661472000,2.41,2.32,2.41,2.32,ok,31499.0,AGMH
1661731200,2.32,2.385,2.4042,2.32,ok,26338.0,AGMH
1661817600,2.35,2.3467,2.3501,2.32,ok,16590.0,AGMH
1661904000,2.35,2.34,2.35,2.32,ok,5489.0,AGMH
1661990400,2.32,2.34,2.375,2.32,ok,10980.0,AGMH
1662076800,2.3552,2.3305,2.3552,2.33,ok,7903.0,AGMH
1662422400,2.34,2.33,2.345,2.33,ok,2828.0,AGMH
1662508800,2.33,2.31,2.3392,2.3,ok,17947.0,AGMH
1662595200,2.33,2.295,2.33,2.29,ok,19919.0,AGMH
1662681600,2.355,2.3,2.355,2.2857,ok,11880.0,AGMH
1662940800,2.3,2.275,2.31,2.27,ok,21742.0,AGMH
1663027200,2.3448,2.2557,2.3448,2.25,ok,11289.0,AGMH
1663113600,2.3151,2.2765,2.3151,2.22,ok,10399.0,AGMH
1663200000,2.26,2.19,2.2688,2.19,ok,29000.0,AGMH
1663286400,2.21,2.205,2.21,2.16,ok,11139.0,AGMH
1663545600,1.81,1.98,1.9926,1.81,ok,3715.0,AGMH
1663632000,1.88,1.85,1.9,1.813,ok,9166.0,AGMH
1663718400,1.8215,1.73,1.8215,1.73,ok,9316.0,AGMH
1663804800,1.76,1.72,1.76,1.72,ok,2057.0,AGMH
1663891200,1.7045,1.59,1.7045,1.59,ok,1452.0,AGMH
1664150400,1.54,1.615,1.66,1.54,ok,10947.0,AGMH
1664236800,1.635,1.6008,1.635,1.6008,ok,2388.0,AGMH
1664323200,1.6099,1.6,1.61,1.6,ok,2547.0,AGMH
1664409600,1.6199,1.62,1.62,1.6,ok,2451.0,AGMH
1664496000,1.6199,1.61,1.6775,1.59,ok,34117.0,AGMH
1664755200,1.66,1.675,1.69,1.65,ok,4980.0,AGMH
1664841600,1.68,1.62,1.69,1.62,ok,2339.0,AGMH
1664928000,1.6143,1.5605,1.6199,1.5605,ok,3613.0,AGMH
1665014400,1.62,1.64,1.65,1.62,ok,3528.0,AGMH
1665100800,1.65,1.79,1.8,1.64,ok,33306.0,AGMH
1665360000,1.699,1.7,1.7,1.699,ok,1253.0,AGMH
1665446400,1.7,1.71,1.73,1.7,ok,2624.0,AGMH
1665532800,1.7193,1.7,1.7193,1.7,ok,999.0,AGMH
1665619200,1.71,1.6928,1.71,1.66,ok,2199.0,AGMH
1665705600,1.7,1.72,1.72,1.6576,ok,4727.0,AGMH
1665964800,1.6194,1.7,1.7,1.6194,ok,2558.0,AGMH
1666051200,1.7,1.64,1.7,1.622,ok,3392.0,AGMH
1666137600,1.69,1.66,1.69,1.66,ok,369.0,AGMH
1666224000,1.68,1.675,1.68,1.675,ok,4816.0,AGMH
1666310400,1.69,1.69,1.69,1.6163,ok,22665.0,AGMH
1666569600,1.68,1.62,1.68,1.61,ok,2768.0,AGMH
1666656000,1.63,1.64,1.67,1.63,ok,1714.0,AGMH
1666742400,1.6228,1.65,1.65,1.62,ok,2820.0,AGMH
1666828800,1.67,1.6574,1.67,1.61,ok,2470.0,AGMH
1666915200,1.67,1.67,1.71,1.65,ok,12802.0,AGMH
1667174400,1.6651,1.54,1.67,1.54,ok,7857.0,AGMH
1667260800,1.5,1.6135,1.65,1.49,ok,2220.0,AGMH
1667347200,1.6109,1.6099,1.6109,1.5,ok,2181.0,AGMH
1667433600,1.61,1.48,1.61,1.48,ok,4093.0,AGMH
1667520000,1.49,1.62,1.62,1.49,ok,14531.0,AGMH
1667779200,1.6201,1.61,1.63,1.6,ok,4617.0,AGMH
1667865600,1.61,1.6099,1.62,1.55,ok,6702.0,AGMH
1667952000,1.61,1.4901,1.61,1.4901,ok,2563.0,AGMH
1668038400,1.58,1.6,1.6,1.48,ok,7785.0,AGMH
1668124800,1.58,1.62,1.64,1.58,ok,18803.0,AGMH
1668384000,1.62,1.66,1.67,1.62,ok,6687.0,AGMH
1668470400,1.65,1.64,1.65,1.5301,ok,3737.0,AGMH
1668556800,1.62,1.63,1.64,1.53,ok,5818.0,AGMH
1668643200,1.64,1.6467,1.65,1.5182,ok,10042.0,AGMH
1668729600,1.65,1.65,1.65,1.5377,ok,5253.0,AGMH
1668988800,1.64,1.63,1.64,1.52,ok,8285.0,AGMH
1669075200,1.59,1.5497,1.64,1.5285,ok,18172.0,AGMH
1669161600,1.61,1.6,1.6146,1.4401,ok,14734.0,AGMH
1669334400,1.61,1.61,1.61,1.6,ok,4857.0,AGMH
1669593600,1.6,1.61,1.615,1.6,ok,1913.0,AGMH
1669680000,1.62,1.6399,1.6399,1.62,ok,7203.0,AGMH
1669766400,1.64,1.63,1.64,1.5784,ok,5356.0,AGMH
1669852800,1.63,1.63,1.64,1.5178,ok,5488.0,AGMH
1669939200,1.63,1.64,1.64,1.63,ok,5292.0,AGMH
1670198400,1.6035,1.62,1.62,1.6013,ok,2615.0,AGMH
1670284800,1.6064,1.6,1.62,1.6,ok,3248.0,AGMH
1670371200,1.6,1.62,1.62,1.6,ok,2896.0,AGMH
1670457600,1.61,1.62,1.62,1.61,ok,3956.0,AGMH
1670544000,1.56,1.6,1.61,1.56,ok,6720.0,AGMH
1670803200,1.6113,1.6196,1.6196,1.6,ok,2854.0,AGMH
1670889600,1.6,1.6189,1.62,1.6,ok,4311.0,AGMH
1670976000,1.61,1.565,1.62,1.565,ok,5497.0,AGMH
