t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,0.73,0.612,0.75,0.59,ok,820853.0,APTX,,0.6506666666666666,534101.6853333333,820853.0,0.6506666666666666
1652227200,0.6121,0.5701,0.6568,0.57,ok,821163.0,APTX,,0.5989666666666666,491849.2649,1642016.0,0.29953987348478944
1652313600,0.5929,0.6,0.6329,0.58,ok,163104.0,APTX,,0.6043,98563.7472,1805120.0,0.054602324056018434
1652400000,0.601,0.6999,0.704,0.601,ok,136370.0,APTX,,0.6683,91136.071,1941490.0,0.046941303328886574
1652659200,0.7,0.6325,0.7531,0.6288,ok,347083.0,APTX,,0.6714666666666665,233054.6650666666,2288573.0,0.10183405338901866
1652745600,0.6578,0.6782,0.7,0.6326,ok,243183.0,APTX,,0.6702666666666667,162997.4588,2531756.0,0.064381187918583
1652832000,0.73,0.6694,0.73,0.653,ok,536293.0,APTX,,0.6841333333333334,366895.91773333336,3068049.0,0.11958606845370898
1652918400,0.65,0.627,0.6699,0.5979,ok,765773.0,APTX,,0.6316,483662.22680000006,3833822.0,0.1261566725841732
1653004800,0.6386,0.5931,0.6386,0.5626,ok,561870.0,APTX,,0.5981,336054.447,4395692.0,0.07645086302679988
1653264000,0.6247,0.5826,0.6247,0.5734,ok,572722.0,APTX,,0.5935666666666667,339948.6884666667,4968414.0,0.06842197298104923
1653350400,0.58,0.565,0.59,0.5514,ok,267415.0,APTX,,0.5688,152105.652,5235829.0,0.029050920494156703
1653436800,0.5677,0.5443,0.5799,0.5,ok,316047.0,APTX,,0.5414,171107.8458,5551876.0,0.030819824830381662
1653523200,0.5466,0.4992,0.5466,0.4839,ok,337591.0,APTX,,0.5099,172137.6509,5889467.0,0.029228052538540415
1653609600,0.5012,0.5131,0.535,0.5001,ok,445566.0,APTX,39.64831484195101,0.5160666666666667,229941.7604,6335033.0,0.0362968528182884
1653955200,0.537,0.4998,0.54,0.49,ok,431995.0,APTX,38.57433808553972,0.5099333333333333,220288.65033333335,6767028.0,0.03255323464500714
1654041600,0.5081,0.47,0.515,0.47,ok,211011.0,APTX,39.54896638129045,0.48500000000000004,102340.335,6978039.0,0.014666059476021846
1654128000,0.4701,0.46,0.481,0.455,ok,264354.0,APTX,34.749455337690634,0.4653333333333333,123012.728,7242393.0,0.016985094291348177
1654214400,0.479,0.4198,0.479,0.3775,ok,733674.0,APTX,14.926120711244709,0.42543333333333333,312129.3754,7976067.0,0.039133243915829695
1654473600,0.437,0.4263,0.437,0.424,ok,174735.0,APTX,19.533096926713966,0.42910000000000004,74978.78850000001,8150802.0,0.009198946128246031
1654560000,0.43,0.4189,0.43,0.41,ok,396315.0,APTX,6.797734088637128,0.4196333333333333,166306.9845,8547117.0,0.019457670288121714
1654646400,0.4463,0.421,0.4463,0.3878,ok,731061.0,APTX,7.668711656441715,0.4183666666666666,305851.55369999993,9278178.0,0.032964613709717566
1654732800,0.43,0.45,0.4588,0.4141,ok,946118.0,APTX,18.392857142857157,0.4409666666666667,417206.50073333335,10224296.0,0.04080540124555601
1654819200,0.46,0.4369,0.46,0.4292,ok,277115.0,APTX,19.86882716049384,0.44203333333333333,122494.06716666666,10501411.0,0.011664534143713321
1655078400,0.42,0.3991,0.435,0.36,ok,446152.0,APTX,17.975567190226897,0.3980333333333333,177583.36773333332,10947563.0,0.016221269312022533
1655164800,0.4,0.3823,0.4,0.36,ok,324776.0,APTX,18.02590129506477,0.3807666666666667,123663.87493333334,11272339.0,0.010970560318788616
