t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,2.55,2.3825,2.6,2.375,ok,30586.6,ASLN,,2.4525,75013.6365,30586.6,2.4524999999999997
1652227200,2.25,2.2,2.415,2.108,ok,87721.6,ASLN,,2.241,196584.1056,118308.20000000001,1.6616270520555634
1652313600,2.156,2.3305,2.4975,2.15,ok,75814.2,ASLN,,2.326,176343.8292,194122.40000000002,0.9084156655800669
1652400000,2.4475,2.325,2.54,2.3000000000000003,ok,135703.0,ASLN,,2.388333333333333,324103.9983333333,329825.4,0.9826532411795249
1652659200,2.325,2.315,2.4,2.25,ok,14949.6,ASLN,,2.3216666666666668,34707.988000000005,344775.0,0.10066851714886521
1652745600,2.8045,2.275,2.8045,2.256,ok,62931.2,ASLN,,2.4451666666666667,153877.27253333334,407706.2,0.37742195859011546
1652832000,2.255,2.258,2.394,2.206,ok,19888.2,ASLN,,2.286,45464.425200000005,427594.4,0.10632605384916173
1652918400,2.253,2.2675,2.48,2.2,ok,40247.0,ASLN,,2.3158333333333334,93205.34416666668,467841.4,0.19922423318386673
1653004800,2.25,2.235,2.49,2.15,ok,19803.8,ASLN,,2.2916666666666665,45383.70833333333,487645.2,0.0930670666569328
1653264000,2.25,2.1585,2.289,2.1065,ok,35354.2,ASLN,,2.1846666666666668,77237.14226666666,522999.4,0.14768112978077347
1653350400,2.1605,2.0675,2.23,2.0,ok,30070.2,ASLN,,2.0991666666666666,63122.3615,553069.6,0.11413095476591012
1653436800,2.103,2.0,2.16,1.9,ok,84054.6,ASLN,,2.02,169790.29200000002,637124.2,0.26649480901839867
1653523200,2.25,1.9255,2.25,1.9255,ok,181571.2,ASLN,,2.0336666666666665,369255.29706666665,818695.3999999999,0.45102891388746863
1653609600,1.985,1.9655,2.075,1.945,ok,61309.4,ASLN,23.16602316602315,1.9951666666666668,122322.47123333334,880004.7999999999,0.13900205002669686
1653955200,2.1,2.02,2.1,1.95,ok,72836.4,ASLN,28.20204449789536,2.0233333333333334,147372.316,952841.2,0.15466618781807503
1654041600,2.05,1.9545,2.1,1.906,ok,69211.0,ASLN,32.82015395381383,1.9868333333333332,137510.72183333331,1022052.2,0.13454373644842535
1654128000,1.9895,1.875,2.0,1.8685,ok,64709.4,ASLN,15.674453654860612,1.9145,123886.14630000001,1086761.5999999999,0.11399569721639044
1654214400,1.9,1.85,1.96,1.7999999999999998,ok,55535.6,ASLN,15.22693997071744,1.8699999999999999,103851.57199999999,1142297.2,0.09091466914214619
1654473600,1.85,1.844,1.99,1.7775,ok,30613.8,ASLN,15.316642120765849,1.8705,57263.1129,1172911.0,0.048821362319903215
1654560000,1.935,1.7999999999999998,1.94,1.7925,ok,62366.0,ASLN,15.22693997071744,1.8441666666666665,115013.29833333332,1235277.0,0.09310729361376706
1654646400,1.81,1.9005,1.9775,1.7999999999999998,ok,116510.0,ASLN,26.679712981082872,1.8926666666666667,220514.59333333335,1351787.0,0.16312820979439316
1654732800,2.0,2.225,2.75,1.95,ok,326041.2,ASLN,48.03513638465096,2.3083333333333336,752611.7700000001,1677828.2,0.44856307099856835
