t,o,c,h,l,s,v,Ticker
1652140800,3.98,3.99,4.02,3.98,ok,17508.0,ASRV
1652227200,4.0,3.98,4.01,3.9784,ok,16143.0,ASRV
1652313600,3.98,3.98,4.02,3.96,ok,26886.0,ASRV
1652400000,3.98,3.98,4.05,3.95,ok,6261.0,ASRV
1652659200,3.95,3.98,4.0,3.95,ok,10999.0,ASRV
1652745600,3.9802,3.96,3.9802,3.96,ok,4013.0,ASRV
1652832000,3.98,3.99,4.05,3.98,ok,6161.0,ASRV
1652918400,3.99,4.0,4.0138,3.93,ok,20548.0,ASRV
1653004800,4.01,3.98,4.02,3.96,ok,13661.0,ASRV
1653264000,4.05,3.99,4.08,3.95,ok,6328.0,ASRV
1653350400,4.07,4.01,4.07,4.01,ok,13037.0,ASRV
1653436800,3.97,3.97,4.05,3.97,ok,1399.0,ASRV
1653523200,4.01,3.99,4.04,3.97,ok,3856.0,ASRV
1653609600,4.08,4.01,4.08,3.98,ok,2759.0,ASRV
1653955200,4.01,3.98,4.01,3.98,ok,2157.0,ASRV
1654041600,3.96,3.98,4.06,3.96,ok,892.0,ASRV
1654128000,3.95,3.96,4.05,3.93,ok,28640.0,ASRV
1654214400,3.94,3.99,4.04,3.94,ok,6768.0,ASRV
1654473600,4.06,3.99,4.07,3.99,ok,3254.0,ASRV
1654560000,4.07,4.04,4.08,4.01,ok,8228.0,ASRV
1654646400,3.9843,4.04,4.07,3.9801,ok,6063.0,ASRV
1654732800,4.01,3.99,4.045,3.95,ok,14236.0,ASRV
1654819200,3.94,3.98,4.0397,3.9301,ok,111545.0,ASRV
1655078400,3.9458,3.95,3.9937,3.94,ok,2929.0,ASRV
1655164800,3.95,3.93,4.03,3.93,ok,85569.0,ASRV
1655251200,3.93,3.95,3.99,3.93,ok,17951.0,ASRV
1655337600,4.09,3.95,4.09,3.93,ok,52716.0,ASRV
1655424000,3.96,3.93,3.97,3.93,ok,7105.0,ASRV
1655769600,3.93,3.97,3.97,3.9,ok,23134.0,ASRV
1655856000,3.97,3.97,4.03,3.9699,ok,5521.0,ASRV
1655942400,3.95,3.93,4.02,3.9168,ok,30584.0,ASRV
1656028800,3.97,3.97,3.97,3.93,ok,3622.0,ASRV
1656288000,3.97,3.94,3.97,3.94,ok,30020.0,ASRV
1656374400,3.97,3.94,3.97,3.94,ok,17017.0,ASRV
1656460800,3.97,3.94,3.97,3.93,ok,2320.0,ASRV
1656547200,3.9204,3.94,3.96,3.92,ok,41708.0,ASRV
1656633600,3.94,3.92,3.97,3.9,ok,6108.0,ASRV
1656979200,3.95,3.94,3.97,3.9,ok,2094.0,ASRV
1657065600,3.99,3.93,3.99,3.9,ok,1085.0,ASRV
1657152000,3.965,3.95,3.99,3.93,ok,12023.0,ASRV
1657238400,3.9,3.99,3.99,3.9,ok,1146.0,ASRV
1657497600,3.88,3.9,4.0,3.88,ok,34832.0,ASRV
1657584000,3.9177,3.92,3.94,3.9,ok,2158.0,ASRV
1657670400,3.95,4.0,4.0,3.95,ok,1309.0,ASRV
1657756800,4.0,3.92,4.0,3.89,ok,28094.0,ASRV
1657843200,3.8901,3.92,3.9361,3.8901,ok,1780.0,ASRV
1658102400,3.93,3.92,3.95,3.92,ok,1127.0,ASRV
1658188800,3.9201,3.85,3.9597,3.8,ok,51805.0,ASRV
1658275200,3.83,3.9,3.97,3.83,ok,1534.0,ASRV
1658361600,3.91,3.9,3.91,3.9,ok,5499.0,ASRV
1658448000,3.86,3.92,3.92,3.86,ok,919.0,ASRV
1658707200,3.9,3.88,3.99,3.87,ok,6544.0,ASRV
1658793600,3.83,3.91,3.935,3.83,ok,2235.0,ASRV
1658880000,3.92,4.0,4.0,3.92,ok,8319.0,ASRV
1658966400,3.98,3.93,4.0,3.92,ok,6250.0,ASRV
1659052800,3.96,3.94,4.0,3.93,ok,3204.0,ASRV
1659312000,3.96,3.9999,4.0,3.96,ok,2722.0,ASRV
1659398400,4.02,4.0,4.02,3.93,ok,4051.0,ASRV
1659484800,4.0,3.99,4.01,3.98,ok,3870.0,ASRV
1659571200,3.9895,3.95,4.02,3.93,ok,10165.0,ASRV
1659657600,3.9,3.94,4.02,3.9,ok,5456.0,ASRV
1659916800,3.92,3.92,3.98,3.9,ok,6791.0,ASRV
1660003200,3.9001,3.9,3.9581,3.9,ok,3739.0,ASRV
1660089600,3.92,3.99,3.99,3.92,ok,3216.0,ASRV
1660176000,4.02,4.03,4.05,3.92,ok,52438.0,ASRV
1660262400,3.96,3.98,4.005,3.95,ok,1273.0,ASRV
1660521600,3.98,3.96,4.02,3.94,ok,6314.0,ASRV
1660608000,3.9601,3.93,4.0,3.9,ok,9018.0,ASRV
1660694400,3.9451,3.91,3.9607,3.9,ok,11538.0,ASRV
1660780800,3.9374,3.98,4.03,3.92,ok,2123.0,ASRV
1660867200,3.98,3.95,4.04,3.95,ok,6168.0,ASRV
1661126400,3.99,3.95,4.0041,3.9,ok,12859.0,ASRV
1661212800,3.99,3.95,3.99,3.93,ok,6259.0,ASRV
1661299200,3.95,3.975,4.02,3.95,ok,5898.0,ASRV
1661385600,3.95,3.95,3.95,3.95,ok,647.0,ASRV
1661472000,3.95,3.93,3.9656,3.93,ok,2283.0,ASRV
1661731200,3.9,3.81,3.92,3.81,ok,16226.0,ASRV
1661817600,3.8857,3.81,3.89,3.8,ok,7787.0,ASRV
1661904000,3.81,3.8,3.86,3.8,ok,7567.0,ASRV
1661990400,3.81,3.81,3.83,3.81,ok,9124.0,ASRV
1662076800,3.83,3.84,3.8401,3.83,ok,3709.0,ASRV
1662422400,3.875,3.9,3.9,3.81,ok,7311.0,ASRV
1662508800,3.82,3.87,3.92,3.82,ok,3029.0,ASRV
1662595200,3.95,3.85,3.95,3.83,ok,1089.0,ASRV
1662681600,3.86,3.88,3.88,3.86,ok,1797.0,ASRV
1662940800,3.94,3.92,3.94,3.9,ok,3014.0,ASRV
1663027200,3.92,3.87,3.92,3.87,ok,1082.0,ASRV
1663113600,3.8758,3.87,3.9243,3.87,ok,23451.0,ASRV
1663200000,3.9,3.92,3.92,3.9,ok,9534.0,ASRV
1663286400,3.909,3.81,3.909,3.81,ok,26303.0,ASRV
1663545600,3.85,3.87,3.88,3.85,ok,3911.0,ASRV
1663632000,3.81,3.86,3.87,3.81,ok,5124.0,ASRV
1663718400,3.81,3.85,3.85,3.81,ok,4282.0,ASRV
1663804800,3.8501,3.84,3.8501,3.81,ok,3182.0,ASRV
1663891200,3.81,3.81,3.81,3.81,ok,938.0,ASRV
1664150400,3.81,3.8,3.835,3.8,ok,34152.0,ASRV
1664236800,3.85,3.81,3.85,3.8,ok,697.0,ASRV
1664323200,3.8,3.8,3.81,3.8,ok,3002.0,ASRV
1664409600,3.8,3.82,3.82,3.8,ok,2996.0,ASRV
1664496000,3.8,3.8,3.8,3.8,ok,6248.0,ASRV
1664755200,3.8642,3.8,3.8642,3.8,ok,4456.0,ASRV
1664841600,3.7801,3.77,3.8581,3.77,ok,4247.0,ASRV
1664928000,3.8589,3.77,3.8589,3.77,ok,1873.0,ASRV
1665014400,3.81,3.76,3.81,3.71,ok,53229.0,ASRV
1665100800,3.72,3.71,3.7353,3.71,ok,2789.0,ASRV
1665360000,3.7246,3.71,3.7246,3.71,ok,2234.0,ASRV
1665446400,3.7101,3.7,3.73,3.7,ok,7171.0,ASRV
1665532800,3.795,3.71,3.795,3.7,ok,2146.0,ASRV
1665619200,3.701,3.72,3.7954,3.66,ok,2359.0,ASRV
1665705600,3.7473,3.71,3.7473,3.66,ok,2427.0,ASRV
1665964800,3.743,3.71,3.743,3.68,ok,4914.0,ASRV
1666051200,3.7894,3.79,3.81,3.75,ok,15932.0,ASRV
1666137600,3.79,3.75,3.86,3.75,ok,5264.0,ASRV
1666224000,3.76,3.84,3.84,3.76,ok,29813.0,ASRV
1666310400,3.897,4.0,4.0,3.87,ok,38600.0,ASRV
1666569600,3.95,4.06,4.09,3.92,ok,17439.0,ASRV
1666656000,4.0782,4.01,4.0782,4.0,ok,6448.0,ASRV
1666742400,4.0835,4.02,4.09,3.98,ok,5496.0,ASRV
1666828800,3.9801,4.09,4.09,3.9801,ok,1157.0,ASRV
1666915200,4.02,4.08,4.08,3.9801,ok,2413.0,ASRV
1667174400,4.06,4.03,4.08,4.03,ok,12720.0,ASRV
1667260800,3.98,4.0,4.03,3.95,ok,2662.0,ASRV
1667347200,4.0,3.99,4.08,3.91,ok,12151.0,ASRV
1667433600,3.92,3.93,3.93,3.91,ok,1006.0,ASRV
1667520000,3.93,3.94,3.94,3.92,ok,1176.0,ASRV
1667779200,3.92,3.91,3.98,3.87,ok,12180.0,ASRV
