t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,11.77,11.38,12.1,10.91,ok,328440.0,ATOM,,11.463333333333333,3765017.1999999997,328440.0,11.463333333333333
1652227200,11.22,10.13,11.4957,10.0,ok,379123.0,ATOM,,10.5419,3996676.7537000002,707563.0,5.648510102563305
1652313600,10.0,10.51,10.8842,9.52,ok,368239.0,ATOM,,10.304733333333333,3794604.6979333335,1075802.0,3.5272333551465174
1652400000,10.94,11.52,11.74,10.67,ok,207880.0,ATOM,,11.31,2351122.8000000003,1283682.0,1.8315461305837428
1652659200,11.48,11.32,11.943,11.13,ok,188129.0,ATOM,,11.464333333333334,2156773.5656666667,1471811.0,1.4653875841848354
1652745600,11.61,12.14,12.18,11.44,ok,196357.0,ATOM,,11.92,2340575.44,1668168.0,1.4030813683034322
1652832000,11.95,11.65,12.55,11.51,ok,234385.0,ATOM,,11.903333333333334,2789962.7833333337,1902553.0,1.46643104467173
1652918400,11.51,12.19,12.65,11.51,ok,171324.0,ATOM,,12.116666666666667,2075875.8,2073877.0,1.0009637987209463
1653004800,12.71,12.39,12.8799,11.6801,ok,220928.0,ATOM,,12.316666666666668,2721096.5333333337,2294805.0,1.1857637286537783
1653264000,12.43,12.09,12.43,11.6082,ok,180171.0,ATOM,,12.042733333333333,2169751.3074,2474976.0,0.8766756960067491
1653350400,11.75,11.09,11.75,10.84,ok,194693.0,ATOM,,11.226666666666667,2185753.413333333,2669669.0,0.8187357359033397
1653436800,11.02,11.58,11.82,11.02,ok,177561.0,ATOM,,11.473333333333334,2037216.5400000003,2847230.0,0.7155082448555263
1653523200,11.61,11.98,12.345,11.61,ok,155374.0,ATOM,,11.978333333333333,1861121.5633333335,3002604.0,0.6198358369379823
1653609600,12.23,12.99,13.3,12.04,ok,240384.0,ATOM,59.95055624227441,12.776666666666666,3071306.2399999998,3242988.0,0.947060624337802
1653955200,13.0,12.15,13.15,11.91,ok,377616.0,ATOM,54.31131019036954,12.403333333333334,4683697.12,3620604.0,1.2936231413322197
1654041600,12.06,11.45,12.51,11.14,ok,259659.0,ATOM,57.87589498806682,11.699999999999998,3038010.2999999993,3880263.0,0.7829392749924423
1654128000,11.36,12.02,12.17,10.931,ok,222800.0,ATOM,58.8098016336056,11.706999999999999,2608319.5999999996,4103063.0,0.6357005973342353
1654214400,11.5,11.55,11.879,11.21,ok,149549.0,ATOM,50.186799501868,11.546333333333331,1726742.6036666664,4252612.0,0.40604282818810333
1654473600,11.63,11.4,12.0,11.26,ok,181429.0,ATOM,50.50125313283208,11.553333333333333,2096109.7133333331,4434041.0,0.4727312429752754
1654560000,11.28,11.5,11.72,11.2,ok,167320.0,ATOM,45.59228650137741,11.473333333333334,1919718.1333333335,4601361.0,0.4172065902530433
1654646400,11.49,11.38,11.65,11.11,ok,158880.0,ATOM,48.040638606676346,11.38,1808054.4000000001,4760241.0,0.37982413075304383
1654732800,11.18,10.65,11.4,10.6,ok,169275.0,ATOM,39.12429378531074,10.883333333333333,1842276.25,4929516.0,0.3737235562274268
1654819200,10.5,10.12,10.63,10.0,ok,199497.0,ATOM,34.68286099865047,10.25,2044844.25,5129013.0,0.39868182240910677
1655078400,9.76,9.33,9.76,9.25,ok,303621.0,ATOM,32.53164556962025,9.446666666666665,2868206.3799999994,5432634.0,0.5279586992239859
1655164800,9.4,9.13,9.55,9.015,ok,180530.0,ATOM,36.19718309859155,9.231666666666667,1666592.7833333334,5613164.0,0.29690790850460336
1655251200,9.26,9.65,9.9299,9.17,ok,185466.0,ATOM,36.4656381486676,9.5833,1777376.3177999998,5798630.0,0.3065165940575618
1655337600,9.31,9.14,9.6,9.03,ok,177205.0,ATOM,30.38674033149171,9.256666666666666,1640327.6166666665,5975835.0,0.2744934585152814
1655424000,9.22,9.68,9.89,9.1896,ok,197144.0,ATOM,25.55391432791727,9.586533333333334,1889927.5274666667,6172979.0,0.30616134081562024
1655769600,9.72,9.88,10.18,9.72,ok,191571.0,ATOM,31.484502446982063,9.926666666666668,1901661.4600000002,6364550.0,0.2987896174906317
1655856000,9.66,9.67,10.05,9.6,ok,156228.0,ATOM,34.219858156028366,9.773333333333333,1526868.32,6520778.0,0.23415431716890225
1655942400,9.73,9.94,10.19,9.46,ok,166203.0,ATOM,30.52434456928837,9.863333333333332,1639315.5899999996,6686981.0,0.24515032867597494
1656028800,10.09,9.86,10.435,9.8,ok,274185.0,ATOM,32.92929292929291,10.031666666666666,2750532.525,6961166.0,0.39512525990617087
1656288000,10.1,10.07,10.42,9.8,ok,151840.0,ATOM,36.72654690618762,10.096666666666666,1533077.8666666665,7113006.0,0.21553164255262353
1656374400,10.07,9.62,10.09,9.51,ok,140823.0,ATOM,32.462686567164184,9.74,1371616.02,7253829.0,0.18908855171523895
1656460800,9.59,9.66,9.67,9.1,ok,220057.0,ATOM,33.71212121212122,9.476666666666667,2085406.8366666667,7473886.0,0.27902577543551865
1656547200,9.48,9.38,9.65,9.18,ok,139532.0,ATOM,36.85300207039339,9.403333333333334,1312065.9066666667,7613418.0,0.17233598715671025
1656633600,9.25,9.3,9.38,8.92,ok,191881.0,ATOM,40.63926940639272,9.200000000000001,1765305.2000000002,7805299.0,0.22616753054559474
1656979200,9.09,9.82,9.84,8.9,ok,222685.0,ATOM,55.961070559610704,9.520000000000001,2119961.2,8027984.0,0.2640714281443511
1657065600,10.02,9.84,10.02,9.51,ok,154658.0,ATOM,59.03307888040711,9.790000000000001,1514101.82,8182642.0,0.18503825781452984
1657152000,9.99,10.22,10.4899,9.8,ok,174712.0,ATOM,57.5197889182058,10.169966666666667,1776815.2162666668,8357354.0,0.21260499630225868
1657238400,10.12,10.36,10.48,9.91,ok,145515.0,ATOM,67.83625730994149,10.25,1491528.75,8502869.0,0.17541476294648312
1657497600,10.28,9.91,10.28,9.81,ok,117729.0,ATOM,53.453453453453456,10.0,1177290.0,8620598.0,0.13656709198132194
1657584000,9.96,10.29,10.37,9.76,ok,129318.0,ATOM,55.84045584045582,10.139999999999999,1311284.5199999998,8749916.0,0.1498625266802561
1657670400,9.95,10.38,10.56,9.79,ok,116487.0,ATOM,60.47197640117995,10.243333333333334,1193215.1700000002,8866403.0,0.1345771413728882
1657756800,10.24,10.49,10.55,9.92,ok,85379.0,ATOM,58.513931888544896,10.32,881111.28,8951782.0,0.09842858997236528
1657843200,10.63,10.72,10.829,10.39,ok,108267.0,ATOM,62.72189349112428,10.646333333333333,1152646.571,9060049.0,0.12722299526194616
1658102400,10.94,11.12,11.235,10.75,ok,178208.0,ATOM,64.70588235294116,11.034999999999998,1966525.2799999998,9238257.0,0.21286756581896343
1658188800,11.11,11.18,11.5053,11.03,ok,209985.0,ATOM,74.52830188679248,11.238433333333333,2359902.4235,9448242.0,0.2497715896248212
1658275200,11.28,11.76,11.79,11.1758,ok,247682.0,ATOM,78.22580645161293,11.575266666666666,2866985.1985333334,9695924.0,0.29568973504055246
1658361600,11.77,11.93,11.9499,11.6,ok,162912.0,ATOM,85.31855955678671,11.826633333333334,1926700.4896,9858836.0,0.1954288000733555
1658448000,11.95,11.25,12.0,10.93,ok,142946.0,ATOM,73.15914489311164,11.393333333333333,1628631.4266666665,10001782.0,0.1628341256254802
1658707200,11.3,10.86,11.34,10.83,ok,117938.0,ATOM,62.74509803921568,11.01,1298497.38,10119720.0,0.12831356796433102
1658793600,10.65,10.41,10.76,10.25,ok,113195.0,ATOM,56.31929046563193,10.473333333333333,1185528.9666666666,10232915.0,0.11585447222679623
1658880000,10.66,11.18,11.485,10.6,ok,266854.0,ATOM,59.795918367346935,11.088333333333333,2958966.103333333,10499769.0,0.281812495430455
1658966400,11.16,11.65,11.73,10.85,ok,182818.0,ATOM,62.33269598470365,11.409999999999998,2085953.3799999997,10682587.0,0.19526668774146183
1659052800,11.64,11.68,11.88,11.57,ok,171420.0,ATOM,68.39916839916839,11.71,2007328.2000000002,10854007.0,0.18493890781533495
1659312000,11.49,11.4,11.655,11.23,ok,122056.0,ATOM,61.78343949044588,11.428333333333333,1394896.6533333333,10976063.0,0.12708533591082097
1659398400,11.38,12.17,12.31,11.21,ok,255947.0,ATOM,66.60482374768088,11.896666666666668,3044916.1433333335,11232010.0,0.2710927201216286
1659484800,12.22,12.97,13.3899,11.51,ok,293013.0,ATOM,70.39473684210527,12.6233,3698791.0029,11525023.0,0.32093567213705343
1659571200,13.1,13.49,13.5,13.04,ok,167758.0,ATOM,71.7425431711146,13.343333333333334,2238450.9133333336,11692781.0,0.19143871020361483
1659657600,13.43,14.07,14.115,13.2501,ok,271771.0,ATOM,72.51908396946567,13.8117,3753619.5207,11964552.0,0.3137283803605852
1659916800,14.38,14.59,15.09,14.295,ok,316655.0,ATOM,74.32239657631955,14.658333333333331,4641634.541666666,12281207.0,0.3779461205781049
1660003200,14.44,14.04,14.44,13.9,ok,205466.0,ATOM,66.3323782234957,14.126666666666665,2902549.693333333,12486673.0,0.23245180628445486
1660089600,14.64,14.83,15.0,14.4367,ok,259165.0,ATOM,69.07894736842105,14.755566666666667,3824126.4351666667,12745838.0,0.30002942412783423
1660176000,15.1,13.9,15.1039,13.81,ok,200372.0,ATOM,66.87898089171975,14.271299999999998,2859568.9236,12946210.0,0.22088077696870356
1660262400,13.9,14.36,14.53,13.6,ok,176107.0,ATOM,72.09595959595961,14.163333333333332,2494262.143333333,13122317.0,0.19007787598282627
1660521600,14.35,14.68,14.69,14.0101,ok,137918.0,ATOM,77.40693196405648,14.460033333333334,1994298.8772666666,13260235.0,0.15039694826424016
1660608000,14.64,14.61,14.73,14.05,ok,136586.0,ATOM,74.18899858956276,14.463333333333333,1975488.8466666667,13396821.0,0.147459523917403
1660694400,14.29,13.92,14.68,13.5478,ok,212008.0,ATOM,65.52667578659371,14.049266666666668,2978556.927466667,13608829.0,0.218869450668141
1660780800,14.07,14.22,14.41,13.92,ok,92802.0,ATOM,66.75461741424803,14.183333333333332,1316241.7,13701631.0,0.09606459990055198
1660867200,13.88,13.14,14.06,13.0,ok,204418.0,ATOM,60.381861575179,13.4,2739201.2,13906049.0,0.1969791131902383
1661126400,12.42,12.38,12.79,12.15,ok,221133.0,ATOM,51.25448028673836,12.44,2750894.52,14127182.0,0.19472351386143394
1661212800,12.3,12.24,13.1,12.165,ok,109201.0,ATOM,45.26588845654993,12.501666666666667,1365194.5016666667,14236383.0,0.09589475793582307
1661299200,12.27,12.56,12.75,12.27,ok,67440.0,ATOM,43.80825565912117,12.526666666666666,844798.3999999999,14303823.0,0.05906102165833567
1661385600,12.63,13.21,13.25,12.63,ok,98582.0,ATOM,44.32717678100265,13.030000000000001,1284523.4600000002,14402405.0,0.08918812240039078
1661472000,13.25,12.38,13.25,12.25,ok,103122.0,ATOM,35.994930291508254,12.626666666666667,1302087.12,14505527.0,0.08976489582212353
1661731200,12.12,12.18,12.69,12.1001,ok,69935.0,ATOM,37.66578249336871,12.323366666666667,861834.6478333334,14575462.0,0.05912914786737692
1661817600,12.23,12.58,12.61,12.11,ok,91024.0,ATOM,34.26573426573427,12.433333333333332,1131731.7333333332,14666486.0,0.07716447779879469
1661904000,12.72,12.93,12.98,12.515,ok,127923.0,ATOM,42.61796042617959,12.808333333333332,1638480.4249999998,14794409.0,0.11074997487226423
1661990400,12.33,12.26,12.67,11.3,ok,270150.0,ATOM,34.51327433628319,12.076666666666666,3262511.5,15064559.0,0.2165686695508312
1662076800,12.43,12.15,12.71,12.045,ok,127746.0,ATOM,30.745814307458147,12.301666666666668,1571488.7100000002,15192305.0,0.10343978152097395
1662422400,12.1,11.54,12.79,11.4741,ok,134188.0,ATOM,28.41068917018285,11.9347,1601493.5236,15326493.0,0.10449184452046531
1662508800,11.56,12.0,12.19,11.5204,ok,96146.0,ATOM,36.04651162790699,11.903466666666667,1144470.7061333333,15422639.0,0.07420719023075968
1662595200,11.92,12.37,12.38,11.7491,ok,66709.0,ATOM,36.690647482014384,12.166366666666667,811606.1539666667,15489348.0,0.05239769640185414
1662681600,12.63,12.11,12.79,12.04,ok,83447.0,ATOM,41.59869494290375,12.313333333333333,1027510.7266666666,15572795.0,0.0659811374044715
1662940800,12.08,11.93,12.0825,11.56,ok,100525.0,ATOM,45.94594594594594,11.8575,1191975.1875,15673320.0,0.07605122510737992
1663027200,11.2,11.26,11.77,11.0351,ok,95161.0,ATOM,41.94078947368421,11.355033333333333,1080556.3270333332,15768481.0,0.06852634233020499
1663113600,11.31,11.17,11.5,11.06,ok,88637.0,ATOM,38.11965811965812,11.243333333333334,996575.3366666668,15857118.0,0.06284719182052292
1663200000,11.11,11.26,11.3618,10.84,ok,115599.0,ATOM,31.56899810964083,11.153933333333333,1289383.5394,15972717.0,0.08072412097453426
1663286400,10.98,11.07,11.12,10.75,ok,116825.0,ATOM,35.91397849462366,10.979999999999999,1282738.4999999998,16089542.0,0.07972498533519473
1663545600,11.0,11.2,11.3,10.951,ok,55137.0,ATOM,39.30131004366811,11.150333333333334,614795.929,16144679.0,0.03808040587242397
1663632000,11.03,11.43,11.46,10.965,ok,95058.0,ATOM,36.96145124716552,11.285000000000002,1072729.5300000003,16239737.0,0.0660558437615092
1663718400,11.45,11.85,12.1182,10.92,ok,166692.0,ATOM,37.94642857142856,11.629399999999999,1938527.9447999997,16406429.0,0.1181566046334641
1663804800,11.81,11.24,11.81,11.04,ok,310175.0,ATOM,38.46153846153846,11.363333333333335,3524621.916666667,16716604.0,0.2108455710661488
1663891200,11.01,10.32,11.43,10.22,ok,184986.0,ATOM,32.50478011472275,10.656666666666666,1971334.14,16901590.0,0.11663601708478315
1664150400,10.19,9.8,10.59,9.72,ok,200159.0,ATOM,33.07392996108949,10.036666666666667,2008929.1633333333,17101749.0,0.11746922278729113
1664236800,9.94,10.09,10.27,9.78,ok,113637.0,ATOM,30.784708249496973,10.046666666666665,1141673.0599999998,17215386.0,0.06631701781185736
1664323200,10.09,10.52,10.69,10.0,ok,141373.0,ATOM,31.610337972166988,10.403333333333332,1470750.4433333331,17356759.0,0.08473646740922848
1664409600,10.26,10.1,10.3,9.7501,ok,82534.0,ATOM,30.635838150289004,10.050033333333333,829469.4511333334,17439293.0,0.0475632499054482
1664496000,9.95,10.13,10.59,9.905,ok,103091.0,ATOM,32.14285714285715,10.208333333333334,1052387.2916666667,17542384.0,0.05999112159821987
1664755200,10.15,10.07,10.48,9.97,ok,81942.0,ATOM,36.568848758465016,10.173333333333334,833623.28,17624326.0,0.047299583541520966
1664841600,10.48,10.51,10.6,10.17,ok,136723.0,ATOM,43.09623430962343,10.426666666666668,1425565.1466666667,17761049.0,0.08026356701491374
1664928000,10.33,10.08,10.35,9.75,ok,135521.0,ATOM,38.4765625,10.06,1363341.26,17896570.0,0.07617891361305547
1665014400,10.08,10.18,10.6141,9.92,ok,165206.0,ATOM,41.15308151093439,10.238033333333334,1691384.534866667,18061776.0,0.09364441984368907
1665100800,9.98,9.58,10.0352,9.5266,ok,125366.0,ATOM,35.27272727272728,9.713933333333332,1217796.9662666665,18187142.0,0.0669592268134634
1665360000,9.49,8.78,9.501,8.61,ok,273255.0,ATOM,28.171334431630967,8.963666666666667,2449366.735,18460397.0,0.13268223511119506
1665446400,8.6,8.4,8.7,8.24,ok,168678.0,ATOM,21.393034825870643,8.446666666666665,1424766.8399999999,18629075.0,0.0764808150699914
1665532800,8.32,8.05,8.3222,7.89,ok,261044.0,ATOM,22.35701906412477,8.0874,2111167.2456,18890119.0,0.11176039947657292
1665619200,7.82,8.31,8.37,7.4773,ok,241051.0,ATOM,30.332681017612515,8.052433333333333,1941047.1074333333,19131170.0,0.10145992678092
1665705600,8.4,7.68,8.5401,7.61,ok,255346.0,ATOM,29.693486590038304,7.943366666666667,2028306.9048666668,19386516.0,0.10462462181789997
1665964800,7.91,8.05,8.15,7.7,ok,179966.0,ATOM,30.75471698113209,7.966666666666668,1433729.1333333335,19566482.0,0.07327475288267628
1666051200,8.4,8.0,8.425,7.8,ok,281159.0,ATOM,24.39024390243904,8.075000000000001,2270358.9250000003,19847641.0,0.11438935866484083
1666137600,7.96,7.72,7.96,7.44,ok,223592.0,ATOM,25.104602510460268,7.706666666666667,1723149.0133333334,20071233.0,0.08585167704113313
1666224000,7.76,7.81,8.0532,7.67,ok,195974.0,ATOM,26.03305785123966,7.8444,1537298.4456,20267207.0,0.07585151943235198
1666310400,7.84,8.24,8.27,7.57,ok,236010.0,ATOM,32.437619961612285,8.026666666666666,1894373.5999999996,20503217.0,0.09239396920005283
1666569600,8.15,8.34,8.39,7.84,ok,139431.0,ATOM,27.720739219712527,8.19,1141939.89,20642648.0,0.055319447873160454
1666656000,8.29,9.15,9.21,8.29,ok,198494.0,ATOM,41.142857142857146,8.883333333333333,1763288.3666666665,20841142.0,0.08460612986882708
1666742400,9.05,9.48,9.78,8.94,ok,184420.0,ATOM,43.61313868613139,9.4,1733548.0,21025562.0,0.08244954403596917
1666828800,9.57,9.32,9.81,9.29,ok,116438.0,ATOM,47.420634920634924,9.473333333333334,1103055.9866666668,21142000.0,0.05217368208621071
1666915200,9.28,9.78,9.97,9.28,ok,118875.0,ATOM,60.63829787234042,9.676666666666668,1150313.75,21260875.0,0.05410472287711583
1667174400,9.63,9.01,9.79,8.92,ok,138207.0,ATOM,55.99214145383103,9.24,1277032.68,21399082.0,0.05967698427437214
1667260800,9.21,9.33,9.42,9.075,ok,99697.0,ATOM,62.6482213438735,9.274999999999999,924689.6749999998,21498779.0,0.04301126473275528
1667347200,9.33,8.83,9.64,8.79,ok,149236.0,ATOM,54.90566037735848,9.086666666666666,1356057.7866666666,21648015.0,0.06264120690357368
1667433600,8.72,8.82,9.22,8.61,ok,73619.0,ATOM,62.17948717948718,8.883333333333333,653982.1166666666,21721634.0,0.03010740889321064
1667520000,9.09,8.95,9.35,8.58,ok,86804.0,ATOM,60.13513513513512,8.959999999999999,777763.84,21808438.0,0.03566343632680158
1667779200,9.0,9.34,9.4,8.6861,ok,114563.0,ATOM,64.01673640167364,9.142033333333334,1047338.7647666667,21923001.0,0.04777351261201269
1667865600,9.35,9.39,9.61,9.08,ok,113659.0,ATOM,68.35164835164836,9.36,1063848.24,22036660.0,0.04827629232379135
1667952000,9.16,8.36,9.16,8.29,ok,203374.0,ATOM,55.00910746812386,8.603333333333333,1749694.3133333335,22240034.0,0.07867318518188117
1668038400,9.0,8.91,9.0081,7.62,ok,417745.0,ATOM,55.97147950089126,8.5127,3556137.8615,22657779.0,0.156949975613232
1668124800,8.92,9.74,9.76,8.745,ok,235340.0,ATOM,61.0410094637224,9.415,2215726.0999999996,22893119.0,0.0967856804483478
1668384000,9.68,9.02,9.74,8.905,ok,192972.0,ATOM,48.96,9.221666666666666,1779523.4599999997,23086091.0,0.07708206036266597
1668470400,9.37,9.61,9.7699,9.2,ok,232911.0,ATOM,50.9984639016897,9.526633333333333,2218857.6963,23319002.0,0.09515234383958628
1668556800,9.55,9.05,9.69,8.93,ok,151464.0,ATOM,48.04630969609263,9.223333333333333,1397002.96,23470466.0,0.05952173936384561
1668643200,8.81,8.72,8.9274,8.55,ok,125233.0,ATOM,42.18289085545724,8.732466666666667,1093592.9980666668,23595699.0,0.04634713292734692
1668729600,9.02,8.65,9.05,8.61,ok,110340.0,ATOM,47.039473684210535,8.770000000000001,967681.8000000002,23706039.0,0.04082005433299085
1668988800,8.48,8.14,8.53,8.055,ok,138743.0,ATOM,40.5103668261563,8.241666666666667,1143473.5583333333,23844782.0,0.04795487575996012
1669075200,8.14,8.2,8.3,7.96,ok,112185.0,ATOM,44.59691252144082,8.153333333333334,914681.7000000001,23956967.0,0.03818019618259691
1669161600,8.27,8.3,8.4284,8.17,ok,106189.0,ATOM,45.60810810810811,8.299466666666666,881312.0658666666,24063156.0,0.03662495750211097
1669334400,8.32,8.55,8.62,8.1804,ok,38491.0,ATOM,46.68874172185431,8.450133333333333,325254.0821333333,24101647.0,0.013495097747192684
1669593600,8.28,8.01,8.3954,7.89,ok,130476.0,ATOM,39.25686591276253,8.098466666666667,1056655.5368000001,24232123.0,0.04360557004435807
1669680000,7.95,8.02,8.27,7.95,ok,78155.0,ATOM,38.86178861788618,8.08,631492.4,24310278.0,0.02597635452790791
