t,o,c,h,l,s,v,Ticker,RSI
1652140800,30.25,32.5,33.5,26.75,ok,64212.12,BBLN,
1652227200,33.0,28.000000000000004,34.247499999999995,28.000000000000004,ok,32721.2,BBLN,
1652313600,30.0,30.25,33.75,30.0,ok,87974.36,BBLN,
1652400000,31.75,29.0,32.25,28.000000000000004,ok,62880.2,BBLN,
1652659200,29.0,30.25,31.25,28.5,ok,36643.96,BBLN,
1652745600,30.5,28.000000000000004,31.25,28.000000000000004,ok,50275.84,BBLN,
1652832000,28.25,28.000000000000004,29.25,27.500000000000004,ok,23876.04,BBLN,
1652918400,29.75,29.0,31.0,27.750000000000004,ok,31439.72,BBLN,
1653004800,29.25,26.75,30.0,26.0,ok,48521.4,BBLN,
1653264000,26.75,25.0,27.250000000000004,24.5,ok,67809.16,BBLN,
1653350400,25.75,24.0025,25.75,23.775,ok,36151.04,BBLN,
1653436800,23.825,24.905,25.25,23.825,ok,27771.8,BBLN,
1653523200,24.94,24.9975,25.25,23.96,ok,32494.88,BBLN,
1653609600,24.9575,26.25,27.250000000000004,24.9575,ok,29644.36,BBLN,34.173208407191666
1653955200,26.25,27.250000000000004,29.0,26.25,ok,67387.64,BBLN,37.34634851771511
1654041600,28.000000000000004,27.250000000000004,28.5,25.5,ok,47593.92,BBLN,47.691597414589104
1654128000,27.250000000000004,30.25,31.0,27.0,ok,45386.12,BBLN,50.0
1654214400,30.25,29.0,30.5,28.000000000000004,ok,33118.32,BBLN,50.0
1654473600,31.5,35.0,36.25,30.0,ok,168070.48,BBLN,60.92205104621752
1654560000,34.75,33.0,34.925,32.5,ok,60907.64,BBLN,61.63061177017911
1654646400,32.5,31.75,34.5,31.0,ok,47079.08,BBLN,58.243570015387995
1654732800,32.5,29.25,32.5,29.0,ok,37268.8,BBLN,50.51557022066405
1654819200,29.5,28.25,30.225,28.25,ok,34821.8,BBLN,53.26157860404437
1655078400,27.500000000000004,25.25,28.5,25.25,ok,33772.12,BBLN,50.51557022066405
1655164800,25.25,27.250000000000004,28.000000000000004,24.75,ok,30189.88,BBLN,56.431329834637104
