t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,10.25,10.29,10.3,10.25,ok,6025.0,BCOW,,10.28,61936.99999999999,6025.0,10.28
1652227200,10.29,10.2643,10.32,10.2643,ok,3545.0,BCOW,,10.282866666666665,36452.762333333325,9570.0,3.8090660745384874
1652313600,10.21,9.99,10.22,9.9213,ok,29453.0,BCOW,,10.043766666666668,295819.05963333335,39023.0,7.580633463171293
1652400000,9.92,9.95,9.96,9.92,ok,7561.0,BCOW,,9.943333333333333,75181.54333333333,46584.0,1.6138919657679318
1652659200,10.17,9.9656,10.4,9.92,ok,4180.0,BCOW,,10.0952,42197.936,50764.0,0.831257111338744
1652745600,10.0,10.08,10.08,10.0,ok,2026.0,BCOW,,10.053333333333333,20368.053333333333,52790.0,0.3858316600366231
1652832000,10.2499,10.055,10.2499,10.0143,ok,1905.0,BCOW,,10.1064,19252.692000000003,54695.0,0.3520009507267575
1652918400,10.0,9.86,10.0,9.86,ok,7352.0,BCOW,,9.906666666666666,72833.81333333332,62047.0,1.173849071402861
1653004800,10.0,10.0,10.01,10.0,ok,2447.0,BCOW,,10.003333333333332,24478.156666666662,64494.0,0.3795416111059426
1653264000,10.0,9.975,10.01,9.91,ok,14975.0,BCOW,,9.965000000000002,149225.87500000003,79469.0,1.8777872503743602
1653350400,9.89,9.885,9.9,9.87,ok,1892.0,BCOW,,9.885,18702.42,81361.0,0.22986959353990238
1653436800,9.98,9.94,9.98,9.94,ok,2951.0,BCOW,,9.953333333333333,29372.286666666667,84312.0,0.34837611095296833
1653523200,9.9153,9.96,10.0,9.91,ok,3919.0,BCOW,,9.956666666666667,39020.176666666666,88231.0,0.44225019173155317
1653609600,9.96,9.945,9.969,9.9449,ok,2384.0,BCOW,33.33333333333346,9.952966666666667,23727.872533333335,90615.0,0.2618536945685961
1653955200,9.96,9.96,9.96,9.955,ok,3399.0,BCOW,34.285714285714434,9.958333333333334,33848.375,94014.0,0.36003547344012593
1654128000,9.8825,9.9,9.9,9.86,ok,5040.0,BCOW,33.201143594946146,9.886666666666665,49828.79999999999,99054.0,0.5030468229450602
1654214400,9.9,9.96,9.96,9.9,ok,2472.0,BCOW,48.275862068965566,9.94,24571.68,101526.0,0.24202352106849478
1654473600,9.9518,9.9518,9.9518,9.95,ok,797.0,BCOW,50.10737294201868,9.9512,7931.1064,102323.0,0.07751049519658336
1654560000,9.91,9.91,9.91,9.91,ok,532.0,BCOW,46.78389634428507,9.91,5272.12,102855.0,0.051257790092849156
1654646400,9.9499,9.94,9.9499,9.94,ok,649.0,BCOW,41.02564102564104,9.943299999999999,6453.2017,103504.0,0.06234736531921471
1654732800,10.0,10.0,10.0,10.0,ok,2528.0,BCOW,46.62576687116568,10.0,25280.0,106032.0,0.2384185906141542
1654819200,10.0,9.97,10.0,9.97,ok,1846.0,BCOW,58.46153846153851,9.979999999999999,18423.079999999998,107878.0,0.17077698882070486
1655078400,9.97,9.97,9.97,9.97,ok,188.0,BCOW,47.05882352941185,9.97,1874.3600000000001,108066.0,0.017344585716136438
1655164800,9.9703,9.91,9.9703,9.91,ok,1958.0,BCOW,44.036697247706506,9.9301,19443.1358,110024.0,0.1767172235148695
1655251200,9.99,9.89,9.99,9.89,ok,469.0,BCOW,50.52631578947376,9.923333333333334,4654.043333333334,110493.0,0.04212070749579914
1655337600,9.87,9.97,9.97,9.86,ok,5500.0,BCOW,53.0000000000001,9.933333333333332,54633.33333333333,115993.0,0.47100543423597396
1655424000,10.0,9.98,10.0,9.98,ok,917.0,BCOW,52.04081632653057,9.986666666666666,9157.773333333333,116910.0,0.07833182219941265
1655769600,9.99,9.98,9.99,9.98,ok,953.0,BCOW,53.6842105263158,9.983333333333333,9514.116666666665,117863.0,0.08072182675366031
1655856000,9.98,9.98,9.98,9.98,ok,191.0,BCOW,52.17391304347821,9.98,1906.18,118054.0,0.01614667863858912
1655942400,9.99,9.95,9.99,9.95,ok,941.0,BCOW,55.81395348837194,9.963333333333333,9375.496666666666,118995.0,0.07878899673655755
