t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.21,1.25,1.26,1.1601,ok,7856.0,BNTC,,1.2233666666666665,9610.768533333332,7856.0,1.2233666666666665
1652227200,1.16,1.12,1.26,1.12,ok,25536.0,BNTC,,1.1666666666666667,29792.000000000004,33392.0,0.8921897460469574
1652313600,1.12,1.1,1.15,1.06,ok,16185.0,BNTC,,1.1033333333333333,17857.45,49577.0,0.36019626036266816
1652400000,1.1,1.1841,1.25,1.1,ok,20003.0,BNTC,,1.1780333333333333,23564.200766666665,69580.0,0.33866342004407396
1652659200,1.21,1.08,1.21,1.0602,ok,18060.0,BNTC,,1.1167333333333334,20168.204,87640.0,0.23012555910543134
1652745600,1.0995,1.05,1.1,1.04,ok,28422.0,BNTC,,1.0633333333333335,30222.060000000005,116062.0,0.2603958229222313
1652832000,1.05,1.02,1.07,1.02,ok,4921.0,BNTC,,1.0366666666666666,5101.4366666666665,120983.0,0.0421665578359494
1652918400,1.08,1.08,1.16,1.0301,ok,31689.0,BNTC,,1.0900333333333334,34542.066300000006,152672.0,0.2262501722647244
1653004800,1.08,1.11,1.11,1.0336,ok,7835.0,BNTC,,1.0845333333333336,8497.318666666668,160507.0,0.05294048650006958
1653264000,1.11,1.0001,1.1101,1.0,ok,24856.0,BNTC,,1.0367333333333333,25769.043733333332,185363.0,0.13901934978034092
1653350400,0.94,0.91,0.959,0.8956,ok,46096.0,BNTC,,0.9215333333333334,42479.00053333334,231459.0,0.18352710645657908
1653436800,0.9999,0.9081,0.9999,0.9049,ok,1951.0,BNTC,,0.9376333333333333,1829.3226333333332,233410.0,0.00783737900404153
1653523200,0.9021,1.0022,1.06,0.9021,ok,63865.0,BNTC,,0.9880999999999999,63105.00649999999,297275.0,0.21227821545706832
1653609600,1.0426,1.0101,1.09,0.97,ok,33327.0,BNTC,34.8567100113622,1.0233666666666668,34105.740900000004,330602.0,0.10316253652427997
1653955200,1.04,1.05,1.055,0.9744,ok,7750.0,BNTC,37.980769230769226,1.0264666666666666,7955.116666666667,338352.0,0.023511362919878313
1654041600,1.0,0.9902,1.04,0.99,ok,3825.0,BNTC,41.48070359674454,1.0067333333333333,3850.7549999999997,342177.0,0.011253693264012484
1654128000,0.9747,0.92,0.98,0.92,ok,21885.0,BNTC,38.91625615763547,0.94,20571.899999999998,364062.0,0.056506584043377224
1654214400,0.9599,0.8964,0.9697,0.8964,ok,28271.0,BNTC,30.85828343313375,0.9208333333333333,26032.879166666666,392333.0,0.06635403895840183
1654473600,0.93,0.93,0.93,0.9105,ok,8391.0,BNTC,38.98678414096917,0.9235000000000001,7749.088500000001,400724.0,0.01933771997684192
1654560000,0.9221,0.9752,1.04,0.922,ok,36948.0,BNTC,44.6279804653835,0.9790666666666668,36174.5552,437672.0,0.08265220347657608
1654646400,0.954,0.9902,1.06,0.9158,ok,32631.0,BNTC,47.8126834997064,0.9886666666666667,32261.182,470303.0,0.0685965898580277
1654732800,1.0,0.9603,1.0,0.9205,ok,5261.0,BNTC,40.80786361542005,0.9602666666666667,5051.962933333333,475564.0,0.010623097907607248
1654819200,0.92,0.9009,0.97,0.9009,ok,18843.0,BNTC,34.636296840558416,0.9239333333333333,17409.675799999997,494407.0,0.0352132469807264
1655078400,0.9397,0.87,0.9397,0.861,ok,24115.0,BNTC,39.18536990856192,0.8902333333333333,21467.976833333334,518522.0,0.041402248763472586
1655164800,0.87,0.85,0.9199,0.83,ok,34536.0,BNTC,44.35453519006398,0.8666333333333333,29930.048799999997,553058.0,0.05411737792419601
1655251200,0.86,0.8701,0.8802,0.86,ok,5991.0,BNTC,46.542940320232894,0.8701,5212.7690999999995,559049.0,0.009324350996066533
