t,o,c,h,l,s,v,Ticker,RSI
1652140800,0.9836,0.98,1.017,0.9,ok,502193.0,BOXL,
1652227200,0.9497,0.8765,0.98,0.8701,ok,408526.0,BOXL,
1652313600,0.85,0.8903,0.9388,0.7982,ok,591573.0,BOXL,
1652400000,0.9149,0.9901,1.0,0.9101,ok,372638.0,BOXL,
1652659200,0.99,1.02,1.07,0.96,ok,308620.0,BOXL,
1652745600,1.0,1.05,1.07,1.0,ok,436745.0,BOXL,
1652832000,1.03,1.01,1.06,1.0,ok,375072.0,BOXL,
1652918400,0.98,1.01,1.04,0.98,ok,271462.0,BOXL,
1653004800,1.0,0.9623,1.01,0.9423,ok,287476.0,BOXL,
1653264000,0.97,0.96,1.0,0.921,ok,467090.0,BOXL,
1653350400,0.94,0.8513,0.96,0.8094,ok,974227.0,BOXL,
1653436800,0.85,0.8534,0.884,0.82,ok,411506.0,BOXL,
1653523200,0.86,0.8408,0.918,0.84,ok,361455.0,BOXL,
1653609600,0.85,0.8703,0.89,0.85,ok,232241.0,BOXL,39.44989421042509
1653955200,0.86,0.887,0.8905,0.85,ok,174872.0,BOXL,41.334327245620585
1654041600,0.89,0.84,0.89,0.83,ok,220899.0,BOXL,46.19870860237451
1654128000,0.84,0.8521,0.8779,0.8255,ok,268375.0,BOXL,46.00752508361204
1654214400,0.8466,0.8405,0.865,0.8249,ok,166856.0,BOXL,30.830343413634054
1654473600,0.8405,0.8042,0.8499,0.79,ok,388340.0,BOXL,22.793746848209793
1654560000,0.8,0.812,0.8414,0.8,ok,375758.0,BOXL,18.215811965811994
1654646400,0.8333,0.82,0.898,0.804,ok,396175.0,BOXL,22.254672897196258
1654732800,0.82,0.761,0.83,0.742,ok,612271.0,BOXL,18.983557548579967
1654819200,0.75,0.7477,0.7599,0.71,ok,346982.0,BOXL,20.762942779291564
1655078400,0.7174,0.6799,0.731,0.6723,ok,421615.0,BOXL,17.618497109826592
1655164800,0.6811,0.6663,0.727,0.6511,ok,273010.0,BOXL,22.584469472436297
1655251200,0.65,0.6678,0.68,0.6483,ok,287089.0,BOXL,22.44655581947741
1655337600,0.6753,0.6617,0.6791,0.65,ok,304600.0,BOXL,22.88828337874658
1655424000,0.6617,0.689,0.6999,0.6617,ok,173320.0,BOXL,22.371228284059725
1655769600,0.6893,0.6702,0.7,0.6701,ok,227748.0,BOXL,17.171411265899422
1655856000,0.67,0.6811,0.7,0.66,ok,153449.0,BOXL,22.98537912274736
1655942400,0.68,0.7,0.7118,0.6767,ok,156773.0,BOXL,24.72582253240276
1656028800,0.72,0.7375,0.7472,0.7151,ok,226703.0,BOXL,34.24112607099141
1656288000,0.73,0.79,0.818,0.72,ok,350932.0,BOXL,47.93002915451895
1656374400,0.8,0.733,0.808,0.7115,ok,329762.0,BOXL,39.92860785313614
1656460800,0.72,0.6905,0.73,0.69,ok,131516.0,BOXL,34.82540426529178
1656547200,0.71,0.6802,0.7199,0.65,ok,631555.0,BOXL,39.31216931216931
1656633600,0.68,0.675,0.7,0.6534,ok,112536.0,BOXL,40.173019735063534
1656979200,0.67,0.6536,0.67,0.64,ok,166630.0,BOXL,45.93508500772797
1657065600,0.68,0.6399,0.695,0.6399,ok,237131.0,BOXL,45.920889987639065
1657152000,0.6635,0.6701,0.6881,0.6414,ok,217972.0,BOXL,50.32642634118649
1657238400,0.678,0.686,0.7,0.67,ok,204505.0,BOXL,53.35542667771335
1657497600,0.71,0.71,0.7637,0.68,ok,214357.0,BOXL,52.92642140468228
1657584000,0.7285,0.7288,0.795,0.6989,ok,206779.0,BOXL,58.16610925306578
1657670400,0.7225,0.7105,0.744,0.7023,ok,140701.0,BOXL,54.014199890770065
1657756800,0.7,0.6962,0.7196,0.6853,ok,162459.0,BOXL,49.4745575221239
1657843200,0.72,0.6876,0.74,0.6815,ok,160889.0,BOXL,42.50075142771264
1658102400,0.71,0.6869,0.72,0.6607,ok,197838.0,BOXL,31.64827340690637
1658188800,0.6884,0.6901,0.71,0.6732,ok,354822.0,BOXL,40.55482166446501
1658275200,0.685,0.6801,0.7103,0.672,ok,336063.0,BOXL,47.32785200411101
1658361600,0.6811,0.6782,0.7,0.6657,ok,190814.0,BOXL,49.462943071965626
1658448000,0.6,0.5851,0.6149,0.4849,ok,2255420.0,BOXL,33.60087559284932
1658707200,0.6,0.5825,0.6,0.571,ok,277047.0,BOXL,36.07520564042306
1658793600,0.5825,0.5623,0.598,0.56,ok,382684.0,BOXL,35.179526355996956
1658880000,0.57,0.56,0.59,0.5206,ok,365335.0,BOXL,26.464300983326225
1658966400,0.57,0.5423,0.58,0.53,ok,193822.0,BOXL,19.516334323292327
1659052800,0.53,0.5212,0.5512,0.5202,ok,478270.0,BOXL,9.450171821305887
1659312000,0.55,0.5442,0.55,0.535,ok,190763.0,BOXL,11.054852320675138
1659398400,0.5679,0.5562,0.5875,0.55,ok,273736.0,BOXL,16.55830082358044
1659484800,0.58,0.587,0.59,0.5553,ok,355658.0,BOXL,27.91262135922331
1659571200,0.59,0.6445,0.648,0.5871,ok,375655.0,BOXL,42.72205336035123
1659657600,0.6445,0.6557,0.6799,0.64,ok,193126.0,BOXL,44.911937377690805
1659916800,0.64,0.6623,0.6795,0.64,ok,269416.0,BOXL,45.51612903225805
1660003200,0.69,0.66,0.69,0.64,ok,232535.0,BOXL,46.67548792590142
1660089600,0.69,0.6644,0.69,0.6439,ok,206326.0,BOXL,47.736220472440934
1660176000,0.6812,0.6985,0.6988,0.66,ok,979211.0,BOXL,73.06753458096016
1660262400,0.7805,0.75,0.8,0.725,ok,1737958.0,BOXL,78.41873091279267
1660521600,0.76,0.7701,0.78,0.735,ok,819424.0,BOXL,85.26816021724372
1660608000,0.7754,0.7701,0.79,0.75,ok,412986.0,BOXL,85.93910366062264
1660694400,0.7515,0.7329,0.76,0.7201,ok,378006.0,BOXL,80.56446440025658
1660780800,0.75,0.7136,0.75,0.691,ok,223684.0,BOXL,81.03225806451614
1660867200,0.71,0.6945,0.73,0.6717,ok,304696.0,BOXL,74.55080039202875
1661126400,0.6921,0.6631,0.698,0.65,ok,278876.0,BOXL,66.42089093701998
1661212800,0.66,0.66,0.688,0.65,ok,221360.0,BOXL,62.25654801880457
1661299200,0.66,0.6731,0.688,0.655,ok,112421.0,BOXL,55.643251775848476
1661385600,0.7,0.6834,0.71,0.6601,ok,281320.0,BOXL,55.485148514851495
1661472000,0.66,0.63,0.6829,0.5965,ok,672009.0,BOXL,44.60407617774808
1661731200,0.6294,0.6301,0.65,0.6035,ok,82582.0,BOXL,44.96802423426455
1661817600,0.6305,0.6307,0.6475,0.627,ok,164394.0,BOXL,44.25502898056598
1661904000,0.645,0.6534,0.66,0.641,ok,212712.0,BOXL,42.00070947144377
1661990400,0.6548,0.6413,0.6548,0.63,ok,186882.0,BOXL,27.58762886597937
1662076800,0.65,0.6597,0.66,0.6335,ok,84054.0,BOXL,27.076411960132873
1662422400,0.6301,0.6537,0.67,0.6301,ok,151258.0,BOXL,26.418152350081016
1662508800,0.65,0.6501,0.669,0.64,ok,109862.0,BOXL,30.581613508442757
1662595200,0.6501,0.6365,0.6634,0.6313,ok,124352.0,BOXL,31.42168674698793
1662681600,0.64,0.67,0.678,0.6394,ok,192607.0,BOXL,44.479495268138805
1662940800,0.65,0.6498,0.6741,0.6451,ok,144195.0,BOXL,46.843853820598014
1663027200,0.64,0.6499,0.671,0.64,ok,164761.0,BOXL,47.56860857005296
1663113600,0.6465,0.6442,0.67,0.6371,ok,285199.0,BOXL,42.78582126809785
1663200000,0.6442,0.645,0.67,0.642,ok,179111.0,BOXL,39.937106918238996
1663286400,0.645,0.6226,0.6556,0.6226,ok,364376.0,BOXL,47.684605757196515
1663545600,0.64,0.6152,0.6423,0.6152,ok,95352.0,BOXL,45.541591861160974
1663632000,0.62,0.6,0.63,0.6,ok,336415.0,BOXL,41.5520088057237
1663718400,0.6,0.5913,0.6223,0.591,ok,158526.0,BOXL,31.48479427549198
1663804800,0.591,0.5918,0.6083,0.5546,ok,347807.0,BOXL,34.14477898782832
1663891200,0.574,0.595,0.61,0.561,ok,362572.0,BOXL,27.0404542228531
1664150400,0.61,0.58,0.624,0.58,ok,205065.0,BOXL,25.416944629753175
1664236800,0.5626,0.575,0.6127,0.5626,ok,169050.0,BOXL,25.18175809649702
1664323200,0.6,0.5852,0.6,0.57,ok,85972.0,BOXL,32.657200811359075
1664409600,0.59,0.595,0.6,0.584,ok,324715.0,BOXL,19.806763285024118
1664496000,0.6,0.62,0.6287,0.5967,ok,312028.0,BOXL,38.44961240310076
1664755200,0.62,0.619,0.621,0.6024,ok,215543.0,BOXL,38.106235565819844
1664841600,0.619,0.63,0.64,0.619,ok,186218.0,BOXL,44.74852071005918
1664928000,0.63,0.64,0.654,0.6201,ok,156279.0,BOXL,48.26869806094183
1665014400,0.64,0.64,0.655,0.6228,ok,148401.0,BOXL,57.1311475409836
1665100800,0.6483,0.6299,0.65,0.6162,ok,116011.0,BOXL,55.894145950280695
1665360000,0.63,0.57,0.63,0.57,ok,255819.0,BOXL,41.14521841794569
1665446400,0.565,0.5601,0.57,0.56,ok,287953.0,BOXL,40.855803048065646
1665532800,0.56,0.5501,0.56,0.53,ok,155285.0,BOXL,38.423098278734045
1665619200,0.533,0.5188,0.533,0.5173,ok,316417.0,BOXL,31.700288184438065
1665705600,0.57,0.5,0.58,0.4925,ok,496764.0,BOXL,31.13207547169813
1665964800,0.5,0.5225,0.55,0.5,ok,248430.0,BOXL,38.56209150326797
1666051200,0.53,0.5235,0.5479,0.5022,ok,142872.0,BOXL,35.996368588288675
1666137600,0.5058,0.52,0.53,0.5058,ok,80611.0,BOXL,32.476635514018696
1666224000,0.5237,0.5086,0.55,0.5025,ok,104073.0,BOXL,22.20558882235528
1666310400,0.505,0.4971,0.52,0.493,ok,161582.0,BOXL,21.100047415836883
1666569600,0.524,0.4602,0.524,0.4535,ok,336685.0,BOXL,14.146959459459453
1666656000,0.47,0.49,0.51,0.47,ok,123727.0,BOXL,20.77162899454403
1666742400,0.505,0.4921,0.508,0.4887,ok,182916.0,BOXL,21.414766138384223
1666828800,0.4901,0.512,0.514,0.4901,ok,104242.0,BOXL,28.044692737430168
1666915200,0.5,0.5242,0.5512,0.5,ok,227943.0,BOXL,39.6286231884058
1667174400,0.54,0.5298,0.54,0.5116,ok,119612.0,BOXL,43.00230946882217
1667260800,0.5298,0.51,0.54,0.51,ok,248606.0,BOXL,41.14007954043305
1667347200,0.5063,0.5009,0.5437,0.4951,ok,304557.0,BOXL,45.61489465948063
1667433600,0.51,0.506,0.518,0.4902,ok,161600.0,BOXL,51.575630252100844
1667520000,0.51,0.4848,0.51,0.471,ok,227491.0,BOXL,40.03172924378637
1667779200,0.48,0.487,0.5095,0.48,ok,232858.0,BOXL,40.40987913820285
1667865600,0.49,0.4972,0.507,0.4865,ok,129786.0,BOXL,44.21319796954314
1667952000,0.5,0.4598,0.5,0.4598,ok,372780.0,BOXL,39.05829596412555
1668038400,0.4555,0.431,0.47,0.4168,ok,673128.0,BOXL,36.24635871826883
1668124800,0.43,0.4829,0.49,0.4276,ok,488400.0,BOXL,54.44575009792401
1668384000,0.499,0.4913,0.5,0.47,ok,107368.0,BOXL,50.27789653698162
