t,o,c,h,l,s,v,Ticker
1652140800,5.1285,5.2124999999999995,5.5424999999999995,5.04,ok,46045.26666666667,BTB
1652227200,5.0565,5.1000000000000005,5.2875,4.95,ok,22203.466666666667,BTB
1652313600,4.970999999999999,5.175,5.688,4.965,ok,25916.666666666668,BTB
1652400000,5.2485,5.2425,5.5995,5.139,ok,20489.266666666666,BTB
1652659200,5.295,5.34,5.5965,4.965,ok,8387.466666666667,BTB
1652745600,5.4615,5.4765,5.5965,5.266500000000001,ok,17367.666666666668,BTB
1652832000,5.3999999999999995,5.109,5.625,5.1000000000000005,ok,20375.266666666666,BTB
1652918400,5.181,5.1345,5.3625,5.130000000000001,ok,10711.866666666667,BTB
1653004800,5.115,5.0265,5.2124999999999995,4.95,ok,31906.8,BTB
1653264000,5.2485,5.007,5.5125,4.8825,ok,8163.6,BTB
1653350400,5.1000000000000005,4.890000000000001,5.1000000000000005,4.7775,ok,9568.466666666667,BTB
1653436800,4.815,4.86,4.95,4.8,ok,16088.466666666667,BTB
1653523200,5.0805,4.987500000000001,5.0805,4.665,ok,41989.46666666667,BTB
1653609600,4.65,4.95,5.25,4.65,ok,75661.26666666666,BTB
1653955200,5.3549999999999995,5.1405,5.385,5.0055,ok,15772.666666666666,BTB
1654041600,4.995,5.175,5.289000000000001,4.95,ok,2993.8,BTB
1654128000,5.175,5.199,5.3205,5.049,ok,3294.6666666666665,BTB
1654214400,5.025,5.1585,5.25,5.025,ok,1704.4,BTB
1654473600,5.234999999999999,5.118,5.2875,5.1000000000000005,ok,6305.8,BTB
1654560000,5.118,5.25,5.475,5.043,ok,46425.2,BTB
1654646400,5.266500000000001,5.547000000000001,5.7,5.101500000000001,ok,28420.266666666666,BTB
1654732800,5.3805000000000005,5.436,6.3149999999999995,5.3205,ok,299546.26666666666,BTB
1654819200,5.415,5.175,5.55,4.4399999999999995,ok,54525.066666666666,BTB
1655078400,5.208,4.944,5.208,4.8015,ok,30230.2,BTB
1655164800,4.8,4.65,5.130000000000001,4.65,ok,20390.0,BTB
1655251200,4.798500000000001,4.533,4.9605,4.506,ok,31258.666666666668,BTB
1655337600,4.5045,4.65,4.8,4.478999999999999,ok,11483.466666666667,BTB
1655424000,4.65,4.6875,5.0985,4.65,ok,4539.466666666666,BTB
1655769600,4.725,4.9515,5.1000000000000005,4.725,ok,12127.466666666667,BTB
1655856000,4.887,4.8165,5.0085,4.725,ok,12067.2,BTB
1655942400,4.962,4.833,5.090999999999999,4.53,ok,20864.8,BTB
1656028800,5.238,4.7805,5.238,4.7700000000000005,ok,29038.2,BTB
1656288000,4.7700000000000005,4.785,4.95,4.7535,ok,8194.2,BTB
1656374400,4.836,4.71,5.0925,4.6545000000000005,ok,5105.0,BTB
1656460800,4.653,4.4745,4.7835,4.4265,ok,22886.066666666666,BTB
1656547200,4.4745,4.5,4.8,4.4745,ok,5933.066666666667,BTB
