t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,1.48,1.495,1.5535,1.46,ok,216211.0,BYFC,,1.5028333333333332,324929.0978333333,216211.0,1.5028333333333332,,0
1652227200,1.5,1.4,1.54,1.4,ok,171549.0,BYFC,,1.4466666666666663,248174.22,387760.0,0.6400201671136785,,0
1652313600,1.4,1.41,1.42,1.25,ok,165551.0,BYFC,,1.36,225149.36,553311.0,0.4069128573261692,,0
1652400000,1.4,1.43,1.5,1.4,ok,74658.0,BYFC,,1.4433333333333334,107756.38,627969.0,0.1715950628136102,,0
1652659200,1.45,1.54,1.61,1.45,ok,795298.0,BYFC,,1.5333333333333332,1219456.933333333,1423267.0,0.8568012420250968,,0
1652745600,1.59,1.56,1.6,1.5,ok,315026.0,BYFC,,1.5533333333333337,489340.3866666667,1738293.0,0.2815062746422304,,0
1652832000,1.56,1.47,1.61,1.45,ok,302983.0,BYFC,,1.51,457504.33,2041276.0,0.224126639415738,-0.016722408026755953,0
1652918400,1.45,1.55,1.5699,1.45,ok,60539.0,BYFC,,1.5233,92219.0587,2101815.0,0.0438759161486619,0.1071428571428572,0
1653004800,1.55,1.51,1.55,1.48,ok,238622.0,BYFC,,1.5133333333333334,361114.6266666667,2340437.0,0.1542936753549301,0.07092198581560294,0
1653264000,1.5,1.54,1.56,1.5,ok,243999.0,BYFC,,1.5333333333333332,374131.8,2584436.0,0.1447634222708552,0.0769230769230771,0
1653350400,1.51,1.53,1.53,1.4731,ok,72708.0,BYFC,,1.5110333333333337,109864.2116,2657144.0,0.0413467285175361,-0.006493506493506551,0
1653436800,1.52,1.5313,1.55,1.49,ok,197669.0,BYFC,,1.5237666666666667,301201.43323333334,2854813.0,0.1055065369372121,-0.01839743589743581,0
1653523200,1.55,1.535,1.5506,1.52,ok,210142.0,BYFC,,1.5352,322609.9984,3064955.0,0.1052576623147811,0.04421768707482987,0
1653609600,1.56,1.735,1.78,1.55,ok,1466893.0,BYFC,66.90140845070421,1.6883333333333337,2476604.3483333336,4531848.0,0.5464888381810982,0.11935483870967745,0
1653955200,1.74,1.75,1.8202,1.65,ok,806706.0,BYFC,67.5862068965517,1.7400666666666669,1403722.2204,5338554.0,0.2629405304132917,0.1589403973509933,0
1654041600,1.78,1.68,1.78,1.64,ok,337778.0,BYFC,70.0,1.7,574222.6,5676332.0,0.1011608552847155,0.09090909090909083,0
1654128000,1.7,1.72,1.75,1.6901,ok,371907.0,BYFC,71.23287671232876,1.7200333333333333,639692.4369,6048239.0,0.1057650725938574,0.12418300653594772,0
1654214400,1.71,1.72,1.74,1.66,ok,278495.0,BYFC,70.4225352112676,1.7066666666666668,475298.13333333336,6326734.0,0.0751253543033946,0.12322862926924816,0
1654473600,1.76,1.49,1.89,1.46,ok,1939357.0,BYFC,46.98795180722891,1.6133333333333333,3128829.293333333,8266091.0,0.3785137731163779,-0.02931596091205202,0
1654560000,1.55,1.55,1.61,1.46,ok,695540.0,BYFC,49.42528735632184,1.54,1071131.6,8961631.0,0.1195241803640431,-0.10662824207492794,0
1654646400,1.6,1.65,1.6999,1.6,ok,651466.0,BYFC,60.22727272727273,1.6499666666666666,1074897.1844666663,9613097.0,0.1118159095312017,-0.05714285714285716,0
1654732800,1.58,1.57,1.6299,1.52,ok,210017.0,BYFC,51.13636363636364,1.5733,330419.7461,9823114.0,0.0336369654368258,-0.06547619047619035,0
1654819200,1.52,1.63,1.65,1.502,ok,759891.0,BYFC,56.66666666666666,1.594,1211266.254,10583005.0,0.1144539054833669,-0.05232558139534893,0
1655078400,1.6,1.47,1.62,1.47,ok,708301.0,BYFC,46.60194174757281,1.5199999999999998,1076617.5199999998,11291306.0,0.095349246579625,-0.14534883720930236,0
1655164800,1.48,1.48,1.52,1.4673,ok,295943.0,BYFC,47.57281553398058,1.4891,440688.7213,11587249.0,0.0380322129350978,-0.006711409395973145,0
1655251200,1.495,1.49,1.55,1.45,ok,377348.0,BYFC,48.01193799942235,1.4966666666666668,564764.1733333333,11964597.0,0.0472029415895356,-0.03870967741935483,0
1655337600,1.49,1.37,1.5,1.37,ok,436625.0,BYFC,42.85714285714286,1.413333333333333,617096.6666666666,12401222.0,0.0497609563530647,-0.16969696969696957,0
1655424000,1.36,1.37,1.4338,1.33,ok,508894.0,BYFC,30.89005235602093,1.3779333333333332,701222.0057333333,12910116.0,0.0543157014029411,-0.1273885350318471,0
1655769600,1.39,1.26,1.4,1.26,ok,607003.0,BYFC,26.666666666666657,1.3066666666666666,793150.5866666667,13517119.0,0.0586774879074946,-0.22699386503067476,0
1655856000,1.28,1.21,1.2985,1.21,ok,395713.0,BYFC,27.184466019417457,1.2394999999999998,490486.2635,13912832.0,0.0352542360534505,-0.1768707482993197,0
