t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.69,3.63,3.72,3.52,ok,899077.0,CASA,,3.6233333333333335,3257655.6633333336,899077.0,3.6233333333333335
1652227200,3.62,3.55,3.67,3.5,ok,1854385.0,CASA,,3.573333333333333,6626335.733333332,2753462.0,2.4065470063989745
1652313600,3.47,3.85,3.87,3.39,ok,1200039.0,CASA,,3.703333333333333,4444144.43,3953501.0,1.1241035300104893
1652400000,3.9,4.07,4.19,3.85,ok,840030.0,CASA,,4.036666666666667,3390921.1000000006,4793531.0,0.707395258317929
1652659200,4.09,4.09,4.17,3.95,ok,680511.0,CASA,,4.07,2769679.77,5474042.0,0.50596611608022
1652745600,4.22,4.33,4.39,4.14,ok,846494.0,CASA,,4.286666666666666,3628637.613333333,6320536.0,0.5741028313632471
1652832000,4.35,4.22,4.4464,4.145,ok,705562.0,CASA,,4.270466666666667,3013079.002266667,7026098.0,0.42884101563437727
1652918400,4.17,4.44,4.54,4.12,ok,685028.0,CASA,,4.366666666666667,2991288.9333333336,7711126.0,0.38791856511400974
1653004800,4.48,3.99,4.48,3.92,ok,665750.0,CASA,,4.13,2749547.5,8376876.0,0.32823065543765956
1653264000,4.02,4.04,4.1,3.93,ok,305714.0,CASA,,4.023333333333333,1229989.3266666667,8682590.0,0.141661569493281
1653350400,3.95,3.98,3.98,3.81,ok,422821.0,CASA,,3.9233333333333333,1658867.7233333334,9105411.0,0.18218482650957035
1653436800,3.88,4.08,4.1,3.85,ok,524486.0,CASA,,4.01,2103188.86,9629897.0,0.21840200990727107
1653523200,4.09,4.18,4.245,3.91,ok,303807.0,CASA,,4.111666666666667,1249153.1150000002,9933704.0,0.12574897691737144
1653609600,4.22,4.4,4.44,4.22,ok,570503.0,CASA,67.74193548387096,4.3533333333333335,2483589.7266666666,10504207.0,0.23643762224665474
