t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,2.67,2.7,2.818,2.5,ok,37785.0,CGTX,,2.6726666666666667,100986.71,37785.0,2.6726666666666667
1652227200,2.96,2.5,2.96,2.5,ok,52460.0,CGTX,,2.6533333333333333,139193.86666666667,90245.0,1.5423997636064788
1652313600,2.6426,2.59,2.7516,2.47,ok,61409.0,CGTX,,2.6038666666666668,159900.84813333335,151654.0,1.054379364430436
1652400000,2.9078,2.92,2.92,2.48,ok,105997.0,CGTX,,2.7733333333333334,293965.01333333337,257651.0,1.140942644636867
1652659200,2.75,2.86,2.92,2.69,ok,18294.0,CGTX,,2.823333333333333,51650.05999999999,275945.0,0.1871751979561144
1652745600,2.9,2.89,2.9195,2.68,ok,21793.0,CGTX,,2.8298333333333336,61670.55783333334,297738.0,0.20713028848629783
1652832000,2.9092,2.9,2.9092,2.68,ok,15428.0,CGTX,,2.8297333333333334,43657.12586666667,313166.0,0.13940570134263192
1652918400,2.7,2.7,2.8787,2.69,ok,38847.0,CGTX,,2.756233333333333,107071.39629999998,352013.0,0.30416886961561074
1653004800,2.7601,2.75,2.85,2.74,ok,11264.0,CGTX,,2.78,31313.92,363277.0,0.08619846563366246
1653264000,2.78,2.6,2.78,2.6,ok,16529.0,CGTX,,2.66,43967.14,379806.0,0.11576209959821593
1653350400,2.648,2.45,2.72,2.41,ok,40058.0,CGTX,,2.526666666666667,101213.21333333333,419864.0,0.2410618994086974
1653436800,2.5,2.38,2.5,2.33,ok,9364.0,CGTX,,2.4033333333333333,22504.81333333333,429228.0,0.052430906961645866
1653523200,2.45,2.49,2.5,2.415,ok,19364.0,CGTX,,2.4683333333333333,47796.806666666664,448592.0,0.10654850435733731
1653609600,2.5,2.68,2.7949,2.5,ok,36714.0,CGTX,49.39024390243903,2.6583,97596.82620000001,485306.0,0.2011036875703165
1653955200,2.69,2.62,2.81,2.6,ok,18716.0,CGTX,47.647058823529406,2.676666666666667,50096.49333333335,504022.0,0.09939346562914585
1654041600,3.05,2.65,3.05,2.65,ok,40331.0,CGTX,54.90196078431373,2.783333333333333,112254.61666666667,544353.0,0.20621658494885978
1654128000,2.62,2.5,2.89,2.42,ok,46943.0,CGTX,47.16981132075472,2.6033333333333335,122208.27666666667,591296.0,0.2066786798264603
1654214400,2.42,2.49,2.505,2.21,ok,51209.0,CGTX,33.07086614173228,2.401666666666667,122986.94833333335,642505.0,0.19141788520452502
1654473600,2.46,2.45,2.78,2.4,ok,27794.0,CGTX,33.60000000000001,2.5433333333333334,70689.40666666668,670299.0,0.10545951383884905
1654560000,2.4,2.31,2.44,2.3,ok,18216.0,CGTX,28.67647058823528,2.35,42807.6,688515.0,0.0621738088494804
1654646400,2.3715,2.2,2.47,2.13,ok,39905.0,CGTX,26.02739726027397,2.2666666666666666,90451.33333333333,728420.0,0.12417469774763643
1654732800,2.1443,2.2,2.2,2.12,ok,9156.0,CGTX,30.15873015873015,2.1733333333333333,19899.04,737576.0,0.02697896894692886
1654819200,2.27,1.92,2.272,1.92,ok,17435.0,CGTX,22.147651006711413,2.037333333333333,35520.90666666666,755011.0,0.047046873047765746
1655078400,1.9814,1.97,2.04,1.9211,ok,14491.0,CGTX,27.338129496402885,1.9770333333333332,28649.190033333332,769502.0,0.037230819456393005
1655164800,1.92,2.02,2.235,1.92,ok,6642.0,CGTX,33.33333333333333,2.058333333333333,13671.449999999999,776144.0,0.01761457925333443
1655251200,2.26,1.81,2.26,1.81,ok,25485.0,CGTX,30.06993006993008,1.9600000000000002,49950.600000000006,801629.0,0.062311368475940876
1655337600,1.86,1.91,2.19,1.86,ok,21259.0,CGTX,29.577464788732385,1.9866666666666666,42234.54666666666,822888.0,0.05132478133921829
1655424000,2.08,1.66,2.26,1.66,ok,48767.0,CGTX,15.54054054054052,1.86,90706.62000000001,871655.0,0.10406252473742479
1655769600,1.81,1.58,1.86,1.58,ok,22310.0,CGTX,15.333333333333329,1.6733333333333336,37332.06666666667,893965.0,0.041760098736154855
1655856000,1.51,1.5,1.7698,1.5,ok,58430.0,CGTX,12.903225806451616,1.5899333333333334,92899.80466666668,952395.0,0.09754335613549701
1655942400,1.6,1.64,1.7,1.57,ok,65140.0,CGTX,22.077922077922068,1.6366666666666667,106612.46666666667,1017535.0,0.10477523295676971
1656028800,1.9,1.84,1.9499,1.55,ok,102607.0,CGTX,31.213872832369944,1.7799666666666667,182637.03976666668,1120142.0,0.16304811333444036
1656288000,1.96,1.81,1.96,1.77,ok,5653.0,CGTX,31.395348837209312,1.8466666666666667,10439.206666666667,1125795.0,0.009272742077080344
1656374400,1.87,1.7,1.88,1.64,ok,26786.0,CGTX,31.95266272189349,1.74,46607.64,1152581.0,0.04043762650954683
1656460800,1.7,2.1601,2.28,1.7,ok,106027.0,CGTX,49.02210675947257,2.0467,217005.4609,1258608.0,0.17241703604299352
1656547200,2.03,2.11,2.3,2.03,ok,51817.0,CGTX,47.84709597167734,2.1466666666666665,111233.82666666666,1310425.0,0.08488377943542488
1656633600,2.1,2.25,2.49,2.1,ok,56435.0,CGTX,58.460670700440986,2.28,128671.79999999999,1366860.0,0.09413678065054211
1656979200,2.4,2.66,2.78,2.1,ok,152470.0,CGTX,64.933771967795,2.513333333333333,383207.9333333333,1519330.0,0.2522216591085105
1657065600,2.66,2.45,2.725,2.375,ok,23785.0,CGTX,58.703748684317056,2.5166666666666666,59858.916666666664,1543115.0,0.038790962868397144
1657152000,2.29,2.2901,2.345,2.201,ok,14359.0,CGTX,59.91901161109044,2.2787,32719.853300000002,1557474.0,0.021008282192832756
1657238400,2.3,2.35,2.57,2.3,ok,20077.0,CGTX,59.2436974789916,2.4066666666666663,48318.64666666666,1577551.0,0.0306288967308611
1657497600,2.48,2.17,2.49,2.16,ok,14596.0,CGTX,61.03896103896104,2.2733333333333334,33181.573333333334,1592147.0,0.020840772449612587
1657584000,2.24,1.99,2.24,1.9792,ok,19957.0,CGTX,58.506224066390025,2.0697333333333336,41305.66813333334,1612104.0,0.025622210560443583
1657670400,2.0691,2.05,2.2,1.98,ok,42571.0,CGTX,61.506276150627606,2.0766666666666667,88405.77666666667,1654675.0,0.05342787959367651
1657756800,2.48,2.0,2.4899,1.95,ok,11475.0,CGTX,57.82608695652174,2.1466333333333334,24632.6175,1666150.0,0.01478415358761216
1657843200,2.07,2.01,2.07,1.9549,ok,22774.0,CGTX,54.028436018957336,2.011633333333333,45812.93753333333,1688924.0,0.0271255175089781
1658102400,2.11,2.0,2.11,1.89,ok,26935.0,CGTX,54.54545454545455,2.0,53870.0,1715859.0,0.03139535358091778
1658188800,2.0599,2.01,2.08,1.94,ok,52272.0,CGTX,57.78894472361808,2.01,105066.71999999999,1768131.0,0.059422474918430813
1658275200,2.01,1.98,2.08,1.95,ok,47502.0,CGTX,44.22719405090071,2.0033333333333334,95162.34,1815633.0,0.05241276183017162
1658361600,2.06,2.2,2.4499,2.035,ok,48502.0,CGTX,52.60145681581687,2.2283,108077.0066,1864135.0,0.05797702773672507
1658448000,2.25,2.12,2.35,2.0,ok,40814.0,CGTX,46.1073182417056,2.1566666666666667,88022.19333333333,1904949.0,0.0462071128063446
1658707200,2.25,2.06,2.25,2.05,ok,8586.0,CGTX,27.26928322473101,2.1199999999999997,18202.319999999996,1913535.0,0.009512405051383954
1658793600,2.05,2.08,2.2099,2.05,ok,23390.0,CGTX,33.625420428394406,2.1133,49430.08700000001,1936925.0,0.025519876608541894
