t,o,c,h,l,s,v,Ticker
1652140800,4.06,4.42,4.5,4.0,ok,1766036.0,CMRX
1652227200,4.39,4.03,4.39,3.93,ok,1242273.0,CMRX
1652313600,3.99,4.1,4.17,3.9,ok,863787.0,CMRX
1652400000,4.18,4.24,4.315,4.07,ok,800041.0,CMRX
1652659200,1.94,1.66,1.99,1.6,ok,38145573.0,CMRX
1652745600,1.6,1.75,1.78,1.57,ok,12849137.0,CMRX
1652832000,1.7445,1.81,1.91,1.68,ok,6339874.0,CMRX
1652918400,2.0,2.2,2.22,1.87,ok,10370860.0,CMRX
1653004800,2.23,2.35,2.58,2.18,ok,13428209.0,CMRX
1653264000,2.61,2.35,2.65,2.1812,ok,20166152.0,CMRX
1653350400,2.26,1.81,2.3,1.81,ok,9816599.0,CMRX
1653436800,1.73,1.79,1.8605,1.72,ok,3797212.0,CMRX
1653523200,1.76,1.77,1.82,1.72,ok,4113961.0,CMRX
1653609600,1.8,1.99,2.07,1.73,ok,7274513.0,CMRX
1653955200,1.845,1.88,2.005,1.819,ok,3930282.0,CMRX
1654041600,1.9,1.8,1.9201,1.76,ok,3560429.0,CMRX
1654128000,1.82,1.81,1.87,1.7513,ok,2896871.0,CMRX
1654214400,1.79,1.87,1.92,1.785,ok,3540781.0,CMRX
1654473600,1.91,1.78,1.92,1.73,ok,2825309.0,CMRX
1654560000,1.745,1.87,1.88,1.745,ok,2853940.0,CMRX
1654646400,1.83,1.8,1.89,1.79,ok,1403643.0,CMRX
1654732800,1.8,1.7,1.81,1.69,ok,1924225.0,CMRX
1654819200,1.66,1.6,1.67,1.58,ok,2290679.0,CMRX
1655078400,1.51,1.44,1.51,1.44,ok,2067744.0,CMRX
1655164800,1.46,1.4,1.46,1.35,ok,1825442.0,CMRX
1655251200,1.4,1.37,1.42,1.32,ok,3059848.0,CMRX
1655337600,1.33,1.34,1.34,1.27,ok,2545653.0,CMRX
1655424000,1.33,1.55,1.63,1.32,ok,11757238.0,CMRX
1655769600,1.56,1.6,1.67,1.55,ok,2562605.0,CMRX
1655856000,1.6,1.62,1.72,1.57,ok,1814002.0,CMRX
1655942400,1.64,1.82,1.82,1.64,ok,2266544.0,CMRX
1656028800,1.86,2.06,2.47,1.79,ok,24628597.0,CMRX
1656288000,1.97,2.1,2.13,1.93,ok,5200544.0,CMRX
1656374400,2.06,2.04,2.12,1.95,ok,2593346.0,CMRX
1656460800,2.02,2.06,2.22,1.91,ok,4477488.0,CMRX
