t,o,c,h,l,s,v,Ticker
1652140800,3.53,3.48,3.6458,3.2612,ok,100981.0,CPSH
1652227200,3.34,3.12,3.55,3.095,ok,137588.0,CPSH
1652313600,3.05,3.23,3.3605,3.0001,ok,191654.0,CPSH
1652400000,3.31,3.5,3.54,3.26,ok,117529.0,CPSH
1652659200,3.4,3.51,3.55,3.29,ok,52119.0,CPSH
1652745600,3.6,3.64,3.75,3.47,ok,93866.0,CPSH
1652832000,3.68,3.37,3.75,3.37,ok,59411.0,CPSH
1652918400,3.38,3.5,3.63,3.36,ok,56279.0,CPSH
1653004800,3.57,3.33,3.57,3.24,ok,75571.0,CPSH
1653264000,3.4,3.38,3.45,3.19,ok,81074.0,CPSH
1653350400,3.265,3.24,3.35,3.16,ok,69877.0,CPSH
1653436800,3.24,3.35,3.46,3.22,ok,46819.0,CPSH
1653523200,3.32,3.41,3.51,3.32,ok,57897.0,CPSH
1653609600,3.43,3.64,3.68,3.2987,ok,69511.0,CPSH
1653955200,3.53,3.52,3.6,3.3,ok,63664.0,CPSH
1654041600,3.51,3.3,3.5198,3.26,ok,47547.0,CPSH
1654128000,3.32,3.41,3.59,3.29,ok,58312.0,CPSH
1654214400,3.41,3.52,3.521,3.38,ok,37101.0,CPSH
1654473600,3.59,3.69,3.7,3.53,ok,95638.0,CPSH
1654560000,3.65,3.54,3.65,3.4,ok,69176.0,CPSH
1654646400,3.55,3.47,3.59,3.33,ok,48511.0,CPSH
1654732800,3.41,3.62,3.66,3.38,ok,41348.0,CPSH
1654819200,3.56,3.49,3.6,3.4,ok,47427.0,CPSH
1655078400,3.36,3.19,3.41,3.12,ok,83772.0,CPSH
1655164800,3.13,3.17,3.32,3.11,ok,74877.0,CPSH
1655251200,3.19,3.3,3.44,3.1001,ok,79493.0,CPSH
1655337600,3.16,3.12,3.21,3.01,ok,56813.0,CPSH
1655424000,3.12,2.97,3.22,2.8,ok,120609.0,CPSH
1655769600,2.98,3.13,3.21,2.98,ok,83436.0,CPSH
1655856000,3.13,3.13,3.19,2.98,ok,25720.0,CPSH
1655942400,3.07,3.19,3.27,3.0427,ok,56094.0,CPSH
1656028800,3.26,3.37,3.45,3.16,ok,54912.0,CPSH
1656288000,3.23,3.2,3.38,3.13,ok,53408.0,CPSH
1656374400,3.26,3.16,3.32,3.0178,ok,54982.0,CPSH
1656460800,3.13,3.12,3.15,3.04,ok,22328.0,CPSH
1656547200,3.12,3.07,3.1468,2.93,ok,40075.0,CPSH
1656633600,3.04,3.14,3.23,2.963,ok,43666.0,CPSH
1656979200,3.07,3.3,3.44,3.07,ok,78035.0,CPSH
1657065600,3.29,3.31,3.4,3.2244,ok,31533.0,CPSH
1657152000,3.22,3.37,3.5,3.22,ok,59535.0,CPSH
1657238400,3.29,3.4,3.45,3.29,ok,36515.0,CPSH
1657497600,3.32,3.44,3.5,3.2554,ok,32737.0,CPSH
1657584000,3.41,3.42,3.55,3.31,ok,22211.0,CPSH
1657670400,3.39,3.45,3.52,3.3401,ok,14223.0,CPSH
1657756800,3.41,3.42,3.5,3.28,ok,31657.0,CPSH
1657843200,3.47,3.39,3.49,3.3001,ok,25099.0,CPSH
1658102400,3.45,3.42,3.59,3.35,ok,40196.0,CPSH
1658188800,3.48,3.5,3.53,3.43,ok,23008.0,CPSH
1658275200,3.48,3.51,3.71,3.48,ok,75388.0,CPSH
1658361600,3.5112,3.66,3.74,3.4999,ok,44238.0,CPSH
1658448000,3.63,3.66,3.7,3.48,ok,22223.0,CPSH
1658707200,3.57,3.67,3.7,3.57,ok,22802.0,CPSH
1658793600,3.6,3.53,3.64,3.53,ok,19899.0,CPSH
1658880000,3.56,3.65,3.66,3.51,ok,17891.0,CPSH
1658966400,3.59,3.66,3.74,3.5077,ok,27857.0,CPSH
1659052800,3.69,3.66,3.78,3.5801,ok,21643.0,CPSH
1659312000,3.6,3.61,3.8,3.57,ok,15409.0,CPSH
1659398400,3.62,3.69,3.72,3.6,ok,22839.0,CPSH
1659484800,3.66,3.69,3.76,3.6132,ok,31687.0,CPSH
1659571200,3.78,3.72,3.79,3.64,ok,39263.0,CPSH
1659657600,3.75,3.55,3.78,3.535,ok,69441.0,CPSH
1659916800,3.58,3.59,3.67,3.5,ok,51016.0,CPSH
1660003200,3.51,3.44,3.575,3.3801,ok,45985.0,CPSH
1660089600,3.44,3.61,3.675,3.43,ok,31955.0,CPSH
1660176000,3.61,3.58,3.68,3.51,ok,65676.0,CPSH
1660262400,3.5885,3.93,3.98,3.5801,ok,194341.0,CPSH
1660521600,3.93,4.15,4.2096,3.8601,ok,127004.0,CPSH
1660608000,4.15,3.92,4.15,3.9,ok,50150.0,CPSH
1660694400,3.82,3.75,3.87,3.64,ok,46127.0,CPSH
1660780800,3.8,3.94,3.95,3.76,ok,45113.0,CPSH
1660867200,3.82,3.69,3.92,3.6636,ok,33341.0,CPSH
1661126400,3.68,3.62,3.68,3.5391,ok,33823.0,CPSH
1661212800,3.58,3.59,3.64,3.5241,ok,30045.0,CPSH
1661299200,3.56,3.52,3.6892,3.52,ok,35236.0,CPSH
1661385600,3.51,3.61,3.63,3.5006,ok,17226.0,CPSH
1661472000,3.62,3.4,3.62,3.36,ok,69300.0,CPSH
1661731200,3.3899,3.41,3.44,3.26,ok,20544.0,CPSH
1661817600,3.41,3.27,3.41,3.11,ok,44384.0,CPSH
1661904000,3.15,3.23,3.32,3.15,ok,34905.0,CPSH
1661990400,3.1813,3.07,3.22,3.05,ok,44131.0,CPSH
1662076800,3.08,3.05,3.2,3.0,ok,89133.0,CPSH
1662422400,3.01,3.15,3.15,2.99,ok,52391.0,CPSH
1662508800,3.15,3.08,3.15,2.97,ok,61108.0,CPSH
1662595200,3.21,3.35,3.38,3.11,ok,78106.0,CPSH
1662681600,3.41,3.3,3.41,3.27,ok,26884.0,CPSH
1662940800,3.3,3.4,3.47,3.3,ok,36591.0,CPSH
1663027200,3.3,3.15,3.4,3.13,ok,33908.0,CPSH
1663113600,3.15,3.16,3.45,3.07,ok,54142.0,CPSH
1663200000,3.16,3.14,3.23,3.1,ok,19476.0,CPSH
