t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,0.8398,0.8037,0.8399,0.7802,ok,9851.0,CTIB,,0.8079333333333333,7958.951266666666,9851.0,0.8079333333333333
1652227200,0.826,0.7781,0.826,0.7781,ok,44721.0,CTIB,,0.7940666666666667,35511.4554,54572.0,0.6507266620244814
1652313600,0.7999,0.777,0.7999,0.75,ok,49595.0,CTIB,,0.7756333333333334,38467.53516666667,104167.0,0.36928715588110117
1652400000,0.775,0.8199,0.8568,0.775,ok,139798.0,CTIB,,0.8172333333333334,114247.58553333333,243965.0,0.4682949830235211
1652659200,0.8199,0.82,0.8397,0.7801,ok,21657.0,CTIB,,0.8132666666666667,17612.9162,265622.0,0.0663081981161199
1652745600,0.8498,0.85,0.8738,0.8072,ok,115728.0,CTIB,,0.8436666666666667,97635.856,381350.0,0.2560268939294611
1652832000,0.8599,0.8538,0.8965,0.8201,ok,37845.0,CTIB,,0.8568000000000001,32425.596000000005,419195.0,0.07735205811138016
1652918400,0.85,0.85,0.88,0.7906,ok,26840.0,CTIB,,0.8402,22550.967999999997,446035.0,0.05055874090598271
1653004800,0.8457,0.82,0.9,0.82,ok,30403.0,CTIB,,0.8466666666666667,25741.20666666667,476438.0,0.05402845001168393
1653264000,0.8399,0.8237,0.8998,0.7055,ok,46847.0,CTIB,,0.8096666666666668,37930.454333333335,523285.0,0.07248526965866274
1653350400,0.8068,0.809,0.822,0.78,ok,8310.0,CTIB,,0.8036666666666666,6678.469999999999,531595.0,0.012563079035732089
1653436800,0.807,0.829,0.8399,0.7801,ok,9758.0,CTIB,,0.8163333333333332,7965.780666666666,541353.0,0.014714577487640533
1653523200,0.77,0.82,0.8269,0.77,ok,9945.0,CTIB,,0.8056333333333333,8012.0235,551298.0,0.014533017533167181
1653609600,0.8289,0.8369,0.886,0.801,ok,22972.0,CTIB,58.234126984127,0.8413,19326.3436,574270.0,0.033653757988402665
1653955200,0.82,0.8319,0.8479,0.7801,ok,47874.0,CTIB,56.82478218780252,0.8199666666666667,39255.084200000005,622144.0,0.06309646030500977
1654041600,0.8101,0.795,0.8305,0.7801,ok,39013.0,CTIB,53.877925653969726,0.8018666666666667,31283.224266666668,661157.0,0.04731587847767878
1654128000,0.7948,0.7213,0.8479,0.7213,ok,177182.0,CTIB,40.41308089500861,0.7635,135278.457,838339.0,0.16136486194725522
1654214400,0.7112,0.72,0.7499,0.7101,ok,29573.0,CTIB,29.931699477701898,0.7266666666666666,21489.71333333333,867912.0,0.024760244510196115
1654473600,0.71,0.7194,0.7639,0.71,ok,24146.0,CTIB,29.831595829992,0.7311,17653.1406,892058.0,0.01978922962408274
1654560000,0.72,0.6927,0.7344,0.67,ok,29979.0,CTIB,18.04144656643641,0.6990333333333334,20956.320300000003,922037.0,0.02272828563278914
1654646400,0.6751,0.6781,0.7128,0.6499,ok,29774.0,CTIB,15.803814713896458,0.6802666666666667,20254.259733333332,951811.0,0.021279707560989874
1654732800,0.656,0.7013,0.7118,0.6503,ok,38388.0,CTIB,23.090843286283015,0.6877999999999999,26403.266399999993,990199.0,0.026664606205419307
1654819200,0.6998,0.6845,0.7498,0.6844,ok,30754.0,CTIB,24.249334853667804,0.7062333333333334,21719.499933333336,1020953.0,0.021273751028042756
