t,o,c,h,l,s,v,Ticker
1652140800,1.89,2.07,2.19,1.87,ok,365538.0,CTSO
1652227200,2.04,1.94,2.1,1.9,ok,245524.0,CTSO
1652313600,1.96,2.14,2.175,1.96,ok,281305.0,CTSO
1652400000,2.16,2.25,2.28,2.15,ok,311243.0,CTSO
1652659200,2.28,2.13,2.32,2.12,ok,152270.0,CTSO
1652745600,2.17,2.14,2.27,2.11,ok,153091.0,CTSO
1652832000,2.1,2.23,2.2772,2.09,ok,238064.0,CTSO
1652918400,2.21,2.26,2.335,2.125,ok,174977.0,CTSO
1653004800,2.26,2.11,2.27,2.055,ok,150378.0,CTSO
1653264000,2.08,2.0,2.16,1.98,ok,170470.0,CTSO
1653350400,2.0,1.87,2.0,1.775,ok,386740.0,CTSO
1653436800,1.85,1.89,1.965,1.83,ok,151366.0,CTSO
1653523200,1.92,1.94,1.98,1.84,ok,192911.0,CTSO
1653609600,1.92,2.05,2.08,1.92,ok,316764.0,CTSO
1653955200,2.03,1.93,2.05,1.89,ok,167062.0,CTSO
1654041600,1.96,1.82,1.96,1.76,ok,339130.0,CTSO
1654128000,1.81,1.89,2.01,1.81,ok,236545.0,CTSO
1654214400,1.86,1.89,1.97,1.83,ok,137039.0,CTSO
1654473600,1.88,1.9,1.92,1.76,ok,270797.0,CTSO
1654560000,1.9,2.56,2.63,1.9,ok,652574.0,CTSO
1654646400,2.52,2.46,2.65,2.3448,ok,261255.0,CTSO
1654732800,2.44,2.18,2.44,2.14,ok,267160.0,CTSO
1654819200,2.11,2.09,2.27,2.04,ok,196152.0,CTSO
1655078400,2.1,2.2,2.28,2.0445,ok,259710.0,CTSO
1655164800,2.2,2.27,2.28,2.06,ok,193477.0,CTSO
1655251200,2.32,2.03,2.32,2.01,ok,230915.0,CTSO
1655337600,2.01,1.87,2.04,1.85,ok,253542.0,CTSO
1655424000,1.87,1.88,1.93,1.85,ok,234733.0,CTSO
1655769600,1.97,1.76,2.0099,1.69,ok,410394.0,CTSO
1655856000,1.74,2.07,2.09,1.7169,ok,524996.0,CTSO
1655942400,2.1,2.36,2.37,2.06,ok,322251.0,CTSO
1656028800,2.34,2.12,2.38,2.1,ok,4451856.0,CTSO
1656288000,2.12,2.12,2.16,1.94,ok,179947.0,CTSO
1656374400,2.13,2.25,2.4,2.13,ok,384204.0,CTSO
1656460800,2.24,2.25,2.29,2.15,ok,150656.0,CTSO
1656547200,2.22,2.19,2.24,2.11,ok,129330.0,CTSO
1656633600,2.1,2.01,2.205,2.01,ok,259331.0,CTSO
1656979200,2.0,2.04,2.08,1.995,ok,131088.0,CTSO
1657065600,2.05,2.14,2.19,2.05,ok,115006.0,CTSO
1657152000,2.1,2.2,2.22,2.07,ok,137904.0,CTSO
1657238400,2.15,2.46,2.48,2.1,ok,191583.0,CTSO
1657497600,2.48,2.27,2.48,2.25,ok,73400.0,CTSO
1657584000,2.26,2.23,2.365,2.16,ok,75294.0,CTSO
1657670400,2.19,2.3,2.33,2.19,ok,75003.0,CTSO
1657756800,2.28,2.19,2.33,2.18,ok,70457.0,CTSO
1657843200,2.24,2.23,2.24,2.1,ok,82670.0,CTSO
1658102400,2.23,2.16,2.3,2.16,ok,81244.0,CTSO
1658188800,2.19,2.25,2.31,2.171,ok,45201.0,CTSO
1658275200,2.25,2.25,2.37,2.24,ok,55510.0,CTSO
1658361600,2.25,2.28,2.31,2.2298,ok,30871.0,CTSO
1658448000,2.27,2.13,2.27,2.1,ok,46058.0,CTSO
1658707200,2.18,2.09,2.18,2.05,ok,92911.0,CTSO
1658793600,2.05,2.12,2.2329,2.01,ok,75510.0,CTSO
1658880000,2.18,2.26,2.26,2.11,ok,39414.0,CTSO
1658966400,2.23,2.29,2.36,2.1925,ok,55212.0,CTSO
1659052800,2.26,2.28,2.32,2.2,ok,41914.0,CTSO
1659312000,2.24,2.27,2.4,2.235,ok,88379.0,CTSO
1659398400,2.347,2.34,2.37,2.28,ok,63808.0,CTSO
1659484800,2.3,2.01,2.37,2.0,ok,367235.0,CTSO
1659571200,2.0,2.02,2.03,2.0,ok,66116.0,CTSO
1659657600,2.0,2.1,2.13,1.96,ok,177018.0,CTSO
1659916800,2.14,2.03,2.18,2.01,ok,111979.0,CTSO
1660003200,2.12,1.85,2.1388,1.85,ok,210757.0,CTSO
1660089600,1.9,1.95,1.98,1.89,ok,52850.0,CTSO
1660176000,1.94,1.97,2.0357,1.94,ok,84999.0,CTSO
1660262400,2.0,1.91,2.0,1.88,ok,183526.0,CTSO
1660521600,1.9,1.9,1.945,1.9,ok,85977.0,CTSO
1660608000,1.904,1.83,1.92,1.82,ok,106639.0,CTSO
1660694400,1.83,1.8,1.92,1.8,ok,175059.0,CTSO
1660780800,1.83,2.03,2.4772,1.82,ok,1725501.0,CTSO
1660867200,1.95,2.0,2.18,1.95,ok,176010.0,CTSO
1661126400,1.95,1.89,2.03,1.88,ok,84580.0,CTSO
1661212800,1.92,1.98,2.06,1.875,ok,110091.0,CTSO
1661299200,2.05,1.87,2.05,1.83,ok,106364.0,CTSO
1661385600,1.91,2.07,2.09,1.8812,ok,102975.0,CTSO
1661472000,2.0566,1.98,2.1072,1.95,ok,39996.0,CTSO
1661731200,2.01,2.04,2.1,1.96,ok,88089.0,CTSO
1661817600,2.0,2.0,2.03,1.91,ok,65649.0,CTSO
1661904000,2.03,1.9,2.0669,1.83,ok,122384.0,CTSO
1661990400,1.89,1.82,1.91,1.78,ok,111779.0,CTSO
1662076800,1.89,1.85,1.89,1.82,ok,92659.0,CTSO
1662422400,1.87,1.82,1.87,1.8,ok,125907.0,CTSO
1662508800,1.8,1.73,1.865,1.7,ok,116131.0,CTSO
1662595200,1.73,1.69,1.76,1.65,ok,129239.0,CTSO
1662681600,1.77,1.73,1.8199,1.68,ok,214314.0,CTSO
1662940800,1.78,1.86,1.91,1.73,ok,135599.0,CTSO
1663027200,1.84,1.84,1.94,1.81,ok,169445.0,CTSO
1663113600,1.85,1.86,1.89,1.79,ok,59473.0,CTSO
1663200000,1.82,1.92,1.94,1.82,ok,70940.0,CTSO
1663286400,1.89,1.89,1.91,1.82,ok,98066.0,CTSO
1663545600,1.91,1.84,1.91,1.82,ok,88590.0,CTSO
1663632000,1.84,1.85,1.88,1.79,ok,133448.0,CTSO
1663718400,1.83,1.68,1.85,1.66,ok,166802.0,CTSO
1663804800,1.69,1.61,1.7,1.6,ok,92850.0,CTSO
1663891200,1.64,1.39,1.64,1.39,ok,251736.0,CTSO
1664150400,1.42,1.2,1.4296,1.18,ok,308433.0,CTSO
1664236800,1.19,1.39,1.4225,1.19,ok,339665.0,CTSO
1664323200,1.43,1.42,1.52,1.42,ok,126680.0,CTSO
1664409600,1.4,1.32,1.425,1.31,ok,63837.0,CTSO
1664496000,1.34,1.36,1.52,1.3254,ok,44911.0,CTSO
1664755200,1.38,1.4,1.4,1.35,ok,49746.0,CTSO
1664841600,1.44,1.51,1.58,1.411,ok,120339.0,CTSO
1664928000,1.52,1.63,1.67,1.48,ok,80512.0,CTSO
1665014400,1.65,1.83,1.88,1.63,ok,247456.0,CTSO
1665100800,1.81,1.62,1.81,1.59,ok,57181.0,CTSO
1665360000,1.58,1.54,1.5827,1.525,ok,30149.0,CTSO
1665446400,1.54,1.52,1.73,1.5153,ok,53126.0,CTSO
1665532800,1.6,1.56,1.64,1.41,ok,89270.0,CTSO
1665619200,1.53,1.6,1.61,1.5,ok,38842.0,CTSO
1665705600,1.6,1.59,1.6486,1.5515,ok,20032.0,CTSO
1665964800,1.58,1.68,1.695,1.58,ok,35946.0,CTSO
1666051200,1.72,1.72,1.79,1.65,ok,127426.0,CTSO
1666137600,1.72,1.61,1.73,1.6,ok,65535.0,CTSO
1666224000,1.61,1.54,1.66,1.52,ok,56432.0,CTSO
1666310400,1.55,1.57,1.63,1.54,ok,79834.0,CTSO
1666569600,1.58,1.57,1.64,1.51,ok,52178.0,CTSO
1666656000,1.56,1.7,1.7,1.56,ok,32507.0,CTSO
1666742400,1.65,1.83,1.88,1.65,ok,68329.0,CTSO
1666828800,1.85,1.69,1.85,1.6584,ok,54084.0,CTSO
1666915200,1.67,1.74,1.74,1.66,ok,26752.0,CTSO
1667174400,1.75,1.87,1.96,1.7,ok,172212.0,CTSO
1667260800,1.86,1.89,1.96,1.83,ok,108893.0,CTSO
1667347200,1.95,2.03,2.04,1.83,ok,3645089.0,CTSO
1667433600,1.9,1.95,2.05,1.85,ok,317262.0,CTSO
1667520000,1.6,1.64,1.69,1.55,ok,432859.0,CTSO
1667779200,1.66,1.55,1.66,1.47,ok,256766.0,CTSO
1667865600,1.59,1.58,1.63,1.53,ok,179251.0,CTSO
1667952000,1.66,1.46,1.66,1.44,ok,142540.0,CTSO
1668038400,1.49,1.49,1.538,1.49,ok,92728.0,CTSO
1668124800,1.55,1.52,1.6,1.49,ok,67133.0,CTSO
1668384000,1.62,1.54,1.62,1.49,ok,148684.0,CTSO
1668470400,1.56,1.53,1.6,1.51,ok,59330.0,CTSO
1668556800,1.54,1.44,1.54,1.41,ok,76572.0,CTSO
1668643200,1.43,1.37,1.44,1.3651,ok,57163.0,CTSO
1668729600,1.46,1.46,1.49,1.41,ok,77269.0,CTSO
1668988800,1.44,1.42,1.49,1.4,ok,119024.0,CTSO
1669075200,1.43,1.37,1.43,1.29,ok,120644.0,CTSO
1669161600,1.37,1.47,1.4831,1.35,ok,49077.0,CTSO
1669334400,1.48,1.51,1.52,1.45,ok,40920.0,CTSO
1669593600,1.5,1.37,1.5,1.36,ok,79143.0,CTSO
1669680000,1.36,1.37,1.38,1.32,ok,84722.0,CTSO
1669766400,1.3699,1.4,1.4,1.35,ok,44424.0,CTSO
1669852800,1.36,1.41,1.45,1.36,ok,33570.0,CTSO
1669939200,1.39,1.42,1.42,1.3653,ok,23733.0,CTSO
1670198400,1.42,1.3,1.42,1.3,ok,140363.0,CTSO
1670284800,1.31,1.28,1.33,1.245,ok,100892.0,CTSO
1670371200,1.2601,1.29,1.29,1.25,ok,44143.0,CTSO
1670457600,1.27,1.25,1.29,1.25,ok,121215.0,CTSO
1670544000,1.3,1.27,1.4,1.25,ok,62653.0,CTSO
1670803200,1.29,1.2,1.2924,1.18,ok,174131.0,CTSO
1670889600,1.22,1.19,1.24,1.1801,ok,229113.0,CTSO
1670976000,1.22,1.17,1.2299,1.15,ok,119321.0,CTSO
1671062400,1.13,1.16,1.191,1.1294,ok,107258.0,CTSO
1671148800,1.19,1.19,1.19,1.14,ok,97160.0,CTSO
1671408000,1.13,1.11,1.19,1.08,ok,126151.0,CTSO
1671494400,1.07,1.03,1.1199,1.03,ok,187268.0,CTSO
1671580800,1.12,1.15,1.2,1.1006,ok,119054.0,CTSO
1671667200,1.18,1.37,1.39,1.17,ok,213528.0,CTSO
1671753600,1.39,1.4,1.41,1.34,ok,94302.0,CTSO
1672099200,1.41,1.46,1.58,1.3518,ok,162695.0,CTSO
1672185600,1.4607,1.19,1.53,1.16,ok,385353.0,CTSO
1672272000,1.26,1.4,1.48,1.26,ok,416689.0,CTSO
1672358400,1.47,1.55,1.67,1.41,ok,451453.0,CTSO
1672704000,1.55,1.82,1.82,1.53,ok,131302.0,CTSO
1672790400,1.85,1.79,1.9101,1.76,ok,166505.0,CTSO
1672876800,1.75,1.8,1.82,1.75,ok,52167.0,CTSO
1672963200,1.8,1.98,1.98,1.76,ok,166383.0,CTSO
1673222400,2.02,1.93,2.02,1.83,ok,133120.0,CTSO
1673308800,1.95,1.98,1.99,1.92,ok,72728.0,CTSO
1673395200,1.97,2.04,2.04,1.94,ok,135185.0,CTSO
1673481600,2.03,2.17,2.21,1.9715,ok,84445.0,CTSO
1673568000,2.12,2.27,2.35,2.12,ok,80164.0,CTSO
1673913600,2.24,2.24,2.32,2.15,ok,79814.0,CTSO
1674000000,2.22,2.13,2.32,2.1113,ok,37495.0,CTSO
1674086400,2.11,2.13,2.21,2.11,ok,50701.0,CTSO
1674172800,2.1499,2.1,2.2116,2.09,ok,27110.0,CTSO
1674432000,2.11,2.14,2.1864,2.11,ok,93338.0,CTSO
1674518400,2.14,2.33,2.4499,2.14,ok,149132.0,CTSO
1674604800,2.27,2.53,2.57,2.25,ok,194448.0,CTSO
1674691200,2.53,2.33,2.56,2.21,ok,89025.0,CTSO
1674777600,2.35,2.37,2.4,2.32,ok,49646.0,CTSO
1675036800,2.37,2.28,2.3862,2.28,ok,30765.0,CTSO
1675123200,2.35,2.86,2.91,2.3,ok,240913.0,CTSO
1675209600,2.82,3.03,3.1,2.76,ok,198701.0,CTSO
1675296000,3.07,3.21,3.23,3.01,ok,150695.0,CTSO
1675382400,3.22,3.56,3.7685,3.2,ok,305187.0,CTSO
1675641600,3.53,4.17,4.59,3.51,ok,526666.0,CTSO
1675728000,4.23,3.91,4.38,3.6,ok,257630.0,CTSO
1675814400,3.78,3.81,4.04,3.755,ok,65293.0,CTSO
1675900800,3.78,3.48,3.84,3.41,ok,182940.0,CTSO
1675987200,3.46,3.5,3.62,3.46,ok,62248.0,CTSO
1676246400,3.5,3.22,3.5592,3.14,ok,178413.0,CTSO
1676332800,3.21,3.41,3.49,3.1501,ok,47574.0,CTSO
1676419200,3.34,3.48,3.54,3.34,ok,76630.0,CTSO
1676505600,3.4,3.51,3.5879,3.4,ok,64356.0,CTSO
1676592000,3.4,3.5,3.66,3.4,ok,39577.0,CTSO
1676937600,3.52,3.51,3.76,3.4,ok,131821.0,CTSO
1677024000,3.44,3.33,3.54,3.27,ok,64481.0,CTSO
1677110400,3.35,3.35,3.39,3.25,ok,64959.0,CTSO
1677196800,3.32,3.27,3.32,3.17,ok,31515.0,CTSO
1677456000,3.28,3.28,3.3499,3.12,ok,64116.0,CTSO
1677542400,3.27,3.08,3.42,3.07,ok,96249.0,CTSO
