t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP,Price % Change,Spike
1652140800,7.39,7.74,7.83,7.23,ok,293499.0,DCFC,,7.6,2230592.4000000004,293499.0,7.600000000000001,,0
1652227200,7.71,7.21,8.12,6.99,ok,222357.0,DCFC,,7.44,1654336.08,515856.0,3.2069726435284265,,0
1652313600,7.04,7.65,7.7,7.01,ok,183591.0,DCFC,,7.453333333333333,1368364.92,699447.0,1.9563525470836245,,0
1652400000,7.88,7.99,8.25,7.73,ok,185727.0,DCFC,,7.989999999999999,1483958.73,885174.0,1.6764599163554283,,0
1652659200,7.87,8.04,8.21,7.71,ok,115686.0,DCFC,,7.986666666666667,923945.52,1000860.0,0.9231516096157304,,0
1652745600,8.19,8.01,8.2096,7.95,ok,104260.0,DCFC,,8.056533333333334,839974.1653333334,1105120.0,0.7600750735968342,,0
1652832000,7.95,8.33,8.33,7.7515,ok,114929.0,DCFC,,8.137166666666666,935196.4278333331,1220049.0,0.7665236624376015,0.07622739018087854,0
1652918400,8.25,8.11,8.3,7.9,ok,137164.0,DCFC,,8.103333333333333,1111485.6133333333,1357213.0,0.8189470726653321,0.12482662968099856,0
1653004800,8.48,7.62,8.48,7.3087,ok,200929.0,DCFC,,7.8029,1567828.8941,1558142.0,1.0062169520492996,-0.0039215686274509665,0
1653264000,7.61,8.01,8.18,7.54,ok,175406.0,DCFC,,7.909999999999999,1387461.46,1733548.0,0.8003594131803676,0.0025031289111387967,0
1653350400,8.01,8.05,8.34,7.7815,ok,121912.0,DCFC,,8.057166666666667,982265.3026666668,1855460.0,0.52939179646377,0.0012437810945276073,0
1653436800,7.9,8.07,8.11,7.77,ok,74583.0,DCFC,,7.983333333333333,595420.95,1930043.0,0.3085013909016534,0.0074906367041198685,0
1653523200,8.25,8.53,8.55,8.07,ok,137351.0,DCFC,,8.383333333333333,1151459.2166666666,2067394.0,0.5569616709087221,0.024009603841536498,0
1653609600,8.41,9.5,9.92,8.36,ok,460834.0,DCFC,70.46511627906978,9.26,4267322.84,2528228.0,1.6878710464404318,0.1713933415536375,0
1653955200,9.66,9.38,10.35,9.32,ok,403790.0,DCFC,68.55203619909504,9.683333333333335,3910033.166666667,2932018.0,1.3335638344193887,0.230971128608924,0
1654041600,9.69,8.88,9.69,8.83,ok,227950.0,DCFC,69.02050113895218,9.133333333333333,2081943.3333333333,3159968.0,0.6588494988978791,0.10861423220973787,0
1654128000,9.02,8.83,9.3,8.55,ok,163403.0,DCFC,64.75,8.893333333333333,1453197.3466666664,3323371.0,0.43726606107674,0.09689440993788812,0
1654214400,8.48,8.24,8.78,8.13,ok,206408.0,DCFC,52.94117647058823,8.383333333333333,1730387.066666667,3529779.0,0.4902253276102177,0.02106567534076831,0
1654473600,8.25,7.92,8.4,7.85,ok,194986.0,DCFC,48.67256637168142,8.056666666666667,1570937.2066666663,3724765.0,0.4217547165167914,-0.07151230949589682,0
1654560000,7.97,7.76,8.1,7.66,ok,179077.0,DCFC,47.31182795698925,7.84,1403963.68,3903842.0,0.3596363992190257,-0.18315789473684208,0
1654646400,7.65,7.71,7.97,7.65,ok,149030.0,DCFC,42.922374429223744,7.776666666666667,1158956.6333333335,4052872.0,0.2859593476757552,-0.17803837953091695,0
1654732800,7.75,7.55,8.07,7.5,ok,176281.0,DCFC,43.518518518518526,7.706666666666667,1358538.9066666667,4229153.0,0.3212319125523873,-0.14977477477477485,0
1654819200,7.5,7.11,7.66,7.05,ok,569410.0,DCFC,44.02810304449649,7.273333333333333,4141508.733333333,4798563.0,0.8630727018345562,-0.19479048697621737,0
1655078400,6.85,6.79,6.96,6.23,ok,502202.0,DCFC,35.47619047619048,6.66,3344665.3200000003,5300765.0,0.6309778531966613,-0.17597087378640774,0
1655164800,6.97,6.17,7.0,6.14,ok,385936.0,DCFC,30.3347280334728,6.436666666666667,2484141.386666667,5686701.0,0.4368334798447583,-0.2209595959595959,0
1655251200,6.39,6.37,6.45,6.05,ok,339949.0,DCFC,32.86290322580645,6.29,2138279.21,6026650.0,0.3548039474666689,-0.1791237113402061,0
1655337600,6.18,5.77,6.38,5.72,ok,386012.0,DCFC,22.94117647058825,5.956666666666666,2299344.813333333,6412662.0,0.3585632321387488,-0.2516212710765241,0
1655424000,5.91,6.24,6.33,5.8,ok,437663.0,DCFC,14.565217391304373,6.123333333333332,2679956.436666666,6850325.0,0.3912159549607742,-0.17350993377483437,0
1655769600,6.45,6.34,6.55,6.0195,ok,303073.0,DCFC,16.812227074235807,6.303166666666667,1910319.6311666667,7153398.0,0.2670506563687169,-0.10829817158931088,0
1655856000,6.23,6.78,6.91,6.1,ok,330480.0,DCFC,26.769911504424783,6.596666666666667,2180066.4,7483878.0,0.2913017021389178,-0.0014727540500736325,0
1655942400,6.96,7.22,7.34,6.7,ok,543793.0,DCFC,33.60488798370672,7.086666666666666,3853679.726666666,8027671.0,0.4800495344996906,0.1701782820097244,0
1656028800,7.22,6.87,7.34,6.85,ok,270784.0,DCFC,35.33190578158458,7.02,1900903.68,8298455.0,0.2290671793725458,0.07849293563579285,0
1656288000,6.85,7.03,7.24,6.62,ok,242747.0,DCFC,40.13303769401331,6.963333333333334,1690328.2766666668,8541202.0,0.1979028568422415,0.2183708838821492,0
1656374400,7.02,7.11,7.6,7.02,ok,295958.0,DCFC,42.66365688487585,7.243333333333333,2143722.446666667,8837160.0,0.2425804723085999,0.13942307692307687,0
1656460800,7.05,6.18,7.055,6.18,ok,287099.0,DCFC,35.593220338983045,6.471666666666667,1858009.028333333,9124259.0,0.2036339639562328,-0.025236593059936974,0
1656547200,6.1,6.09,6.56,6.01,ok,227050.0,DCFC,36.068702290076345,6.22,1412251.0,9351309.0,0.1510217446562828,-0.10176991150442483,0
1656633600,6.05,6.13,6.18,5.81,ok,154518.0,DCFC,39.87603305785124,6.039999999999999,933288.72,9505827.0,0.0981806969556672,-0.15096952908587258,0
1656979200,6.05,5.84,6.11,5.7,ok,300812.0,DCFC,40.12474012474012,5.883333333333333,1769777.2666666666,9806639.0,0.1804672596459058,-0.14992721979621548,0
1657065600,5.79,5.67,5.93,5.56,ok,198757.0,DCFC,44.26605504587156,5.719999999999999,1136890.0399999998,10005396.0,0.1136276904982071,-0.19345661450924612,0
1657152000,5.7,5.98,6.1501,5.7,ok,186101.0,DCFC,45.63758389261746,5.943366666666667,1106066.4800333334,10191497.0,0.1085283624214709,-0.15893108298171588,0
1657238400,6.0,6.49,6.87,5.9559,ok,375320.0,DCFC,58.21917808219179,6.438633333333333,2416547.8626666665,10566817.0,0.2286921276924419,0.050161812297734754,0
1657497600,6.41,5.78,6.49,5.76,ok,251295.0,DCFC,45.02164502164502,6.010000000000001,1510282.9500000002,10818112.0,0.1396068879671425,-0.05090311986863705,0
1657584000,6.04,5.71,6.04,5.66,ok,355100.0,DCFC,43.13725490196079,5.803333333333334,2060763.6666666667,11173212.0,0.1844378918673222,-0.06851549755301789,0
1657670400,5.57,5.48,5.955,5.46,ok,516940.0,DCFC,35.159817351598164,5.631666666666667,2911233.7666666666,11690152.0,0.2490330122881778,-0.06164383561643827,0
1657756800,5.45,5.61,5.9,5.43,ok,304680.0,DCFC,30.221130221130224,5.646666666666667,1720426.4,11994832.0,0.1434306374611999,-0.01058201058201047,0
1657843200,5.65,6.03,6.09,5.52,ok,343128.0,DCFC,39.85507246376812,5.88,2017592.64,12337960.0,0.1635272476162996,0.00836120401337781,0
1658102400,6.01,5.89,6.1,5.82,ok,226725.0,DCFC,36.16504854368932,5.9366666666666665,1345990.75,12564685.0,0.107124910015651,-0.0924499229583976,0
1658188800,5.9,5.94,6.03,5.89,ok,262503.0,DCFC,35.696821515892424,5.953333333333333,1562767.86,12827188.0,0.1218324593044087,0.02768166089965396,0
1658275200,5.9,6.07,6.15,5.9,ok,232204.0,DCFC,48.32826747720365,6.04,1402512.16,13059392.0,0.1073949047551371,0.06304728546409821,0
1658361600,6.05,6.16,6.17,5.95,ok,212458.0,DCFC,51.06382978723405,6.093333333333334,1294577.413333333,13271850.0,0.0975431016273792,0.12408759124087587,0
1658448000,6.22,5.9,6.3518,5.87,ok,163894.0,DCFC,46.72364672364673,6.0406,990018.0964,13435744.0,0.0736853944522908,0.051693404634581164,0
1658707200,5.94,5.88,5.94,5.835,ok,131955.0,DCFC,50.61728395061729,5.885000000000001,776555.175,13567699.0,0.0572355839409468,-0.024875621890547372,0
1658793600,5.88,5.87,6.01,5.85,ok,114905.0,DCFC,53.24675324675326,5.91,679088.55,13682604.0,0.0496315284722118,-0.003395585738539819,0
1658880000,5.96,6.18,6.19,5.89,ok,207548.0,DCFC,53.24675324675324,6.086666666666666,1263275.4933333332,13890152.0,0.0909475643847045,0.04040404040404022,0
1658966400,6.33,6.28,6.38,6.15,ok,241797.0,DCFC,46.06741573033708,6.2700000000000005,1516067.1900000002,14131949.0,0.1072794127688969,0.034596375617792496,0
1659052800,6.49,6.6,6.7837,6.21,ok,329297.0,DCFC,67.98245614035086,6.531233333333333,2150715.5429666666,14461246.0,0.14872269948016,0.0714285714285714,0
1659312000,6.5,6.18,6.5,6.155,ok,157740.0,DCFC,58.93536121673003,6.278333333333333,990344.3,14618986.0,0.0677437067112589,0.047457627118643986,0
1659398400,6.15,6.28,6.345,6.12,ok,191905.0,DCFC,66.0,6.248333333333334,1199086.4083333334,14810891.0,0.080959775366204,0.06802721088435382,0
1659484800,6.34,6.46,6.49,6.32,ok,283164.0,DCFC,66.66666666666666,6.423333333333333,1818856.76,15094055.0,0.1205015325570232,0.10051107325383302,0
1659571200,6.45,6.9,7.0442,6.435,ok,406838.0,DCFC,66.9260700389105,6.7930666666666655,2763677.656533333,15500893.0,0.1782915124008231,0.11650485436893221,0
1659657600,6.91,6.75,6.91,6.5,ok,180046.0,DCFC,66.66666666666666,6.72,1209909.12,15680939.0,0.0771579508089407,0.07484076433121012,0
1659916800,6.9,6.89,6.94,6.62,ok,349023.0,DCFC,67.79026217228463,6.816666666666666,2379173.45,16029962.0,0.1484204048643408,0.043939393939393945,0
1660003200,6.85,6.88,6.93,6.74,ok,227345.0,DCFC,65.88235294117646,6.8500000000000005,1557313.2500000002,16257307.0,0.0957915877457441,0.11326860841423958,0
1660089600,6.93,7.28,7.28,6.8132,ok,597675.0,DCFC,69.58041958041957,7.1244000000000005,4258075.7700000005,16854982.0,0.2526300989226805,0.15923566878980888,0
1660176000,7.28,7.12,7.3488,7.08,ok,245250.0,DCFC,72.10144927536231,7.182933333333334,1761614.4,17100232.0,0.103016988307527,0.10216718266253877,0
1660262400,7.19,8.3,8.3,7.04,ok,662901.0,DCFC,80.86734693877551,7.88,5223659.88,17763133.0,0.2940731164935825,0.2028985507246377,0
1660521600,8.39,9.14,9.23,8.3302,ok,487863.0,DCFC,84.42105263157895,8.900066666666667,4342013.2242,18250996.0,0.2379055490560624,0.3540740740740742,0
1660608000,9.02,8.6,9.02,8.19,ok,503006.0,DCFC,74.29718875502007,8.603333333333333,4327528.286666667,18754002.0,0.2307522568605179,0.24818577648766338,0
1660694400,8.4,8.49,8.6,7.81,ok,371017.0,DCFC,72.1442885771543,8.299999999999999,3079441.1,19125019.0,0.1610163681406015,0.23401162790697683,0
1660780800,8.26,8.36,8.49,7.62,ok,427378.0,DCFC,68.33333333333333,8.156666666666666,3485979.8866666667,19552397.0,0.178289131847449,0.14835164835164827,0
1660867200,8.08,7.08,8.24,7.08,ok,520871.0,DCFC,57.95053003533569,7.466666666666666,3889170.133333333,20073268.0,0.1937487275780572,-0.005617977528089901,0
1661126400,6.9,6.42,6.93,6.09,ok,582626.0,DCFC,51.12540192926044,6.48,3775416.48,20655894.0,0.1827767164180838,-0.22650602409638565,0
1661212800,6.31,7.31,7.4,6.31,ok,426278.0,DCFC,56.13275613275613,7.006666666666667,2986787.853333333,21082172.0,0.1416736308447409,-0.20021881838074407,0
1661299200,7.373,7.34,7.99,7.26,ok,278801.0,DCFC,53.37423312883435,7.53,2099371.5300000003,21360973.0,0.0982807070632971,-0.1465116279069767,0
1661385600,7.4,7.26,7.55,7.15,ok,209931.0,DCFC,53.95348837209302,7.32,1536694.9200000002,21570904.0,0.0712392452351556,-0.14487632508833925,0
