t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.4201,3.45,3.46,3.4201,ok,1574.0,DSWL,,3.4433666666666674,5419.859133333334,1574.0,3.4433666666666674
1652227200,3.52,3.41,3.52,3.41,ok,906.0,DSWL,,3.4466666666666668,3122.6800000000003,2480.0,1.2591451612903226
1652313600,3.42,3.39,3.42,3.3481,ok,4147.0,DSWL,,3.3860333333333337,14041.880233333335,6627.0,2.118889427091193
1652400000,3.34,3.35,3.405,3.2501,ok,4871.0,DSWL,,3.3350333333333335,16244.947366666667,11498.0,1.4128498318548153
1652659200,3.25,3.38,3.38,3.06,ok,4102.0,DSWL,,3.2733333333333334,13427.213333333333,15600.0,0.8607188034188034
1652832000,3.2763,3.42,3.42,3.2763,ok,984.0,DSWL,,3.3720999999999997,3318.1463999999996,16584.0,0.20008118668596236
1652918400,3.4,3.28,3.4399,3.28,ok,1211.0,DSWL,,3.3333,4036.6263,17795.0,0.22684047766226467
1653004800,3.26,3.36,3.425,3.26,ok,4347.0,DSWL,,3.348333333333333,14555.205,22142.0,0.6573572847981212
1653264000,3.36,3.26,3.36,3.25,ok,1124.0,DSWL,,3.2899999999999996,3697.9599999999996,23266.0,0.15894266311355623
1653350400,3.38,3.39,3.4001,3.38,ok,23497.0,DSWL,,3.3900333333333332,79655.61323333334,46763.0,1.703389714803014
1653436800,3.36,3.4,3.4,3.36,ok,1174.0,DSWL,,3.3866666666666667,3975.9466666666667,47937.0,0.08294108239286285
1653523200,3.26,3.26,3.275,3.23,ok,6637.0,DSWL,,3.2550000000000003,21603.435,54574.0,0.39585581045919305
1653609600,3.28,3.27,3.28,3.13,ok,3370.0,DSWL,,3.2266666666666666,10873.866666666667,57944.0,0.18766165032905335
1653955200,3.28,3.2,3.28,3.16,ok,1447.0,DSWL,35.294117647058826,3.2133333333333334,4649.693333333334,59391.0,0.07828952759396766
1654041600,3.2799,3.1824,3.2799,3.17,ok,1029.0,DSWL,34.57814661134164,3.2107666666666663,3303.8788999999997,60420.0,0.05468187520688513
1654128000,3.27,3.19,3.28,3.17,ok,3875.0,DSWL,36.82950191570881,3.213333333333333,12451.666666666664,64295.0,0.19366461881431937
1654214400,3.17,3.18,3.18,3.17,ok,537.0,DSWL,37.27581192438198,3.1766666666666663,1705.87,64832.0,0.026312160661401775
1654473600,3.19,3.16,3.19,3.15,ok,1139.0,DSWL,38.20168902136116,3.1666666666666665,3606.833333333333,65971.0,0.05467301288950195
1654560000,3.15,3.15,3.19,3.15,ok,2674.0,DSWL,35.35404992358637,3.1633333333333336,8458.753333333334,68645.0,0.12322460970694638
1654646400,3.19,3.11,3.19,3.1,ok,5802.0,DSWL,30.259806418746837,3.1333333333333333,18179.6,74447.0,0.2441951992692788
1654732800,3.08,3.11,3.11,3.08,ok,814.0,DSWL,36.82579045257288,3.0999999999999996,2523.3999999999996,75261.0,0.03352865361874011
1654819200,3.1513,3.1,3.1561,3.1,ok,1726.0,DSWL,27.39916550764956,3.1187,5382.8762,76987.0,0.06991928767194461
1655078400,3.12,3.15,3.15,3.0427,ok,7070.0,DSWL,39.52779893373955,3.1142333333333334,22017.629666666668,84057.0,0.2619368959951779
1655164800,3.17,3.06,3.17,3.06,ok,986.0,DSWL,15.993404781533371,3.096666666666667,3053.313333333334,85043.0,0.03590317055293597
1655251200,3.09,3.055,3.09,3.01,ok,5581.0,DSWL,14.077467721782613,3.0516666666666663,17031.351666666666,90624.0,0.18793423007886062
1655337600,3.16,3.28,3.3,3.1503,ok,11291.0,DSWL,51.76928520877566,3.2434333333333334,36621.60576666667,101915.0,0.35933479631719245
1655424000,3.19,3.2999,3.3,3.0498,ok,38913.0,DSWL,52.59954790471224,3.2165666666666666,125166.25869999999,140828.0,0.8887881578947368
1655769600,3.2,3.3,3.3625,3.16,ok,11200.0,DSWL,59.897070467141695,3.2741666666666664,36670.666666666664,152028.0,0.24120995255259994
1655856000,3.31,3.32,3.45,3.31,ok,2443.0,DSWL,63.553979511426334,3.36,8208.48,154471.0,0.053139294754355186
1655942400,3.3473,3.23,3.3722,3.19,ok,9628.0,DSWL,53.38983050847459,3.2640666666666664,31426.433866666666,164099.0,0.191508990710892
1656028800,3.2835,3.2975,3.38,3.21,ok,6488.0,DSWL,59.073359073359065,3.295833333333333,21383.366666666665,170587.0,0.1253516778339889
1656288000,3.28,3.09,3.38,3.01,ok,26383.0,DSWL,45.80838323353291,3.16,83370.28,196970.0,0.4232638472863888
