t,o,c,h,l,s,v,Ticker
1652140800,36.4,35.2,37.599999999999994,34.4,ok,77625.8,EAR
1652227200,34.8,34.0,36.0,33.4,ok,36756.05,EAR
1652313600,24.0,25.6,27.799999999999997,23.4,ok,133948.85,EAR
1652400000,25.0,25.6,29.0,25.0,ok,98823.25,EAR
1652659200,24.6,30.8,31.8,24.6,ok,61403.55,EAR
1652745600,30.8,29.8,34.8,29.2,ok,42097.55,EAR
1652832000,29.8,27.0,30.6,27.0,ok,22522.5,EAR
1652918400,27.599999999999998,25.6,29.4,25.6,ok,33622.9,EAR
1653004800,25.6,25.0,26.400000000000002,23.5,ok,35972.65,EAR
1653264000,25.4,23.4,26.0,23.2,ok,27150.05,EAR
1653350400,23.0,20.8,23.2,20.6,ok,29308.55,EAR
1653436800,21.0,21.200000000000003,21.8,20.602,ok,24782.55,EAR
1653523200,21.6,25.6,30.8,21.400000000000002,ok,207833.85,EAR
1653609600,25.2,25.8,27.200000000000003,25.0,ok,71499.0,EAR
1653955200,26.0,31.0,31.0,25.6,ok,83553.0,EAR
1654041600,30.6,27.400000000000002,30.798000000000002,27.200000000000003,ok,33738.8,EAR
1654128000,27.200000000000003,28.4,29.6,25.6,ok,30252.45,EAR
1654214400,28.0,25.8,28.5,25.5,ok,36605.15,EAR
1654473600,26.6,31.0,31.0,26.400000000000002,ok,41568.05,EAR
1654560000,30.0,32.0,33.9,29.488,ok,62508.15,EAR
1654646400,31.8,32.599999999999994,33.6,30.4,ok,41454.4,EAR
1654732800,33.0,27.799999999999997,33.0,27.599999999999998,ok,41648.55,EAR
1654819200,28.2,25.0,28.2,24.8,ok,29055.2,EAR
1655078400,24.6,24.4,26.0,23.799999999999997,ok,30471.55,EAR
1655164800,24.0,22.200000000000003,24.4,21.8,ok,46175.55,EAR
1655251200,22.400000000000002,22.400000000000002,23.4,21.8,ok,24097.95,EAR
1655337600,22.799999999999997,21.200000000000003,23.172,20.6,ok,36287.65,EAR
1655424000,21.200000000000003,21.0,22.400000000000002,20.2,ok,44779.15,EAR
1655769600,21.0,20.6,21.200000000000003,20.2,ok,51767.3,EAR
1655856000,20.6,22.599999999999998,22.9,20.6,ok,53181.6,EAR
1655942400,22.599999999999998,23.599999999999998,23.599999999999998,21.400000000000002,ok,33529.4,EAR
1656028800,23.799999999999997,25.0,26.200000000000003,22.799999999999997,ok,242590.0,EAR
1656288000,23.599999999999998,21.0,23.842,20.6,ok,114823.35,EAR
1656374400,21.0,19.442,21.200000000000003,19.076,ok,73926.1,EAR
1656460800,20.2,16.382,20.2,16.022000000000002,ok,69609.75,EAR
1656547200,15.8,15.038,16.200000000000003,14.6,ok,72037.55,EAR
1656633600,15.136000000000001,15.134,15.600000000000001,14.472000000000001,ok,39706.5,EAR
1656979200,15.604,16.854,16.854,15.604,ok,78144.35,EAR
1657065600,17.948,17.02,18.0,15.798000000000002,ok,234211.25,EAR
1657152000,16.599999999999998,16.416,16.932000000000002,16.1,ok,61028.9,EAR
1657238400,16.112,17.91,18.48,16.112,ok,63684.05,EAR
1657497600,17.954,16.200000000000003,17.954,16.200000000000003,ok,46410.8,EAR
1657584000,16.886000000000003,16.599999999999998,16.998,16.042,ok,21691.25,EAR
1657670400,15.642,15.84,16.364,15.602,ok,21505.25,EAR
1657756800,15.604,15.998000000000001,16.177999999999997,15.0,ok,22900.9,EAR
1657843200,15.518,15.700000000000001,16.506,15.4,ok,14259.45,EAR
1658102400,16.0,16.208,16.746000000000002,15.68,ok,13944.5,EAR
1658188800,16.599999999999998,16.55,17.0,15.700000000000001,ok,21060.9,EAR
1658275200,16.188,16.77,16.802,16.0,ok,16051.95,EAR
1658361600,16.674,16.798,17.196,16.042,ok,18981.65,EAR
1658448000,16.632,16.008,17.134,15.622,ok,19177.9,EAR
1658707200,15.906,15.145999999999999,16.008,14.426000000000002,ok,39075.8,EAR
1658793600,15.008,14.55,15.008,14.02,ok,25403.05,EAR
1658880000,14.6,14.421999999999999,14.912,14.008000000000001,ok,22445.5,EAR
1658966400,14.0,14.106000000000002,14.372,13.402000000000001,ok,20246.4,EAR
1659052800,13.704,14.2,14.2,13.508,ok,21132.25,EAR
1659312000,13.998,14.6,14.998000000000001,13.908000000000001,ok,27787.7,EAR
1659398400,14.8,14.006,15.404,14.001999999999999,ok,40283.0,EAR
1659484800,29.0,24.6,33.0,22.599999999999998,ok,7438544.0,EAR
1659571200,23.599999999999998,26.200000000000003,27.0,21.6,ok,568231.55,EAR
1659657600,24.6,24.6,27.400000000000002,24.4,ok,215039.2,EAR
1659916800,29.8,27.400000000000002,30.0,25.8,ok,1089728.0,EAR
1660003200,20.4,20.0,21.8,20.0,ok,235999.9,EAR
1660089600,21.6,20.2,21.6,19.8,ok,150374.5,EAR
1660176000,20.4,18.848,20.4,18.799999999999997,ok,132393.75,EAR
1660262400,19.372,22.599999999999998,23.5,19.022,ok,305541.0,EAR
1660521600,21.8,22.799999999999997,23.900000000000002,21.099999999999998,ok,128380.5,EAR
1660608000,24.4,40.4,43.4,23.1,ok,2690846.6,EAR
1660694400,47.400000000000006,62.599999999999994,68.8,45.80199999999999,ok,8875239.3,EAR
1660780800,55.4,52.800000000000004,56.8,44.6,ok,1075083.85,EAR
1660867200,49.0,48.2,52.599999999999994,44.6,ok,434655.3,EAR
1661126400,44.0,44.2,47.0,42.400000000000006,ok,284341.75,EAR
1661212800,45.599999999999994,49.6,57.599999999999994,45.599999999999994,ok,1429251.55,EAR
1661299200,49.800000000000004,47.599999999999994,52.0,46.4,ok,206124.85,EAR
1661385600,46.6,46.0,49.6,45.010000000000005,ok,218127.25,EAR
1661472000,40.9,37.8,42.800000000000004,37.0,ok,320933.25,EAR
1661731200,37.599999999999994,39.0,40.599999999999994,36.4,ok,213952.4,EAR
1661817600,39.8,36.4,39.998,35.2,ok,162584.1,EAR
1661904000,35.4,36.4,37.8,35.4,ok,66214.05,EAR
1661990400,35.8,35.8,36.6,33.8,ok,96596.8,EAR
1662076800,36.4,35.2,37.0,34.2,ok,59264.55,EAR
1662422400,35.6,35.2,37.0,34.2,ok,60369.1,EAR
1662508800,35.2,35.0,36.2,34.8,ok,60983.65,EAR
1662595200,35.4,36.0,37.2,34.6,ok,83372.1,EAR
1662681600,36.800000000000004,35.2,38.4,35.099999999999994,ok,155266.7,EAR
1662940800,36.0,34.8,36.0,34.2,ok,49841.05,EAR
1663027200,34.0,33.4,34.4,32.3,ok,54547.65,EAR
1663113600,33.6,33.4,34.5,32.599999999999994,ok,29648.55,EAR
1663200000,33.0,32.8,34.516,32.599999999999994,ok,42321.15,EAR
1663286400,33.0,31.200000000000003,33.0,30.8,ok,43946.55,EAR
1663545600,30.0,29.8,30.8,29.0,ok,78411.85,EAR
1663632000,29.6,28.799999999999997,30.299999999999997,28.2,ok,60369.05,EAR
1663718400,28.799999999999997,29.2,30.4,28.2,ok,34106.0,EAR
1663804800,29.2,26.6,29.6,26.400000000000002,ok,47033.05,EAR
1663891200,25.0,24.6,26.6,23.799999999999997,ok,60764.15,EAR
