t,o,c,h,l,s,v,Ticker,RSI
1652140800,2.06,1.63,2.06,1.4601,ok,2544940.0,EOSE,
1652227200,1.58,1.38,1.62,1.33,ok,2028064.0,EOSE,
1652313600,1.39,1.37,1.555,1.35,ok,1686580.0,EOSE,
1652400000,1.52,1.4,1.6499,1.38,ok,3462872.0,EOSE,
1652659200,1.4,1.34,1.47,1.3,ok,2310928.0,EOSE,
1652745600,1.41,1.9,2.35,1.29,ok,38511647.0,EOSE,
1652832000,1.7421,1.42,1.83,1.41,ok,8813940.0,EOSE,
1652918400,1.36,1.18,1.36,1.13,ok,6340857.0,EOSE,
1653004800,1.19,1.12,1.23,1.0,ok,9338429.0,EOSE,
1653264000,1.02,1.16,1.19,1.02,ok,4225307.0,EOSE,
1653350400,1.07,1.14,1.15,1.07,ok,2889703.0,EOSE,
1653436800,1.15,1.24,1.32,1.11,ok,3893978.0,EOSE,
1653523200,1.24,1.38,1.43,1.2,ok,2777231.0,EOSE,
1653609600,1.46,1.5,1.56,1.4,ok,2804152.0,EOSE,46.91943127962086
1653955200,1.51,1.38,1.545,1.38,ok,3354000.0,EOSE,44.39461883408072
1654041600,1.41,1.25,1.45,1.24,ok,1869775.0,EOSE,46.91943127962086
1654128000,1.3,1.46,1.52,1.2785,ok,3163721.0,EOSE,51.94805194805194
1654214400,1.4,1.6,1.62,1.38,ok,2119143.0,EOSE,54.132231404958674
1654473600,1.65,1.88,1.9,1.62,ok,3493863.0,EOSE,60.22727272727273
1654560000,1.82,1.8,2.1399,1.8,ok,3602102.0,EOSE,47.68518518518518
1654646400,1.87,2.15,2.2,1.85,ok,3674708.0,EOSE,67.98029556650246
1654732800,2.18,2.08,2.19,1.99,ok,2199159.0,EOSE,74.1935483870968
1654819200,1.96,1.91,2.02,1.77,ok,1855601.0,EOSE,70.0507614213198
1655078400,1.75,1.78,1.88,1.55,ok,2240290.0,EOSE,65.0485436893204
1655164800,1.75,1.58,1.8,1.415,ok,2395153.0,EOSE,59.82142857142858
1655251200,1.6,1.59,1.6999,1.51,ok,1482686.0,EOSE,58.139534883720934
1655337600,1.5,1.34,1.57,1.3,ok,2601599.0,EOSE,49.115044247787615
1655424000,1.32,1.42,1.49,1.29,ok,2894495.0,EOSE,48.1981981981982
1655769600,1.58,1.45,1.58,1.42,ok,1223277.0,EOSE,51.64319248826292
1655856000,1.39,1.4,1.5,1.38,ok,975126.0,EOSE,53.65853658536585
1655942400,1.42,1.43,1.47,1.33,ok,1722545.0,EOSE,49.19786096256684
1656028800,1.45,1.43,1.55,1.42,ok,6047624.0,EOSE,45.08670520231214
1656288000,1.46,1.46,1.5086,1.37,ok,907475.0,EOSE,35.81081081081081
1656374400,1.51,1.39,1.54,1.385,ok,925210.0,EOSE,36.054421768707485
1656460800,1.45,1.29,1.49,1.27,ok,1368891.0,EOSE,14.754098360655746
1656547200,1.24,1.21,1.28,1.19,ok,920191.0,EOSE,14.634146341463406
1656633600,1.22,1.19,1.25,1.16,ok,609124.0,EOSE,16.666666666666657
1656979200,1.23,1.26,1.27,1.16,ok,931832.0,EOSE,24.509803921568633
1657065600,1.58,1.43,1.74,1.41,ok,48263862.0,EOSE,42.42424242424242
1657152000,1.38,1.56,1.575,1.33,ok,4856980.0,EOSE,48.64864864864865
1657238400,1.5,1.78,1.81,1.49,ok,4311333.0,EOSE,70.37037037037037
1657497600,1.78,1.79,1.95,1.595,ok,3224973.0,EOSE,68.31683168316832
1657584000,1.79,2.13,2.2,1.77,ok,3757524.0,EOSE,75.75757575757575
1657670400,2.015,2.19,2.24,1.93,ok,3156356.0,EOSE,79.69924812030075
1657756800,2.1,2.04,2.2199,1.98,ok,1877060.0,EOSE,71.0344827586207
1657843200,2.03,1.97,2.05,1.88,ok,1145305.0,EOSE,67.76315789473685
1658102400,1.97,2.08,2.11,1.97,ok,1297886.0,EOSE,69.375
1658188800,2.12,2.65,2.7,2.0898,ok,11472690.0,EOSE,80.0
1658275200,2.65,2.94,3.09,2.515,ok,5226315.0,EOSE,86.02620087336244
1658361600,2.84,2.9,3.05,2.8,ok,2252032.0,EOSE,87.55555555555556
1658448000,2.83,2.34,2.915,2.31,ok,3256469.0,EOSE,70.60931899641577
1658707200,2.25,2.17,2.3099,2.0,ok,2422440.0,EOSE,65.74394463667821
1658793600,2.12,2.1,2.2,2.03,ok,1309871.0,EOSE,62.007168458781365
1658880000,2.1,2.4,2.43,2.0903,ok,2295393.0,EOSE,64.1891891891892
1658966400,2.65,2.69,2.83,2.5408,ok,2968652.0,EOSE,65.01650165016503
1659052800,2.68,3.17,3.28,2.595,ok,6331092.0,EOSE,69.71428571428571
1659312000,3.24,3.04,3.4,3.01,ok,4596376.0,EOSE,63.829787234042556
