t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,1.5838,1.55,1.6,1.5,ok,24305.0,EPOW,,1.55,37672.75,24305.0,1.55
1652227200,1.51,1.6,1.66,1.4965,ok,15715.0,EPOW,,1.5855,24916.1325,40020.0,0.6225920164917541
1652313600,1.533,1.55,1.64,1.47,ok,15101.0,EPOW,,1.5533333333333335,23456.88666666667,55121.0,0.4255526326929241
1652400000,1.62,1.64,1.69,1.56,ok,8165.0,EPOW,,1.63,13308.949999999999,63286.0,0.21029848623708244
1652659200,1.7,1.72,1.755,1.67,ok,6658.0,EPOW,,1.7149999999999999,11418.47,69944.0,0.1632516012810248
1652745600,1.64,1.71,1.77,1.64,ok,2016.0,EPOW,,1.7066666666666668,3440.6400000000003,71960.0,0.04781322957198444
1652832000,1.7699,1.67,1.7699,1.62,ok,6337.0,EPOW,,1.6866333333333332,10688.195433333332,78297.0,0.13650836473087516
1652918400,1.72,1.68,1.76,1.64,ok,2217.0,EPOW,,1.6933333333333334,3754.12,80514.0,0.04662692202598306
1653004800,1.61,1.62,1.64,1.52,ok,14117.0,EPOW,,1.5933333333333335,22493.08666666667,94631.0,0.23769258135987859
1653264000,1.6,1.685,1.685,1.6,ok,4900.0,EPOW,,1.656666666666667,8117.666666666668,99531.0,0.08155917921719533
1653350400,1.45,1.46,1.6847,1.37,ok,9204.0,EPOW,,1.5049000000000001,13851.099600000001,108735.0,0.1273840033108015
1653436800,1.6327,1.68,1.7,1.55,ok,27498.0,EPOW,,1.6433333333333333,45188.38,136233.0,0.33169922118723066
1653523200,1.67,1.97,2.04,1.6,ok,13382.0,EPOW,,1.87,25024.34,149615.0,0.1672582294556027
1653609600,2.01,1.8701,2.01,1.81,ok,4634.0,EPOW,62.407938599891466,1.8967,8789.3078,154249.0,0.056981295178574906
1653955200,1.91,1.9257,1.99,1.9048,ok,6525.0,EPOW,63.96135265700483,1.9401666666666666,12659.5875,160774.0,0.07874150982123974
1654041600,2.0032,1.9997,2.0032,1.92,ok,2813.0,EPOW,64.59291712303761,1.9743000000000002,5553.705900000001,163587.0,0.03394955528251023
1654128000,1.93,1.94,1.965,1.85,ok,5995.0,EPOW,64.13863109048724,1.9183333333333337,11500.408333333335,169582.0,0.06781620887436954
1654214400,1.99,1.91,1.99,1.91,ok,1924.0,EPOW,60.233474833232265,1.9366666666666665,3726.1466666666665,171506.0,0.021726042626302674
1654473600,1.82,1.95,2.02,1.75,ok,10406.0,EPOW,58.98999374609131,1.9066666666666665,19840.77333333333,181912.0,0.10906797425861588
1654560000,1.94,1.87,1.9401,1.8,ok,8228.0,EPOW,55.929439667951385,1.8700333333333334,15386.634266666668,190140.0,0.080922658392062
1654646400,2.0,2.015,2.3287,1.93,ok,33584.0,EPOW,61.86219227066429,2.0912333333333333,70231.98026666667,223724.0,0.31392242346224214
1654732800,2.32,2.0239,2.32,1.99,ok,8300.0,EPOW,61.83332186360196,2.1113,17523.79,232024.0,0.07552576457607835
1654819200,1.93,1.9461,2.02,1.92,ok,5351.0,EPOW,61.08504996940649,1.9620333333333333,10498.840366666667,237375.0,0.04422892202913815
1655078400,1.945,1.8601,2.07,1.8601,ok,1844.0,EPOW,55.868355787921445,1.9300666666666668,3559.0429333333336,239219.0,0.014877760267091384
1655164800,1.96,1.92,2.02,1.92,ok,2029.0,EPOW,67.33494121193851,1.9533333333333331,3963.313333333333,241248.0,0.016428377990007514
1655251200,2.01,1.89,2.02,1.89,ok,2924.0,EPOW,59.23645320197045,1.9333333333333333,5653.066666666667,244172.0,0.023151985758672847
1655337600,1.75,1.95,1.95,1.7438,ok,10960.0,EPOW,48.89722099691221,1.8812666666666666,20618.682666666668,255132.0,0.0808157450522344
1655424000,2.01,1.7701,2.01,1.76,ok,14905.0,EPOW,44.93311714633157,1.8467,27525.0635,270037.0,0.10193071134696356
1655769600,1.77,1.77,1.89,1.74,ok,3978.0,EPOW,41.640717276924725,1.8,7160.400000000001,274015.0,0.026131416163348724
1655856000,1.74,1.73,1.7501,1.5,ok,15613.0,EPOW,34.97158141089935,1.6600333333333335,25918.100433333337,289628.0,0.0894875510424867
1655942400,1.7638,1.7,1.7638,1.7,ok,741.0,EPOW,36.16874135546334,1.7212666666666667,1275.4586,290369.0,0.004392543969914143
1656028800,1.705,1.7915,1.941,1.7,ok,1839.0,EPOW,43.62286083306426,1.8108333333333333,3330.1225,292208.0,0.011396411118107649
1656288000,1.96,1.84,1.978,1.84,ok,1392.0,EPOW,44.1339590443686,1.8860000000000001,2625.3120000000004,293600.0,0.008941798365122617
1656374400,1.8948,1.83,1.8948,1.83,ok,755.0,EPOW,47.69479022591055,1.8516000000000001,1397.958,294355.0,0.004749224575767356
1656460800,1.8601,1.8699,1.9473,1.8601,ok,777.0,EPOW,40.48524590163933,1.8924333333333336,1470.4207000000001,295132.0,0.004982247604461733
1656547200,1.8597,1.98,1.98,1.71,ok,9642.0,EPOW,47.45860831307168,1.89,18223.379999999997,304774.0,0.05979309258663796
1656633600,1.94,1.8716,1.94,1.83,ok,4342.0,EPOW,45.834731074583466,1.8805333333333334,8165.275733333334,309116.0,0.02641492427869581
1656979200,1.87,1.75,1.87,1.7201,ok,2597.0,EPOW,44.08000860307559,1.7800333333333331,4622.746566666666,311713.0,0.014830137230935719
1657065600,1.81,1.81,1.81,1.81,ok,610.0,EPOW,44.08602150537635,1.8099999999999998,1104.1,312323.0,0.003535122293266906
1657152000,1.8,1.8727,1.8727,1.8,ok,1601.0,EPOW,49.10148540563001,1.8484666666666667,2959.3951333333334,313924.0,0.00942710698555489
1657238400,1.93,1.93,1.93,1.795,ok,9428.0,EPOW,48.958333333333336,1.8849999999999998,17771.78,323352.0,0.0549610950295653
1657497600,1.7881,1.8072,1.808,1.7881,ok,938.0,EPOW,52.05449108428397,1.8011,1689.4317999999998,324290.0,0.00520963273613124
1657584000,1.86,1.8527,1.86,1.8527,ok,2378.0,EPOW,54.36043446166824,1.8551333333333335,4411.507066666667,326668.0,0.013504558348741435
1657670400,1.88,1.83,1.88,1.78,ok,2804.0,EPOW,55.37056928034372,1.83,5131.320000000001,329472.0,0.015574373543123545
1657756800,1.82,1.88,1.88,1.82,ok,729.0,EPOW,59.463722397476346,1.86,1355.94,330201.0,0.004106407915178936
1657843200,1.8436,1.8476,1.85,1.825,ok,935.0,EPOW,53.144971409350816,1.8408666666666667,1721.2103333333332,331136.0,0.005197895527316067
1658102400,1.8401,1.9114,1.9114,1.8401,ok,576.0,EPOW,53.935185185185176,1.8876333333333335,1087.2768,331712.0,0.0032777734902566086
1658188800,1.87,1.9014,1.91,1.87,ok,1955.0,EPOW,53.935185185185176,1.8938,3702.379,333667.0,0.01109602987409603
1658361600,1.92,1.925,1.97,1.88,ok,6338.0,EPOW,53.09237849365811,1.9249999999999998,12200.65,340005.0,0.035883737003867586
1658448000,1.8701,1.8708,1.9146,1.85,ok,4021.0,EPOW,43.461077844311376,1.878466666666667,7553.314466666668,344026.0,0.0219556500574569
1658707200,1.92,1.93,1.93,1.9199,ok,2072.0,EPOW,53.71595825909901,1.9266333333333332,3991.9842666666664,346098.0,0.011534259853182238
1658793600,1.95,1.95,1.95,1.95,ok,612.0,EPOW,64.61560947091493,1.95,1193.3999999999999,346710.0,0.003442069741282339
1658880000,1.85,2.01,2.01,1.85,ok,2861.0,EPOW,64.61560947091493,1.9566666666666663,5598.023333333333,349571.0,0.016013980946169255
1658966400,2.02,2.01,2.02,2.01,ok,1806.0,EPOW,61.04585679806917,2.013333333333333,3636.08,351377.0,0.01034808766652342
1659052800,2.03,2.03,2.0637,1.98,ok,2975.0,EPOW,58.558712769599445,2.0245666666666664,6023.085833333333,354352.0,0.016997465326379795
1659312000,1.93,1.923,2.07,1.9,ok,16457.0,EPOW,60.186488388458855,1.9643333333333333,32327.033666666666,370809.0,0.08717974392926457
1659398400,2.04,2.04,2.04,2.01,ok,2011.0,EPOW,64.63509923425536,2.03,4082.3299999999995,372820.0,0.010949868569282763
1659484800,2.06,1.99,2.06,1.94,ok,1303.0,EPOW,61.99040767386092,1.9966666666666668,2601.6566666666668,374123.0,0.006954014232395942
1659571200,2.03,2.1,2.1,1.92,ok,2715.0,EPOW,65.12651265126514,2.0399999999999996,5538.5999999999985,376838.0,0.014697562347746242
1659657600,2.06,2.2,2.28,2.06,ok,8027.0,EPOW,72.16909914443887,2.18,17498.86,384865.0,0.04546752757460408
1659916800,2.19,2.14,2.21,2.09,ok,10848.0,EPOW,64.45006321112517,2.1466666666666665,23287.039999999997,395713.0,0.05884830672735037
1660003200,2.02,2.12,2.14,2.02,ok,1764.0,EPOW,63.64544319600501,2.0933333333333333,3692.64,397477.0,0.009290197923401857
1660089600,2.13,2.04,2.13,2.0324,ok,1428.0,EPOW,56.706321436902265,2.067466666666667,2952.3424,398905.0,0.007401116556573621
1660176000,2.06,2.18,2.18,2.04,ok,7057.0,EPOW,66.39100932994063,2.1333333333333333,15054.933333333332,405962.0,0.037084587555813925
1660262400,2.16,2.16,2.16,2.03,ok,1971.0,EPOW,62.72123893805311,2.1166666666666667,4171.95,407933.0,0.010227047088615042
1660521600,2.23,3.38,6.42,2.23,ok,6869027.0,EPOW,83.9828897338403,4.010000000000001,27544798.270000003,7276960.0,3.7852067717838223
1660608000,3.05,2.49,3.05,2.26,ok,604901.0,EPOW,58.179959100204506,2.6,1572742.6,7881861.0,0.19953949961817394
1660694400,2.59,2.31,2.7393,2.23,ok,218056.0,EPOW,54.81695568400771,2.4264333333333337,529098.3469333334,8099917.0,0.06532145291529944
1660780800,2.3,2.27,2.4,2.13,ok,88250.0,EPOW,53.82897255903001,2.266666666666666,200033.33333333328,8188167.0,0.024429561992730886
1660867200,2.181,2.17,2.29,2.11,ok,73134.0,EPOW,53.94947233770387,2.19,160163.46,8261301.0,0.019387195793979663
1661126400,2.21,2.13,2.3899,2.105,ok,95906.0,EPOW,51.475409836065566,2.2083,211789.2198,8357207.0,0.025342105299055055
1661212800,2.2,2.105,2.28,2.0,ok,39484.0,EPOW,51.90082644628099,2.1283333333333334,84035.11333333334,8396691.0,0.010008122644186065
1661299200,2.1,2.03,2.1892,2.02,ok,48945.0,EPOW,48.82943143812708,2.0797333333333334,101792.54800000001,8445636.0,0.012052679987629116
1661385600,2.02,2.0,2.17,1.92,ok,63881.0,EPOW,46.575342465753415,2.03,129678.43,8509517.0,0.015239223330771887
1661472000,1.9994,2.0,2.055,1.9,ok,39640.0,EPOW,47.55244755244755,1.985,78685.40000000001,8549157.0,0.009203878230333121
1661731200,1.96,2.0,2.15,1.9401,ok,103621.0,EPOW,47.88732394366197,2.0300333333333334,210354.08403333335,8652778.0,0.02431058372621294
