t,o,c,h,l,s,v,Ticker,RSI,TP,Cumulative TP,Cumulative Volume,VWAP
1652140800,3.63,3.41,3.69,3.19,ok,2813533.0,EXPR,,3.4299999999999997,9650418.19,2813533.0,3.4299999999999997
1652227200,3.35,3.26,3.38,3.095,ok,2665892.0,EXPR,,3.2449999999999997,8650819.54,5479425.0,1.5787823612879086
1652313600,3.18,3.43,3.465,3.15,ok,3047713.0,EXPR,,3.348333333333333,10204759.028333332,8527138.0,1.1967390498820745
1652400000,3.48,3.57,3.635,3.4,ok,2619190.0,EXPR,,3.535,9258836.65,11146328.0,0.8306624971021848
1652659200,3.53,3.71,3.74,3.47,ok,1174267.0,EXPR,,3.6400000000000006,4274331.880000001,12320595.0,0.34692576778962386
1652745600,3.75,4.0,4.0,3.73,ok,1769851.0,EXPR,,3.91,6920117.41,14090446.0,0.4911212469782717
1652832000,3.875,3.6,3.88,3.55,ok,1873724.0,EXPR,,3.6766666666666663,6889058.573333332,15964170.0,0.4315325239792192
1652918400,3.505,3.4,3.58,3.4,ok,1741904.0,EXPR,,3.4600000000000004,6026987.840000001,17706074.0,0.34039097769499893
1653004800,3.45,3.24,3.45,3.12,ok,2679133.0,EXPR,,3.27,8760764.91,20385207.0,0.4297609001468565
1653264000,3.24,2.95,3.26,2.86,ok,7548984.0,EXPR,,3.0233333333333334,22823094.96,27934191.0,0.8170308193281847
1653350400,2.88,2.38,2.895,2.335,ok,10025776.0,EXPR,,2.5366666666666666,25432051.786666665,37959967.0,0.6699703344490965
1653436800,2.63,2.54,2.68,2.3,ok,11724022.0,EXPR,,2.506666666666667,29388215.14666667,49683989.0,0.5915027303195536
1653523200,2.57,2.55,2.81,2.38,ok,15523300.0,EXPR,,2.5799999999999996,40050113.99999999,65207289.0,0.6141968883263954
1653609600,2.53,3.0,3.02,2.53,ok,7923905.0,EXPR,43.45047923322684,2.85,22583129.25,73131194.0,0.30880296101824894
1653955200,2.92,2.97,3.165,2.91,ok,4040208.0,EXPR,43.03797468354431,3.015,12181227.120000001,77171402.0,0.157846388743851
1654041600,3.02,2.78,3.035,2.59,ok,6289590.0,EXPR,42.50000000000001,2.8016666666666663,17621334.65,83460992.0,0.21113258095470513
1654128000,2.78,2.8,2.905,2.69,ok,1952807.0,EXPR,39.67213114754098,2.7983333333333333,5464604.921666667,85413799.0,0.06397801041101879
