t,o,c,h,l,s,v,Ticker
1652140800,6.01,6.03,6.22,5.9131,ok,14805.0,FAT
1652227200,5.94,6.14,6.24,5.94,ok,22869.0,FAT
1652313600,6.0,6.0,6.17,5.8428,ok,42176.0,FAT
1652400000,5.9,6.72,6.8389,5.9,ok,49800.0,FAT
1652659200,6.72,6.89,6.89,6.51,ok,14054.0,FAT
1652745600,6.72,6.72,6.72,6.25,ok,31763.0,FAT
1652832000,6.59,6.56,6.7,6.36,ok,5306.0,FAT
1652918400,6.45,6.0,6.45,6.0,ok,23568.0,FAT
1653004800,5.7946,5.86,6.1103,5.7946,ok,12050.0,FAT
1653264000,5.82,5.83,6.0999,5.7615,ok,28953.0,FAT
1653350400,5.76,5.61,5.89,5.5,ok,30705.0,FAT
1653436800,5.67,5.64,5.9899,5.62,ok,27303.0,FAT
1653523200,6.37,6.33,6.6092,6.0,ok,66547.0,FAT
1653609600,6.72,6.62,7.0,6.46,ok,59171.0,FAT
1653955200,6.99,6.94,6.99,6.61,ok,13254.0,FAT
1654041600,7.07,6.8,7.0875,6.65,ok,15164.0,FAT
1654128000,6.9,7.07,7.25,6.729,ok,13806.0,FAT
1654214400,7.06,6.995,7.2333,6.91,ok,19606.0,FAT
1654473600,7.0,7.12,7.1249,6.82,ok,9744.0,FAT
1654560000,7.0,7.0,7.2,6.8501,ok,11105.0,FAT
1654646400,7.03,6.8,7.04,6.51,ok,15416.0,FAT
1654732800,6.93,7.05,7.1099,6.9277,ok,4765.0,FAT
1654819200,6.85,6.88,6.98,6.73,ok,11483.0,FAT
1655078400,6.6,6.11,6.6,6.1,ok,27995.0,FAT
1655164800,6.21,6.36,6.83,6.21,ok,4227.0,FAT
1655251200,6.35,7.04,7.11,6.35,ok,30269.0,FAT
1655337600,6.9538,7.14,7.14,6.85,ok,15796.0,FAT
1655424000,7.08,7.05,7.08,7.0,ok,14264.0,FAT
1655769600,7.17,7.19,7.19,6.9801,ok,5070.0,FAT
1655856000,7.1736,7.16,7.225,7.1168,ok,3502.0,FAT
1655942400,7.03,7.15,7.25,7.03,ok,2712.0,FAT
1656028800,7.25,7.27,7.35,7.0917,ok,9746.0,FAT
1656288000,7.28,7.58,7.5862,7.28,ok,3869.0,FAT
1656374400,7.58,7.86,7.95,7.58,ok,17911.0,FAT
1656460800,7.81,7.75,7.8399,7.7191,ok,3400.0,FAT
1656547200,7.74,7.45,7.74,7.01,ok,11183.0,FAT
1656633600,7.6,7.5,7.7259,7.4,ok,6469.0,FAT
1656979200,7.5,7.66,7.89,7.5,ok,5165.0,FAT
1657065600,7.84,7.7201,7.84,7.65,ok,2934.0,FAT
1657152000,7.72,7.55,7.81,7.45,ok,4630.0,FAT
1657238400,7.5,7.71,7.8198,7.49,ok,3137.0,FAT
1657497600,7.66,7.55,7.7609,7.55,ok,2655.0,FAT
