t,o,c,h,l,s,v,Ticker
1652140800,2.23,2.29,2.41,2.13,ok,510647.0,FOA
1652227200,2.32,2.36,2.5,2.24,ok,336727.0,FOA
1652313600,2.29,2.34,2.39,2.23,ok,437910.0,FOA
1652400000,2.35,2.37,2.39,2.3,ok,473147.0,FOA
1652659200,2.39,2.29,2.39,2.285,ok,181723.0,FOA
1652745600,2.31,2.52,2.54,2.29,ok,358274.0,FOA
1652832000,2.49,2.43,2.53,2.34,ok,243179.0,FOA
1652918400,2.45,2.4,2.515,2.395,ok,204509.0,FOA
1653004800,2.45,2.42,2.49,2.345,ok,134311.0,FOA
1653264000,2.42,2.44,2.53,2.3868,ok,147907.0,FOA
1653350400,2.44,2.44,2.46,2.3384,ok,111867.0,FOA
1653436800,2.4,2.49,2.51,2.4,ok,128373.0,FOA
1653523200,2.55,2.55,2.64,2.5,ok,414458.0,FOA
1653609600,2.59,2.51,2.645,2.48,ok,256546.0,FOA
1653955200,2.43,2.42,2.48,2.39,ok,205522.0,FOA
1654041600,2.38,2.4,2.47,2.37,ok,157295.0,FOA
1654128000,2.33,2.33,2.39,2.27,ok,267150.0,FOA
1654214400,2.27,2.36,2.37,2.265,ok,430923.0,FOA
1654473600,2.28,2.06,2.29,2.015,ok,964334.0,FOA
1654560000,2.18,2.15,2.36,2.085,ok,696443.0,FOA
1654646400,2.19,2.17,2.2,2.08,ok,474811.0,FOA
1654732800,2.15,2.1,2.2,2.08,ok,564124.0,FOA
1654819200,2.01,1.99,2.06,1.98,ok,262729.0,FOA
1655078400,1.91,1.93,1.99,1.87,ok,439488.0,FOA
1655164800,1.92,1.89,1.99,1.85,ok,273183.0,FOA
1655251200,1.9,1.85,1.92,1.8,ok,298032.0,FOA
1655337600,1.83,1.76,1.83,1.76,ok,400360.0,FOA
1655424000,1.83,1.8,1.83,1.74,ok,417396.0,FOA
1655769600,1.84,1.81,1.98,1.81,ok,485523.0,FOA
1655856000,1.81,1.74,1.86,1.74,ok,376151.0,FOA
1655942400,1.74,1.76,1.805,1.71,ok,291396.0,FOA
1656028800,1.74,1.73,1.905,1.71,ok,2056627.0,FOA
1656288000,1.75,1.66,1.82,1.66,ok,375737.0,FOA
1656374400,1.67,1.62,1.76,1.61,ok,262876.0,FOA
1656460800,1.6,1.61,1.64,1.55,ok,322918.0,FOA
1656547200,1.62,1.57,1.64,1.53,ok,181451.0,FOA
1656633600,1.58,1.71,1.72,1.54,ok,278762.0,FOA
1656979200,1.7,1.61,1.735,1.6,ok,403625.0,FOA
1657065600,1.6,1.7,1.74,1.595,ok,414647.0,FOA
1657152000,1.73,1.85,1.9,1.72,ok,408574.0,FOA
1657238400,1.84,1.82,1.87,1.73,ok,230740.0,FOA
1657497600,1.81,1.75,1.86,1.69,ok,225225.0,FOA
1657584000,1.76,1.77,1.79,1.695,ok,238646.0,FOA
1657670400,1.77,1.78,1.8,1.7074,ok,71664.0,FOA
1657756800,1.75,1.74,1.77,1.6414,ok,193459.0,FOA
1657843200,1.78,1.71,1.79,1.68,ok,64584.0,FOA
1658102400,1.7,1.67,1.7426,1.67,ok,70135.0,FOA
1658188800,1.68,1.71,1.78,1.655,ok,135201.0,FOA
1658275200,1.7,1.74,1.74,1.68,ok,225066.0,FOA
1658361600,1.76,1.69,1.76,1.66,ok,141636.0,FOA
1658448000,1.74,1.62,1.74,1.6,ok,156453.0,FOA
1658707200,1.62,1.6,1.63,1.53,ok,289855.0,FOA
1658793600,1.61,1.64,1.68,1.57,ok,234367.0,FOA
1658880000,1.63,1.67,1.69,1.6,ok,395321.0,FOA
1658966400,1.67,1.75,1.76,1.63,ok,419277.0,FOA
1659052800,1.73,1.77,1.79,1.7,ok,426204.0,FOA
1659312000,1.77,1.87,1.92,1.67,ok,290067.0,FOA
1659398400,1.89,1.92,1.95,1.77,ok,466166.0,FOA
1659484800,1.95,2.0,2.13,1.89,ok,548421.0,FOA
1659571200,1.99,1.97,2.09,1.91,ok,167588.0,FOA
1659657600,1.67,1.79,1.8,1.6,ok,934221.0,FOA
1659916800,1.8,1.62,1.84,1.6,ok,420594.0,FOA
1660003200,1.66,1.62,1.66,1.61,ok,236047.0,FOA
1660089600,1.64,1.58,1.64,1.53,ok,284782.0,FOA
1660176000,1.61,1.74,1.74,1.57,ok,432504.0,FOA
1660262400,1.75,1.69,1.78,1.69,ok,272656.0,FOA
1660521600,1.67,1.66,1.69,1.63,ok,105442.0,FOA
1660608000,1.61,1.63,1.67,1.61,ok,172578.0,FOA
1660694400,1.64,1.61,1.66,1.6,ok,112946.0,FOA
1660780800,1.61,1.61,1.61,1.59,ok,73354.0,FOA
1660867200,1.58,1.55,1.64,1.54,ok,230772.0,FOA
1661126400,1.52,1.44,1.61,1.42,ok,326802.0,FOA
1661212800,1.44,1.42,1.47,1.4,ok,125990.0,FOA
1661299200,1.4,1.42,1.455,1.38,ok,197435.0,FOA
1661385600,1.43,1.4,1.46,1.36,ok,80891.0,FOA
1661472000,1.38,1.36,1.38,1.34,ok,136256.0,FOA
1661731200,1.38,1.33,1.4,1.3,ok,300319.0,FOA
1661817600,1.32,1.27,1.32,1.25,ok,254339.0,FOA
1661904000,1.27,1.22,1.31,1.2,ok,399360.0,FOA
1661990400,1.25,1.28,1.32,1.21,ok,197543.0,FOA
1662076800,1.34,1.34,1.39,1.3,ok,141331.0,FOA
1662422400,1.33,1.3,1.39,1.29,ok,114444.0,FOA
1662508800,1.29,1.35,1.37,1.29,ok,100810.0,FOA
1662595200,1.34,1.35,1.38,1.3201,ok,58839.0,FOA
1662681600,1.35,1.39,1.41,1.35,ok,75940.0,FOA
1662940800,1.41,1.6,1.65,1.38,ok,522061.0,FOA
1663027200,1.56,1.56,1.65,1.5,ok,245764.0,FOA
1663113600,1.59,1.51,1.606,1.51,ok,150428.0,FOA
1663200000,1.54,1.55,1.58,1.52,ok,92743.0,FOA
